Label	x	y	claim	opposite_perspective	perspective	opposite_claim
1	0	0	Male infant circumcision is tantamount to child abuse	Parents don't have the right to use their best judgment, in the light of medical advice, as to what is in the best interest of their child	Parents have the right to use their best judgment, in the light of medical advice, as to what is in the best interest of their child 	Male infant circumcision is not tantamount to child abuse
1	0	0	Male infant circumcision is tantamount to child abuse	Parents don't have the right to make the decisions for their child	Parents have the right to make the decisions for their child	Male infant circumcision is not tantamount to child abuse
0	0	0	punishment should fit the criminal	It will not cause less re-offenders.	It will cause less re-offenders.	punishment should not fit the criminal
0	0	0	punishment should fit the criminal	Adequate punishment increase future offenses.	Adequate punishment reduces future offenses.	punishment should not fit the criminal
0	0	0	punishment should fit the criminal	Just punishment will not lead to less criminals re-offending.	Just punishment will lead to less criminals re-offending. 	punishment should not fit the criminal
1	0	0	punishment should fit the criminal	The onus should be on punishing the criminal.	The onus should not be on punishing the criminal.	punishment should not fit the criminal
1	0	0	punishment should fit the criminal	Punishment should be the primary focus.	Punishment should not be the primary focus.	punishment should not fit the criminal
1	0	0	punishment should fit the criminal	Our  main goal should be punishing the criminal.	Our  main goal should not be punishing the criminal. 	punishment should not fit the criminal
0	0	0	A government has the obligation to lessen the economic gap between its rich and poor citizens	True individual freedom can exist without economic security and independence	True individual freedom cannot exist without economic security and independence	A government doesn't have the obligation to lessen the economic gap between its rich and poor citizens
0	0	0	A government has the obligation to lessen the economic gap between its rich and poor citizens	The wealth gap does allow for equality between the rich and the poor and so it should be reduced.	The wealth gap does not allow for equality between the rich and the poor and so it should be reduced.	A government doesn't have the obligation to lessen the economic gap between its rich and poor citizens
0	0	0	A government has the obligation to lessen the economic gap between its rich and poor citizens	Society gives an unfair advantage not to certain groups of people and reducing the wealth gap will help achieve more equality.	Society gives an unfair advantage to certain groups of people and reducing the wealth gap will help achieve more equality.	A government doesn't have the obligation to lessen the economic gap between its rich and poor citizens
0	0	0	We Should Question Authorities	Why is not the authority figure there?	Why is the authority figure there?	We should not Question Authorities
0	0	0	China should be allowed more control over its own seas	China should not have freedom of the seas.	China should have freedom of the seas.	China should not be allowed more control over its own seas
0	0	0	Islamic State/Daesh is the most significant threat to the west	Daesh and the Syrian civil war is not nurture terrorism for export	Daesh and the Syrian civil war is nurture terrorism for export 	Islamic State/Daesh is not the most significant threat to the west
1	0	0	Islamic State/Daesh is the most significant threat to the west	There are not other larger threats.	There are other larger threats.	Islamic State/Daesh is not the most significant threat to the west
1	0	0	Islamic State/Daesh is the most significant threat to the west	Less significant threats than the Islamic State exist for the west.	More significant threats than the Islamic State exist for the west.	Islamic State/Daesh is not the most significant threat to the west
1	0	0	Islamic State/Daesh is the most significant threat to the west	The Islamic State is the biggest concern for the western world.	The Islamic State is not the biggest concern for the western world.	Islamic State/Daesh is not the most significant threat to the west
1	0	0	Islamic State/Daesh is the most significant threat to the west	There are not more important threats to focus on	There are more important threats to focus on	Islamic State/Daesh is not the most significant threat to the west
1	0	0	Islamic State/Daesh is the most significant threat to the west	The west is not insulated by distance from Daesh	The west is insulated by distance from Daesh	Islamic State/Daesh is not the most significant threat to the west
0	0	0	All countries should have the right to pursue a nuclear defence	Small countries would not be able to pursue their independence without having to rely on larger countries.	Small countries would be able to pursue their independence without having to rely on larger countries.	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	Disarmament would not actually cause increased insecurity among nations, it is near impossible to guarantee that a nation has disarmed.	Disarmament would actually cause increased insecurity among nations, it is near impossible to guarantee that a nation has disarmed.	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	Small countries would not no longer need the protection of larger ones, so could become more politically independent.	Small countries would no longer need the protection of larger ones, so could become more politically independent.	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	Disarmament would not actually cause increased insecurity among nations, you can never really know for sure whether they have disarmed.	Disarmament would actually cause increased insecurity among nations, you can never really know for sure whether they have disarmed.	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	Disarmament would not actually cause increased insecurity among nations, as there can never be any guarantee that a nation has disarmed	Disarmament would actually cause increased insecurity among nations, as there can never be any guarantee that a nation has disarmed	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	Thus the super power model will not be broken and small countries will be finally given the chance to have political independence without the need of protection from a ‘big brother’.	Thus the super power model will be broken and small countries will be finally given the chance to have political independence without the need of protection from a ‘big brother’.	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	All the people worldwide don't have the same rights and are equal to one another.	All the people worldwide have the same rights and are equal to one another. 	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	The pursuit of nuclear defence (respectively the possession of nuclear weapons) by less countries is a guarantee for peace.	The pursuit of nuclear defence (respectively the possession of nuclear weapons) by more countries is a guarantee for peace. 	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	Humanitarian missions would be possible in states that have nuclear weapons.	Humanitarian missions would not be possible in states that have nuclear weapons.	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	It is not very difficult to intercede in humanitarian crises in states wherein nuclear weapons are present.	It is very difficult to intercede in humanitarian crises in states wherein nuclear weapons are present.	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	The threat of a state developing nuclear weapons could not instigate pre-emptive strikes from its neighbours and rivals to prevent the acquisition of such weapons	The threat of a state developing nuclear weapons could instigate pre-emptive strikes from its neighbours and rivals to prevent the acquisition of such weapons	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	Other countries could not strike against those developing nuclear weapons to protect themselves.	Other countries could strike against those developing nuclear weapons to protect themselves.	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	 Not to keep other countries from obtaining a nuclear arsenal, other nations may pre-emptively strike.	To keep other countries from obtaining a nuclear arsenal, other nations may pre-emptively strike.	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	The intention of a state not to develop nuclear weapons may incite military attacks by enemies and by other supporting countries.	The intention of a state to develop nuclear weapons may incite military attacks by enemies and by other supporting countries.	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	Public acknowledgement of the right not to nuclear deterrence will benefit the public regulation of nuclear weapons generally	Public acknowledgement of the right to nuclear deterrence will benefit the public regulation of nuclear weapons generally	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	Countries with nuclear weapons don't have the ability to set their own agenda.	Countries with nuclear weapons have the ability to set their own agenda.	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	States with nuclear weapons are not afforded more authority to set agendas at international levels.	States with nuclear weapons are afforded more authority to set agendas at international levels.	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	All countries don't have a right to defend themselves with nuclear weapons, even when they lack the capacity in conventional weapons	All countries have a right to defend themselves with nuclear weapons, even when they lack the capacity in conventional weapons	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	All states don't have a right to nuclear self-defense.	All states have a right to nuclear self-defense.	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	 Not to use  nuclear weapons in defense of the nation is lawful for all countries.	To use  nuclear weapons in defense of the nation is lawful for all countries.	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	countries don't have to right to self defense with nuclear weapons, even when they lack capacity in conventional weapon	countries have to right to self defense with nuclear weapons, even when they lack capacity in conventional weapon	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	all countries are entitled to self defense with nuclear weapons, even when they do have the capacity to carry conventional weapons	all countries are entitled to self defense with nuclear weapons, even when they do not have the capacity to carry conventional weapons	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	Possessing nuclear weapons will not be counter to the peaceful interests of states	Possessing nuclear weapons will be counter to the peaceful interests of states	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	Nuclear weapons can not fall into the wrong hands.	Nuclear weapons can fall into the wrong hands.	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	It's conceivable that the wrong people will not have the weapons.	It's conceivable that the wrong people will have the weapons.	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	The nukes can not end up being used against us.	The nukes can end up being used against us.	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	Terrorists will not steal nuclear weapons from poorly guarded arsenals	Terrorists will steal nuclear weapons from poorly guarded arsenals	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	[Iran specific] Iran doesn't have threatened to destroy Israel	[Iran specific] Iran has threatened to destroy Israel	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	Iran doesn't have Israel targeted.	Iran has Israel targeted.	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	No country doesn't have an inherent right to invade or use aggression against another.	No country has an inherent right to invade or use aggression against another.	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	The United States doesn't have an obligation to protect international stability due to its unique military strength.	The United States has an obligation to protect international stability due to its unique military strength.	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	The US must not protect the international community.	The US must protect the international community.	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	The US military is not needed to ensure peace.	The US military is needed to ensure peace.	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	[Iran specific] Others, particularly Israel, would act if the United States did 	[Iran specific] Others, particularly Israel, would act if the United States did not	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	If the US does act on Iran, Israel will	If the US does not act on Iran, Israel will	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	Nuclear waste disposal is not rarely safe/efficient; it is too much to expect a sqeaky clean disposal/disarmament of nuclear weapons  	Nuclear waste disposal is rarely safe/efficient; it is too much to expect a sqeaky clean disposal/disarmament of nuclear weapons  	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	Disarmament is not impossible, rendering efforts to disarm pointless and simply wasteful	Disarmament is impossible, rendering efforts to disarm pointless and simply wasteful	All countries should not have the right to pursue a nuclear defence
0	0	0	All countries should have the right to pursue a nuclear defence	The abolition of nuclear weapons would not actually incentivize the development and use of even more dangerous weapons, such as chemical and biological weapons	The abolition of nuclear weapons would actually incentivize the development and use of even more dangerous weapons, such as chemical and biological weapons	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	Proliferation of nuclear weapons decrease the chances of nuclear accidents	Proliferation of nuclear weapons increases the chances of nuclear accidents	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	States will not give terrorists nuclear weapons	States will give terrorists nuclear weapons	All countries should not have the right to pursue a nuclear defence
1	0	0	All countries should have the right to pursue a nuclear defence	It is not immoral to use the threat of nuclear annihilation in order to achieve foreign policy aims	It is immoral to use the threat of nuclear annihilation in order to achieve foreign policy aims	All countries should not have the right to pursue a nuclear defence
1	0	0	We should allow death penalty for the worst of the worst criminals	Many innocents don't have been killed because of the death penalty.	Many innocents have been killed because of the death penalty.	We should not allow death penalty for the worst of the worst criminals
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty doesn't have led to innocent people dying.	The death penalty has led to innocent people dying.	We should not allow death penalty for the worst of the worst criminals
0	0	0	We should allow death penalty for the worst of the worst criminals	 can not be reserved for the worst of the worst	Can be reserved for the worst of the worst	We should not allow death penalty for the worst of the worst criminals
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty should not be used for the worst cases.	The death penalty should be used for the worst cases.	We should not allow death penalty for the worst of the worst criminals
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty is not saved for the most horrible criminals.	The death penalty is saved for the most horrible criminals.	We should not allow death penalty for the worst of the worst criminals
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty should not be used if someone commits first-degree murder.   They would receive the same treatment that they gave.	The death penalty should be used if someone commits first-degree murder.   They would receive the same treatment that they gave.	We should not allow death penalty for the worst of the worst criminals
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty should not apply as punishment for first-degree murder; an eye for an eye.	The death penalty should apply as punishment for first-degree murder; an eye for an eye.	We should not allow death penalty for the worst of the worst criminals
0	0	0	We should allow death penalty for the worst of the worst criminals	Killers must not die to satisfy society	Killers must die to satisfy society	We should not allow death penalty for the worst of the worst criminals
