Label	x	y	claim	perspective	opposite_perspective
0	0	0	This house believes that open primaries are the most effective method of selecting candidates for elections	A single election in which the party nominee is selected by nonparty members could be enough to destroy the party	A single election in which the party nominee is not selected by nonparty members could be enough to destroy the party
0	0	0	This house believes that open primaries are the most effective method of selecting candidates for elections	A party's basic function is to choose its own leaders	A party's basic function is not to choose its own leaders
1	0	0	This house believes that open primaries are the most effective method of selecting candidates for elections	The open primary can be seen as good for voter participation	The open primary can not be seen as good for voter participation
1	0	0	This house believes that open primaries are the most effective method of selecting candidates for elections	the open primary allows nonpartisan or independent voters to participate in the nominating process	the open primary disallow nonpartisan or independent voters to participate in the nominating process
1	0	0	This house believes that open primaries are the most effective method of selecting candidates for elections	If nonpartisan or independent voters are allowed to help select the nominees then they may be more likely to vote in the general election	If nonpartisan or independent voters are not allowed to help select the nominees then they may be more likely to vote in the general election
0	0	0	This house believes that open primaries are the most effective method of selecting candidates for elections	voter participation in the United States was higher when people could only vote in the primary for their own party	voter participation in the United States was not higher when people could only vote in the primary for their own party
0	0	0	This house believes that open primaries are the most effective method of selecting candidates for elections	With the open primary more voters become independent and are less likely to participate in the nominating or election processes	With the open primary less voters become independent and are less likely to participate in the nominating or election processes
0	0	0	This house believes that open primaries are the most effective method of selecting candidates for elections	the open primary leaves the party nominations vulnerable to manipulation and dilution	the open primary leaves the party nominations vulnerable not to manipulation and dilution
0	0	0	This house believes that open primaries are the most effective method of selecting candidates for elections	Open primary may dilute the vote of a particular party and lead to a nominee who does not represent the views of his particular party	Open primary may dilute the vote of a particular party and lead to a nominee who does represent the views of his particular party
0	0	0	This house believes that open primaries are the most effective method of selecting candidates for elections	the open primary is unconstitutional	the open primary is not unconstitutional
0	0	0	This house believes that open primaries are the most effective method of selecting candidates for elections	Open primary statute is unconstitutional	Open primary statute is not unconstitutional
0	0	0	This house believes that open primaries are the most effective method of selecting candidates for elections	An open primary law is in general unconstitutional	An open primary law is not in general unconstitutional
0	0	0	This house believes that open primaries are the most effective method of selecting candidates for elections	voters of one party sometimes vote in the other party's primary to nominate a candidate who will be easy for their favorite to beat	voters of one party sometimes vote in the other party's primary not to nominate a candidate who will be easy for their favorite to beat
0	0	0	This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception	The male condom provides excellent protection against sexually transmitted infections	The male condom provides excellent protection for sexually transmitted infections
1	0	0	This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception	Barrier contraceptives may increase the risk of pregnancy complications	Barrier contraceptives may not increase the risk of pregnancy complications
1	0	0	This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception	Abstinence is the only way to avoid sexually transmitted diseases	Abstinence is not the only way to avoid sexually transmitted diseases
