Label	x	y	claim	opposite_perspective
0	0	0	Male infant circumcision is tantamount to child abuse	Parents have the right to use their best judgment, in the light of medical advice, as to what is in the best interest of their child  but it is not true.
0	0	0	Male infant circumcision is tantamount to child abuse	Parents know what best for thier child  but it is not true.
0	0	0	Male infant circumcision is tantamount to child abuse	Parents have the right to make the decisions for their child but it is not true.
1	0	0	punishment should fit the criminal	It will cause less re-offenders. but it is not true.
1	0	0	punishment should fit the criminal	Adequate punishment reduces future offenses. but it is not true.
1	0	0	punishment should fit the criminal	Just punishment will lead to less criminals re-offending.  but it is not true.
0	0	0	punishment should fit the criminal	The onus should not be on punishing the criminal. but it is not true.
0	0	0	punishment should fit the criminal	Punishment should not be the primary focus. but it is not true.
0	0	0	punishment should fit the criminal	Our  main goal should not be punishing the criminal.  but it is not true.
1	0	0	A government has the obligation to lessen the economic gap between its rich and poor citizens	True individual freedom cannot exist without economic security and independence but it is not true.
1	0	0	A government has the obligation to lessen the economic gap between its rich and poor citizens	The wealth gap does not allow for equality between the rich and the poor and so it should be reduced. but it is not true.
1	0	0	A government has the obligation to lessen the economic gap between its rich and poor citizens	Society gives an unfair advantage to certain groups of people and reducing the wealth gap will help achieve more equality. but it is not true.
1	0	0	A government has the obligation to lessen the economic gap between its rich and poor citizens	Wealth gap undermines equality of opportunity; reducing it makes society fairer. but it is not true.
1	0	0	A government has the obligation to lessen the economic gap between its rich and poor citizens	The Rich Poor Gap Silences the Political Voice of the Poor but it is not true.
1	0	0	We Should Question Authorities	Why is the authority figure there? but it is not true.
1	0	0	China should be allowed more control over its own seas	Sovereignty of the Seas but it is not true.
1	0	0	China should be allowed more control over its own seas	China should have freedom of the seas. but it is not true.
1	0	0	Islamic State/Daesh is the most significant threat to the west	Daesh and the Syrian civil war is nurture terrorism for export  but it is not true.
0	0	0	Islamic State/Daesh is the most significant threat to the west	There are other larger threats. but it is not true.
0	0	0	Islamic State/Daesh is the most significant threat to the west	More significant threats than the Islamic State exist for the west. but it is not true.
0	0	0	Islamic State/Daesh is the most significant threat to the west	The Islamic State is not the biggest concern for the western world. but it is not true.
0	0	0	Islamic State/Daesh is the most significant threat to the west	There are more important threats to focus on but it is not true.
0	0	0	Islamic State/Daesh is the most significant threat to the west	The west is insulated by distance from Daesh but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	Small countries would be able to pursue their independence without having to rely on larger countries. but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	Disarmament would actually cause increased insecurity among nations, it is near impossible to guarantee that a nation has disarmed. but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	Small countries would no longer need the protection of larger ones, so could become more politically independent. but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	Disarmament would actually cause increased insecurity among nations, you can never really know for sure whether they have disarmed. but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	Disarmament would actually cause increased insecurity among nations, as there can never be any guarantee that a nation has disarmed but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	Thus the super power model will be broken and small countries will be finally given the chance to have political independence without the need of protection from a ‘big brother’. but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	All the people worldwide have the same rights and are equal to one another.  but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	The pursuit of nuclear defence (respectively the possession of nuclear weapons) by more countries is a guarantee for peace.  but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	Humanitarian intervention becomes impossible in states that possess nuclear weapons but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	Humanitarian missions would not be possible in states that have nuclear weapons. but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	It is very difficult to intercede in humanitarian crises in states wherein nuclear weapons are present. but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	The threat of a state developing nuclear weapons could instigate pre-emptive strikes from its neighbours and rivals to prevent the acquisition of such weapons but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	Other countries could strike against those developing nuclear weapons to protect themselves. but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	To keep other countries from obtaining a nuclear arsenal, other nations may pre-emptively strike. but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	The intention of a state to develop nuclear weapons may incite military attacks by enemies and by other supporting countries. but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	Public acknowledgement of the right to nuclear deterrence will benefit the public regulation of nuclear weapons generally but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	Nuclear weapons give states valuable agenda-setting power on the international stage but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	Countries with nuclear weapons have the ability to set their own agenda. but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	States with nuclear weapons are afforded more authority to set agendas at international levels. but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	All countries have a right to defend themselves with nuclear weapons, even when they lack the capacity in conventional weapons but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	All states have a right to nuclear self-defense. but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	To use  nuclear weapons in defense of the nation is lawful for all countries. but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	countries have to right to self defense with nuclear weapons, even when they lack capacity in conventional weapon but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	all countries are entitled to self defense with nuclear weapons, even when they do not have the capacity to carry conventional weapons but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	Possessing nuclear weapons will be counter to the peaceful interests of states but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	Nuclear weapons can fall into the wrong hands. but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	It's conceivable that the wrong people will have the weapons. but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	The nukes can end up being used against us. but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	Terrorists will steal nuclear weapons from poorly guarded arsenals but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	[Iran specific] Iran has threatened to destroy Israel but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	Iran has Israel targeted. but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	No country has an inherent right to invade or use aggression against another. but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	The United States has an obligation to protect international stability due to its unique military strength. but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	The US must protect the international community. but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	The US military is needed to ensure peace. but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	[Iran specific] Others, particularly Israel, would act if the United States did not but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	If the US does not act on Iran, Israel will but it is not true.
