Label	x	y	claim	perspective
1	0	0	Male infant circumcision is tantamount to child abuse	Parents don't have the right to use their best judgment, in the light of medical advice, as to what is in the best interest of their child
1	0	0	Male infant circumcision is tantamount to child abuse	Parents know what best for thier child  but it is not true. 
1	0	0	Male infant circumcision is tantamount to child abuse	Parents don't have the right to make the decisions for their child
0	0	0	punishment should fit the criminal	It will not cause less re-offenders.
0	0	0	punishment should fit the criminal	Adequate punishment increase future offenses.
0	0	0	punishment should fit the criminal	Just punishment will not lead to less criminals re-offending.
1	0	0	punishment should fit the criminal	The onus should be on punishing the criminal.
1	0	0	punishment should fit the criminal	Punishment should be the primary focus.
1	0	0	punishment should fit the criminal	Our  main goal should be punishing the criminal.
0	0	0	A government has the obligation to lessen the economic gap between its rich and poor citizens	True individual freedom can exist without economic security and independence
0	0	0	A government has the obligation to lessen the economic gap between its rich and poor citizens	The wealth gap does allow for equality between the rich and the poor and so it should be reduced.
0	0	0	A government has the obligation to lessen the economic gap between its rich and poor citizens	Society gives an unfair advantage not to certain groups of people and reducing the wealth gap will help achieve more equality.
0	0	0	A government has the obligation to lessen the economic gap between its rich and poor citizens	Wealth gap undermines equality of opportunity; reducing it makes society fairer. but it is not true. 
0	0	0	A government has the obligation to lessen the economic gap between its rich and poor citizens	The Rich Poor Gap Silences the Political Voice of the Poor but it is not true. 
0	0	0	We Should Question Authorities	Why is not the authority figure there?
0	0	0	China should be allowed more control over its own seas	Sovereignty of the Seas but it is not true. 
0	0	0	China should be allowed more control over its own seas	China should not have freedom of the seas.
0	0	0	Islamic State/Daesh is the most significant threat to the west	Daesh and the Syrian civil war is not nurture terrorism for export
1	0	0	Islamic State/Daesh is the most significant threat to the west	There are not other larger threats.
1	0	0	Islamic State/Daesh is the most significant threat to the west	Less significant threats than the Islamic State exist for the west.
1	0	0	Islamic State/Daesh is the most significant threat to the west	The Islamic State is the biggest concern for the western world.
1	0	0	Islamic State/Daesh is the most significant threat to the west	There are not more important threats to focus on
1	0	0	Islamic State/Daesh is the most significant threat to the west	The west is not insulated by distance from Daesh
0	0	0	All countries should have the right to pursue a nuclear defence	Small countries would not be able to pursue their independence without having to rely on larger countries.
0	0	0	All countries should have the right to pursue a nuclear defence	Disarmament would not actually cause increased insecurity among nations, it is near impossible to guarantee that a nation has disarmed.
0	0	0	All countries should have the right to pursue a nuclear defence	Small countries would not no longer need the protection of larger ones, so could become more politically independent.
0	0	0	All countries should have the right to pursue a nuclear defence	Disarmament would not actually cause increased insecurity among nations, you can never really know for sure whether they have disarmed.
0	0	0	All countries should have the right to pursue a nuclear defence	Disarmament would not actually cause increased insecurity among nations, as there can never be any guarantee that a nation has disarmed
0	0	0	All countries should have the right to pursue a nuclear defence	Thus the super power model will not be broken and small countries will be finally given the chance to have political independence without the need of protection from a ‘big brother’.
0	0	0	All countries should have the right to pursue a nuclear defence	All the people worldwide don't have the same rights and are equal to one another.
0	0	0	All countries should have the right to pursue a nuclear defence	The pursuit of nuclear defence (respectively the possession of nuclear weapons) by less countries is a guarantee for peace.
1	0	0	All countries should have the right to pursue a nuclear defence	Humanitarian intervention becomes impossible in states that possess nuclear weapons but it is not true. 
1	0	0	All countries should have the right to pursue a nuclear defence	Humanitarian missions would be possible in states that have nuclear weapons.
1	0	0	All countries should have the right to pursue a nuclear defence	It is not very difficult to intercede in humanitarian crises in states wherein nuclear weapons are present.
1	0	0	All countries should have the right to pursue a nuclear defence	The threat of a state developing nuclear weapons could not instigate pre-emptive strikes from its neighbours and rivals to prevent the acquisition of such weapons
1	0	0	All countries should have the right to pursue a nuclear defence	Other countries could not strike against those developing nuclear weapons to protect themselves.
1	0	0	All countries should have the right to pursue a nuclear defence	 Not to keep other countries from obtaining a nuclear arsenal, other nations may pre-emptively strike.
1	0	0	All countries should have the right to pursue a nuclear defence	The intention of a state not to develop nuclear weapons may incite military attacks by enemies and by other supporting countries.
0	0	0	All countries should have the right to pursue a nuclear defence	Public acknowledgement of the right not to nuclear deterrence will benefit the public regulation of nuclear weapons generally
