undermine_score,support_score,predict_label,gold
3.8177247,-3.2832031,0,0
3.233182,-2.7612305,0,0
4.4071407,-3.7676783,0,0
-3.0981424,3.074205,1,0
-3.458581,3.3880353,1,0
-2.451506,2.4864416,1,0
-3.30063,3.244332,1,0
0.9058685,-0.4689333,0,0
4.1700454,-3.652086,0,0
2.124185,-1.6614643,0,0
-1.0566821,1.1481842,1,0
2.9740343,-2.42375,0,0
1.3153415,-0.84738606,0,0
4.268877,-3.7493272,0,0
-2.3897705,2.3623302,1,0
-3.1391816,3.0245733,1,0
-1.9365182,1.9935796,1,0
-2.3983736,2.2014608,1,0
2.9074657,-2.4691634,0,0
4.0321345,-3.5018244,0,0
2.937746,-2.2937722,0,0
4.2132897,-3.5890248,0,0
4.2212987,-3.7095015,0,0
-3.3647451,3.2858162,1,0
4.399621,-3.792675,0,0
3.711468,-3.4312873,0,0
1.5340184,-1.295173,0,0
3.0137522,-2.4230478,0,0
-3.2163138,3.1499274,1,0
-3.1242337,3.0012302,1,0
-2.43107,2.4672563,1,0
0.5686237,-0.33377373,0,0
-3.3974407,3.3299289,1,0
-3.0819664,3.0332346,1,0
4.482411,-3.8209248,0,0
3.5190532,-3.0080137,0,0
1.8991883,-1.4340693,0,0
-3.381643,3.3179102,1,0
1.3271296,-0.60245657,0,0
4.3238263,-3.8762472,0,0
1.4908538,-1.2184438,0,0
4.2168,-3.7355297,0,0
3.9883547,-3.500492,0,0
4.1320834,-3.6305985,0,0
4.0146594,-3.4882495,0,0
-3.2455049,3.1394,1,0
-3.2807016,3.1772804,1,0
-2.836969,2.75283,1,0
-2.330257,2.2001166,1,0
0.6430761,-0.21842237,0,0
-2.834404,2.666531,1,0
3.5434964,-3.1072688,0,0
4.2324514,-3.7273045,0,0
0.9349106,-0.5874675,0,0
3.5227413,-3.0817502,0,0
2.8591309,-2.5198827,0,0
4.337336,-3.7772706,0,0
4.36457,-3.7806735,0,0
3.509023,-3.044427,0,0
3.4884095,-2.975253,0,0
3.650785,-3.116249,0,0
3.2230303,-2.6643672,0,0
-2.8302732,2.7408395,1,0
-2.9615612,2.8919132,1,0
3.5249462,-2.9756472,0,0
2.0539172,-1.7237606,0,0
4.400408,-3.8380342,0,0
3.8269367,-3.282374,0,0
2.9458938,-2.4017124,0,0
4.155382,-3.5905275,0,0
4.28093,-3.7229311,0,0
4.024813,-3.5495293,0,0
-2.6360211,2.5794249,1,0
4.037599,-3.5364385,0,0
4.0306754,-3.505482,0,0
3.9869862,-3.515067,0,0
4.2211113,-3.809515,0,0
3.6395721,-3.1264896,0,0
-0.35364896,0.41689575,1,0
2.9947693,-2.477091,0,0
4.4313693,-3.8556535,0,0
-2.8591995,2.806415,1,0
-3.2523117,3.1952157,1,0
4.1651382,-3.473555,0,0
-3.1431837,3.0982203,1,0
2.7737906,-2.0484033,0,0
-3.153852,3.0951428,1,0
-2.744573,2.715127,1,0
4.023617,-3.3633623,0,0
-3.2267241,3.15479,1,0
-0.95695835,0.7578395,1,0
-3.1536427,3.0689855,1,0
3.9649715,-3.2851849,0,0
4.371562,-3.9008055,0,0
4.501119,-3.9309454,0,0
4.075248,-3.5132592,0,0
4.308952,-3.808154,0,0
2.740654,-2.0013196,0,0
3.7405066,-3.2874482,0,0
4.160133,-3.7451775,0,0
