undermine_score,support_score,predict_label,gold
-3.3382673,3.2794604,1,0
-2.729544,2.675878,1,0
-0.28357935,0.5374087,1,0
3.7196212,-3.2279587,0,0
1.2001317,-0.7085417,0,0
-0.28357935,0.5374087,1,0
-0.86440355,0.8964071,1,0
3.0908394,-2.7256474,0,0
-3.1684997,3.1193414,1,0
4.169149,-3.5555537,0,0
4.1005607,-3.5463424,0,0
4.0098314,-3.404481,0,0
3.5917692,-3.0857904,0,0
-3.0218062,2.977212,1,0
-2.8420076,2.804986,1,0
4.104551,-3.5828276,0,0
-3.0751662,3.022635,1,0
-2.993991,2.9497209,1,0
3.5360308,-2.9079,0,0
3.4306152,-2.7180853,0,0
-3.073244,2.9121194,1,0
3.6793723,-3.1567464,0,0
-3.2445116,3.173613,1,0
-3.027738,2.9370608,1,0
-3.2669983,3.1822543,1,0
3.5931675,-3.0950856,0,0
-3.3881779,3.3096862,1,0
-3.37463,3.2970414,1,0
-3.3791528,3.3421707,1,0
0.23516104,-0.0337148,0,0
-3.447014,3.387178,1,0
4.262361,-3.7853172,0,0
-2.8808222,2.7324166,1,0
-3.427107,3.3658752,1,0
4.1093607,-3.7408807,0,0
-3.3376575,3.2597642,1,0
2.7856886,-2.4369404,0,0
-3.3139482,3.266864,1,0
4.019377,-3.5932875,0,0
-0.06122754,0.2174938,1,0
4.4328256,-3.8036373,0,0
3.189815,-2.510316,0,0
-0.10931457,0.6551158,1,0
-3.074017,3.004943,1,0
-0.6922491,0.9385082,1,0
-2.2112765,2.2271712,1,0
-3.4672909,3.3820057,1,0
-3.4972844,3.4178824,1,0
4.3722205,-3.6984878,0,0
4.1373763,-3.6356626,0,0
-1.8985226,2.0412178,1,0
-3.286505,3.2254567,1,0
-3.4105554,3.3385313,1,0
-3.4383998,3.3808384,1,0
-3.014803,2.874892,1,0
-2.3409986,2.2698803,1,0
-0.759165,0.7511254,1,0
3.3951924,-3.2109423,0,0
0.3855834,-0.27654898,0,0
3.0102396,-2.851446,0,0
3.733185,-3.1850038,0,0
-3.3284101,3.2488775,1,0
-3.2684782,3.1141915,1,0
-3.3002722,3.2008317,1,0
3.2423005,-2.8826437,0,0
-3.005559,2.9417288,1,0
-3.243005,3.171313,1,0
2.4771523,-1.9148034,0,0
0.7054472,-0.3736948,0,0
-1.9983523,2.079018,1,0
4.4428773,-3.8201566,0,0
-3.2606037,3.1996682,1,0
-3.3139868,3.2423196,1,0
-3.3329468,3.2719555,1,0
-1.8390971,1.8307816,1,0
4.2989163,-3.7395368,0,0
-3.0496707,2.997623,1,0
-1.5479114,1.6446831,1,0
2.2411282,-1.6014198,0,0
-3.1621048,3.1007342,1,0
-3.1934657,3.1174965,1,0
-3.279057,3.1972837,1,0
3.5510492,-3.2395513,0,0
3.5734487,-3.322869,0,0
0.7159731,-0.40131146,0,0
0.44176638,-0.1680199,0,0
2.548627,-2.260592,0,0
1.8240018,-1.3673042,0,0
-3.1278343,3.0519245,1,0
-0.69959766,0.7237626,1,0
3.2799914,-2.890303,0,0
2.156136,-1.7520703,0,0
0.32437748,-0.13640848,0,0
-3.175367,3.0921664,1,0
-2.9638214,2.878423,1,0
3.724897,-3.3845181,0,0
-2.251352,2.1550086,1,0
-3.1671634,3.1391985,1,0
-3.270275,3.2158523,1,0
4.3397403,-3.7116468,0,0
