undermine_score,support_score,predict_label,gold
0.43160367,-0.062046833,0,0
-0.2920424,0.70819634,1,0
0.24745257,-0.03229341,0,0
-1.2385652,1.664096,1,0
0.63918406,-0.7047274,0,0
0.76510966,-0.17430206,0,0
1.8779696,-1.6298169,0,0
1.0406712,-0.5003857,0,0
1.621009,-1.02291,0,0
2.2395914,-1.8486764,0,0
3.1802115,-2.7466857,0,0
1.5188203,-1.2127541,0,0
2.151503,-1.6913745,0,0
-0.044110965,-0.028164953,1,0
-1.2846732,1.362139,1,0
-3.3639736,3.3034577,1,0
1.7386986,-1.6242796,0,0
-2.6207552,2.8121586,1,0
0.6533221,-0.54064304,0,0
1.885603,-1.1619114,0,0
1.4409671,-1.1916687,0,0
-1.1231009,1.1565815,1,0
2.9603264,-2.6532438,0,0
-0.08352262,-0.12163501,0,0
2.4983687,-2.0007668,0,0
-0.9484381,1.1918386,1,0
-1.3368113,1.4100888,1,0
-3.570228,3.2993221,1,0
-3.5832515,3.3624263,1,0
1.4076296,-1.4927026,0,0
3.279439,-2.6667652,0,0
-2.2485886,2.4372983,1,0
-2.271029,2.3359737,1,0
-2.6167493,2.4305987,1,0
-2.812252,3.081869,1,0
0.7911068,-1.0705124,0,0
0.28719297,-0.53869975,0,0
3.1460655,-2.9372797,0,0
1.335218,-1.2152394,0,0
-1.7645129,2.0635211,1,0
0.0370925,-0.151352,0,0
0.19267696,0.18523626,0,0
-3.530453,3.3237462,1,0
-3.366568,3.1201153,1,0
-3.4692316,3.3467386,1,0
-1.2471501,1.4113598,1,0
2.846961,-3.0284421,0,0
-1.0479339,1.1243209,1,0
3.2362049,-3.1407256,0,0
-0.77553606,0.65823793,1,0
2.2026973,-1.4331411,0,0
1.8207843,-1.3168458,0,0
0.014807071,-0.3268754,0,0
2.0260522,-1.43634,0,0
2.54736,-2.6261427,0,0
0.3396099,0.08329115,0,0
-0.3724354,0.9126777,1,0
1.882021,-1.644421,0,0
-0.60885584,1.1325212,1,0
1.9490832,-1.4743928,0,0
-1.5665988,1.6676832,1,0
3.0041184,-2.3455086,0,0
0.5238836,-0.41636333,0,0
-2.4956675,2.8031645,1,0
-0.60982955,1.1223302,1,0
-2.0392623,2.0992289,1,0
-0.12701246,0.18845962,1,0
1.6093618,-1.2945629,0,0
-0.063127495,0.40112045,1,0
-3.4767957,3.3190718,1,0
3.1963,-2.5200315,0,0
-2.351657,2.6547096,1,0
0.026987335,-0.14315797,0,0
1.7059213,-1.5789169,0,0
-1.4669467,1.4979453,1,0
2.736885,-2.2383726,0,0
-3.5155096,3.3840432,1,0
2.2158418,-2.1694846,0,0
0.37665558,0.29919037,0,0
1.1946679,-0.9327978,0,0
-0.29950458,0.6675346,1,0
2.6979132,-2.8852103,0,0
-3.4826581,3.3697748,1,0
-2.6456223,2.8195865,1,0
3.2420273,-3.2602353,0,0
3.2725086,-3.170144,0,0
-2.146454,2.4505808,1,0
3.046773,-3.4733605,0,0
