undermine_score,support_score,predict_label,gold
-2.729544,2.675878,1,0
-2.883945,2.8442984,1,0
1.2001317,-0.7085417,0,0
-3.1684997,3.1193414,1,0
4.337812,-3.7564325,0,0
-3.1015716,3.047389,1,0
4.104551,-3.5828276,0,0
-3.0751662,3.022635,1,0
-3.290397,3.2255554,1,0
3.5360308,-2.9079,0,0
3.4306152,-2.7180853,0,0
2.6270473,-2.1329136,0,0
2.6286733,-2.0146148,0,0
-3.2445116,3.173613,1,0
-3.027738,2.9370608,1,0
-3.2669983,3.1822543,1,0
3.328709,-2.980465,0,0
-3.37463,3.2970414,1,0
-0.43756032,0.7831776,1,0
-3.427107,3.3658752,1,0
3.1156788,-2.666537,0,0
-3.3767238,3.328126,1,0
4.2056603,-3.60676,0,0
3.7654536,-3.2821002,0,0
4.4328256,-3.8036373,0,0
3.996203,-3.3925867,0,0
-3.2063663,3.1971006,1,0
-3.4705133,3.3906825,1,0
-3.4957428,3.4209805,1,0
0.11455572,0.19499707,1,0
4.0312357,-3.5681438,0,0
-1.8985226,2.0412178,1,0
-3.455323,3.3845758,1,0
-3.4105554,3.3385313,1,0
-3.4383998,3.3808384,1,0
0.3855834,-0.27654898,0,0
1.3153415,-0.84738606,0,0
3.733185,-3.1850038,0,0
-2.3897705,2.3623302,1,0
-3.243005,3.171313,1,0
2.4771523,-1.9148034,0,0
-1.9983523,2.079018,1,0
-3.2606037,3.1996682,1,0
-3.3139868,3.2423196,1,0
-3.3329468,3.2719555,1,0
-1.8390971,1.8307816,1,0
4.2212987,-3.7095015,0,0
-1.5479114,1.6446831,1,0
2.2411282,-1.6014198,0,0
3.5510492,-3.2395513,0,0
3.5734487,-3.322869,0,0
2.8884249,-2.5214658,0,0
0.0775314,0.10478356,1,0
3.7735133,-3.385098,0,0
3.724897,-3.3845181,0,0
-3.1671634,3.1391988,1,0
-3.2702746,3.2158525,1,0
4.400245,-3.7163434,0,0
-3.1522708,3.0953102,1,0
-3.2314072,3.1752987,1,0
-3.3033905,3.2241788,1,0
4.405496,-3.7714777,0,0
1.3241572,-0.8160021,0,0
-3.3402352,3.2589593,1,0
-3.3232923,3.264885,1,0
1.7462718,-1.4331676,0,0
2.4247906,-2.0458941,0,0
-2.3103487,2.3476992,1,0
-3.2372768,3.2044654,1,0
-3.3383284,3.3021064,1,0
4.218109,-3.739471,0,0
-3.1115146,3.041726,1,0
-2.828802,2.7419972,1,0
-3.1179147,3.030961,1,0
3.468074,-2.8650708,0,0
3.8957953,-3.3877163,0,0
-3.4010468,3.3301535,1,0
3.642365,-3.1390152,0,0
-3.0819664,3.0332346,1,0
2.9750526,-2.428595,0,0
-2.0257983,2.0600073,1,0
-0.49506757,0.5481788,1,0
4.296351,-3.738264,0,0
-3.4413633,3.3748405,1,0
4.3717723,-3.7310672,0,0
4.031755,-3.3841743,0,0
1.6340151,-1.3454623,0,0
4.286695,-3.7099962,0,0
-3.3259127,3.254114,1,0
-3.3492975,3.265418,1,0
-0.83221895,0.83826286,1,0
4.052071,-3.5355494,0,0
4.4205117,-3.8454964,0,0
3.399149,-2.9705706,0,0
4.2818184,-3.7613025,0,0
4.3238263,-3.8762472,0,0
1.4908538,-1.2184438,0,0
3.8170602,-3.2435954,0,0
3.9883547,-3.500492,0,0
4.3593163,-3.8376093,0,0
4.0146594,-3.4882495,0,0
-0.4046717,0.5751089,1,0
