undermine_score,support_score,predict_label,gold
-5.462558,8.178183,1,0
-5.64756,8.411349,1,1
8.459325,-7.760164,0,0
4.3607197,-2.7579577,0,0
4.862767,-3.3120565,0,0
4.2330756,-2.6120384,0,0
4.695032,-3.077996,0,0
-3.0073204,5.288008,1,0
4.695032,-3.077996,0,0
8.3405485,-7.5442657,0,0
1.2599415,0.55090755,0,0
-5.7143383,8.503997,1,0
-5.6774836,8.461731,1,0
8.180678,-7.345413,0,1
-5.6803155,8.442669,1,1
1.6919419,0.00840212,0,1
13.302911,-13.668382,0,1
-0.06815865,2.031957,1,1
-5.301885,8.038749,1,1
12.058927,-12.216882,0,1
-5.538365,8.30293,1,1
-5.760017,8.536688,1,0
7.383872,-6.3397107,0,0
-5.757679,8.538283,1,0
-5.7571683,8.533696,1,0
5.0108533,-3.4332278,0,0
8.193412,-7.3845167,0,0
7.6189566,-6.582905,0,0
7.256094,-6.209891,0,0
5.8179607,-4.4517245,0,0
4.848053,-3.2547562,0,0
12.486766,-12.720124,0,1
12.462382,-12.720832,0,1
9.836487,-9.374124,0,1
1.7859466,-0.24798436,0,1
7.349732,-6.469345,0,1
5.507453,-4.024753,0,1
-5.150266,7.8629065,1,1
6.0471206,-4.7759557,0,1
14.182248,-14.599891,0,1
14.2705765,-14.714416,0,1
12.860517,-13.11665,0,1
14.370551,-14.79102,0,1
-5.4220915,4.2062593,1,0
4.52407,-2.906189,0,0
5.3340816,-3.870092,0,0
-1.2527921,3.038592,1,0
4.777463,-3.201718,0,0
3.633992,-1.999963,0,1
4.334608,-2.7400296,0,1
5.6743507,-4.239431,0,1
4.080427,-2.4805255,0,0
4.5670853,-2.9501202,0,0
4.3019857,-2.7216465,0,0
7.715689,-6.79052,0,0
-5.475783,8.22071,1,1
6.1459403,-4.8181143,0,0
4.6423645,-3.0301964,0,0
6.554147,-5.309094,0,0
7.2600775,-6.7871766,0,0
7.5314283,-7.1637263,0,0
-4.1354756,6.4391108,1,1
4.57003,-3.4194217,0,0
2.0186584,-0.6566665,0,0
7.1708164,-6.6689353,0,1
7.6288333,-7.198328,0,0
-4.712302,7.0273414,1,0
-4.6612396,6.845586,1,0
-4.079298,5.957271,1,0
8.161088,-8.117334,0,0
6.0229325,-5.4028525,0,0
12.509414,-13.121091,0,0
11.115579,-11.715304,0,0
5.559778,-4.8531795,0,0
-5.7553363,8.510809,1,1
6.637264,-5.5572557,0,1
-5.4431906,8.133574,1,1
-5.641148,8.379528,1,1
-5.69783,8.453193,1,0
7.2481318,-6.4276214,0,0
-5.7071037,8.449958,1,0
3.5703099,-2.009939,0,0
-5.411255,8.157016,1,0
4.002863,-2.3599317,0,0
6.5459123,-5.322457,0,0
5.3755674,-3.9744413,0,0
-4.2997813,6.809473,1,0
4.9773664,-3.561167,0,1
5.5344396,-4.2361593,0,1
-5.4036827,8.148572,1,0
-5.716221,8.47477,1,0
-5.610737,8.335518,1,0
5.8591337,-4.5759435,0,0
3.4112914,-1.882576,0,0
-5.731283,8.4914255,1,1
-4.948354,7.5907354,1,1
14.266161,-14.680607,0,1
-4.26412,6.834494,1,1
2.0776162,-0.5478757,0,1
-0.65274304,2.6353858,1,1
7.1159396,-6.1469064,0,0
5.908225,-4.557871,0,0
5.720157,-4.355806,0,0
-2.9550583,5.258554,1,0
-4.7198105,7.3505588,1,0
5.230008,-3.781734,0,0
14.277822,-14.719523,0,1
14.147725,-14.581478,0,1
13.989627,-14.414284,0,1
4.98686,-3.489203,0,0
8.462969,-7.7362924,0,0
4.7150497,-3.3120272,0,0
5.5356064,-4.093099,0,0
9.061915,-8.467444,0,0
7.379757,-6.7183914,0,0
14.251342,-14.673911,0,1
7.905793,-7.1105003,0,1
7.275616,-6.2640767,0,1
4.863657,-3.4222143,0,0
8.39775,-7.703959,0,0
3.2008474,-1.7093707,0,0
9.088302,-8.471824,0,0
9.8581915,-9.48842,0,0
8.72326,-8.052865,0,0
6.773783,-5.6148562,0,0
11.28995,-11.487386,0,0
4.515403,-2.9767733,0,0
11.000719,-11.077793,0,0
5.248116,-3.716729,0,0
8.287091,-7.5167255,0,0
8.439998,-7.665858,0,0
12.213769,-12.41841,0,0
7.9693985,-7.073526,0,0
5.4665513,-4.012612,0,0
10.193505,-9.897144,0,0
2.741669,-1.1397338,0,0
7.594675,-7.098031,0,1
13.701128,-14.125518,0,1
-5.2882547,7.9675193,1,1
6.497424,-5.2432895,0,0
-5.5567145,8.318715,1,0
10.189543,-9.953244,0,1
14.205095,-14.626586,0,1
6.9835463,-6.207375,0,1
7.131259,-6.155629,0,1
-5.5413465,8.27004,1,1
4.959991,-3.3866313,0,0
9.580737,-9.132095,0,0
7.2031393,-6.087953,0,0
8.931417,-8.355156,0,0
14.110112,-14.54716,0,0
