undermine_score,support_score,predict_label,gold
-2.0743132,2.212771,1,0
0.41328907,-0.049956314,0,1
0.2527108,0.2747241,1,0
1.0796926,-0.6413043,0,0
1.4889166,-0.9576189,0,0
1.3953005,-1.0448304,0,0
2.4372659,-1.8919448,0,0
1.0292932,-0.8437434,0,0
1.0686582,-0.82860243,0,0
1.7426817,-1.6066673,0,0
2.7847204,-2.1495452,0,0
-0.74147654,0.48535854,1,0
0.17691875,-0.52307373,0,0
3.067205,-2.4156291,0,1
1.632296,-1.3445996,0,1
0.5192565,-0.5053097,0,1
1.5755974,-1.394556,0,1
2.4052684,-1.8569657,0,1
0.8762051,-0.68807673,0,1
1.1960744,-1.02098,0,1
1.7261119,-1.5362861,0,1
2.4804966,-2.2666142,0,0
0.75172657,-0.48103854,0,0
0.77597106,-0.66876495,0,0
2.4030204,-2.196004,0,0
0.73834556,-0.6632868,0,0
0.03810775,0.122662656,1,0
0.50606775,-0.31550455,0,0
1.9006704,-1.5742501,0,0
2.0035431,-1.5594124,0,0
2.6699889,-2.024046,0,0
2.4834127,-2.0924664,0,1
2.6232452,-1.9766543,0,1
2.1066175,-1.5904778,0,1
1.2145953,-0.8826213,0,1
1.4768125,-1.2128246,0,1
1.275708,-0.97403806,0,1
2.8885374,-2.144356,0,1
2.3602247,-1.7058018,0,1
2.8161154,-2.2975938,0,1
3.1503937,-2.6572075,0,1
3.188424,-2.6066735,0,1
3.1260052,-2.4933019,0,1
-2.9049888,2.5153158,1,0
1.9773743,-1.5799061,0,0
1.8006916,-1.5418514,0,0
1.473169,-1.0517861,0,0
2.8560274,-2.397568,0,0
2.1548173,-1.4754514,0,1
2.9751534,-2.374596,0,1
2.3098886,-1.7913454,0,1
2.2660675,-2.1555576,0,0
-0.050990712,0.22914372,1,0
2.5196924,-2.131975,0,0
1.3099924,-0.9150413,0,0
3.1439788,-2.72574,0,1
2.5591798,-1.830232,0,0
1.8641782,-1.1517686,0,0
2.079663,-1.5703152,0,0
-0.57693195,0.6170526,1,0
0.93743694,-0.61727285,0,0
1.723365,-1.2044365,0,1
1.9069611,-1.8779103,0,0
-2.0780773,2.1359358,1,0
0.5984534,-0.84751356,0,1
2.6666975,-2.341887,0,0
2.4975896,-2.1896496,0,0
2.9885726,-2.2786374,0,0
2.3288589,-1.8355147,0,0
-0.018961692,0.03337061,1,0
-1.0085698,0.8895216,1,0
2.2868114,-2.2536678,0,0
1.806209,-1.2052388,0,0
2.5490127,-2.2101994,0,0
2.5623221,-1.9404272,0,1
0.64538926,-0.1869012,0,1
2.634746,-1.9712929,0,1
3.0409503,-2.4312632,0,1
2.7372022,-2.1503558,0,0
2.5211153,-1.871484,0,0
1.8700514,-1.1972378,0,0
1.2304937,-0.8860376,0,0
1.9612188,-1.3686346,0,0
1.4922514,-1.441837,0,0
1.661404,-1.502603,0,0
1.2838942,-1.2430965,0,0
2.469441,-1.8854328,0,0
2.320627,-1.718897,0,1
2.3033023,-1.8901801,0,1
2.3240786,-1.6474866,0,0
1.7574865,-1.0871316,0,0
2.8435106,-2.133063,0,0
-2.7605903,2.7731056,1,0
-3.0184267,2.904142,1,0
3.264926,-2.8827424,0,1
3.4848006,-3.100514,0,1
3.4273758,-3.0809855,0,1
2.5385032,-1.8117472,0,1
2.5708501,-2.0383024,0,1
2.618934,-2.0658035,0,1
0.9936495,-0.8408431,0,0
3.1507525,-2.5543065,0,0
0.65747947,-0.81175286,0,0
-2.2363288,2.134963,1,0
-2.8169649,2.5657403,1,0
-0.30344975,0.29228818,1,0
3.3597255,-2.6728098,0,1
3.1145892,-2.7168405,0,1
3.1599994,-2.5225906,0,1
-3.1454072,3.0998797,1,0
-2.7787418,2.8110497,1,0
-1.5063512,1.7454647,1,0
0.24239893,-0.31578764,0,0
-0.43530956,0.19461606,1,0
2.376103,-2.0968542,0,0
3.0714562,-2.7663538,0,1
0.5244273,-0.64183927,0,1
0.5744818,-0.8540273,0,1
-3.1663969,3.2020764,1,0
-2.8500805,2.8711424,1,0
-3.2208128,3.1640196,1,0
1.9697398,-1.8164726,0,0
2.9483366,-2.7579236,0,0
3.266776,-2.5416389,0,0
-0.55654824,0.385764,1,0
-2.9771194,3.060221,1,0
-0.88957906,0.8992622,1,0
-3.2527604,3.2724977,1,0
-2.763803,2.8336732,1,0
-2.7693431,2.7117605,1,0
0.43209153,-0.14784688,0,0
-2.086974,2.29673,1,0
1.929243,-1.7576025,0,0
0.025590694,-0.25052378,0,0
2.0471568,-1.8747964,0,0
-1.261212,1.2628629,1,0
3.0601153,-2.3781645,0,1
3.0899758,-2.2481823,0,1
-0.7166772,0.9705949,1,1
2.3939822,-2.1510742,0,0
-0.57438457,0.47243404,1,0
3.2116961,-2.7948093,0,1
3.353897,-3.0675764,0,1
3.297689,-2.718213,0,1
3.3172364,-2.6195092,0,1
-3.0096085,3.022729,1,1
-3.2288632,3.2834325,1,0
-1.7538903,1.740088,1,0
-2.7093809,2.5377645,1,0
0.7207967,-0.7374301,0,0
2.659996,-1.9775277,0,0
3.4522018,-2.9893773,0,0
-1.0693364,0.8314128,1,0
-2.4741855,2.2929082,1,0
3.0568244,-2.433917,0,1
2.444582,-2.4609938,0,1
3.3170767,-2.6913652,0,1
2.6067605,-2.4354687,0,1
3.437756,-2.8446705,0,0
3.4428113,-2.8564048,0,0
3.2361844,-2.7582178,0,1
-2.0079489,1.732947,1,0
-2.0104957,2.0245557,1,0
-1.5785958,1.3889086,1,1
-0.19622442,0.11909549,1,1
-1.0926241,0.90806425,1,1
-1.5811173,1.3139043,1,1
-1.2610883,1.1952469,1,0
-0.69662106,0.5534694,1,0
-0.56505704,0.40753794,1,0
-1.5770794,1.4891297,1,0
-1.8207449,1.7260152,1,0
-2.5074065,2.107885,1,0
0.9095818,-1.0875152,0,0
0.6955175,-1.0071733,0,1
-0.5882921,0.3129813,1,1
1.7785394,-1.2916988,0,0
1.4211911,-1.3086618,0,0
0.8891462,-0.8038592,0,0
2.7117386,-2.431294,0,0
