undermine_score,support_score,predict_label,gold
-3.1416888,3.089931,1,0
2.6027622,-2.200577,0,1
1.2935519,-1.0645941,0,0
-2.9660099,2.8830113,1,0
1.8275183,-1.516592,0,0
4.258034,-3.7950356,0,0
4.320724,-3.8291788,0,0
4.286852,-3.7811532,0,0
4.320724,-3.8291788,0,0
4.2759957,-3.8076565,0,0
4.215245,-3.763142,0,0
4.3029428,-3.8063483,0,0
4.305474,-3.8159435,0,0
4.226204,-3.7742846,0,1
4.207763,-3.786666,0,1
4.2304964,-3.8102708,0,1
4.13945,-3.727923,0,1
4.207763,-3.786666,0,1
4.290068,-3.836565,0,1
4.1103544,-3.7619653,0,1
4.22364,-3.7640965,0,1
4.367607,-3.8013258,0,0
3.8750205,-3.5924406,0,0
4.12963,-3.7496858,0,0
4.355951,-3.7953203,0,0
4.089603,-3.6602683,0,0
3.9378178,-3.6034107,0,0
4.044681,-3.5953488,0,0
4.221638,-3.738689,0,0
3.6918364,-3.4569244,0,0
3.716022,-3.422443,0,0
4.2278543,-3.7061677,0,1
4.015521,-3.5731862,0,1
4.0908012,-3.6353202,0,1
3.576327,-3.2307968,0,1
4.0935717,-3.6197915,0,1
3.3884315,-2.8725276,0,1
3.8609054,-3.4496298,0,1
3.5333524,-3.1761003,0,1
4.1623335,-3.6872602,0,1
4.3690224,-3.8281686,0,1
4.1784625,-3.716153,0,1
4.2401614,-3.7271867,0,1
-2.6697936,2.6085968,1,0
3.6801074,-3.3004606,0,0
3.0776367,-2.7929637,0,0
2.4363506,-2.0740986,0,0
3.930521,-3.4390578,0,0
4.250557,-3.7996886,0,1
3.8633642,-3.5078003,0,1
3.2428625,-2.9067268,0,1
4.2267027,-3.7364933,0,0
3.0433314,-2.6401095,0,0
4.0968294,-3.5930817,0,0
4.213836,-3.7522976,0,0
2.1309593,-1.6596717,0,1
3.499319,-3.13245,0,0
3.5028107,-3.2889624,0,0
3.5227053,-3.1336336,0,0
3.2529817,-2.8637872,0,0
3.4605951,-3.1269946,0,0
2.4641104,-1.9177692,0,1
4.1242213,-3.6481028,0,0
3.2966654,-2.9728985,0,0
-1.968527,2.0056448,1,1
3.8102365,-3.3641129,0,0
4.111539,-3.7458434,0,0
3.9130263,-3.5784156,0,0
3.7900758,-3.3665228,0,0
-2.6372044,2.406216,1,0
3.847579,-3.4569802,0,0
-3.046556,3.0081322,1,0
-3.0444846,2.9212575,1,0
1.7856884,-1.4591349,0,0
3.6496797,-3.283926,0,1
4.202734,-3.75895,0,1
4.2112575,-3.7104404,0,1
4.252856,-3.7594051,0,1
4.1740546,-3.7542117,0,0
3.4810097,-3.2102013,0,0
-3.4564996,3.410842,1,0
-3.2617002,3.1808143,1,0
-3.3849306,3.316054,1,0
4.21803,-3.7096581,0,0
3.6307976,-3.2083545,0,0
4.222444,-3.7890496,0,0
-3.3383164,3.2549667,1,0
3.8841572,-3.4726353,0,1
4.2149053,-3.7529993,0,1
4.190541,-3.6718495,0,0
0.012972277,0.4113431,1,0
4.2911468,-3.738984,0,0
2.4754093,-2.1128385,0,0
3.5290375,-3.0749812,0,0
4.082093,-3.5158262,0,1
4.4052215,-3.8193743,0,1
4.2056603,-3.60676,0,1
4.1158633,-3.6063375,0,1
4.0920696,-3.6649668,0,1
4.0735292,-3.6235507,0,1
4.198607,-3.6153448,0,0
1.4955604,-1.1806598,0,0
4.135513,-3.592029,0,0
3.6530316,-3.2010021,0,0
3.512922,-3.0012343,0,0
4.0528445,-3.5774183,0,0
4.2372565,-3.692592,0,1
4.2235427,-3.6844907,0,1
4.2703266,-3.7738688,0,1
2.720097,-2.426197,0,0
3.7787814,-3.3628964,0,0
3.1169984,-2.7554147,0,0
3.9381747,-3.4170418,0,0
3.8731942,-3.3811626,0,0
3.9629598,-3.4570975,0,0
3.9480543,-3.3554916,0,1
3.7655287,-3.4173193,0,1
1.2200552,-0.8464493,0,1
3.846219,-3.4264894,0,0
3.7712543,-3.3498743,0,0
3.139934,-2.7878046,0,0
4.1277184,-3.466627,0,0
4.3080626,-3.668587,0,0
4.224871,-3.6084006,0,0
3.9908328,-3.4960825,0,0
2.5531144,-1.9158806,0,0
3.613253,-3.128082,0,0
3.369255,-2.9025252,0,0
3.870718,-3.382937,0,0
3.6156,-3.1773486,0,0
4.3056827,-3.6927962,0,0
4.1165595,-3.5871942,0,0
3.9230945,-3.3134751,0,0
3.1797912,-2.563055,0,0
3.6591234,-2.9530907,0,0
3.5997949,-3.0449367,0,0
4.1421156,-3.6705134,0,1
4.169558,-3.7272906,0,1
3.8901186,-3.4360337,0,1
3.8220794,-3.2046428,0,0
3.8400195,-3.3458285,0,0
4.1796927,-3.6350374,0,1
4.017232,-3.5827427,0,1
4.267001,-3.6657522,0,1
4.073089,-3.5438118,0,1
3.9351788,-3.4497685,0,1
0.37483448,-0.031030482,0,0
3.7226257,-3.1699781,0,0
3.7353659,-3.354467,0,0
4.143892,-3.6702747,0,0
3.9722342,-3.5591276,0,0
4.3630605,-3.7613034,0,0
3.8220408,-3.4179106,0,0
3.8576937,-3.2943454,0,0
4.042435,-3.4517317,0,1
4.347198,-3.8027515,0,1
3.9748826,-3.4435306,0,1
3.3938413,-2.893991,0,1
4.329909,-3.6696024,0,0
4.346185,-3.7434049,0,0
