undermine_score,support_score,predict_label,gold
-3.1915843,3.1414475,1,0
-3.2879074,3.22618,1,1
2.257998,-1.8656799,0,0
-1.9257617,1.7597531,1,0
3.413467,-2.9278488,0,0
3.8791463,-3.5155225,0,0
4.278835,-3.8158913,0,0
0.6325274,-0.4268324,0,0
4.278835,-3.8158913,0,0
4.324045,-3.8043034,0,0
3.5794487,-2.9589343,0,0
-2.83474,2.7677286,1,0
-3.2749617,3.19175,1,0
3.5821645,-3.1712697,0,1
0.8031327,-0.43648756,0,1
2.3898988,-1.8174939,0,1
3.2328753,-2.7931082,0,1
0.72507596,-0.6415561,0,1
-0.86440355,0.8964071,1,1
4.3797235,-3.866512,0,1
-3.1684997,3.1193414,1,1
-3.3035498,3.240332,1,0
4.3928876,-3.8261628,0,0
-3.0973005,3.0345736,1,0
-3.2902632,3.2268515,1,0
3.976646,-3.586699,0,0
4.2673445,-3.7316957,0,0
3.7912717,-3.253776,0,0
4.346828,-3.8260949,0,0
4.247885,-3.7403069,0,0
4.4602304,-3.8127637,0,0
4.169149,-3.5555537,0,1
4.1005607,-3.5463424,0,1
4.0098314,-3.404481,0,1
-3.0218062,2.977212,1,1
4.0262437,-3.48228,0,1
4.134162,-3.6241014,0,1
-3.0751662,3.022635,1,1
-3.0542989,3.0238996,1,1
3.5360308,-2.9079,0,1
3.4306152,-2.7180853,0,1
2.6270473,-2.1329136,0,1
2.6286733,-2.0146148,0,1
-3.2732835,3.205593,1,0
4.2546525,-3.8301344,0,0
4.3343563,-3.7493882,0,0
-3.059673,2.9814644,1,0
4.35224,-3.8269658,0,0
3.9787562,-3.5581064,0,1
4.381396,-3.8080513,0,1
4.014505,-3.5618248,0,1
4.3201885,-3.8227549,0,0
4.405284,-3.8812182,0,0
4.4397674,-3.9007487,0,0
4.4337583,-3.7915955,0,0
-3.37463,3.2970414,1,1
4.0726466,-3.6240854,0,0
-1.8234057,1.8512527,1,0
4.281241,-3.7187614,0,0
4.1371045,-3.608335,0,0
4.1722317,-3.5809488,0,0
-3.3712406,3.332284,1,1
4.374994,-3.8340375,0,0
4.169339,-3.6639907,0,0
-1.9864318,2.0252194,1,1
3.8209634,-3.2820435,0,0
-3.009336,2.8987205,1,0
-1.3719101,1.3061539,1,0
-3.249208,3.1694074,1,0
-3.1588326,3.0818644,1,0
1.9151208,-1.4675148,0,0
2.459974,-1.9225789,0,0
-2.5396342,2.4892144,1,0
2.9162874,-2.4309092,0,0
-3.447014,3.387178,1,1
-3.2758543,3.218536,1,1
-2.8808222,2.7324166,1,1
-3.427107,3.3658752,1,1
-3.4478292,3.3950896,1,0
4.065761,-3.5221555,0,0
-3.4345236,3.376875,1,0
4.0250807,-3.6288962,0,0
-2.681676,2.6490655,1,0
4.355763,-3.8283005,0,0
2.7611058,-2.083992,0,0
4.373839,-3.8210099,0,0
0.74070376,-0.59695005,0,0
2.109235,-1.9848197,0,1
4.3077445,-3.8131196,0,1
-3.3486383,3.3018808,1,0
-0.5562893,0.8470128,1,0
-3.3015218,3.2684777,1,0
4.341523,-3.7840934,0,0
-2.633493,2.614962,1,0
-3.458581,3.3880353,1,1
-3.3936539,3.3430972,1,1
4.1658134,-3.6325228,0,1
-2.451506,2.4864416,1,1
-0.06122754,0.2174938,1,1
-3.30063,3.244332,1,1
4.059139,-3.4905996,0,0
4.3981757,-3.7245245,0,0
4.3419585,-3.6988978,0,0
-2.9810004,2.9271047,1,0
-3.0841498,3.03468,1,0
2.9699435,-2.4708996,0,0
4.3078074,-3.7125864,0,1
4.0311503,-3.4220932,0,1
-2.6566896,2.6868424,1,1
4.2768273,-3.7798147,0,0
4.193268,-3.6834855,0,0
3.0155368,-2.472035,0,0
-2.767126,2.7464976,1,0
4.269518,-3.692239,0,0
2.000385,-1.5012151,0,0
-2.1166224,2.5109093,1,1
-2.5526671,2.623208,1,1
4.1700454,-3.652086,0,1
4.0733867,-3.5512824,0,0
4.4079204,-3.7989454,0,0
4.1974964,-3.7493157,0,0
4.3302975,-3.6604626,0,0
4.3720903,-3.7272356,0,0
4.090533,-3.556491,0,0
3.9173086,-3.495169,0,0
3.6579058,-3.0675066,0,0
3.8683832,-3.510561,0,0
2.4208448,-1.9130143,0,0
4.3229823,-3.751228,0,0
