undermine_score,support_score,predict_label,gold
-0.88696456,0.8414327,1,0
-0.8609105,1.3160465,1,1
-1.8227268,2.0885181,1,0
0.65541637,-0.44670764,0,0
2.2531404,-1.9404988,0,0
2.132761,-1.7049804,0,0
-0.8264137,0.7788907,1,0
1.1465043,-0.93319786,0,0
0.49471587,-0.006919988,0,0
2.767982,-2.3386035,0,0
-0.44197893,0.72376883,1,0
-0.93403757,1.104122,1,0
-0.9566467,1.1803356,1,0
2.4029632,-1.9268955,0,1
-0.024780495,0.39957297,1,1
-0.017474834,-0.19780111,0,1
0.61594963,-0.6856152,0,1
-0.6243832,0.54358685,1,1
2.0885925,-1.4232329,0,1
0.75088936,-0.5790237,0,1
-1.2385652,1.664096,1,1
-1.3408806,1.6032305,1,0
3.2797427,-2.9479973,0,0
-0.7882,1.0241934,1,0
-1.3825444,1.6677066,1,0
1.2246836,-1.1765782,0,0
1.6309202,-1.4196657,0,0
1.2397376,-1.101509,0,0
2.738255,-2.436027,0,0
1.9381496,-1.8312618,0,0
2.5502682,-2.4035883,0,0
1.6551362,-1.3138627,0,0
3.1101444,-2.7474523,0,1
2.3892481,-2.017009,0,1
1.9642893,-1.7163748,0,1
2.1458232,-1.628817,0,1
1.9973098,-1.3185704,0,1
2.397595,-2.1472871,0,1
2.2946916,-1.981444,0,1
1.8516718,-1.0950454,0,1
2.0716915,-1.3407134,0,1
2.2395914,-1.8486764,0,1
3.1802115,-2.7466857,0,1
1.5188203,-1.2127541,0,1
2.151503,-1.6913745,0,1
3.4791172,-3.2720594,0,0
1.6306258,-2.091659,0,0
3.0890408,-2.8333147,0,0
2.1567504,-2.094314,0,1
-0.044110965,-0.028164953,1,1
-1.2846732,1.362139,1,1
2.7286081,-2.3434849,0,0
3.1197724,-2.7790403,0,0
3.3069348,-2.7867503,0,0
2.9212608,-2.7925055,0,0
3.3273847,-3.3930511,0,0
2.9919426,-2.8454137,0,0
1.7220463,-1.9221617,0,1
-2.4456117,2.4908319,1,0
3.0062776,-2.5587602,0,0
3.3667288,-3.534445,0,0
-0.07948847,0.07770577,1,0
2.85213,-2.6485014,0,0
1.0189973,-0.72440934,0,1
-0.08756507,-0.09586592,0,1
1.5241727,-1.1816317,0,1
1.603826,-1.463565,0,0
2.3363628,-2.0178711,0,0
0.04999758,-0.070598364,0,0
3.2116733,-2.7926397,0,0
3.3698974,-3.0014985,0,0
-2.6207552,2.8121586,1,1
2.702131,-2.0845416,0,0
1.7802347,-1.0131986,0,0
2.5241783,-2.0314918,0,0
2.8713307,-2.3347323,0,1
2.4147458,-2.4546003,0,0
1.5400075,-1.9904199,0,0
-1.1709172,1.084248,1,1
1.7781893,-1.6071371,0,1
1.5147713,-1.6557268,0,0
3.266656,-3.0835254,0,0
0.12511596,-0.44730684,0,1
1.854159,-1.9459392,0,0
-1.4349762,1.4317328,1,0
-2.6409907,2.53828,1,0
-3.188522,2.8648257,1,0
-2.466514,2.6422064,1,0
-1.5298299,1.4882809,1,0
3.0632586,-2.975256,0,0
2.5368533,-2.2443156,0,0
1.5426098,-1.3729829,0,0
1.2271695,-0.7984781,0,1
-0.67093015,0.81463194,1,1
2.2791662,-2.0108793,0,1
1.885603,-1.1619114,0,1
0.7097478,-0.3862843,0,0
2.415216,-1.8610957,0,0
0.28954926,0.24522747,0,0
2.0628238,-1.5903367,0,0
2.545619,-1.874753,0,0
2.624225,-2.16076,0,0
2.8782206,-2.4133248,0,0
2.9182715,-2.4415991,0,0
2.6934836,-2.2314632,0,0
2.0393677,-1.4611399,0,1
1.6913108,-1.238995,0,1
2.671567,-2.07191,0,1
1.0133462,-0.69156945,0,0
0.14967054,0.2814212,1,0
0.6754917,-0.060234345,0,0
3.4320323,-3.048901,0,0
-3.5376954,3.4979188,1,0
-3.3755198,3.2957318,1,1
-3.198317,3.250048,1,1
3.444625,-3.0458496,0,1
-2.1630054,2.2472796,1,1
-2.704284,2.8188453,1,1
-2.52068,2.663497,1,1
0.7855911,-0.9934747,0,0
3.346574,-3.083363,0,0
3.1481998,-2.7539163,0,0
2.4210079,-2.3901606,0,0
1.8191694,-1.7780154,0,0
0.72758126,-0.88318324,0,0
3.3302965,-2.8005183,0,1
1.2002822,-0.90021074,0,1
1.7095152,-1.627033,0,1
0.6143633,-0.86956555,0,0
1.6422945,-1.6578304,0,0
-1.1826481,1.2266008,1,0
-1.4203519,1.4750473,1,0
2.2769566,-2.2492013,0,0
-1.0295333,0.9545502,1,0
2.8126636,-2.5786319,0,1
2.5965142,-2.4864182,0,1
3.2204852,-2.7375455,0,1
0.02848043,-0.1885473,0,0
3.3041816,-3.33176,0,0
2.2245014,-1.9918776,0,0
3.4223077,-3.1184697,0,0
3.209659,-3.3884096,0,0
2.8592472,-2.355081,0,0
1.7988101,-1.5953484,0,0
2.5545418,-2.3284206,0,0
0.45039743,-0.6018096,0,0
1.9394263,-1.9858725,0,0
1.8014199,-1.8452476,0,0
3.3168902,-3.105104,0,0
2.3446827,-2.3092747,0,0
3.4299088,-3.4712188,0,0
3.3772416,-3.0079026,0,0
2.350154,-2.175757,0,0
3.0074422,-2.6282666,0,0
3.1287131,-2.8806677,0,0
1.0045166,-1.0748967,0,0
0.9642603,-0.7787869,0,1
0.19582833,-0.37222406,0,1
-3.1586444,3.2272995,1,1
-2.7682815,2.688515,1,0
3.4323568,-3.173685,0,0
0.95075893,-1.0414768,0,0
2.2918103,-2.2642555,0,1
2.901865,-2.7494767,0,1
0.6866889,-0.9875195,0,1
1.5459348,-1.340451,0,1
-3.6101637,3.4989715,1,1
2.8014975,-2.4672291,0,0
2.0028703,-1.9660499,0,0
2.4584236,-2.3838868,0,0
1.4124166,-1.4200634,0,0
2.559876,-2.38084,0,0
-0.5046165,0.2886076,1,0
3.4414337,-3.2731154,0,0
-0.42495298,0.28981993,1,0
2.2616675,-1.6212827,0,1
-2.2485886,2.4372983,1,1
-1.4754716,1.5051271,1,1
-2.6167493,2.4305987,1,1
2.3786142,-2.169811,0,0
3.116253,-2.6743755,0,0
-2.1479979,2.3267946,1,1
-0.74147296,0.5713868,1,0
-1.8166932,1.6531429,1,0
-1.5179776,1.4859451,1,0
-1.0679556,0.9376568,1,1
-0.99243206,0.901292,1,1
-1.3150691,1.0768582,1,1
-0.7288054,0.6287935,1,1
-1.1411647,1.0678446,1,0
-0.010450446,0.21511386,1,0
-0.041455142,-0.15805407,0,0
0.576283,-0.30630738,0,0
-1.3066326,1.2853647,1,0
0.24557237,-0.44092348,0,0
-2.0248353,1.9263073,1,0
0.1511724,-0.3904589,0,1
-0.7613156,0.6081403,1,1
-0.7231858,0.5452834,1,1
2.899754,-2.139668,0,0
-1.4214827,1.5416471,1,0
2.513402,-2.2681847,0,0
3.4039958,-3.058259,0,0
3.3248744,-2.9590325,0,0
1.7551656,-1.531606,0,0
1.060552,-0.8825817,0,0
-0.33187753,0.29755196,1,0
2.727394,-2.263843,0,0
1.8162651,-1.3276554,0,0
3.458912,-3.2580314,0,1
3.1558757,-3.1233497,0,1
2.9001172,-2.90453,0,0
1.4683441,-1.7539749,0,0
3.211323,-3.1255097,0,0
2.20964,-2.2816129,0,0
2.3331742,-2.4712086,0,0
1.9251751,-1.9187559,0,0
1.1829911,-1.5417091,0,0
-3.5752406,3.261427,1,0
1.4342571,-1.1914939,0,1
3.36758,-3.4281785,0,0
-1.9810802,1.730146,1,0
3.1910224,-2.932674,0,0
2.6263576,-2.643221,0,0
3.1244574,-2.8982277,0,0
3.2356157,-3.3889048,0,1
1.6614243,-1.5436106,0,0
1.3516645,-1.0656146,0,1
0.5632723,-0.4192071,0,1
-0.6342442,0.6292918,1,1
0.6296307,-0.90722954,0,0
-1.4466597,1.4392694,1,1
2.1785269,-1.4136803,0,1
1.1120267,-0.826252,0,1
-0.40175337,0.2204112,1,1
2.6496882,-1.8901931,0,1
-1.7645129,2.0635211,1,1
0.0370925,-0.151352,0,1
-0.3453396,0.5243149,1,0
0.24166715,-0.39593685,0,0
0.25454965,-0.45762253,0,0
0.7252796,-0.6737773,0,1
0.40056157,0.22853486,0,0
1.3985474,-0.78061116,0,0
0.81366754,-0.27186403,0,0
0.44436973,-0.15329097,0,0
-1.5385596,2.1491785,1,0
0.9587885,-1.2858003,0,0
-2.382382,2.6635733,1,0
-2.1289933,2.0783396,1,0
-0.6712245,0.35616827,1,0
-0.71899354,1.1967834,1,0
-1.0106338,1.1761488,1,0
-2.034579,2.4628258,1,0
-2.3168468,2.5838168,1,0
-0.5337633,0.58281165,1,0
1.5246075,-1.1245191,0,0
1.5834001,-1.6073736,0,0
-0.7264465,0.70060563,1,0
2.0916429,-2.491672,0,0
0.6377922,-0.6931515,0,0
1.4498535,-1.6409963,0,0
1.474496,-1.0184562,0,0
-2.8425357,2.9208996,1,0
1.8067778,-2.2648356,0,0
-0.5685537,0.8753294,1,0
-1.0831712,1.388656,1,0
-1.3171697,1.3195169,1,0
-0.18762173,0.038551413,1,0
0.2754618,-0.38452324,0,0
0.12871203,-0.20733623,0,0
1.0981141,-1.5025771,0,0
0.19267696,0.18523626,0,1
2.1209512,-1.8552314,0,1
3.388804,-3.2387161,0,0
2.6587908,-3.049371,0,0
2.70401,-3.1758862,0,0
2.5534468,-2.5631838,0,1
1.1770965,-1.445351,0,1
2.903162,-2.7987885,0,1
2.0830054,-2.1958265,0,0
2.9397817,-3.5299847,0,0
3.0296848,-3.5741487,0,0
3.0212128,-3.5443695,0,0
3.4467292,-3.4646525,0,0
2.981007,-2.7526708,0,0
2.4319923,-2.3105502,0,0
1.8649062,-1.830078,0,0
3.218635,-3.1190536,0,0
3.1928763,-3.1703122,0,0
2.4041016,-2.2189026,0,0
3.3473833,-3.3573954,0,0
-3.530453,3.3237462,1,1
-3.366568,3.1201153,1,1
-3.4692316,3.3467386,1,1
-1.2471501,1.4113598,1,1
-2.9046865,2.992838,1,1
0.036383815,-0.23072444,0,1
-3.1203136,3.0864372,1,1
0.6886281,-0.8095013,0,1
-0.99510884,1.1139572,1,0
3.304903,-3.0273004,0,0
2.5260246,-2.3948054,0,0
3.2633014,-2.705701,0,0
3.3712044,-3.0877886,0,1
-1.0479339,1.1243209,1,1
3.1046453,-2.9036262,0,1
-0.39128697,0.13814496,1,0
-0.043948974,-0.16057643,0,0
-0.72670543,0.81007564,1,0
-0.8035291,0.7191865,1,0
-1.2345545,1.2363869,1,0
-0.62930214,0.615423,1,0
-0.44163877,0.035878003,1,1
-1.2068626,0.8896769,1,1
-2.1863823,1.7194976,1,1
1.5372494,-0.9125782,0,1
2.623969,-1.7935656,0,1
2.2026973,-1.4331411,0,1
0.1510745,-0.3058101,0,0
-3.240209,2.8488111,1,0
-0.7128743,1.0220737,1,0
-1.6131426,1.2736475,1,0
-1.7194792,2.1290803,1,0
-1.4595717,1.8471111,1,0
-2.5656142,2.1970181,1,1
-1.3007522,1.16522,1,1
0.2002259,-0.23766647,0,1
1.1534365,-0.75967157,0,1
1.2469031,-0.91429687,0,1
-1.0238451,1.0080209,1,1
1.7783965,-2.1705973,0,1
0.06573703,-0.2934537,0,1
2.1898985,-1.8662037,0,1
2.0422373,-1.9907496,0,1
-1.4095949,1.3044446,1,0
0.6991397,-0.013489583,0,0
-0.71742296,0.42712235,1,1
-1.9972602,2.6340237,1,1
-1.3454314,1.3751794,1,1
0.9357125,-1.1961068,0,0
0.53033006,-0.54832196,0,0
1.0578287,-1.4553353,0,0
2.3366756,-1.7940384,0,0
-0.6845253,0.5488039,1,0
-1.7736953,1.4632297,1,0
-1.1210045,1.2006154,1,1
2.54736,-2.6261427,0,1
0.106079794,-0.24384405,0,1
-1.9776952,1.6978117,1,1
2.367566,-2.0105672,0,0
0.06794802,-0.15488218,0,0
1.5861005,-0.8379326,0,0
0.35577807,0.24422395,0,0
1.295014,-1.9621428,0,0
-1.2604823,1.1464323,1,0
2.4080992,-1.7799907,0,0
1.7641772,-1.0454935,0,1
-0.3724354,0.9126777,1,1
-0.51762134,0.58662415,1,0
2.3150203,-2.091389,0,0
2.042704,-1.2804067,0,0
0.9746143,-0.54286027,0,0
1.9672087,-1.8698896,0,0
-0.56931496,0.49496436,1,0
2.8361309,-2.555285,0,0
2.6842616,-2.4511845,0,0
1.882021,-1.644421,0,1
-0.055772904,0.615215,1,1
0.9105077,-0.44434753,0,1
3.447368,-3.2613115,0,0
3.38477,-3.3462925,0,0
2.7071679,-2.6813169,0,0
2.5248766,-2.2970307,0,1
2.0398884,-1.2471955,0,1
1.1357071,-0.5702034,0,0
3.415343,-3.1065607,0,0
2.52857,-2.269892,0,0
-1.5665988,1.6676832,1,1
2.5254552,-2.6086714,0,1
3.0041184,-2.3455086,0,1
0.5238836,-0.41636333,0,1
-2.4956675,2.8031645,1,1
-0.60982955,1.1223302,1,1
-0.5394385,0.64579785,1,0
0.42156774,-0.3302939,0,0
0.54544854,-0.37142843,0,0
1.239492,-0.9412349,0,0
0.27175108,0.03200861,0,0
-0.17367983,0.6594026,1,0
1.1572912,-0.99377257,0,0
0.4932993,-0.2528746,0,1
-0.16620417,0.06859006,1,1
0.5020747,-0.2123115,0,1
0.4528845,-0.27499652,0,1
1.6093618,-1.2945629,0,1
-0.063127495,0.40112045,1,1
2.3708005,-2.2864454,0,1
-3.4767957,3.3190718,1,1
3.162889,-2.590547,0,1
1.4702071,-1.0996299,0,1
-1.0522408,1.1123754,1,1
0.64951694,-0.49470553,0,0
2.048348,-1.5627967,0,0
1.1142082,-1.2525028,0,0
2.3918126,-1.8606638,0,0
-2.1339352,1.7588257,1,0
3.1648235,-2.9011507,0,0
-1.7437456,1.9156511,1,1
1.3698725,-1.5743698,0,0
0.83817554,-1.0067936,0,0
-2.10305,2.1526031,1,1
2.8078022,-2.5914621,0,0
-3.243104,3.3361468,1,1
2.1440744,-1.8067338,0,0
-1.897683,2.053926,1,1
3.2836561,-3.433907,0,1
3.062555,-2.6718192,0,1
-2.5395982,2.731888,1,1
2.2158418,-2.1694846,0,1
2.168362,-2.0405047,0,1
2.2722497,-2.280603,0,0
2.4843564,-2.3940418,0,0
2.5850568,-3.1288142,0,0
2.685605,-2.4269795,0,1
1.4040529,-1.117519,0,1
1.3890048,-0.8553703,0,1
-0.29950458,0.6675346,1,1
2.3115144,-2.4325228,0,0
-1.8567828,1.7876259,1,0
2.1936817,-2.225384,0,0
2.6231637,-2.6699073,0,0
0.73004305,-0.9511205,0,0
-3.0326827,2.941271,1,0
-0.2855816,0.26289254,1,0
3.0849028,-2.8149204,0,0
1.3602425,-1.5171801,0,0
3.4555984,-3.1248395,0,0
2.9061053,-2.7831059,0,1
2.6022925,-2.6353621,0,1
-2.6456223,2.8195865,1,1
3.2420273,-3.2602353,0,1
-3.4883647,3.4779522,1,1
3.2282727,-3.1938753,0,1
2.5322676,-2.0127242,0,0
2.9851499,-2.7784662,0,0
2.760552,-2.9607153,0,0
3.3323655,-3.429963,0,0
2.7322607,-2.4857674,0,0
-2.0593705,2.257123,1,0
-2.146454,2.4505808,1,1
1.0255102,-1.0585154,0,1
1.117859,-1.493322,0,0
0.503415,-0.2183695,0,1
3.046773,-3.4733605,0,1
0.95451844,-0.65196013,0,0
3.4290514,-3.307507,0,1
3.4358559,-3.440575,0,0
3.2108102,-3.4286134,0,0
3.4195461,-3.5957818,0,0
3.2800853,-3.031764,0,0
3.1889815,-3.6373713,0,1
2.740997,-2.4397821,0,1
2.9193783,-3.511199,0,0
2.8264089,-3.4223423,0,0
2.9770477,-3.481236,0,0
2.930503,-3.5039873,0,0
3.0965397,-2.7909226,0,0
3.120345,-3.452765,0,0
3.0873022,-3.487041,0,0
-2.3180108,2.0922,1,0
-0.56865054,0.49944448,1,1
-1.4372824,1.552881,1,0
0.07335972,-0.18475121,0,0
0.10089027,-0.05379259,0,0
-1.9422556,1.6100001,1,1
0.38061345,0.16214933,0,0
3.033122,-3.1908965,0,1
2.1767046,-2.0609288,0,1
3.4349623,-3.307281,0,1
3.2798438,-3.2494736,0,1
0.47072104,-0.11379015,0,0
-0.96751195,1.0566128,1,0
