undermine_score,support_score,predict_label,gold
-3.1915846,3.141448,1,0
-3.2879071,3.22618,1,1
2.2580116,-1.8656919,0,0
-1.9257642,1.7597554,1,0
3.4134624,-2.9278452,0,0
3.879146,-3.5155225,0,0
4.278836,-3.8158913,0,0
0.6325463,-0.42684922,0,0
4.278836,-3.8158913,0,0
4.3240447,-3.8043022,0,0
3.5794463,-2.9589317,0,0
-2.834746,2.767734,1,0
-3.2749617,3.1917498,1,0
3.5821638,-3.171269,0,1
0.80312115,-0.4364769,0,1
2.3898962,-1.8174919,0,1
3.2328744,-2.793107,0,1
0.7250679,-0.6415486,0,1
-0.8644028,0.896407,1,1
4.379723,-3.866512,0,1
-3.168499,3.119341,1,1
-3.3035498,3.2403326,1,0
4.3928876,-3.8261628,0,0
-3.097301,3.034574,1,0
-3.2902627,3.2268512,1,0
3.9766471,-3.5866997,0,0
4.2673454,-3.7316964,0,0
3.791274,-3.2537794,0,0
4.346828,-3.8260946,0,0
4.247886,-3.740307,0,0
4.460231,-3.8127642,0,0
4.023562,-3.5572267,0,0
4.1691484,-3.5555532,0,1
4.1005607,-3.546343,0,1
4.009832,-3.404482,0,1
3.8400457,-3.343245,0,1
-3.0218053,2.9772108,1,1
4.0262427,-3.4822798,0,1
4.134162,-3.6241016,0,1
-3.0751657,3.022635,1,1
-3.054299,3.0238998,1,1
3.5360355,-2.9079056,0,1
3.430622,-2.7180915,0,1
2.627053,-2.1329188,0,1
2.6286988,-2.0146418,0,1
4.379321,-3.8618698,0,0
4.2753386,-3.792876,0,0
4.0370584,-3.665788,0,0
3.8177252,-3.2832031,0,1
-3.2445118,3.173613,1,1
-3.0277376,2.9370604,1,1
4.450803,-3.852961,0,0
4.4211836,-3.8370855,0,0
4.3512416,-3.813356,0,0
4.414122,-3.8834682,0,0
4.4409432,-3.8445606,0,0
-0.49285215,0.8082066,1,0
2.8890173,-2.2257571,0,1
-3.273283,3.2055929,1,0
4.2546535,-3.8301342,0,0
4.334357,-3.7493892,0,0
-3.0596747,2.9814658,1,0
4.3522396,-3.8269653,0,0
3.9787552,-3.558106,0,1
4.381395,-3.8080518,0,1
4.014504,-3.5618238,0,1
4.3201895,-3.8227546,0,0
4.405284,-3.8812184,0,0
3.5703053,-3.2277322,0,0
4.439767,-3.9007478,0,0
4.433758,-3.7915947,0,0
-3.37463,3.2970414,1,1
4.0726466,-3.624085,0,0
-1.8234067,1.8512533,1,0
4.28124,-3.7187614,0,0
3.1560268,-2.6044645,0,1
4.137104,-3.608335,0,0
4.172232,-3.5809493,0,0
-3.3712401,3.3322837,1,1
3.4106479,-2.8415933,0,1
4.374994,-3.8340373,0,0
4.1693387,-3.6639905,0,0
-0.6953867,1.0573386,1,1
3.8209662,-3.2820463,0,0
-3.009336,2.8987207,1,0
-1.3719125,1.3061563,1,0
-3.2492085,3.1694074,1,0
-3.1588323,3.0818636,1,0
1.9151267,-1.4675206,0,0
2.459964,-1.9225681,0,0
-2.5396366,2.4892166,1,0
2.9162874,-2.430909,0,0
-3.4470139,3.3871775,1,1
-3.2758536,3.218535,1,1
-2.880817,2.7324119,1,1
-3.427107,3.3658752,1,1
-3.4478297,3.3950896,1,0
4.06576,-3.5221553,0,0
-3.4345515,3.386919,1,0
4.0162725,-3.6464417,0,0
-1.7855935,1.8140345,1,0
4.355763,-3.8283005,0,0
2.761104,-2.08399,0,0
4.373839,-3.8210096,0,0
-0.673784,0.7715884,1,0
2.1092396,-1.9848238,0,1
4.0907016,-3.6455688,0,1
4.3077445,-3.8131194,0,1
-3.3489525,3.2970514,1,0
-3.2723303,3.2066183,1,0
-3.3015215,3.2684774,1,0
4.3415236,-3.7840934,0,0
-2.6334882,2.6149578,1,0
-3.458581,3.3880348,1,1
-3.3936539,3.3430972,1,1
4.2280116,-3.6727905,0,1
-2.4515007,2.4864368,1,1
-0.06124286,0.2175076,1,1
-3.30063,3.244332,1,1
4.059139,-3.4906003,0,0
4.3981757,-3.7245247,0,0
4.3419585,-3.6988986,0,0
-2.9810019,2.9271054,1,0
-3.0841494,3.0346794,1,0
2.9699533,-2.4709096,0,0
4.3078074,-3.7125866,0,1
4.0311513,-3.4220943,0,1
-2.6566927,2.6868453,1,1
4.2768273,-3.7798147,0,0
4.193268,-3.6834853,0,0
3.0155392,-2.4720364,0,0
-2.7671278,2.7464993,1,0
4.2695174,-3.6922393,0,0
