undermine_score,support_score,predict_label,gold
-4.4342566,7.0568337,1,0
-5.0759726,7.8127446,1,1
6.0303926,-4.9028893,0,0
4.8417373,-3.4417384,0,0
4.6833687,-3.1955855,0,0
3.5306427,-1.9551097,0,0
3.9263537,-2.3470635,0,0
-0.18259668,1.9552393,1,0
3.9263537,-2.3470635,0,0
8.212187,-7.410009,0,0
2.7405727,-1.1217965,0,0
-5.335466,8.11001,1,0
-5.340975,8.118161,1,0
8.147505,-7.360808,0,1
-5.2545824,8.010148,1,1
-1.6407821,3.6088858,1,1
12.176371,-12.407509,0,1
-0.3863472,2.394158,1,1
-5.034158,7.7863045,1,1
10.489817,-10.434433,0,1
-5.146511,7.922787,1,1
-5.370737,8.141369,1,0
6.3646083,-5.14504,0,0
-5.362515,8.116665,1,0
-5.3725185,8.140305,1,0
4.6600184,-3.1192288,0,0
10.325052,-10.204119,0,0
7.9727507,-7.0529127,0,0
9.479737,-9.0590315,0,0
8.176304,-7.3807125,0,0
4.8033695,-3.2011309,0,0
7.453476,-6.533725,0,0
12.482162,-12.858802,0,1
11.584884,-11.751161,0,1
8.90004,-8.279644,0,1
10.07745,-9.704714,0,1
-4.8849726,7.63974,1,1
7.0807457,-6.0981874,0,1
4.3166676,-2.7681694,0,1
-5.2382507,8.019806,1,1
-4.7220106,7.456977,1,1
8.540727,-7.987769,0,1
11.515765,-11.885956,0,1
-4.1839466,6.80993,1,1
10.199846,-10.140678,0,1
3.7238913,-2.0758111,0,0
4.5216656,-2.9771285,0,0
4.1186795,-2.430497,0,0
6.9452057,-5.8514805,0,1
-4.1987195,6.8018446,1,1
-5.1020937,7.8060265,1,1
5.702963,-4.349761,0,0
4.7487617,-3.2329123,0,0
13.240181,-13.745091,0,0
7.648225,-6.6909657,0,0
5.536628,-4.206041,0,0
8.45362,-8.096821,0,0
7.0381236,-5.989786,0,1
-4.0353727,3.0753098,1,0
5.159049,-3.6750512,0,0
7.272341,-6.304778,0,0
-2.0711014,4.0720778,1,0
5.2842345,-3.8649833,0,0
-4.7085233,7.432869,1,1
0.8907978,0.9662226,1,1
5.594043,-4.216153,0,1
4.0741568,-2.4825177,0,0
5.0464106,-3.5360644,0,0
6.7881117,-5.646029,0,0
6.44483,-5.3374968,0,0
9.582862,-9.163147,0,0
-5.250361,8.007196,1,1
6.029228,-4.7406883,0,0
4.718628,-3.2225394,0,0
6.159359,-4.895583,0,0
6.925701,-7.350806,0,1
6.197378,-7.37432,0,0
8.709857,-10.272469,0,0
-1.9173429,3.3982809,1,1
5.7157164,-6.740287,0,1
1.1625152,-0.88212204,0,0
0.57133764,-0.17398085,0,0
3.8669145,-4.2630606,0,1
