undermine_score,support_score,predict_label,gold
1.7918628,-1.5956436,0,0
-1.1213287,1.5520291,1,1
1.0642239,-0.7546392,0,0
0.75443226,-0.44502458,0,0
-0.40335926,1.0104098,1,0
1.6063584,-1.5508411,0,0
0.16570115,0.32507116,1,0
1.7063625,-1.652425,0,0
2.3100848,-2.2404463,0,0
1.8446958,-1.8692982,0,0
1.7539878,-1.3920637,0,0
2.4309678,-2.405042,0,0
2.431807,-2.3839235,0,0
-1.6843979,2.2547996,1,1
-0.7439407,1.1951509,1,1
-1.6335125,2.1991053,1,1
-0.7568205,1.3088914,1,1
0.3022695,0.24969155,0,1
-1.370507,1.1716655,1,1
-1.6611638,1.5721719,1,1
-1.983817,2.0488517,1,1
2.2283988,-2.1918166,0,0
2.4452538,-2.3974938,0,0
0.38391343,-0.0016086029,0,0
2.195697,-2.1857922,0,0
2.1030693,-2.210034,0,0
1.2791021,-0.9633096,0,0
2.2760217,-2.270349,0,0
1.9038622,-1.7326305,0,0
2.5142832,-2.3599565,0,0
2.4487529,-2.4324653,0,0
0.92761153,-0.51732963,0,0
-1.2685454,1.8569089,1,1
-1.0229248,1.7025504,1,1
-0.9063547,1.5525651,1,1
-0.10042807,0.662193,1,1
-1.7009506,2.2425294,1,1
-0.41368586,0.6633358,1,1
-1.3372133,1.7609605,1,1
-1.6781018,2.1144779,1,1
-0.4572716,1.058451,1,1
-2.766416,3.0135121,1,1
-2.648109,2.7419987,1,1
-2.4857335,2.6780949,1,1
-2.6982403,2.8599792,1,1
0.47606483,0.1757277,0,0
2.4286437,-2.4970267,0,0
2.1511793,-1.8102322,0,0
0.4718646,0.016073875,0,1
-2.296063,2.523629,1,1
-1.0662546,1.5848438,1,1
2.5250466,-2.4413304,0,0
2.5431461,-2.492775,0,0
1.1296474,-0.8991379,0,0
-0.01908127,0.07868791,1,0
2.0626216,-2.096621,0,0
-0.51132554,0.9381655,1,0
-1.4214462,1.6996015,1,1
1.7083591,-1.453845,0,0
0.040850647,0.22895917,1,0
2.6281133,-2.8301752,0,0
-1.0545018,1.3441508,1,0
0.86826134,-0.41134542,0,0
-0.91043407,1.2026935,1,1
-1.3906271,1.5245085,1,1
-0.2892044,0.7319756,1,1
0.8574724,-0.722718,0,0
-0.55301815,0.99443245,1,0
0.083747886,0.42068514,1,0
2.4782856,-2.677571,0,0
-0.38388836,0.75241125,1,0
-1.529521,1.7121727,1,1
1.1497881,-0.9320527,0,0
1.1483428,-0.79668504,0,0
1.7645254,-1.4317448,0,0
0.046312187,0.5671993,1,1
-1.1515961,1.5868074,1,0
-0.882746,1.3063896,1,0
1.3441861,-1.2064962,0,1
-0.1766996,0.6392354,1,1
0.08816466,0.37060425,1,0
0.6770332,-0.34086564,0,0
-2.0917609,2.1982884,1,1
2.2070327,-2.2339816,0,0
-0.65935844,0.7022825,1,0
-0.1901829,0.1989674,1,0
0.5746468,-0.362189,0,0
-0.33914492,0.2711865,1,0
