undermine_score,support_score,predict_label,gold
1.9152523,-2.109574,0,0
-1.6368947,2.0128927,1,1
2.0378673,-2.466069,0,0
3.2972553,-3.5403633,0,0
3.8622758,-3.4367738,0,0
3.6580067,-3.0911982,0,0
3.5197885,-2.8625472,0,0
3.7012496,-3.1267703,0,0
3.5197885,-2.8625472,0,0
3.766267,-3.10126,0,0
3.6022117,-3.064166,0,0
3.8468947,-3.3982894,0,0
3.8219838,-3.391257,0,0
-3.1429417,3.186795,1,1
-2.9398057,3.0897725,1,1
-2.9975371,3.0968783,1,1
-3.082239,3.185303,1,1
-2.489595,2.7056334,1,1
-3.166412,3.2637458,1,1
-3.0472505,3.1253254,1,1
-2.9855301,3.140607,1,1
3.9932885,-3.5948756,0,0
3.7519305,-3.2333543,0,0
3.4425876,-2.6905181,0,0
3.9989936,-3.583989,0,0
3.6980493,-3.2441804,0,0
3.6340241,-3.144319,0,0
3.3874485,-2.6874282,0,0
2.5973272,-1.8266994,0,0
3.2360485,-2.5408533,0,0
3.7787879,-3.3035219,0,0
3.7838502,-3.5251858,0,0
-3.156737,3.229676,1,1
-3.089038,3.1366558,1,1
-3.0418947,3.0781274,1,1
-3.1763217,3.2372336,1,1
-3.0475764,3.1389523,1,1
-3.1946442,3.2153919,1,1
-3.133901,3.1801436,1,1
-3.1026094,3.1748006,1,1
-3.083429,3.1498935,1,1
-3.2230854,3.2906837,1,1
-3.2261784,3.2662895,1,1
-3.0619345,3.1359017,1,1
-3.170612,3.2791958,1,1
3.8880556,-3.3947318,0,0
3.071342,-2.5814226,0,0
2.402042,-2.3218575,0,0
-2.7479715,2.8761044,1,1
-2.9316163,3.0986052,1,1
-2.901963,3.0441682,1,1
-1.5766367,2.0339894,1,0
2.2695787,-1.8380795,0,0
-2.9938564,3.0932271,1,0
2.9253073,-2.313374,0,0
3.5503426,-3.274048,0,0
-2.720055,2.9134624,1,0
2.8502886,-2.6477802,0,1
3.0140567,-3.2463934,0,0
3.6875837,-3.59178,0,0
3.7842858,-3.713214,0,0
-2.3769674,2.620074,1,0
3.6491556,-3.3720984,0,0
-3.1077943,3.196658,1,1
2.6534255,-2.2243285,0,1
2.830989,-2.9449615,0,1
3.3738081,-2.8238263,0,0
3.6647112,-3.321131,0,0
3.6504385,-3.7979367,0,0
3.7993653,-3.3290277,0,0
3.8956866,-3.7053926,0,0
-3.036802,3.1630194,1,1
-1.7760975,2.0361903,1,0
3.0690615,-3.1489544,0,0
1.9528942,-1.415499,0,0
3.3127584,-2.9094918,0,1
1.6692013,-1.2868207,0,0
-1.65767,1.8968663,1,0
-1.845011,2.1486855,1,1
-2.70141,2.870333,1,1
