undermine_score,support_score,predict_label,gold
-0.17695242,0.7516098,1,1
-0.5970008,1.1981305,1,1
-2.1693273,2.8756695,1,1
6.9373393,-6.33836,0,0
0.03928703,0.37450072,1,0
0.2772106,-0.1130449,0,0
-6.670347,7.360328,1,1
-4.1723714,4.6436796,1,1
-3.2270894,3.5314562,1,1
1.2592146,-0.5629333,0,1
-5.757731,6.4361506,1,0
-4.713093,5.5749426,1,0
10.3822365,-10.241418,0,0
7.0357375,-5.7554703,0,0
-2.2609584,2.5299845,1,0
-0.39940298,1.28011,1,1
0.12648356,0.31576967,1,1
-2.5406797,3.1184824,1,1
-3.0788276,3.6044745,1,1
-4.717928,4.7028685,1,1
4.3935685,-3.1950083,0,1
-3.5176554,4.5440903,1,1
3.725257,-3.402642,0,0
-1.3948493,1.8267894,1,1
-2.5829377,3.2499688,1,1
-3.4532871,4.20381,1,1
-3.0743842,3.3878307,1,1
8.457469,-7.288322,0,0
0.080809176,-0.07661629,0,1
-2.2248373,2.2680957,1,1
-0.5644486,0.62348914,1,1
-3.4085903,3.2652667,1,0
-3.5327935,3.4606214,1,0
-3.5977128,3.3611708,1,0
4.2321897,-3.9581575,0,0
-3.26634,3.3657546,1,1
-3.30461,3.9134216,1,1
-3.411735,3.8732915,1,1
-3.487998,3.7599015,1,1
-4.16316,4.002222,1,1
-4.284399,3.9170654,1,1
6.5859957,-5.230915,0,0
3.3410027,-2.2507288,0,0
7.4467916,-6.1852055,0,0
7.4353757,-6.1261616,0,0
6.680567,-5.467478,0,0
-3.4670992,4.0372276,1,1
6.025563,-5.176147,0,0
-3.9356937,4.228225,1,1
-4.0741625,3.3520794,1,1
7.7639065,-6.5375657,0,0
7.0125847,-5.7652235,0,0
5.9578185,-4.958149,0,0
5.9415517,-5.022943,0,0
7.7485666,-6.4403505,0,0
-4.333216,4.1008415,1,1
-4.257959,4.0934954,1,1
-4.0273376,4.0021267,1,1
-4.0784245,4.209921,1,1
-4.200937,4.101071,1,1
7.0099554,-5.6331024,0,0
6.8305893,-5.6418934,0,0
-4.21362,3.7593637,1,1
-4.155952,3.884882,1,1
5.76433,-4.889317,0,0
6.9553194,-5.7602797,0,0
6.750783,-5.7318926,0,0
6.4652786,-5.5210767,0,0
-4.145299,3.9212403,1,1
-3.703796,3.8243117,1,1
-4.387908,3.8326454,1,1
-3.932864,4.116566,1,1
-4.196661,4.2369466,1,1
-4.309196,4.136071,1,1
-4.121977,4.0791473,1,1
5.2903013,-4.763313,0,0
6.6319447,-5.6975837,0,0
3.659748,-3.5719364,0,0
5.0561085,-4.745194,0,0
6.872459,-5.79057,0,0
7.4751415,-6.4217124,0,0
7.722543,-6.4331503,0,0
7.7353916,-6.361974,0,0
7.5207615,-6.489451,0,0
-2.4918709,2.385545,1,1
-2.5981574,2.6259212,1,1
7.4952493,-6.258232,0,0
7.4762554,-6.266612,0,0
7.589973,-6.3523464,0,0
5.287823,-4.8427515,0,0
6.654533,-5.5686665,0,0
7.8594494,-6.6084375,0,0
7.3481636,-5.989211,0,0
-3.9249487,4.142045,1,1
-3.3883538,4.1133785,1,1
7.879001,-6.6617794,0,0
5.1647525,-4.5340657,0,0
6.7581015,-5.558968,0,0
7.829295,-6.4994698,0,0
7.832161,-6.5425625,0,0
-4.1943474,3.6628718,1,1
-4.0707607,4.116497,1,1
6.0960884,-5.34193,0,0
6.6526146,-5.636707,0,0
5.5538034,-5.068424,0,0
-3.929505,3.6722589,1,1
7.24879,-6.026664,0,0
7.3938746,-6.207086,0,0
4.0735583,-3.8025637,0,0
5.5395856,-4.741583,0,0
7.135233,-5.896848,0,0
5.8537593,-5.146331,0,0
6.1326466,-5.370652,0,0
6.7931166,-5.742557,0,0
6.466522,-5.5144434,0,0
-4.2244167,4.166148,1,1
-4.1430774,3.9080672,1,1
-3.8702822,4.3210616,1,1
-4.0417204,4.240662,1,1
-3.7346115,4.2205195,1,1
-3.6430197,4.1716843,1,1
-4.3871126,4.141467,1,1
-3.97118,3.9723864,1,1
-3.915513,4.2906346,1,1
-3.3046472,3.53358,1,1
7.685128,-6.4083366,0,0
7.579055,-6.2791653,0,0
6.6026936,-5.5568447,0,0
-3.4176764,3.4162192,1,1
-3.458459,3.0167685,1,1
