undermine_score,support_score,predict_label,gold
-0.26983178,0.15972884,1,1
-3.728593,3.2429903,1,1
-2.428654,1.9531729,1,1
4.0793533,-3.489991,0,0
4.0550656,-3.5261297,0,0
3.692969,-3.3312788,0,0
-3.7736833,3.3747823,1,1
4.0790133,-3.41799,0,1
-3.6820593,3.2582138,1,1
-2.8534448,2.308313,1,1
-3.7500808,3.302708,1,1
-2.1528986,1.685653,1,1
-3.644111,3.2653854,1,0
0.5825265,-0.7820261,0,0
4.0416393,-3.5097914,0,0
4.0142117,-3.428411,0,0
-0.7269462,0.48594263,1,1
3.9339685,-3.4561567,0,0
-3.718512,3.2790592,1,0
-3.644366,3.2216346,1,1
-3.7713323,3.3289094,1,1
-3.5137818,3.139826,1,1
-3.7073386,3.3228757,1,1
-3.7255833,3.3431172,1,1
1.373296,-1.4499953,0,1
-3.7334912,3.3240197,1,1
3.784936,-3.4136186,0,0
-3.7977402,3.3197494,1,1
-3.7299674,3.3129394,1,1
-3.735968,3.3325138,1,1
-3.7685788,3.3400724,1,1
-3.7178175,3.343726,1,1
4.021142,-3.4905474,0,0
-0.5446303,0.2437935,1,1
-3.4033716,2.8996744,1,1
-3.090751,2.6124442,1,1
-3.1911962,2.722708,1,1
-2.6672335,2.1185186,1,0
-3.0113847,2.6358373,1,0
-2.9134488,2.4478543,1,0
-1.9789732,1.5536381,1,0
-3.7651556,3.3676949,1,1
-3.7039316,3.3437898,1,1
-3.4958727,2.970013,1,1
-3.5756073,2.992738,1,1
-3.5641935,3.1536388,1,1
-3.4697313,2.982181,1,1
4.0154066,-3.5283237,0,0
3.4697912,-3.1933668,0,0
4.060136,-3.5195477,0,0
4.0624256,-3.4647167,0,0
4.0435195,-3.4920475,0,0
-3.7598288,3.3405573,1,1
3.9251812,-3.5122855,0,0
-3.7682166,3.352794,1,1
-2.9734547,2.4296207,1,1
-3.8102026,3.3119895,1,1
3.9780242,-3.5126987,0,0
4.018561,-3.5057395,0,0
4.0574946,-3.5025544,0,0
3.9568594,-3.4621093,0,0
4.005969,-3.5098994,0,0
-3.7346814,3.3700278,1,1
-3.8458853,3.3788621,1,1
-3.7789762,3.3090336,1,1
-3.7160351,3.3313346,1,1
-3.8248894,3.3691921,1,1
4.0176415,-3.49521,0,0
4.030211,-3.5250552,0,0
4.043348,-3.5238612,0,0
3.8836563,-3.2169292,0,0
4.016559,-3.4726393,0,0
-3.2931764,2.747139,1,1
-3.549049,3.091471,1,1
3.936972,-3.4612792,0,0
3.8823183,-3.4556124,0,0
4.084819,-3.4886281,0,0
4.0652685,-3.4515798,0,0
-3.6998923,3.3451648,1,1
-3.8227396,3.3370945,1,1
-3.83107,3.3354843,1,1
-3.7541912,3.3210208,1,1
-2.648421,2.0889542,1,1
-3.5270035,2.936067,1,1
-3.6745722,3.3392048,1,1
-3.7920444,3.2378428,1,1
-3.786276,3.2674305,1,1
3.9241402,-3.4548578,0,0
4.0065026,-3.4660883,0,0
4.0549364,-3.4943516,0,0
4.0502543,-3.4735944,0,0
4.0375366,-3.4699256,0,0
4.062744,-3.4969318,0,0
3.8410847,-3.4214284,0,0
4.0611362,-3.505578,0,0
4.0710964,-3.5233004,0,0
4.072543,-3.4970613,0,0
4.063095,-3.4883156,0,0
-3.3782892,2.7761843,1,1
-3.4901514,2.8583796,1,1
3.9570625,-3.4014528,0,0
4.0712166,-3.4743679,0,0
4.0310316,-3.4015133,0,0
4.0143757,-3.4634445,0,0
3.9062312,-3.484236,0,0
4.0206165,-3.5110781,0,0
4.051094,-3.558124,0,0
-3.7046475,3.3525994,1,1
-3.732724,3.3487613,1,1
-3.7648122,3.3515105,1,1
4.031807,-3.5292077,0,0
4.1026716,-3.532339,0,0
4.082953,-3.5049632,0,0
3.9022853,-3.5350635,0,0
3.9674835,-3.544143,0,0
-3.7284164,3.312267,1,1
-3.6964667,3.3353941,1,1
-3.7770178,3.3394463,1,1
3.716047,-3.3383522,0,0
4.00436,-3.439401,0,0
4.0199223,-3.5140278,0,0
-3.7023032,3.3394108,1,1
-3.8447902,3.325752,1,1
4.04704,-3.5093784,0,0
4.026797,-3.4540977,0,0
4.001089,-3.5412915,0,0
4.099928,-3.4866908,0,0
4.0356336,-3.4857583,0,0
3.975101,-3.5218666,0,0
4.046919,-3.5038095,0,0
4.045219,-3.4183097,0,0
3.9367416,-3.4633193,0,0
-3.7227695,3.3372838,1,1
-3.784725,3.3908842,1,1
-3.8023934,3.3038924,1,1
-3.7740521,3.3770525,1,1
-3.8171225,3.3446972,1,1
-3.8121054,3.3840837,1,1
-3.7393122,3.3452394,1,1
-3.8249257,3.3514397,1,1
-3.7484157,3.3340511,1,1
-3.7647574,3.3649766,1,1
-3.688318,3.0942457,1,1
4.08362,-3.4397633,0,0
4.0962086,-3.4462721,0,0
4.078499,-3.4393327,0,0
-3.670552,3.3395407,1,1
-3.25514,2.7964404,1,1
4.0529046,-3.5401118,0,0
4.0762296,-3.4081457,0,0
4.1045475,-3.4961436,0,0
4.0890255,-3.4711816,0,0
4.048848,-3.4421954,0,0
-3.5359683,3.2438214,1,1
-2.6798346,2.248875,1,1
-3.7475429,3.2870967,1,1
-3.5773697,3.208564,1,1
-3.6014977,3.260321,1,1
-3.673259,3.275283,1,1
-3.6919076,3.2037199,1,1
-3.0941896,2.587469,1,1
-3.6920393,3.2602088,1,1
-3.6817353,3.1876805,1,1
-0.6270457,0.45705876,1,1
-3.7405133,3.2344291,1,1
2.6189778,-2.5122828,0,1
-1.2297823,0.6857686,1,1
1.7498064,-1.8058671,0,1
1.6613994,-1.8180736,0,1
0.64130634,-0.8315826,0,1
-2.8134758,2.2963085,1,1
-3.7497234,3.243634,1,1
-3.4605472,2.8779361,1,1
-3.713508,3.3304029,1,1
3.9738393,-3.3855999,0,0
3.9020336,-3.3514187,0,0
0.5133996,-0.7245572,0,0
3.8629525,-3.427769,0,0
-0.2412596,0.09777,1,0
-2.3453515,1.7933619,1,0
-2.786024,2.3685396,1,0
-3.4931204,2.8793004,1,0
-3.6955721,3.301706,1,1
3.779001,-3.365155,0,0
4.0484853,-3.4642031,0,0
0.12396426,-0.3236196,0,0
-3.6359487,3.2176127,1,1
-3.5972168,3.2783961,1,1
-1.8314923,1.4666642,1,1
-3.561525,3.0106027,1,1
2.9681134,-2.7561567,0,0
-3.7388875,3.2872446,1,1
3.9173234,-3.4256546,0,1
-3.7233627,3.1781516,1,1
-3.7610586,3.2585804,1,1
-3.8188655,3.2792256,1,1
-3.797542,3.347981,1,1
-3.3113842,2.760486,1,1
-3.7449105,3.360738,1,1
3.9504547,-3.4518273,0,1
1.489824,-1.6361718,0,0
3.9456015,-3.4759262,0,0
3.3073885,-3.119765,0,0
-3.7146976,3.2731748,1,0
3.9139564,-3.5258503,0,0
3.3195715,-3.0795834,0,0
-3.3010788,2.685086,1,1
3.5326645,-3.2769673,0,0
3.9874399,-3.465882,0,0
3.0691264,-2.9357126,0,0
3.7407055,-3.4073732,0,0
3.9870222,-3.4908192,0,0
0.58254033,-0.8194683,0,0
0.2335892,-0.52289075,0,0
3.679064,-3.3632238,0,0
4.059201,-3.4462295,0,0
4.045993,-3.493757,0,0
-3.8122976,3.3507128,1,0
4.008239,-3.4756272,0,0
3.7765625,-3.3940914,0,0
3.8386457,-3.3616004,0,0
3.9873679,-3.4750047,0,0
3.9873679,-3.4750047,0,0
3.9873679,-3.4750047,0,0
3.9873679,-3.4750047,0,0
3.9873679,-3.4750047,0,0
3.9873679,-3.4750047,0,0
3.9873679,-3.4750047,0,0
3.9873679,-3.4750047,0,0
3.9873679,-3.4750047,0,0
3.9873679,-3.4750047,0,0
3.9873679,-3.4750047,0,0
3.9459255,-3.4354928,0,0
3.9459255,-3.4354928,0,0
3.9459255,-3.4354928,0,0
3.9459255,-3.4354928,0,0
3.9459255,-3.4354928,0,0
3.9459255,-3.4354928,0,0
3.9459255,-3.4354928,0,0
3.9459255,-3.4354928,0,0
3.9459255,-3.4354928,0,0
3.9459255,-3.4354928,0,0
3.9459255,-3.4354928,0,0
-3.7642212,3.2937481,1,1
-3.5396621,2.95863,1,1
-3.7947094,3.3220465,1,1
-3.770796,3.2827573,1,1
-3.7149572,3.3159392,1,1
-3.2698705,2.6554408,1,1
-3.7320673,3.2739987,1,1
-3.2418177,2.7299092,1,1
-3.3583438,2.8544645,1,1
-3.6997886,3.2912757,1,1
-3.6775696,3.144616,1,1
-3.4713542,3.030392,1,1
-3.73324,3.1323822,1,1
-2.77896,2.4350102,1,1
3.797638,-3.3521767,0,0
2.6055472,-2.485525,0,0
3.9426453,-3.4911172,0,0
3.6757326,-3.3484623,0,0
3.1667063,-2.902997,0,0
3.309199,-2.9881308,0,0
-3.3221843,2.7624772,1,1
-3.4804926,2.862779,1,1
-3.7004442,3.283231,1,1
-3.3679395,2.8922853,1,1
-3.4847047,3.003299,1,1
-3.4585583,2.9596121,1,1
-3.2387555,2.8053122,1,1
-3.4234157,2.8991594,1,1
-2.7525504,2.440441,1,1
-3.7803206,3.300524,1,1
-3.4891255,2.9406223,1,1
-3.817303,3.3423865,1,1
-3.0796895,2.5767908,1,1
-3.4467275,2.878041,1,1
-3.4006407,2.9035385,1,1
