undermine_score,support_score,predict_label,gold
-2.2353487,2.415087,1,1
-3.0026493,3.1175299,1,1
-2.0966,2.0775566,1,1
4.2414,-4.472111,0,0
0.6190608,-0.5516982,0,0
0.5984016,-0.18040843,0,0
-3.2530298,3.6786866,1,1
3.9867435,-4.1478643,0,1
0.019728834,-0.1606617,0,1
-3.4871635,3.7842278,1,1
-3.634611,3.9595385,1,1
-2.3611794,2.2127194,1,1
-3.9080615,3.9538176,1,0
-3.2524784,3.2313366,1,0
4.2661176,-4.524902,0,0
4.109225,-4.3191776,0,0
-2.8196437,3.1554399,1,1
2.71516,-2.9040048,0,0
-2.4972458,3.0335057,1,0
0.4727047,-0.14020364,0,1
-1.3191667,1.7005376,1,1
-1.1722838,1.6040021,1,1
-2.0110419,2.1950865,1,1
-2.8393815,3.012286,1,1
0.5609086,-0.458046,0,1
-2.427335,2.770844,1,1
0.5632455,-0.60321563,0,0
-3.4174132,3.8745227,1,1
-2.8567681,3.2238808,1,1
-3.3136516,3.7667036,1,1
-2.8323803,3.2147346,1,1
-0.6683518,1.1046046,1,1
3.5344458,-3.4829664,0,0
-1.2697579,1.6637447,1,1
-0.4913373,1.0000032,1,1
3.692919,-3.7925477,0,1
-0.23516212,0.56464314,1,1
2.9163108,-2.9610038,0,0
-2.0635898,2.2106347,1,0
-1.5755726,1.9484588,1,0
4.258904,-4.5229383,0,0
-3.9640589,4.274947,1,1
-4.0578046,4.339557,1,1
-4.0972977,4.0815454,1,1
-3.7560217,3.954477,1,1
-3.8259463,4.0461707,1,1
-3.5699227,4.0074615,1,1
4.243468,-4.649466,0,0
3.3809373,-3.9335163,0,0
4.258693,-4.683743,0,0
4.1370687,-4.5747705,0,0
4.142181,-4.6619163,0,0
-3.866892,4.1130166,1,1
4.3270545,-4.551825,0,0
-4.001714,4.2500134,1,1
-3.0746305,3.3516383,1,1
-3.938351,4.1857066,1,1
4.34852,-4.648206,0,0
4.181977,-4.6355205,0,0
4.239123,-4.48222,0,0
4.2277017,-4.699144,0,0
4.1929407,-4.656581,0,0
-4.04445,4.340278,1,1
-4.0468726,4.2871623,1,1
-4.026489,4.3068314,1,1
-4.0051894,4.2096553,1,1
-3.9877324,4.3186927,1,1
4.019872,-4.236728,0,0
4.229065,-4.6659513,0,0
4.243021,-4.567594,0,0
4.039808,-4.4422083,0,0
3.8386111,-4.2997575,0,0
-3.9836535,4.15912,1,1
-4.033938,4.0989423,1,1
4.1036363,-4.346906,0,0
4.3707614,-4.703591,0,0
4.135391,-4.35851,0,0
4.0972967,-4.4550786,0,0
-4.055269,4.290175,1,1
-4.00235,4.156195,1,1
-3.9754882,4.0793457,1,1
-4.093735,4.3009686,1,1
-3.158449,3.1839683,1,1
-3.8218145,3.9907026,1,1
-3.7648723,4.012374,1,1
-4.0056157,4.3106546,1,1
-4.0359635,4.2886715,1,1
4.151613,-4.533787,0,0
4.2340894,-4.521568,0,0
4.0440755,-4.284126,0,0
4.2691007,-4.5442243,0,0
4.3503175,-4.5969224,0,0
4.352401,-4.731803,0,0
4.2271686,-4.61527,0,0
4.2511706,-4.5051575,0,0
4.3263836,-4.55568,0,0
4.0673094,-4.5165277,0,0
4.1904263,-4.439815,0,0
-3.4352674,3.614932,1,1
-2.9296794,3.2874293,1,1
4.3207016,-4.627745,0,0
4.225943,-4.6865945,0,0
4.124574,-4.3613,0,0
4.3036513,-4.615696,0,0
4.340534,-4.645033,0,0
4.3327856,-4.67942,0,0
4.3898854,-4.650055,0,0
-3.9995816,4.1103787,1,1
-4.0348105,4.2295413,1,1
-4.0584183,4.2335143,1,1
4.270757,-4.66475,0,0
4.0181465,-4.370251,0,0
4.3222594,-4.5957694,0,0
4.358608,-4.5762916,0,0
4.3717723,-4.6444507,0,0
-4.155048,4.2259064,1,1
-3.91944,4.1670127,1,1
-3.5671458,3.9698105,1,1
3.907163,-4.2168317,0,0
4.209479,-4.573279,0,0
4.2340302,-4.488036,0,0
-2.771324,3.1052036,1,1
-4.1522627,4.320787,1,1
4.2835183,-4.511493,0,0
4.142098,-4.5792084,0,0
4.152946,-4.424265,0,0
4.318552,-4.5223765,0,0
4.309955,-4.546749,0,0
4.2448783,-4.6570916,0,0
4.257856,-4.4646354,0,0
4.002321,-4.3851833,0,0
4.2846284,-4.534343,0,0
-4.1048093,4.3264623,1,1
-3.9070415,4.2485733,1,1
-4.0103254,4.2125497,1,1
-3.8997943,4.1881614,1,1
-3.9422083,4.0218906,1,1
-3.7644567,4.06995,1,1
-4.0768423,4.2294,1,1
-3.9601877,4.318141,1,1
-3.989427,4.2578254,1,1
-3.562818,3.734511,1,1
-3.4153845,3.5845833,1,1
3.8380299,-4.180425,0,0
3.8887794,-4.204906,0,0
4.116034,-4.515272,0,0
-3.8846521,4.2619576,1,1
-3.891882,4.1282516,1,1
4.2882023,-4.820818,0,0
4.1140213,-4.521851,0,0
4.370719,-4.7361083,0,0
4.168281,-4.4907937,0,0
4.100235,-4.4422483,0,0
-3.8026586,4.13465,1,1
-3.9804723,4.199821,1,1
-3.8724687,4.014012,1,1
-3.504317,3.8094096,1,1
-3.9111812,4.1800275,1,1
-4.039842,4.253382,1,1
-3.6640232,3.9249244,1,1
-2.5249538,3.031376,1,1
-3.7856212,3.9948926,1,1
-4.0090337,4.366535,1,1
2.0143802,-2.048841,0,1
-2.4118621,2.1601834,1,1
1.10706,-1.027179,0,1
-1.9258256,2.3446064,1,1
0.9217121,-0.83045757,0,1
1.8770616,-1.2120625,0,1
-1.4908384,2.145884,1,1
-1.2992723,1.9728359,1,1
-3.860415,3.885529,1,1
-3.450171,3.9160538,1,1
-3.8991904,4.25447,1,1
3.8232172,-4.3004255,0,0
1.5896107,-1.7464719,0,0
0.90484744,-0.8185675,0,0
4.005325,-4.3254476,0,0
2.9926267,-3.274474,0,0
3.7826345,-4.127452,0,0
2.9615562,-3.297772,0,0
0.5440549,-0.41567183,0,0
-4.0024486,4.3830533,1,1
3.841732,-3.9366674,0,0
4.363192,-4.725411,0,0
3.8318074,-4.2808423,0,0
-3.8166285,3.9504294,1,1
-3.1969366,3.3185363,1,1
-1.1038163,0.975881,1,1
-1.7148298,1.3435229,1,1
4.074995,-4.330416,0,0
-3.758141,3.9228919,1,1
-3.9931421,4.294048,1,1
-3.864587,4.169953,1,1
-2.0509653,2.1069396,1,1
-2.6076355,2.8346055,1,1
-3.2970703,3.7694685,1,1
-3.296484,3.617271,1,1
-3.7371616,4.1578074,1,1
-0.21205084,0.47215384,1,1
2.1138706,-2.3222182,0,0
3.90891,-4.143427,0,0
3.2429912,-3.7319841,0,0
3.6491039,-4.087468,0,0
3.9059768,-4.3224707,0,0
3.836082,-4.334784,0,0
-1.6765636,2.053187,1,1
2.828447,-3.2938395,0,0
3.908488,-4.1911707,0,0
3.519312,-3.926975,0,0
3.602786,-4.0952964,0,0
0.73854035,-0.5386241,0,0
2.5610902,-2.2967374,0,0
-0.5562268,0.6946253,1,0
4.1641827,-4.4261518,0,0
3.7878966,-3.957912,0,0
-2.4413962,2.5155997,1,0
-3.7863123,4.132046,1,0
4.2958064,-4.4497685,0,0
3.013534,-2.8405297,0,0
2.9916592,-2.8040214,0,0
4.2028093,-4.4289575,0,0
4.2028093,-4.4289575,0,0
4.2028093,-4.4289575,0,0
4.2028093,-4.4289575,0,0
4.2028093,-4.4289575,0,0
4.2028093,-4.4289575,0,0
4.2028093,-4.4289575,0,0
4.2028093,-4.4289575,0,0
4.2028093,-4.4289575,0,0
4.2028093,-4.4289575,0,0
4.2028093,-4.4289575,0,0
4.0948453,-4.419889,0,0
4.0948453,-4.419889,0,0
4.0948453,-4.419889,0,0
4.0948453,-4.419889,0,0
4.0948453,-4.419889,0,0
4.0948453,-4.419889,0,0
4.0948453,-4.419889,0,0
4.0948453,-4.419889,0,0
4.0948453,-4.419889,0,0
4.0948453,-4.419889,0,0
4.0948453,-4.419889,0,0
-3.6968038,4.192287,1,1
-3.3041725,3.8299444,1,1
-3.9034877,4.2585654,1,1
-3.9106472,4.349689,1,1
-3.8051443,4.2718215,1,1
-3.2311332,3.4047656,1,1
-3.225945,3.8242636,1,1
-3.058311,3.6480534,1,1
-3.0711637,3.7440028,1,1
-3.1032667,3.677114,1,1
-2.770188,3.4169984,1,1
0.16175134,0.5212226,1,1
0.26429665,0.28381863,1,1
-2.8798091,3.4083898,1,1
4.344218,-4.688567,0,0
3.3078723,-3.321643,0,0
4.3817296,-4.6808677,0,0
3.7604952,-3.7272284,0,0
2.3862667,-2.0328443,0,0
3.4923444,-3.3162892,0,0
0.2726133,0.2710444,0,1
-3.7135386,4.264865,1,1
-3.8522096,4.184255,1,1
0.23084591,0.32984814,1,1
-2.7972753,3.555118,1,1
0.91758066,-0.77975935,0,1
0.2726133,0.2710444,0,1
-2.2421305,3.0220642,1,1
-2.6459594,3.4561992,1,1
0.32143474,0.20531954,0,1
-0.9101252,1.1747907,1,1
-4.030488,4.4181485,1,1
0.28466937,0.25473097,0,1
-2.830913,3.2123246,1,1
-3.5029626,3.9437256,1,1
3.7839003,-3.913816,0,0
-3.9925585,4.0764637,1,1
-3.838048,3.860379,1,1
2.159011,-2.037504,0,0
3.7795072,-4.013456,0,0
4.162178,-4.172833,0,0
1.4292842,-1.0748987,0,0
2.1368022,-2.3821146,0,0
2.4653358,-2.5140686,0,0
3.810836,-4.3273025,0,0
-3.5468264,3.95249,1,1
4.3413286,-4.80343,0,0
4.314618,-4.8017917,0,0
2.7182784,-2.6971774,0,0
-1.7612649,2.416388,1,1
-1.6292688,2.1961436,1,1
-3.7650356,4.076598,1,1
-2.4461381,2.9466422,1,1
-3.8059187,3.9065766,1,1
1.9813073,-1.6669542,0,0
4.324822,-4.714494,0,0
4.241713,-4.567569,0,0
3.6261234,-4.023854,0,0
4.011377,-4.397845,0,0
-3.2099545,3.4135752,1,1
4.2978234,-4.6569858,0,0
4.0236263,-4.409759,0,0
-3.7433038,3.9268842,1,1
4.1957307,-4.4993176,0,0
-3.4805055,3.9092789,1,1
-2.876278,3.3394957,1,1
4.1064596,-4.4050746,0,0
2.4567385,-2.73545,0,0
-1.0421954,1.4041754,1,0
-3.719553,4.0227447,1,1
-3.8742542,4.13557,1,1
-3.294871,3.6196866,1,1
-3.8892417,4.15591,1,1
-2.4424982,2.8140976,1,1
-2.0597658,2.4360557,1,1
-4.06651,4.282675,1,1
2.6767251,-2.3479586,0,0
0.7779979,-0.6223418,0,1
1.4314586,-0.8680886,0,1
2.363944,-2.1322653,0,0
-1.4277335,1.7182598,1,1
3.1217985,-2.9382033,0,0
4.3191266,-4.7286754,0,0
4.3379874,-4.784692,0,0
-2.5071135,2.962841,1,0
1.7364506,-1.6555868,0,1
2.3615222,-2.3605986,0,1
2.9704766,-2.7859917,0,1
0.5996024,-0.3539392,0,1
4.117316,-4.241711,0,1
2.1723635,-1.8197443,0,0
2.6990461,-2.2674499,0,0
1.9092604,-1.5713855,0,0
1.5278742,-1.0246345,0,0
3.93956,-4.1564035,0,1
3.4903035,-3.654901,0,1
3.3462644,-3.384351,0,1
3.8663294,-4.060944,0,1
3.8495803,-3.9761856,0,1
4.1838865,-4.409868,0,1
4.365787,-4.73067,0,1
4.3398542,-4.7625017,0,1
4.206924,-4.494536,0,1
1.7758485,-1.6932715,0,1
3.6512094,-3.900416,0,1
3.8399143,-4.115743,0,1
2.845561,-2.908319,0,1
