undermine_score,support_score,predict_label,gold
-2.5755656,1.5964453,1,1
-3.1598694,2.132669,1,1
-2.835779,1.8215452,1,1
3.1924124,-2.875283,0,0
-2.8534558,1.797688,1,0
-0.6784688,0.15221845,1,0
-3.6103714,2.9737906,1,1
2.9153976,-2.7670305,0,1
-3.051205,2.0374174,1,1
-2.9857357,1.9512922,1,1
-3.4164798,3.022538,1,1
-3.084852,2.0401814,1,1
-1.7881322,0.9642074,1,0
2.3544703,-2.2226803,0,0
3.2064855,-2.8889058,0,0
2.9653747,-2.7896225,0,0
-1.4258636,0.7240056,1,1
2.3476284,-2.2264528,0,0
0.59756494,-0.8188525,0,0
-2.2301033,1.3824245,1,1
-0.02770762,-0.30911705,0,1
-2.334132,1.4490494,1,1
-2.3790324,1.4260656,1,1
-3.2799504,2.2081494,1,1
1.829031,-1.7480742,0,1
-2.1207864,1.2454209,1,1
2.8540318,-2.692837,0,0
-1.3011287,0.6649294,1,1
-2.161751,1.309609,1,1
-3.4431424,2.4709036,1,1
-1.9776475,1.1844088,1,1
-1.33338,0.6082422,1,1
2.4645226,-2.2469585,0,0
-1.928918,1.07714,1,1
-2.7664278,1.7274039,1,1
-3.1141126,2.045344,1,1
2.2954342,-2.292581,0,1
-0.6619839,0.08882283,1,0
-2.87165,1.7915106,1,0
-2.4167721,1.4314455,1,0
2.3496099,-2.1892684,0,0
-3.5273223,3.0596786,1,1
-3.5804021,3.030663,1,1
-3.1268265,2.0391169,1,1
-2.5290382,1.5247643,1,1
-3.0737016,1.9926455,1,1
-1.8782446,1.079967,1,1
2.8570197,-2.6593316,0,0
2.6267455,-2.4473307,0,0
3.2327654,-2.8550432,0,0
3.2367952,-2.8642874,0,0
3.1994371,-2.8797638,0,0
-3.644317,2.8077013,1,1
3.0945356,-2.906317,0,0
-3.4646375,3.0685904,1,1
-2.2389095,1.3197535,1,1
-3.5630872,3.0559912,1,1
3.0969417,-2.830344,0,0
3.0490956,-2.8530164,0,0
2.9902494,-2.6827254,0,0
2.416597,-2.2525353,0,0
2.7520978,-2.5851977,0,0
-3.395497,3.0427473,1,1
-3.48033,3.062631,1,1
-3.663081,2.8661516,1,1
-3.4545152,3.0629632,1,1
-3.4062119,3.0625567,1,1
2.4833796,-2.4016173,0,0
3.2562945,-2.9163082,0,0
3.1534147,-2.8059313,0,0
2.825389,-2.6796734,0,0
2.9695132,-2.7866895,0,0
-3.4794846,2.4690053,1,1
-3.5866249,2.6806626,1,1
3.1608217,-2.8427062,0,0
2.708886,-2.567817,0,0
3.1244614,-2.7813408,0,0
3.1844084,-2.809615,0,0
-3.4499342,3.0715468,1,1
-3.6535501,2.8695374,1,1
-3.371908,3.0396492,1,1
-3.5792007,3.0451353,1,1
-2.8848598,1.8556916,1,1
-3.5442924,2.6733863,1,1
-3.4212017,3.0758774,1,1
-3.3884683,3.0544455,1,1
-3.5060127,3.0893772,1,1
3.1243742,-2.813289,0,0
3.0448887,-2.7430308,0,0
3.1057267,-2.791195,0,0
3.151623,-2.8629239,0,0
3.0017889,-2.62301,0,0
3.1037872,-2.8208048,0,0
2.9283874,-2.705979,0,0
3.0844395,-2.611717,0,0
3.1828017,-2.711245,0,0
2.7832842,-2.6002357,0,0
3.2468832,-2.9285185,0,0
-3.4810255,2.42196,1,1
-2.8681595,1.8433099,1,1
2.9164314,-2.6940186,0,0
3.0171728,-2.8041751,0,0
2.9063075,-2.6444585,0,0
3.0649822,-2.802434,0,0
2.7101758,-2.5611954,0,0
