undermine_score,support_score,undermine_cp,support_cp,undermine_cop,support_cop,undermine_ocp,support_ocp,undermine_ocop,support_ocop,predict_label,gold
-6.02726,8.357735,-0.44162542,2.584719,1.0630958,-1.991779,2.9840384,-3.2779021,-1.5385003,0.5033344,1,1
1.1716464,-1.5348992,0.4189536,1.1131011,-0.2124791,2.1706328,1.5395293,-1.9750589,2.079743,-2.4524264,0,0
-6.1058393,8.423077,-0.46826416,2.6207125,1.1659405,-2.146574,2.8819323,-3.1562772,-1.589702,0.4995132,1,1
3.3684173,-4.3359013,1.3513215,-1.5247123,0.485476,1.1816622,-0.53162384,-0.49959326,1.9709479,-2.1291199,0,1
-6.3244524,8.595953,-0.4363141,2.6341536,1.2212932,-2.1986718,3.0885236,-3.2983084,-1.5783217,0.46481866,1,1
-7.2576027,9.71555,-0.6142278,2.7244687,1.6183128,-2.733889,3.287603,-3.597633,-1.7374591,0.65955985,1,1
-7.145583,9.583945,-0.63864315,2.7599783,1.5619062,-2.6296458,3.3346052,-3.6499057,-1.6104286,0.5444158,1,1
-6.703227,9.056489,-0.45961016,2.43605,1.6371853,-2.756152,2.8710885,-3.200426,-1.7353432,0.6638614,1,1
-7.145583,9.583945,-0.63864315,2.7599783,1.5619062,-2.6296458,3.3346052,-3.6499057,-1.6104286,0.5444158,1,1
-6.970252,9.383551,-0.6261948,2.7515037,1.4868991,-2.5336561,3.311616,-3.604497,-1.545542,0.49389404,1,1
-6.8185797,9.1945,-0.5628881,2.599719,1.5399852,-2.6210718,3.0625472,-3.3946767,-1.6531589,0.5790326,1,1
-7.2834187,9.762094,-0.6567308,2.7734475,1.5776027,-2.6743116,3.3731172,-3.7051969,-1.6759682,0.6091377,1,1
-7.4881544,9.992672,-0.65259624,2.7790895,1.6298771,-2.7676392,3.4422143,-3.7663202,-1.7634668,0.67962223,1,1
6.773626,-9.19865,1.4581293,-2.5022273,-0.6272123,2.6830807,-1.5492818,0.51070344,3.1390026,-3.5026386,0,0
7.258621,-9.665249,1.5963922,-2.6605742,-0.64523387,2.7544565,-1.6305627,0.5553389,3.3864324,-3.69488,0,0
7.5729723,-10.058145,1.6445196,-2.7318568,-0.5519572,2.7095032,-1.6651429,0.60668224,3.711353,-4.0101023,0,0
7.141617,-9.567688,1.6178468,-2.681542,-0.64571565,2.711753,-1.6248045,0.56847847,3.2532496,-3.6059148,0,0
5.9175997,-8.044197,1.5963922,-2.6605742,-0.11362594,1.9661164,-1.6305627,0.5553389,2.577019,-2.8621678,0,0
7.4605455,-9.996965,1.6748047,-2.8719683,-0.6591791,2.7588546,-1.7616558,0.6509499,3.364906,-3.7151918,0,0
6.8027406,-9.236571,1.4594527,-2.5383701,-0.6243478,2.651117,-1.5751021,0.5117437,3.143838,-3.5353405,0,0
7.3502884,-9.86002,1.575135,-2.7285457,-0.636708,2.756804,-1.6951817,0.5928703,3.4432638,-3.7818003,0,0
-7.1115093,9.590027,-0.65357476,2.7853966,1.4868636,-2.557952,3.3501477,-3.67581,-1.6209229,0.5708687,1,1
-7.36177,9.864154,-0.6414637,2.8020787,1.5653976,-2.6712768,3.4480896,-3.7472348,-1.706819,0.64356357,1,1
-7.337581,9.833264,-0.63928175,2.7710316,1.4998391,-2.617086,3.4740357,-3.7945478,-1.724425,0.6505988,1,1
-7.045656,9.509951,-0.6515368,2.7828953,1.4577626,-2.510932,3.3580818,-3.6837282,-1.5782747,0.53239566,1,1
-7.686701,10.213067,-0.58618414,2.7535167,1.7336701,-2.9190607,3.6121354,-3.9016979,-1.7547109,0.63879246,1,1
-7.3934164,9.873536,-0.6071906,2.7377357,1.5966913,-2.727397,3.4665272,-3.7765403,-1.723007,0.6318636,1,1
-7.450997,9.93334,-0.6245629,2.7364132,1.5857315,-2.728609,3.5239582,-3.860644,-1.7167438,0.6076737,1,1
-7.340789,9.814701,-0.64008915,2.7350502,1.6220875,-2.7788196,3.3389764,-3.6812954,-1.739636,0.61953574,1,1
