undermine_score,support_score,predict_label,gold
-3.120266,3.1466892,1,1
-1.4178478,1.6254342,1,0
-2.5447752,2.716588,1,1
0.65541637,-0.44670764,0,1
0.8653101,-0.591936,0,1
-0.652606,0.9622483,1,1
-0.8264137,0.7788907,1,1
-0.4971491,0.8170469,1,1
0.49471587,-0.006919988,0,1
-1.5591139,1.8872902,1,1
-0.9759776,1.2104636,1,1
-1.9053602,2.276566,1,1
-1.730776,2.0365572,1,1
2.9385836,-2.5012124,0,0
2.1002762,-1.7491828,0,0
-0.017474834,-0.19780111,0,0
1.1837066,-1.1853541,0,0
-0.76524544,0.7093208,1,0
1.2603196,-0.8030515,0,0
1.1924498,-0.9630993,0,0
1.8558276,-1.7499259,0,0
-1.9476191,2.1978521,1,1
-1.963601,2.1867845,1,1
-1.2414429,1.4977812,1,1
-1.7473586,2.0261242,1,1
0.005701809,0.24001421,1,1
-2.431346,2.727588,1,1
-0.36501288,0.6777077,1,1
-0.0682359,0.38461107,1,1
0.5683444,-0.16565531,0,1
0.26169524,0.3216245,1,1
-0.7308008,0.90724725,1,1
1.6597533,-1.2947537,0,0
2.2218788,-1.4933401,0,0
1.588698,-1.0110651,0,0
0.0029853906,-0.082207546,0,0
0.18894012,0.06303563,0,0
2.168658,-1.9108347,0,0
1.4365356,-1.2520436,0,0
2.4420261,-1.8585396,0,0
2.1221404,-1.6142567,0,0
3.3227248,-2.832693,0,0
3.289485,-3.0050151,0,0
3.268156,-3.0655265,0,0
3.237562,-2.7624035,0,0
-3.4268064,3.2596626,1,1
-2.939528,3.0399976,1,1
-3.0667644,2.9865572,1,1
-2.082112,2.1191177,1,0
1.204551,-1.6176206,0,0
3.4417922,-3.1203709,0,0
-2.9544783,3.1502795,1,1
-2.3805623,2.5039678,1,1
-0.5353128,0.9887152,1,1
-2.0839734,2.2291703,1,1
-3.4763007,3.2579443,1,1
-0.96837646,0.9371137,1,1
2.818562,-2.7674384,0,0
-3.3165445,2.9075406,1,1
1.0434259,-0.5141613,0,1
-2.7014606,2.9251533,1,1
-0.14589794,0.15822394,1,1
-0.564464,0.77236474,1,1
-0.11674886,0.08129096,1,0
1.5616974,-1.8699303,0,0
0.54303837,-0.22666194,0,0
-2.292066,2.4334753,1,1
-2.4932353,2.541365,1,1
-3.2764385,3.3170214,1,1
-2.6725485,2.7626977,1,1
-2.8206131,3.072781,1,1
2.964828,-2.6355686,0,0
1.5568236,-0.85856855,0,1
1.322312,-0.5886415,0,1
0.7224851,-0.21910398,0,1
-0.18487082,0.17148228,1,0
-1.9563117,2.306984,1,1
-1.0731044,1.3544486,1,1
0.04906066,-0.05773025,0,0
-0.2547574,0.16408885,1,0
-0.9772363,1.1252166,1,1
-3.249586,3.362516,1,1
0.0758793,-0.37884358,0,0
-2.8832436,3.0696015,1,1
0.5850793,-0.701233,0,1
2.4766424,-2.1738057,0,1
0.77411944,-0.9573643,0,1
-1.7024947,1.6979127,1,1
-1.8735933,1.6992924,1,1
1.8913635,-2.0379095,0,1
0.3336742,-0.3319785,0,1
-0.75332856,0.6525446,1,1
2.1837904,-1.6375202,0,0
-0.72331536,0.88661706,1,0
-0.35478634,0.28037566,1,0
3.3042693,-2.7742853,0,0
1.2271695,-0.7984781,0,1
1.6848036,-1.0027517,0,1
-0.0545619,0.49867034,1,1
1.1604055,-0.8376883,0,1
0.9541073,-0.58532566,0,1
0.58040255,-0.6237016,0,1
1.1895516,-1.1024617,0,1
0.7147707,-0.6882237,0,1
0.3298623,-0.28742975,0,1
1.8566281,-1.2101346,0,0
2.0967622,-1.8379604,0,0
2.5029435,-2.0074708,0,0
2.5402448,-1.8595611,0,1
0.43150568,0.022334225,0,1
2.140016,-1.5578452,0,1
-3.1827197,3.2660809,1,1
-3.5366535,3.3906498,1,1
2.7569666,-2.6523578,0,0
3.4849854,-3.2078815,0,0
3.4457831,-3.0900848,0,0
-1.4133044,1.419812,1,0
-0.08352262,-0.12163501,0,0
-1.350896,1.3824017,1,0
-3.459261,3.2594385,1,1
-3.2140577,3.3881967,1,1
-3.475371,3.3490357,1,1
-2.9684064,2.851168,1,1
