undermine_score,support_score,predict_label,gold
-1.5756702,2.1130717,1,1
-1.1827967,1.8118098,1,0
-2.3984218,3.1683462,1,1
-1.1856863,1.725317,1,1
-0.18547207,0.5084521,1,1
-2.2924218,3.1123676,1,1
-0.18715249,0.55469084,1,1
-2.333515,3.1361732,1,1
-2.3471692,3.1819592,1,1
-2.1737366,2.9397054,1,1
-1.6577954,2.283633,1,1
-2.4875846,3.4093285,1,1
-2.4631371,3.383917,1,1
2.765539,-2.1966572,0,0
1.6848181,-1.3493617,0,0
2.6208553,-2.0236273,0,0
1.2971873,-0.8809264,0,0
-0.17823397,0.5423033,1,0
2.061328,-1.578815,0,0
2.0103302,-1.5235925,0,0
1.2212446,-0.7937743,0,0
-2.1741428,3.090797,1,1
-2.5491097,3.2569473,1,1
-2.175058,3.0253994,1,1
-2.3364453,3.0528264,1,1
-2.2239099,2.987972,1,1
-2.2866182,2.9551892,1,1
-2.4567623,3.3808851,1,1
-2.2810526,3.034714,1,1
-2.3631368,3.242468,1,1
-2.133641,2.8496609,1,1
-1.7364699,2.4244056,1,1
2.5507655,-2.129359,0,0
0.42553475,-0.10185075,0,0
0.42407966,-0.14901403,0,0
1.3266835,-0.9174395,0,0
0.47024286,-0.09901973,0,0
2.4112716,-1.8152412,0,0
0.850186,-0.44846946,0,0
2.1473975,-1.6221783,0,0
2.2108598,-1.7667403,0,0
2.7983816,-2.3192513,0,0
2.9312148,-2.6340427,0,0
2.5787725,-2.0957522,0,0
2.5071583,-1.9384465,0,0
-1.5195527,2.1729846,1,1
0.825373,-0.48762873,0,1
-0.9915208,1.4478662,1,1
-0.3041994,0.69781065,1,0
-0.1876511,0.4965711,1,0
2.2909584,-1.8049043,0,0
0.20273907,0.23692226,1,1
-0.6474763,1.1867337,1,1
-1.6737595,2.3660219,1,1
1.014256,-0.6046193,0,1
-0.6081894,1.0807955,1,1
-0.08306812,0.43982938,1,1
1.7976284,-1.4353688,0,0
-0.12999478,0.42272702,1,1
-0.18671629,0.5807953,1,1
-1.8926306,2.5535545,1,1
1.4868878,-1.0143359,0,1
0.19788839,0.1585726,0,1
2.6485195,-2.1089177,0,0
2.5973997,-1.9641016,0,0
-0.34500882,0.76648086,1,0
-1.8851155,2.5868583,1,1
-1.7176702,2.3778415,1,1
-2.3678124,3.1077979,1,1
-1.2290335,1.815505,1,1
-0.62487787,1.0938601,1,1
-0.3162261,0.7070266,1,0
0.92141527,-0.46248192,0,1
-1.0796187,1.7028164,1,1
0.11477294,0.24311048,1,1
-0.31076023,0.66183424,1,0
-0.76938576,1.2373297,1,1
-0.36656383,0.7704835,1,1
0.14756203,0.1024362,0,0
0.40258303,-0.055850964,0,0
0.20768291,0.14895898,0,1
-1.964724,2.6833174,1,1
-0.67135495,1.0796535,1,0
-1.4013307,2.0068903,1,1
2.643015,-2.1150546,0,1
2.2398703,-1.7136292,0,1
1.3919847,-0.9455874,0,1
1.0724758,-0.6378313,0,1
1.9743104,-1.5070128,0,1
1.4491286,-1.0332975,0,1
1.6025546,-1.1696026,0,1
-1.3895936,1.9110209,1,1
0.05958086,0.20322359,1,0
0.53627664,-0.18467224,0,0
-0.15746838,0.59613454,1,0
1.7844836,-1.3769376,0,0
0.43890896,-0.13073647,0,1
-0.6697137,1.1307275,1,1
-0.33404246,0.6389044,1,1
-2.445138,3.1739664,1,1
-2.1322987,2.8571203,1,1
-2.4958644,3.1916955,1,1
-2.1325598,2.7903419,1,1
-2.5556417,3.4061975,1,1
-1.701206,2.2246294,1,1
-0.3331626,0.65677464,1,0
0.8059764,-0.43634152,0,0
2.7303226,-2.2367978,0,0
-0.47705033,0.8971312,1,1
-0.11440899,0.36214665,1,1
1.3823887,-0.9318659,0,1
0.2076667,0.20392308,0,1
-0.14284047,0.5646137,1,1
2.0799823,-1.539478,0,0
2.3734076,-1.7727494,0,0
2.604569,-2.0578141,0,0
1.9418225,-1.4715722,0,0
0.72237945,-0.19756605,0,0
0.326664,0.082889155,0,0
0.39329693,-0.018900333,0,1
1.1932418,-0.6720202,0,1
0.5715104,-0.24616705,0,1
0.33360574,0.076894455,0,1
0.09746592,0.25527075,1,1
0.9335961,-0.40428963,0,1
0.84997743,-0.44551298,0,0
2.7389994,-2.2581577,0,0
0.5788657,-0.178588,0,0
-1.0176721,1.588696,1,1
-0.32891664,0.7811296,1,1
-0.044421352,0.40662107,1,1
1.4706013,-0.9681475,0,1
0.8049173,-0.3839888,0,1
2.0953674,-1.6279514,0,1
1.6047539,-1.0919448,0,0
-1.4425654,2.238179,1,0
0.82609683,-0.46693143,0,0
0.04554785,0.2963342,1,1
0.9875441,-0.47287613,0,1
0.8631825,-0.3778126,0,1
0.9779665,-0.45025817,0,1
1.4843545,-0.9832841,0,1
1.3792771,-0.8419596,0,1
1.2626956,-0.7217757,0,1
1.8148847,-1.2956588,0,1
0.058078907,0.2648674,1,1
1.7249024,-1.2412525,0,1
1.3946912,-0.95130855,0,1
1.5284224,-1.0495837,0,1
0.54236436,-0.021369083,0,1
1.75336,-1.2967892,0,1
0.8601016,-0.37545088,0,1
1.2960973,-0.7941044,0,1
0.7001968,-0.27399364,0,1
-0.0034387172,0.2649376,1,1
0.58982986,-0.116889104,0,1
0.43287018,-0.116812885,0,0
0.8901842,-0.4121475,0,0
0.072180785,0.34111598,1,0
1.3694836,-0.8679091,0,1
1.0855314,-0.5957247,0,1
0.5103386,-0.067827314,0,1
1.3557707,-0.8848313,0,0
1.4177072,-0.9624529,0,0
1.9487426,-1.4488666,0,0
0.6035931,-0.15034662,0,0
-0.063446805,0.42291513,1,0
-0.667793,1.1053665,1,1
1.698453,-1.1639256,0,1
1.0340902,-0.5004652,0,1
1.5299218,-1.019151,0,1
1.0401826,-0.49123922,0,1
1.3845828,-0.9434601,0,1
0.43477544,-0.0034998707,0,1
0.65174586,-0.16814633,0,1
2.2861142,-1.7057984,0,0
2.7270427,-2.1087768,0,0
2.3294828,-1.7207874,0,0
2.1022923,-1.5634558,0,0
0.858307,-0.37639645,0,1
1.8012807,-1.3207699,0,1
0.74922,-0.32581308,0,0
0.23629783,0.085684136,0,1
-1.6403773,2.3350825,1,1
-1.9761505,2.6426969,1,1
-1.1927183,1.7362411,1,0
-1.4590037,2.040593,1,0
-1.3175056,1.8189317,1,0
1.1936779,-0.8031722,0,0
-1.8432357,2.4676187,1,1
-1.5102879,2.1116962,1,1
0.10614698,0.25133345,1,1
-1.883269,2.4705076,1,1
-0.9733054,1.4176464,1,1
-0.25246784,0.55764997,1,1
-0.5783311,0.98749316,1,1
0.9461438,-0.57621187,0,0
0.10281314,0.13320374,1,0
1.7666616,-1.3717148,0,0
-1.1550292,1.6667237,1,1
-1.5036471,2.1035194,1,1
-2.0872853,2.7344432,1,1
0.46880564,-0.18709284,0,1
-0.7345849,1.223413,1,1
-1.3295896,1.8917549,1,1
0.5426655,-0.113980025,0,1
1.2072833,-0.7527041,0,1
0.013749869,0.3557894,1,1
1.8185507,-1.3436298,0,1
2.883378,-2.5498042,0,0
2.8193405,-2.4327426,0,0
2.752402,-2.172651,0,1
0.8436267,-0.49503896,0,1
-0.3576294,0.7309042,1,1
-0.94094586,1.3803144,1,1
-1.249198,1.768157,1,1
-1.1025316,1.6124892,1,1
-1.8244929,2.4663363,1,1
2.6875951,-1.9891526,0,1
0.13756497,0.06944569,0,0
-1.4805192,2.1840293,1,1
-2.3544269,3.134879,1,1
-2.5953345,3.3574634,1,1
2.7874608,-2.349822,0,1
-0.621042,1.0912917,1,1
2.4444358,-1.8799713,0,0
-0.17891179,0.5300497,1,1
-0.23907529,0.5922015,1,0
0.0015701739,0.2020747,1,0
-0.47152764,0.86093736,1,0
-0.99251825,1.4926672,1,1
0.7802073,-0.37918168,0,0
-0.9586357,1.4340513,1,0
1.669111,-1.202929,0,0
-1.0308263,1.5215745,1,0
-0.43319038,0.8274305,1,0
1.8298554,-1.3690884,0,0
0.9754159,-0.6155603,0,0
-0.75410295,1.2028575,1,1
-1.1430221,1.6503395,1,1
-0.9989775,1.4600757,1,1
0.4224859,-0.14127447,0,0
-2.0250223,2.6267111,1,1
0.2631642,-0.1420241,0,1
-0.6241382,0.9032747,1,1
1.2039742,-0.8435842,0,1
-1.504204,1.998064,1,1
-0.8852362,1.373221,1,1
-1.2221221,1.7329036,1,1
-0.16139582,0.43390527,1,1
-1.2301558,1.7480996,1,1
-0.45090875,0.7239494,1,1
-1.0340844,1.4981618,1,1
-0.6899964,1.1090448,1,1
-0.7193998,1.1501755,1,1
-0.98821574,1.4924524,1,1
1.450182,-1.0977364,0,1
-0.79421276,1.2064126,1,1
-1.3861239,1.9274812,1,1
-1.1983945,1.6944714,1,1
-1.1954725,1.6686659,1,1
-1.1249963,1.5412285,1,1
-0.40878582,0.72261494,1,1
-1.5329666,2.1069307,1,1
-1.712991,2.298132,1,1
-1.344408,1.9041996,1,1
0.520786,-0.32600906,0,1
-1.3372371,1.8815322,1,1
-0.88735265,1.3406806,1,1
-0.97857904,1.4424331,1,1
-1.0412188,1.5021482,1,1
-1.4402865,1.9380392,1,1
2.6806383,-2.2093482,0,0
1.5649529,-1.104243,0,0
-2.6101935,3.3837395,1,1
