undermine_score,support_score,predict_label,gold
-4.5755386,7.190545,1,1
5.6016545,-4.5962934,0,0
-2.0696795,4.3477783,1,1
0.034030333,1.7494161,1,1
0.7262702,0.9980163,1,1
-4.553877,7.37667,1,1
-4.4884176,7.324824,1,1
-4.511485,7.3559656,1,1
-4.4884176,7.324824,1,1
-4.4591312,7.291578,1,1
-4.861945,7.6881547,1,1
-4.718608,7.534493,1,1
-4.6811457,7.495654,1,1
10.575518,-10.642167,0,0
10.367382,-10.364532,0,0
12.959399,-13.455597,0,0
10.825691,-10.978893,0,0
10.367382,-10.364532,0,0
11.047022,-11.306944,0,0
8.468008,-8.011286,0,0
5.4363527,-4.280877,0,0
-4.8656864,7.6802306,1,1
-4.8223,7.61485,1,1
-4.804178,7.61975,1,1
-4.8606534,7.6750183,1,1
-4.7039833,7.5181694,1,1
-4.500885,7.298324,1,1
-4.7818604,7.590822,1,1
-4.904604,7.688865,1,1
-4.9535456,7.735083,1,1
-4.799614,7.6169066,1,1
-4.4138,7.236878,1,1
8.681017,-8.274043,0,0
11.276113,-11.551426,0,0
8.69711,-8.256659,0,0
7.685114,-6.8534946,0,0
9.4602375,-9.218121,0,0
7.659807,-7.031407,0,0
12.54117,-13.009405,0,0
9.077963,-8.690239,0,0
8.8985405,-8.516942,0,0
10.169022,-10.20524,0,0
13.060263,-13.587522,0,0
12.467774,-13.021261,0,0
9.35398,-9.149773,0,0
-3.4513862,6.1318426,1,1
-4.552003,7.2862644,1,1
-3.3306224,5.972233,1,1
-4.826565,7.5730805,1,0
6.847971,-5.9086475,0,0
6.8711014,-5.985492,0,0
-3.184194,5.8896027,1,1
-3.5305755,6.20368,1,1
-0.4402448,2.484341,1,1
-4.9580574,7.695192,1,1
-4.471281,7.2771206,1,1
-4.524143,7.2124004,1,1
11.152355,-11.473934,0,0
-5.230414,4.1339884,1,1
-4.980485,7.690648,1,1
-4.9961367,7.7236514,1,1
1.5449458,-0.06199352,0,1
-4.977083,7.7037416,1,1
9.275114,-9.0476,0,0
5.7251873,-4.5987635,0,0
-4.7656813,7.56126,1,0
-4.2900286,7.050842,1,1
