undermine_score,support_score,predict_label,gold
-2.5045033,3.3887923,1,1
6.3574834,-5.916199,0,0
-3.9050994,3.5048692,1,1
4.4294558,-4.492142,0,1
-3.5824187,4.324386,1,1
-4.86851,5.181883,1,1
-4.833332,5.9156303,1,1
-3.9626112,4.2772202,1,1
-4.833332,5.9156303,1,1
-5.757634,6.5329747,1,1
-5.4105377,5.5250955,1,1
-4.399375,4.5185184,1,1
-4.370496,4.5221663,1,1
5.3194356,-5.7322764,0,0
7.6675253,-8.181444,0,0
8.09212,-8.566022,0,0
6.66584,-6.7915835,0,0
9.104193,-8.187681,0,0
8.665542,-8.1454735,0,0
6.1404295,-5.1608143,0,0
8.147415,-7.744214,0,0
-3.8552938,3.6783316,1,1
-5.686964,6.3933105,1,1
-4.087814,3.9496922,1,1
-3.7287076,3.5654643,1,1
-4.5214486,5.5665708,1,1
-6.3840938,6.8238077,1,1
-6.3915663,6.04517,1,1
-4.594414,4.823615,1,1
-4.1691675,4.9250183,1,1
-4.7937202,5.601169,1,1
3.81138,-2.069951,0,0
4.6421766,-3.003427,0,0
4.2299647,-3.121822,0,0
5.963605,-5.624502,0,0
4.102373,-3.8937492,0,0
6.588877,-6.6293473,0,0
6.8081794,-6.390201,0,0
5.8624773,-5.414388,0,0
8.423271,-8.158247,0,0
6.0564947,-6.554499,0,0
7.776137,-8.2825775,0,0
6.943045,-7.7142777,0,0
-3.4674978,4.5123177,1,1
-3.1243947,3.4039412,1,1
-3.4557266,4.140501,1,1
-4.8201613,4.949711,1,0
5.1431003,-5.2762737,0,0
3.928069,-4.119293,0,0
-4.10916,5.1317053,1,1
-5.9357843,6.679769,1,1
-1.6733519,1.1038492,1,1
-6.145683,6.6605425,1,1
-4.2129226,5.225051,1,1
-4.571977,3.854715,1,1
3.222265,-4.059022,0,0
-5.9075775,5.34231,1,1
-5.440194,5.7987733,1,1
-6.6281905,7.087675,1,1
3.0327463,-2.5447762,0,1
-4.096255,4.6862426,1,1
6.7154593,-7.2182474,0,0
5.9057994,-5.8729115,0,0
-6.117418,6.741582,1,0
-3.4987826,3.6921675,1,1
-4.799143,5.244504,1,1
-5.3051343,5.332018,1,1
-2.4015596,3.0057018,1,1
8.464206,-8.205624,0,0
-3.8282824,4.344731,1,1
-5.985259,5.534524,1,1
-4.4778914,5.1014805,1,1
0.9223139,-0.776454,0,1
2.1818879,-1.9549744,0,1
-4.432235,3.6092956,1,0
2.1297748,-0.9227318,0,1
-0.20250486,0.65985745,1,1
-1.4274474,1.0777984,1,0
4.0154915,-3.4720078,0,1
-1.104293,0.77349794,1,1
-0.240205,-0.32566568,0,1
0.40875843,-1.3980882,0,1
0.62271184,-1.5753825,0,1
0.16003244,-0.91355395,0,1
1.9912064,-2.9734395,0,1
2.147534,-3.3272462,0,1
1.8300647,-2.6685028,0,1
7.4824862,-6.7731643,0,0
5.687821,-3.9672458,0,0
7.4782214,-7.236539,0,0
8.272824,-8.028064,0,0
-3.4700744,3.8265324,1,1
-6.0423665,6.037464,1,1
-4.8242803,4.814158,1,1
-4.0089073,4.0165234,1,1
-4.439039,4.050134,1,1
-4.6701713,4.0690165,1,1
-7.642918,6.463672,1,1
-7.7123013,6.871938,1,1
-5.171321,4.493556,1,1
7.4655657,-7.003236,0,0
5.361371,-4.871392,0,0
-0.87378556,1.0675502,1,1
-4.6583557,5.5889516,1,1
-3.0155306,2.9842448,1,1
-6.124727,6.336906,1,1
