undermine_score,support_score,predict_label,gold
-4.223587,3.430138,1,1
4.980137,-5.9183707,0,0
-4.0515313,3.0986452,1,1
-1.6599854,2.5632455,1,1
-1.1033578,5.3178153,1,1
-2.9572794,5.61234,1,1
-2.915035,5.8553576,1,1
-3.0669928,5.3199086,1,1
-2.915035,5.8553576,1,1
-3.2043667,4.770818,1,1
-3.1965141,5.088571,1,1
-4.1511626,2.6878388,1,1
-4.180366,2.7096925,1,1
6.0421534,-3.3120503,0,0
4.9730825,-5.4468923,0,0
6.7025685,-2.5676956,0,0
6.7275248,-2.6914206,0,0
5.299656,-4.752293,0,0
5.4605837,-5.4834228,0,0
6.4217,-2.5383377,0,0
5.225395,-5.1481996,0,0
-4.2497425,2.813627,1,1
-2.5959184,5.5135307,1,1
-4.1780896,2.725631,1,1
-4.234039,2.8091145,1,1
-2.8190677,5.5080667,1,1
-3.148525,5.0212283,1,1
-2.7846577,5.8254094,1,1
-2.5744588,5.5990925,1,1
-2.7777047,5.6936626,1,1
-2.6775,5.6689615,1,1
5.119806,-4.400992,0,0
4.1349664,-2.2400641,0,0
4.6600204,-2.1872723,0,0
5.359714,-5.54203,0,0
4.664752,-3.447767,0,0
6.069273,-2.9931407,0,0
5.2731133,-5.4412336,0,0
5.2999954,-5.552086,0,0
5.763317,-4.4495907,0,0
4.6263623,-4.6062646,0,0
5.7288556,-4.4610395,0,0
5.6458836,-4.1433764,0,0
-1.5549785,4.5963745,1,1
-1.4617221,4.304199,1,1
-1.4517676,4.4946704,1,1
-2.2672276,5.343608,1,0
4.7486486,-4.703634,0,0
5.0644045,-5.2286277,0,0
-2.5610342,5.870411,1,1
-1.6012768,4.5457344,1,1
5.1554174,-4.237434,0,1
-3.0100274,5.8172984,1,1
-2.4842064,5.6527157,1,1
3.5372443,-2.1574588,0,1
5.8936896,-2.4201772,0,0
-6.740227,6.9355974,1,1
-2.6877897,5.9552145,1,1
-3.3807342,4.9418597,1,1
6.975863,-2.372392,0,1
-2.78474,5.9674654,1,1
5.416862,-5.324621,0,0
5.05689,-3.0029685,0,0
-2.482541,5.7295833,1,0
-2.3422332,5.4853177,1,1
-2.7195952,5.944422,1,1
-2.7130935,5.99974,1,1
-3.7329884,4.02466,1,1
5.6102014,-5.8097143,0,0
-2.1315022,5.117781,1,1
-2.3128126,5.4839177,1,1
-2.0866263,5.2117453,1,1
-4.529712,4.065456,1,1
1.8122997,-0.92704743,0,1
-3.0221598,2.8791742,1,0
3.6552787,-1.7905616,0,1
-2.1933656,2.8670099,1,1
-1.7577643,2.9338675,1,0
2.3636642,-1.4785311,0,1
-3.1033785,2.9316323,1,1
-1.9632632,1.9251649,1,1
-0.14259715,0.31811538,1,1
-6.6998205,6.1986575,1,1
-4.8969784,4.119035,1,1
5.18934,-5.870834,0,1
-4.720239,3.716964,1,1
-3.634419,4.0670266,1,1
5.0539265,-5.1800575,0,0
4.9766994,-0.7667258,0,0
4.0021462,-3.9683752,0,0
4.0988584,-4.2530093,0,0
-4.428475,3.1524956,1,1
-2.9425242,5.8617244,1,1
-4.056947,3.9058707,1,1
-3.1231363,6.0743003,1,1
-3.266615,6.067351,1,1
-3.5647018,5.2229934,1,1
-2.826705,5.776618,1,1
-3.813437,5.0843053,1,1
-2.9422455,6.2927547,1,1
6.785586,-2.299271,0,0
6.6647644,-2.3380048,0,0
-2.499869,2.01853,1,1
-3.912886,3.5814877,1,1
-3.2879915,5.848234,1,1
-2.4176247,3.1486628,1,1
-3.0786927,5.5610557,1,1
5.3132367,-5.769891,0,0
3.9051123,-4.219962,0,0
3.4377103,-1.7020649,0,0
-2.28303,2.3072689,1,0
6.4144254,-1.9900081,0,0
4.9950852,-4.4318624,0,0
-3.1719222,6.1245575,1,1
-2.5985205,5.8236475,1,1
-2.9974518,6.056535,1,1
-4.3236237,3.0621376,1,1
-3.3571615,5.06536,1,1
-4.3281655,3.768183,1,1
6.382721,-3.1783476,0,0
6.0594425,-4.0602517,0,0
3.6100056,-2.5614424,0,0
-2.3053646,5.3237348,1,1
0.95395756,2.3188102,1,1
-1.7770988,2.8716965,1,1
5.402311,-3.4830809,0,1
-2.8323107,5.858049,1,1
-1.6092399,1.0260099,1,1
5.568933,-5.1335025,0,0
5.8553643,-3.8714876,0,0
-2.679115,5.8646045,1,0
-2.8985739,5.991579,1,1
-2.9579432,5.9492736,1,1
-3.2959516,5.704262,1,1
-2.8801363,6.1411366,1,1
-2.8580198,6.1048903,1,1
-2.9841244,6.22526,1,1
-2.8254383,6.2421613,1,1
-3.0617123,5.498264,1,1
1.6770337,1.4355392,0,1
-3.1743634,5.0283995,1,1
-2.4607737,5.483184,1,1
-2.862815,6.0970426,1,1
-2.9041176,6.1261916,1,1
-2.758053,6.011068,1,1
-2.9805884,6.2256784,1,1
-2.9846425,6.07175,1,1
-3.4833965,3.982016,1,1
-2.5217066,5.750671,1,1
4.354188,-4.3499165,0,0
4.450172,-3.5965495,0,0
3.784022,-4.0683155,0,0
-2.8635306,6.1005683,1,1
-2.8202753,5.510531,1,1
6.517166,-2.920662,0,0
5.625996,-4.5923724,0,0
-2.5723376,5.3829837,1,0
-2.3122168,5.1455736,1,0
4.244955,-4.1256585,0,0
-0.9932057,4.4162183,1,1
-2.6297233,5.2541456,1,1
-2.5525408,5.7029004,1,1
-2.9935637,6.251771,1,1
-3.4122536,4.287259,1,1
-2.8945837,5.8381495,1,1
-2.7400918,5.7655873,1,1
-3.110165,6.137118,1,1
6.4989667,-1.8290417,0,0
5.215338,-5.0887733,0,0
5.2460747,-5.493441,0,0
4.887659,-5.5831037,0,0
-2.2369604,5.2166133,1,1
-3.105775,6.289359,1,1
3.3375351,-4.221397,0,0
-3.9840314,4.0418324,1,1
-3.7459807,4.0530787,1,1
7.776163,-5.7352314,0,0
6.8428254,-4.807913,0,0
8.175444,-6.8536468,0,0
7.822188,-5.9830003,0,0
-3.4268906,3.9972358,1,1
-3.5966058,3.6805382,1,1
-4.2882795,3.701201,1,1
-3.6786127,4.2184186,1,1
-4.324153,4.5550466,1,1
-5.577024,5.751401,1,1
-4.9758754,4.107209,1,1
6.8015575,-5.434917,0,0
7.6843705,-7.849773,0,0
-2.7233233,6.194167,1,1
-4.508074,3.2939377,1,1
-2.9691677,6.164616,1,1
-3.8616228,4.7206907,1,1
-2.970499,6.4747953,1,1
-3.4202085,5.480556,1,1
0.6390674,3.1502378,1,1
1.233204,2.0700157,1,1
-2.8495445,4.928487,1,1
6.837534,-6.896926,0,0
-2.6695065,5.1506443,1,0
2.5856388,0.0032938984,0,1
2.9371443,-3.2660115,0,1
-3.2125092,5.0950675,1,1
-4.3405304,5.1963716,1,1
-4.9157963,4.184452,1,1
-2.8741572,2.878899,1,1
-1.7100277,1.9607123,1,1
4.8458443,-5.638386,0,1
3.5901327,-0.24992037,0,0
1.6175061,0.9194578,0,1
3.0302238,-2.656148,0,1
3.5233757,-4.23422,0,1
2.5015223,-1.4922346,0,1
4.249823,-4.730617,0,0
4.4439144,-4.075814,0,1
4.633711,-1.274824,0,0
5.8732777,-3.3136656,0,0
5.006164,-4.8126483,0,0
-3.1254501,5.0061812,1,1
4.949527,-5.1024394,0,0
4.8758063,-4.722692,0,0
-2.1631105,5.3561735,1,0
3.9598587,-3.516813,0,0
4.953827,-4.4480057,0,0
-2.3079023,5.4909425,1,1
-2.9153302,6.4120693,1,1
-2.9382703,6.3582716,1,1
8.530512,-6.719644,0,0
-6.865955,6.5163236,1,1
-6.7014136,6.2087255,1,1
-6.932624,6.413558,1,1
-5.494283,5.349086,1,1
-4.8321524,5.6003165,1,1
-3.7806091,4.2755165,1,1
-6.1178966,5.820756,1,1
-5.9229493,5.340556,1,1
-5.554035,5.4305596,1,1
-6.068041,6.893395,1,1
-6.6780167,6.4521723,1,1
-4.405015,5.0486097,1,1
-6.692649,6.2534933,1,1
-6.579031,6.1514406,1,1
-7.372628,7.321292,1,1
-6.0720496,5.60596,1,1
-4.7582464,5.3839917,1,1
-4.9185004,4.6836753,1,1
-6.4492555,6.2949724,1,1
-7.3593144,7.2485785,1,1
-6.5293837,6.231366,1,1
-6.4075184,6.7477627,1,1
-6.5421424,6.6560183,1,1
-4.719556,5.3839445,1,1
-5.0595627,5.6764736,1,1
3.264475,-3.1446035,0,0
-3.0224888,6.4165545,1,1
-4.290851,3.264986,1,1
-2.6284535,6.1848726,1,0
-2.738274,6.1733727,1,0
-2.793708,6.3458395,1,0
-3.296128,2.4268856,1,1
-3.7443452,5.4137554,1,1
-3.4017425,6.0432262,1,1
-3.5416243,6.0120983,1,1
-2.7792993,6.025166,1,1
-2.3171043,6.1321235,1,1
-2.64859,5.5365057,1,1
-2.0388892,5.096052,1,1
-2.6545908,5.842115,1,1
-2.9718144,6.1813407,1,1
-2.641039,6.1408,1,1
-2.990275,6.2472744,1,1
6.1095185,-6.591278,0,0
4.13557,-4.717447,0,0
5.981347,-6.354521,0,0
5.7825027,-6.0611644,0,0
4.0859923,-4.4972534,0,0
0.56053585,-0.10080867,0,0
4.64633,-1.6552471,0,0
-4.549434,3.3134785,1,0
-4.266374,2.479459,1,1
-2.4751825,4.8500247,1,1
-3.0184798,6.928871,1,1
-2.3447196,2.90251,1,1
-3.3776984,7.0120153,1,0
5.31118,-5.2030406,0,0
4.39497,-1.1740786,0,0
-3.5834503,4.7735176,1,1
-1.7637007,5.038913,1,1
-2.5909972,3.062053,1,1
3.1684308,-1.2677199,0,1
-3.7711492,4.507814,1,1
1.7193075,-1.3619906,0,1
9.073768,-7.0422454,0,0
8.00948,-5.8262153,0,0
8.532444,-6.3247204,0,0
-6.615327,6.107059,1,0
-6.795091,6.53788,1,0
-2.5863214,2.2010865,1,0
-4.093517,3.8800547,1,1
7.1052337,-4.3399944,0,1
-7.118066,7.074478,1,1
-4.323204,4.7649326,1,1
5.6154165,-3.5951781,0,1
-6.923969,6.502705,1,1
7.905684,-6.0173798,0,0
8.561275,-6.7179604,0,0
8.237496,-6.7208314,0,0
9.214562,-7.3214793,0,0
7.3298154,-5.849441,0,0
9.091231,-7.184005,0,0
