undermine_score,support_score,predict_label,gold
0.29385254,-0.91920745,0,1
0.29172432,-0.91574657,0,0
0.2877542,-0.9214573,0,1
0.2914031,-0.91674626,0,1
0.2907914,-0.9188335,0,1
0.2923333,-0.919407,0,1
0.29293355,-0.91868925,0,1
0.29045123,-0.9196675,0,1
0.29293355,-0.91868925,0,1
0.29590175,-0.91825366,0,1
0.29321823,-0.9180777,0,1
0.29464805,-0.9172891,0,1
0.29430443,-0.9170892,0,1
0.29894552,-0.9183777,0,0
0.29447374,-0.91770625,0,0
0.29474622,-0.9180369,0,0
0.29564506,-0.9170739,0,0
0.30181527,-0.91890633,0,0
0.29548413,-0.91918755,0,0
0.29505813,-0.9191077,0,0
0.29631764,-0.916942,0,0
0.29447877,-0.9194015,0,1
0.29564726,-0.9191107,0,1
0.29597503,-0.91803956,0,1
0.29430574,-0.9193679,0,1
0.29373762,-0.91948223,0,1
0.29620788,-0.9211924,0,1
0.29655495,-0.9208845,0,1
0.29593614,-0.920135,0,1
0.2961857,-0.9204886,0,1
0.29382458,-0.91702664,0,1
0.29592142,-0.92042136,0,0
0.29623026,-0.9201471,0,0
0.2967522,-0.9198022,0,0
0.29493022,-0.9171547,0,0
0.30014542,-0.91724885,0,0
0.29920676,-0.9185953,0,0
0.29465592,-0.91641676,0,0
0.29572916,-0.917673,0,0
0.2976864,-0.91971475,0,0
0.2972856,-0.9183655,0,0
0.29813662,-0.920426,0,0
0.29972643,-0.9175436,0,0
0.29485244,-0.9195451,0,1
0.29595485,-0.9205305,0,1
0.29598862,-0.91979074,0,1
0.29580623,-0.9197646,0,0
0.29658574,-0.9166506,0,0
0.29648077,-0.9188787,0,0
0.29447353,-0.91836905,0,1
0.29450345,-0.92004454,0,1
0.29582763,-0.919563,0,1
0.29834443,-0.91710806,0,1
0.29272676,-0.9169652,0,1
0.2979808,-0.91950667,0,1
0.29873797,-0.9172231,0,0
0.28874928,-0.9171238,0,1
0.2925585,-0.9215778,0,1
0.29360384,-0.9224659,0,1
0.2920162,-0.92197484,0,1
0.2947268,-0.92012525,0,1
0.29122612,-0.9204829,0,0
0.29226765,-0.91839635,0,0
0.29266906,-0.92253685,0,0
0.290435,-0.92375684,0,1
0.29302084,-0.9225265,0,1
0.29391688,-0.92215335,0,1
0.29255956,-0.92153037,0,1
0.29054272,-0.919832,0,0
0.29209542,-0.9206193,0,1
0.29252464,-0.9195532,0,1
0.29411826,-0.9190551,0,1
0.2939519,-0.92116266,0,1
0.29363114,-0.9212512,0,1
0.2945318,-0.91997516,0,0
0.29081511,-0.920541,0,1
0.29120916,-0.92265815,0,1
0.2962167,-0.91824704,0,0
0.29136848,-0.9200631,0,1
0.29498875,-0.9205086,0,1
0.29696834,-0.9211676,0,1
0.29654673,-0.92174375,0,1
0.2938723,-0.9208752,0,1
0.29751813,-0.92166185,0,1
0.29750007,-0.92045873,0,1
0.3019404,-0.91626376,0,1
0.29239634,-0.91699934,0,1
0.29375058,-0.91974384,0,0
0.29442793,-0.9202411,0,0
0.2947637,-0.9203806,0,0
0.2975616,-0.91507614,0,0
0.29326648,-0.9208671,0,1
0.29580587,-0.92083144,0,1
0.29570228,-0.9213904,0,1
0.2947892,-0.92106366,0,1
0.2960178,-0.92089355,0,1
0.29659134,-0.9219083,0,1
0.29685393,-0.92202914,0,1
0.29724747,-0.92189026,0,1
0.29683334,-0.9206487,0,1
0.29310846,-0.918775,0,0
0.2986981,-0.9190084,0,0
0.2987222,-0.9186379,0,1
0.2984823,-0.9171829,0,1
0.29470202,-0.9209889,0,1
0.29431885,-0.9216951,0,1
0.2963169,-0.9208885,0,1
0.29404205,-0.9200248,0,0
0.2985313,-0.9190662,0,0
0.2979687,-0.91964936,0,0
0.29886425,-0.9187191,0,0
0.2985699,-0.91808844,0,0
0.2968309,-0.92057395,0,0
0.29540968,-0.9206487,0,1
0.2945656,-0.9175899,0,1
0.29402775,-0.9198022,0,1
0.29853463,-0.9205619,0,1
0.297993,-0.92040545,0,1
0.29647207,-0.9182566,0,1
0.29713792,-0.92205536,0,0
0.29981512,-0.9209988,0,0
0.29566768,-0.9200409,0,0
0.29543465,-0.9212966,0,1
0.29643452,-0.9214191,0,1
0.29772016,-0.9200555,0,1
0.2938755,-0.91782945,0,1
0.29605797,-0.9193094,0,1
0.2994799,-0.9169392,0,1
0.30063114,-0.9189872,0,0
0.29857972,-0.9183774,0,0
0.29731157,-0.91961795,0,0
0.29498857,-0.9218393,0,1
0.29247364,-0.91813576,0,1
0.29552004,-0.9188428,0,1
0.2943896,-0.91841435,0,1
0.29439288,-0.9201113,0,1
0.29344383,-0.92115635,0,1
0.29599977,-0.9198766,0,1
0.29240483,-0.9186578,0,1
0.29441863,-0.9193321,0,1
0.2986709,-0.91971064,0,1
0.29419294,-0.918726,0,1
0.2948929,-0.9207703,0,1
0.2961337,-0.9207519,0,1
0.29418254,-0.9202565,0,1
0.293341,-0.9209467,0,1
0.2932857,-0.9205078,0,1
0.2929329,-0.919554,0,1
0.29335207,-0.92146873,0,1
0.2999113,-0.9164446,0,0
0.29999065,-0.91542083,0,0
0.29956883,-0.9161267,0,0
0.29292446,-0.9212019,0,1
0.2920534,-0.91964495,0,1
0.29870188,-0.9196596,0,0
0.2960366,-0.91931075,0,0
0.29616952,-0.9212529,0,0
0.29807562,-0.9216548,0,0
0.29750428,-0.91994315,0,0
0.29496554,-0.9206401,0,1
0.2958694,-0.9199171,0,1
0.296105,-0.92031527,0,1
0.29774508,-0.9202019,0,1
0.29795408,-0.919582,0,1
0.2930142,-0.9187575,0,1
0.29647565,-0.92158663,0,1
0.29594204,-0.92013466,0,1
0.29673234,-0.91952264,0,0
0.29672486,-0.9194673,0,0
0.2981754,-0.91821814,0,0
0.29404548,-0.9166485,0,0
0.29098284,-0.9198658,0,1
0.29397154,-0.91967064,0,1
0.2980554,-0.9161786,0,0
0.29759225,-0.9227749,0,1
0.29335153,-0.92297614,0,1
0.29352012,-0.9237982,0,0
0.2935344,-0.9236488,0,0
0.2927211,-0.92389536,0,0
0.2916777,-0.9244108,0,0
0.29466757,-0.92272836,0,1
0.29585892,-0.92236465,0,1
0.29600632,-0.922879,0,1
0.295393,-0.9234831,0,1
0.29482427,-0.9228898,0,1
0.29481742,-0.92284006,0,1
0.2921152,-0.92317104,0,1
0.29322594,-0.9232137,0,0
0.29343057,-0.9233868,0,0
0.28993583,-0.9179307,0,1
0.29506788,-0.9200324,0,1
0.2959792,-0.91969764,0,1
0.29392833,-0.9213748,0,1
0.29647717,-0.9214205,0,1
0.29138634,-0.9206589,0,1
0.2924042,-0.9191701,0,1
0.29298276,-0.91811574,0,1
