undermine_score,support_score,predict_label,gold
-0.8478875,0.8123148,1,1
0.26981637,-0.28371644,0,0
-0.97126955,0.9381061,1,1
-1.1429601,1.1038799,1,1
-1.0842564,1.0480887,1,1
-1.1733372,1.133988,1,1
-1.1846323,1.1450508,1,1
-1.1759658,1.1371682,1,1
-1.1846323,1.1450508,1,1
-1.1987686,1.1602207,1,1
-1.221143,1.179392,1,1
-1.1861609,1.1462641,1,1
-1.1909466,1.1528827,1,1
6.1745706,-6.124886,0,0
6.9078636,-6.8570366,0,0
7.869841,-7.759215,0,0
7.2807035,-7.2389007,0,0
6.9078636,-6.8570366,0,0
7.972777,-7.9059463,0,0
5.8827972,-5.8320355,0,0
6.7288804,-6.672014,0,0
-1.2215192,1.1823227,1,1
-1.193689,1.1546192,1,1
-1.2022353,1.1640965,1,1
-1.219576,1.1799921,1,1
-1.2098656,1.1663247,1,1
-1.2059386,1.1663767,1,1
-1.1902295,1.1491269,1,1
-1.2072073,1.1657614,1,1
-1.191036,1.1511233,1,1
-1.1843927,1.1446719,1,1
-1.2040386,1.164575,1,1
6.6912313,-6.653441,0,0
5.6532054,-5.6166043,0,0
1.795773,-1.7863747,0,0
5.92343,-5.8660145,0,0
7.6311164,-7.5370445,0,0
8.237702,-8.2250185,0,0
7.046636,-6.971873,0,0
7.8952246,-7.789758,0,0
7.9439607,-7.8304477,0,0
7.3222737,-7.297336,0,0
8.073143,-8.056915,0,0
6.700219,-6.667187,0,0
7.9640465,-7.927697,0,0
-1.1946843,1.1570156,1,1
-1.1984434,1.1628584,1,1
-1.2045945,1.1685425,1,1
-1.1992221,1.1575681,1,0
2.5101814,-2.4923794,0,0
4.6112866,-4.5763326,0,0
-1.218603,1.1831431,1,1
-1.2036304,1.1685365,1,1
7.407812,-7.3488975,0,1
-1.1722823,1.1375517,1,1
-1.1606019,1.1244894,1,1
-1.2093122,1.1714122,1,1
6.9954257,-6.900101,0,0
-0.3262581,0.30697334,1,1
-1.199014,1.1631912,1,1
-1.200732,1.1660647,1,1
2.2746356,-2.2599308,0,1
-1.1865954,1.1488653,1,1
6.948825,-6.9223423,0,0
2.5966487,-2.5868728,0,0
-1.1940794,1.1580302,1,0
-1.2048422,1.1683543,1,1
-1.2064968,1.1706762,1,1
-1.1995332,1.1605126,1,1
-1.2032031,1.1678892,1,1
-1.2061586,1.1679219,1,1
3.8563907,-3.8143578,0,0
-1.1856394,1.1464468,1,1
-1.2002679,1.1647825,1,1
-1.1018298,1.0675259,1,1
-1.1112266,1.0809788,1,0
-1.0387851,1.0096729,1,1
-1.0391552,1.0118738,1,1
3.1121106,-3.0736098,0,0
4.371202,-4.3164515,0,0
1.995256,-1.9877983,0,1
-1.036319,1.0077144,1,1
3.3021162,-3.2826633,0,0
-1.0419562,1.0174856,1,1
3.231728,-3.2340643,0,1
1.6121988,-1.6128587,0,1
5.059958,-5.0352435,0,1
-0.18921609,0.16445333,1,1
1.2966859,-1.3039867,0,1
7.3653464,-7.324059,0,1
4.9910493,-4.9581184,0,1
-0.088198744,0.06738611,1,1
0.80006343,-0.80683035,0,0
6.2105956,-6.190238,0,0
7.911738,-7.8734155,0,0
8.126509,-8.050406,0,0
-1.1157032,1.0815771,1,1
-1.1823266,1.1477034,1,1
-1.1858593,1.1510144,1,1
-1.1787932,1.143246,1,1
-1.1797535,1.1452001,1,1
-1.1725187,1.1373612,1,1
-1.1458037,1.1106292,1,1
-1.1411836,1.1064757,1,1
-1.1735796,1.1394637,1,1
0.82600164,-0.83224005,0,0
1.0902963,-1.0974308,0,0
0.78704363,-0.7844986,0,0
0.9122214,-0.91706264,0,1
-1.0381724,1.0053179,1,1
0.47404376,-0.48198402,0,1
-1.1676935,1.1280792,1,1
-0.89622563,0.86003023,1,1
2.7222397,-2.6977298,0,0
4.5097384,-4.459068,0,0
5.7079835,-5.6374,0,0
0.31715664,-0.3320334,0,0
2.4589736,-2.4451418,0,0
1.7732655,-1.7634724,0,0
-1.212158,1.1698189,1,1
-1.0177679,0.9767155,1,1
-1.2014389,1.1599573,1,1
-1.193857,1.1585696,1,1
-1.1954176,1.1590153,1,1
-1.1836196,1.1485332,1,1
2.905236,-2.8984706,0,0
2.6779237,-2.662248,0,0
0.4074226,-0.41797584,0,0
-0.88958085,0.85577995,1,1
0.495125,-0.5131671,0,1
-0.977048,0.94103473,1,1
-1.0125974,0.9785348,1,1
