undermine_score,support_score,predict_label,gold
-13.122601,16.57574,1,1
12.929211,-16.350044,0,0
-12.614687,16.001083,1,1
13.17756,-16.694906,0,1
-13.025087,16.392395,1,1
-13.436939,16.966595,1,1
-13.472442,16.999405,1,1
-13.568604,17.054731,1,1
-13.472442,16.999405,1,1
-13.47409,16.946642,1,1
-13.375517,16.839834,1,1
-13.72402,17.237782,1,1
-13.781104,17.284733,1,1
13.447116,-16.923693,0,0
13.568997,-16.980415,0,0
13.5069,-16.918762,0,0
13.466217,-16.909939,0,0
13.229659,-16.643246,0,0
13.572178,-17.061417,0,0
13.500262,-16.9965,0,0
13.653953,-17.155777,0,0
-13.625747,17.13746,1,1
-13.543743,17.023659,1,1
-13.644754,17.130104,1,1
-13.626046,17.13974,1,1
-13.416231,16.916845,1,1
-13.52502,17.004683,1,1
-13.360704,16.799229,1,1
-13.537254,17.010471,1,1
-13.4555025,16.86852,1,1
-13.395949,16.893768,1,1
13.649408,-17.066833,0,0
13.4362545,-16.78424,0,0
13.48249,-16.91072,0,0
13.71923,-17.214884,0,0
13.421964,-16.886326,0,0
13.516105,-16.954412,0,0
13.7619095,-17.257696,0,0
13.613483,-17.095041,0,0
13.694904,-17.166245,0,0
13.522234,-16.96384,0,0
13.682674,-17.139336,0,0
13.547738,-17.046488,0,0
-13.566908,17.050735,1,1
-13.503313,17.01809,1,1
-13.514921,17.014364,1,1
13.345305,-16.82259,0,1
-13.564384,17.06965,1,1
13.526632,-16.996103,0,0
13.536002,-17.031067,0,0
-13.568046,17.09446,1,0
-13.399707,16.931335,1,1
-13.384726,16.914692,1,1
-13.602823,17.097979,1,1
-13.570408,17.068848,1,1
13.601088,-17.09688,0,0
0.30802727,-0.2768197,0,1
-13.287567,16.855356,1,1
-11.346073,14.751007,1,1
-0.3365748,0.39125586,1,1
-0.35770357,0.4067011,1,1
0.899688,-0.8031101,0,0
-1.2324837,1.174336,1,1
-0.9735714,0.89369845,1,1
-0.022225976,0.026238441,1,0
-0.96095467,0.87565255,1,1
-0.69864917,0.9878721,1,1
-0.32106602,0.39835548,1,1
-0.5369885,0.73247814,1,1
-0.78841376,1.0560145,1,1
0.38626766,-0.5383272,0,1
-0.21889043,0.22511673,1,1
-0.7965214,1.0457497,1,1
-0.7315748,0.99154425,1,1
13.516087,-16.98623,0,0
13.360423,-16.767078,0,0
13.285344,-16.677055,0,0
13.237231,-16.66445,0,0
-13.488612,16.95311,1,1
-13.515222,16.96032,1,1
-13.526713,16.998991,1,1
-13.0530205,16.434744,1,1
-13.443024,16.900942,1,1
-1.8835938,2.090445,1,1
-12.303196,15.529978,1,1
-13.0070505,16.36868,1,1
-13.368933,16.835653,1,1
13.397483,-16.825483,0,0
13.264051,-16.719246,0,0
11.641675,-14.834377,0,1
0.04970956,-0.06245184,0,1
-13.305736,16.696703,1,1
-12.426093,15.645882,1,1
-13.603743,17.092802,1,1
13.209808,-16.672213,0,0
13.395575,-16.858257,0,0
-0.11782122,0.14157867,1,0
8.9212475,-10.555895,0,0
12.147618,-15.606177,0,0
13.542263,-17.034735,0,0
-12.21844,15.619521,1,1
-11.006454,14.400778,1,1
-11.903198,15.298516,1,1
-13.435617,16.897192,1,1
-13.529657,16.993505,1,1
-13.300334,16.819462,1,1
13.553996,-17.01957,0,0
13.530242,-16.98248,0,0
4.988556,-5.645097,0,0
-13.098761,16.484673,1,1
-13.327709,16.723295,1,1
-13.101842,16.443348,1,1
-4.3559732,6.5640197,1,1
-13.627357,17.117756,1,1
-13.122246,16.607426,1,1
