undermine_score,support_score,cp_distance,cop_distance,predict_label,distance_label,gold
-3.4650807,3.74361,0.024108827,1.0461236,1,1,1
5.7219205,-6.368609,1.9178324,0.029448926,0,0,0
-3.7053955,3.6989586,0.007130742,1.8451898,1,1,1
1.3485686,-2.4377463,1.4359666,1.7771367,0,1,1
-1.3166705,0.35335347,0.46616316,1.9144425,1,1,1
-4.837821,3.9012215,0.00043606758,1.9069464,1,1,1
-4.1005025,3.7955394,0.00036340952,1.9496261,1,1,1
-5.1378307,3.419526,0.0017733574,1.1005707,1,1,1
-4.1005025,3.7955394,0.00036340952,1.9496261,1,1,1
-4.138672,3.8267612,0.0019253492,1.9164989,1,1,1
-4.192338,3.6549275,0.0020788908,0.03186536,1,1,1
-3.7975316,3.3443344,0.0006825328,0.0004992485,1,0,1
-3.8097181,3.3261988,0.0009710789,0.0005658269,1,0,1
5.82967,-5.781766,1.9636054,1.4204762,0,0,0
4.4004703,-4.084799,1.2018185,0.06362009,0,0,0
4.9366302,-6.0842414,1.8675487,1.7848666,0,0,0
4.389072,-4.2076464,1.494365,0.041424096,0,0,0
4.020016,-4.011805,1.2018185,1.6373999,0,1,0
6.251277,-6.9110427,1.8743119,0.00070381165,0,0,0
5.226914,-6.4124765,1.9409103,1.9553044,0,1,0
6.232467,-7.1684217,1.9628047,0.0016558766,0,0,0
-3.7516904,3.3250024,0.0006648898,0.0006685853,1,1,1
-4.7374935,4.115199,0.000516057,1.9503032,1,1,1
-3.7871828,3.3541725,0.00035363436,0.0009825826,1,1,1
-3.7479343,3.3279507,0.00061899424,0.00063443184,1,1,1
-4.662448,3.9610057,0.00053298473,1.9438262,1,1,1
-4.3094897,3.8058052,0.0010559559,1.951282,1,1,1
-4.333416,3.7905817,0.0022177696,1.9608374,1,1,1
-4.087751,3.729658,0.004554212,1.9411287,1,1,1
-4.2030196,3.836332,0.00047916174,1.9656765,1,1,1
-4.98173,4.022434,0.0019723773,1.9081693,1,1,1
5.462685,-5.905338,1.9412469,1.882314,0,0,0
4.5629883,-5.6535807,1.9305542,1.9527712,0,1,0
4.6691985,-5.6830287,1.9277698,1.9643967,0,1,0
5.3480115,-6.3382745,1.9466505,0.5764525,0,0,0
5.3375635,-5.9608607,1.9566717,1.9295545,0,0,0
4.2381225,-5.115742,1.8890157,1.8998294,0,1,0
5.9427133,-6.766422,1.944597,0.01164484,0,0,0
5.2686543,-6.511728,1.9579946,0.40059668,0,0,0
6.5962048,-6.414654,1.9648807,1.2717491,0,0,0
6.611309,-6.3438516,1.9423699,1.1626657,0,0,0
5.8086467,-6.917866,1.9722689,0.024289131,0,0,0
6.170664,-6.8016553,1.9660971,0.03657955,0,0,0
-3.6256137,3.2110806,0.039609432,1.9094372,1,1,1
-3.7432113,3.3135805,0.029011786,1.9214873,1,1,1
-4.032527,3.2109663,0.030331194,1.7970086,1,1,1
-3.953057,3.313438,0.03253436,1.86967,1,1,0
5.530741,-6.440624,1.9463696,0.0072121024,0,0,0
5.0441694,-6.068484,1.9197383,0.001989603,0,0,0
-4.0207686,3.3608906,0.02305168,1.9005812,1,1,1
