undermine_score,support_score,predict_label,gold
0.9584563,-1.0332078,0,0
0.43712234,-0.3796852,0,0
1.0363815,-1.0648162,0,1
1.6859438,-1.8571181,0,1
1.113401,-1.2126949,0,1
0.8535285,-0.8665344,0,0
-0.2923273,0.57592064,1,0
1.3703747,-1.5012094,0,0
1.763364,-1.9330926,0,0
1.6882268,-1.8384978,0,0
1.7171772,-1.871505,0,0
1.7536867,-1.8959084,0,0
1.1320881,-1.2593318,0,0
-1.1279376,2.0142162,1,0
-0.41126382,0.91441107,1,1
-2.1352332,3.042629,1,1
-0.40174687,0.9303026,1,0
-2.1140225,3.055711,1,0
-1.2186962,2.0765557,1,0
-0.7957639,1.3851461,1,1
-1.1425952,2.0156167,1,1
-2.146413,3.079603,1,0
0.12843427,0.28428495,1,0
-0.65416753,1.2488006,1,0
-0.2542186,0.7433148,1,0
-0.85164565,1.4138212,1,0
0.24209663,0.0281002,0,1
-0.26443112,0.76230407,1,1
-0.5817008,1.2452195,1,0
-1.3120338,2.3059022,1,0
-1.9513586,2.9590712,1,0
-0.5020493,1.0618058,1,1
0.5888796,-0.46276435,0,1
1.0959167,-0.9434541,0,1
-0.27936053,0.7991659,1,1
0.38280493,-0.09638847,0,1
0.29581356,0.0032443851,0,1
-0.64843625,1.389571,1,1
-0.8014053,1.5139802,1,1
1.3055179,-1.2674086,0,1
1.4290466,-1.4541922,0,0
-0.48768997,1.0218701,1,0
-0.5368786,1.1742065,1,0
-0.83601844,1.5468917,1,1
0.033169527,0.39998513,1,0
1.1068778,-1.0823827,0,0
0.46461502,-0.119900875,0,1
-0.13903923,0.5511338,1,1
-1.5899508,2.689378,1,0
0.12838447,0.24194197,1,0
0.60090584,-0.399267,0,1
0.5385545,-0.42695728,0,1
-0.07762413,0.5563543,1,1
0.7975623,-0.6878545,0,1
-0.62863696,1.3462036,1,1
-0.37265295,0.88791746,1,1
-0.9530246,1.6417152,1,0
-0.86599934,1.6889718,1,1
-0.07033526,0.5427788,1,1
0.33071235,0.06428612,0,1
1.4013371,-1.4229835,0,1
-0.24599014,0.7856183,1,0
-0.8366803,1.3104424,1,1
0.40000963,-0.12082649,0,1
1.0798132,-1.1726618,0,0
1.4524093,-1.5491558,0,0
1.6137807,-1.6810812,0,0
0.702935,-0.6335392,0,0
0.95776916,-0.99388814,0,0
-0.9267278,1.6716682,1,0
-1.8757377,2.761382,1,0
-0.6227659,1.0961658,1,1
0.54142404,-0.44115967,0,0
1.876559,-1.9765913,0,0
0.9581368,-0.95437944,0,1
1.362401,-1.4946941,0,1
-0.5249817,0.9250734,1,1
1.295687,-1.3148758,0,1
1.8272812,-1.9274597,0,0
-0.35644028,0.7528688,1,1
1.8683141,-1.9765846,0,0
-0.13659748,0.40449762,1,1
0.58025026,-0.60094714,0,0
0.8217778,-0.8060298,0,1
1.8632851,-1.9648833,0,1
1.5773072,-1.6143146,0,1
1.2529503,-1.3522271,0,0
1.7338239,-1.8351742,0,0
1.5889659,-1.6348989,0,0
1.6880565,-1.7845659,0,1
1.8246437,-1.9126481,0,1
1.4087402,-1.5077779,0,0
0.38161227,-0.22854649,0,1
0.6174693,-0.48512542,0,0
1.7626487,-1.8327687,0,1
-0.47505802,0.95606697,1,1
-1.8094751,2.7590063,1,1
1.5501804,-1.6510634,0,1
1.9046886,-2.0200934,0,1
-1.7204092,2.6832845,1,1
-1.3501532,2.1520665,1,1
0.83196837,-0.84108555,0,1
1.678888,-1.8164434,0,1
0.03576578,0.124337144,1,1
-1.1318127,1.6616775,1,1
0.702402,-0.6981746,0,1
-0.24963623,0.5686444,1,0
-1.8120116,2.6785693,1,1
-2.1208715,3.1030002,1,1
-1.6496379,2.637941,1,1
-0.1531473,0.5047298,1,1
-2.1465905,2.8038607,1,1
-2.0676498,2.993184,1,1
-0.65592235,1.2021853,1,1
-1.1739769,1.9836663,1,1
-0.6387326,1.0626973,1,0
-1.9268707,2.8059757,1,1
0.03231741,0.21985346,1,0
-0.9137486,1.3392446,1,1
-1.2077415,2.0321162,1,1
-0.12407743,0.47360188,1,1
1.8835671,-2.0122616,0,1
1.8919177,-1.9917002,0,1
1.4267206,-1.4576713,0,0
1.8958917,-2.0050352,0,1
1.9430597,-2.0773194,0,1
1.8834732,-1.9928811,0,1
1.7641082,-1.8716999,0,1
1.8837395,-1.9981279,0,1
1.8835577,-1.991021,0,1
-0.62723684,1.0411661,1,0
1.8897203,-1.994667,0,0
1.8531024,-1.969391,0,0
1.9325027,-2.0580122,0,1
1.8821083,-1.9931508,0,1
1.7265961,-1.8460572,0,0
1.7163213,-1.8398358,0,0
0.14562905,0.03544444,0,0
1.7929323,-1.8468285,0,1
1.8582853,-1.9633193,0,0
0.04066029,0.14447975,1,1
1.9540963,-2.0907881,0,1
1.9145486,-2.025348,0,1
1.88658,-1.9945914,0,1
0.44341832,-0.26259398,0,0
1.8743144,-1.9883192,0,1
1.8187816,-1.9192665,0,0
0.09798541,0.12295509,1,0
-0.016558718,0.4162765,1,1
1.5362549,-1.6281796,0,0
1.2869961,-1.3707502,0,0
0.17370558,0.04080092,0,0
1.875232,-1.9737853,0,0
1.8615456,-1.9562442,0,1
1.898713,-2.003866,0,0
0.45085683,-0.3910994,0,1
0.0921408,0.10663187,1,0
1.8865652,-1.9998147,0,0
0.09045811,0.074605994,0,1
0.9829307,-0.9827237,0,0
1.8624103,-1.9535432,0,1
1.8090649,-1.9169192,0,0
0.104736656,0.10049433,0,1
1.9164219,-2.025922,0,1
1.0972525,-1.137092,0,0
1.8901573,-2.009857,0,1
1.9450128,-2.0790932,0,1
1.8771176,-1.9838622,0,1
1.8970584,-2.0133674,0,1
1.9033258,-2.02575,0,1
1.9271828,-2.049529,0,1
1.8571781,-1.9656247,0,0
1.8328152,-1.950723,0,1
1.608049,-1.6995385,0,0
1.9092543,-2.0270133,0,1
1.9230171,-2.0388677,0,1
1.8860135,-1.990426,0,0
1.6180677,-1.7838446,0,0
1.7152615,-1.889237,0,1
0.6686437,-0.6136875,0,0
0.9512427,-1.0209525,0,1
1.5525382,-1.6986663,0,1
1.2735591,-1.3863968,0,1
1.7907674,-1.9457967,0,1
1.8804386,-1.996553,0,0
1.9259139,-2.0523925,0,0
0.258267,-0.111036785,0,1
-1.6568776,2.5656936,1,0
1.4785001,-1.5322626,0,0
-0.6002463,1.0726864,1,1
1.9202013,-2.0507376,0,0
-0.6767615,1.0049736,1,1
1.8872882,-2.0315554,0,1
1.9333813,-2.0762117,0,1
0.27707824,-0.0590384,0,1
-0.72155493,1.1924334,1,1
-0.22868901,0.49390417,1,1
1.6510665,-1.6667595,0,1
1.0669727,-1.1383506,0,0
1.7835207,-1.9350805,0,0
1.801867,-1.9297264,0,0
1.8118722,-1.9502928,0,1
1.6325724,-1.7888317,0,1
1.8637178,-1.989976,0,1
1.4482576,-1.6237265,0,0
0.3314365,-0.2996622,0,1
1.6732875,-1.80263,0,1
1.5877539,-1.7133797,0,0
1.855726,-1.9848764,0,0
-2.3478453,3.155361,1,1
1.4165606,-1.5787584,0,1
-0.81408185,1.5132753,1,1
0.24448983,0.23133703,0,0
1.8675585,-1.9749024,0,0
0.21941034,-0.00025381905,0,0
1.4101367,-1.548445,0,0
0.43342388,-0.45004693,0,1
0.7510607,-0.7927046,0,1
-1.019685,1.5874956,1,1
1.842793,-1.9544876,0,0
