undermine_score,support_score,predict_label,gold
2.521998,-2.5725274,0,0
2.345267,-1.9910083,0,0
2.0865443,-1.5993893,0,1
2.4850957,-2.4758463,0,1
2.4769864,-2.396299,0,1
-2.0710733,1.5855386,1,0
-2.232505,1.778043,1,0
2.2601368,-1.9619501,0,0
2.4342587,-2.3620694,0,0
2.4522173,-2.4392445,0,0
2.4381177,-2.399644,0,0
2.466584,-2.4281785,0,0
2.4009407,-2.2170098,0,0
-1.8468149,1.4227016,1,0
0.9843965,-0.5129663,0,1
-2.7278695,2.2172706,1,1
-2.447111,2.0067794,1,0
-2.2728932,1.836409,1,0
-1.7146813,1.4311566,1,0
-2.715195,2.1052148,1,1
-0.18287684,0.37236273,1,1
-2.4910858,2.0275927,1,0
0.43437555,-0.006327969,0,0
-2.2880933,1.9161351,1,0
-1.397334,1.1681144,1,0
1.1828306,-0.7816492,0,0
0.7808817,-0.36477262,0,1
-0.21420252,0.29158807,1,1
-2.22311,1.7764368,1,0
-2.5595162,2.0693843,1,0
-2.4619823,2.0206614,1,0
0.56957835,-0.14196545,0,1
0.96674174,-0.6881948,0,1
1.3588331,-0.8850005,0,1
0.541816,-0.10609783,0,1
1.044626,-0.7019182,0,1
-1.1954851,1.055523,1,1
1.2242498,-0.8019376,0,1
-0.04919309,0.3309748,1,1
1.105773,-0.7448923,0,1
2.2220705,-1.9207325,0,0
1.1446862,-0.7321246,0,0
-1.8137252,1.4587629,1,0
-1.4318113,1.1483212,1,1
-0.15998633,0.37372312,1,0
1.6049616,-1.182281,0,0
0.36395496,0.0006944714,0,1
0.70591587,-0.32531777,0,1
-1.5944263,1.3148355,1,0
0.8457939,-0.4315382,0,0
-0.08977428,0.3257409,1,1
1.3113492,-0.86377096,0,1
-1.3494492,1.174952,1,1
0.9128367,-0.44056168,0,1
-0.13054289,0.3331996,1,1
0.5940363,-0.30694982,0,1
-1.5944263,1.3148355,1,0
0.77016234,-0.34915903,0,1
2.3804715,-2.0538595,0,1
2.080106,-1.5822632,0,1
2.4663432,-2.4144318,0,1
-1.2139136,1.0210193,1,0
-0.018515117,0.26670554,1,1
-1.5553656,1.2942691,1,1
1.851373,-1.4867042,0,0
1.9634252,-1.4945072,0,0
2.27221,-1.8935556,0,0
0.24378087,0.117837325,0,0
1.1540377,-0.74585503,0,0
0.16269062,0.13619487,0,0
-1.0376799,0.95771396,1,0
-2.754537,2.2575216,1,1
-1.2733473,1.1201918,1,0
2.4833248,-2.555498,0,0
2.0765321,-1.7513087,0,1
2.449157,-2.4339046,0,1
0.009041473,0.2810448,1,1
2.5233185,-2.4888356,0,1
2.388181,-2.2319336,0,0
-1.6863172,1.4239824,1,1
2.5359597,-2.516,0,0
1.388182,-0.95789146,0,1
-1.077829,0.96328557,1,0
2.257993,-1.8760431,0,1
2.4479852,-2.3648274,0,1
0.7904154,-0.33632454,0,1
1.8149309,-1.3197792,0,0
2.0803406,-1.6203378,0,0
2.490094,-2.3734138,0,0
2.0487258,-1.512443,0,1
2.422775,-2.264698,0,1
1.4840978,-0.9385465,0,0
1.4425119,-0.88259566,0,1
1.36795,-0.84375805,0,0
2.3278692,-1.9869854,0,1
1.2906631,-0.9563976,0,1
-1.1384186,0.8972941,1,1
2.2797909,-2.07535,0,1
2.4793556,-2.4488142,0,1
-2.206057,1.8843955,1,1
-1.7372098,1.4486094,1,1
2.4348729,-2.4295952,0,1
2.1154954,-1.794627,0,1
2.4101064,-2.442475,0,1
-1.0827796,1.0332322,1,1
2.4249303,-2.4058235,0,1
1.4501845,-1.1335428,0,0
-1.9776021,1.6869844,1,1
-1.9571104,1.6205385,1,1
-1.340712,1.1359085,1,1
2.0601256,-1.7342573,0,1
-2.437468,2.128466,1,1
-2.206057,1.8843955,1,1
-1.6691335,1.4003149,1,1
-2.5143204,2.0250409,1,1
-1.1169792,1.0748218,1,0
-0.83793706,0.93334174,1,1
-0.9284905,0.8904734,1,0
-1.1733683,1.0641584,1,1
-2.7328281,2.2961736,1,1
2.1007674,-1.8052368,0,1
2.4952123,-2.5609162,0,1
2.3847702,-2.3376782,0,1
-1.2716997,1.1409153,1,0
2.536379,-2.5485313,0,1
2.4864917,-2.430841,0,1
2.4892666,-2.4265034,0,1
2.3439863,-2.0917833,0,1
2.2524502,-1.8475034,0,1
2.477627,-2.3337107,0,1
0.7067115,-0.3578247,0,0
2.4545772,-2.3887498,0,0
2.2054408,-1.8923268,0,0
2.4313006,-2.3117723,0,1
2.5038054,-2.4984846,0,1
2.0013027,-1.47615,0,0
2.3506982,-1.966364,0,0
1.8123002,-1.3425465,0,0
2.2344902,-1.7993405,0,1
2.3197496,-2.2146623,0,0
1.6733646,-1.2097466,0,1
2.197498,-1.9147378,0,1
2.4738982,-2.4120338,0,1
2.3730488,-2.1981032,0,1
-1.3890021,1.2026105,1,0
2.432422,-2.2310836,0,1
2.1276786,-1.7278043,0,0
0.3440987,0.012343462,0,0
0.2512111,0.05167747,0,1
1.9828359,-1.7276838,0,0
2.4644756,-2.4527762,0,0
-0.41338873,0.5583218,1,0
2.1876562,-1.8264717,0,0
2.4880476,-2.440491,0,1
2.4690197,-2.4399323,0,0
0.2836897,0.08140294,0,1
-1.115737,1.0053658,1,0
2.4549892,-2.4099529,0,0
-0.8090568,0.84949094,1,1
2.1857555,-1.7036867,0,0
2.5157366,-2.5490394,0,1
2.4840877,-2.5477493,0,0
-0.8612556,0.8010406,1,1
2.5135589,-2.528801,0,1
1.2782156,-0.81555086,0,0
2.4469438,-2.5089614,0,1
2.5149329,-2.519347,0,1
2.3726609,-2.2169507,0,1
2.514179,-2.5445642,0,1
2.5134094,-2.5010755,0,1
2.5299509,-2.5465608,0,1
2.431104,-2.2909026,0,0
2.4369862,-2.351205,0,1
1.6929914,-1.1634235,0,0
1.5968598,-1.0908844,0,1
1.602241,-1.168652,0,1
2.2227972,-1.8922349,0,0
0.52770007,-0.24928783,0,0
1.8731523,-1.3426179,0,1
0.57614964,-0.11624928,0,0
-1.0986674,1.002142,1,1
2.3380275,-2.1866057,0,1
1.6904728,-1.2368736,0,1
2.161414,-1.8300419,0,1
2.3572552,-2.1903863,0,0
2.4141066,-2.382352,0,0
-0.16382532,0.34318826,1,1
1.0003133,-0.694223,0,0
1.7583389,-1.2564914,0,0
-0.3118925,0.47168118,1,1
2.0905728,-1.6686841,0,0
-0.25252578,0.40186542,1,1
0.29872644,-0.027279308,0,1
2.1105106,-1.7996715,0,1
1.5212603,-1.1743352,0,1
0.5132909,-0.24009092,0,1
0.8047069,-0.46855405,0,1
0.5214806,-0.2670779,0,1
0.59116215,-0.28147432,0,0
2.094968,-1.7635655,0,0
1.5458739,-1.1746085,0,0
1.4961064,-1.0523243,0,1
1.0944412,-0.70611006,0,1
-0.025604881,0.32134676,1,1
2.3668845,-2.116709,0,0
-0.46132666,0.5647944,1,1
0.53379303,-0.18215741,0,1
2.2607324,-2.0350413,0,0
2.1155927,-1.7788997,0,0
-2.6256964,2.272624,1,1
-0.49379748,0.6262451,1,1
-1.6005986,1.2796028,1,1
-0.94989985,0.889224,1,0
1.6153383,-1.6713235,0,0
-0.62780243,0.6691162,1,0
2.0754807,-1.5885613,0,0
-0.17347017,0.25294432,1,1
1.2517049,-0.84396577,0,1
1.151883,-0.9127956,0,1
2.198017,-1.6281195,0,0
2.1739368,-1.831593,0,1
1.8988566,-1.4930942,0,0
0.3821062,-0.047427196,0,0
-2.5284026,2.088778,1,1
-1.3500841,1.2014412,1,0
-2.3990068,1.9946095,1,0
0.025224537,0.2621806,1,0
-1.0465572,0.98691,1,0
-0.1928005,0.4047034,1,0
0.7000485,-0.39992377,0,1
0.31456968,-0.031572077,0,1
-1.0795274,1.0190666,1,1
-1.948782,1.6153139,1,0
0.069938526,0.20809828,1,0
-2.3167462,1.9319689,1,1
2.3474462,-2.0682628,0,0
-0.41303015,0.5119955,1,1
0.7623789,-0.39727733,0,1
0.77548283,-0.42352507,0,1
1.4943653,-1.0493383,0,0
-0.7467906,0.7488326,1,1
1.5417652,-0.99881893,0,1
-0.3979239,0.56511396,1,1
-0.5729322,0.66102046,1,0
-2.0294096,1.6997814,1,1
-0.77158594,0.8110908,1,1
2.312011,-2.0083082,0,0
2.0859654,-1.6168456,0,1
1.1530298,-0.7231407,0,1
2.2695916,-1.9658194,0,0
0.37310624,0.027776258,0,1
2.093901,-1.5925373,0,1
-0.5828095,0.6450576,1,1
-2.0974958,1.7268414,1,1
0.11743593,0.14993952,1,0
2.2205753,-1.8497951,0,1
0.8662387,-0.46379346,0,0
-2.2114844,1.7960005,1,0
-0.58814067,0.66802704,1,0
1.9037617,-1.451118,0,0
-0.80167395,0.794249,1,0
-0.2133357,0.42448452,1,0
1.0273969,-0.5565057,0,1
-0.6427028,0.7152319,1,1
2.193052,-2.0948286,0,1
0.53090274,-0.16917707,0,1
1.970267,-1.5388238,0,1
2.0013394,-1.5314271,0,1
2.5303319,-2.5201685,0,1
1.8050371,-1.2732532,0,0
-2.0675519,1.6575749,1,0
0.8978579,-0.56650364,0,0
2.5332558,-2.489268,0,0
0.6756667,-0.2419347,0,1
1.9042916,-1.4722157,0,1
1.147593,-0.7484357,0,1
-1.2387004,1.0485187,1,1
1.5471249,-1.1458845,0,0
2.358194,-2.0233083,0,0
-1.4200813,1.1477439,1,1
-1.769986,1.4744804,1,0
1.9917836,-1.4841119,0,1
2.4202974,-2.2153385,0,0
0.5640947,-0.11853659,0,0
1.404187,-0.964467,0,1
1.1533935,-0.7129208,0,1
2.38588,-2.0847251,0,1
-2.6232917,2.1376963,1,1
1.5901656,-1.1443701,0,1
2.5124145,-2.4984004,0,1
2.4460275,-2.290237,0,0
2.3002198,-1.9445825,0,1
1.8645157,-1.4502797,0,0
1.6290637,-1.210994,0,0
-1.4653814,1.2148892,1,1
0.02169054,0.28126928,1,1
2.2569206,-1.9638577,0,1
2.3220332,-2.10159,0,0
2.4930456,-2.4368248,0,0
2.4512718,-2.259979,0,1
-0.3624714,0.54023236,1,0
0.8553658,-0.48549566,0,0
1.7457137,-1.395479,0,0
1.8466754,-1.3711528,0,1
1.0678746,-0.58574533,0,1
1.4932525,-1.1361866,0,1
-2.3368285,1.9240996,1,1
1.6513103,-1.1984274,0,1
-0.14251244,0.40547654,1,0
1.750967,-1.2812054,0,1
-0.514593,0.6499563,1,0
2.5450137,-2.5884652,0,1
2.4980006,-2.4507751,0,0
2.5380886,-2.5309637,0,1
-0.092302494,0.3641864,1,0
1.6286132,-1.1345366,0,0
2.5534356,-2.5744734,0,1
-2.7515485,2.2687604,1,1
2.5042882,-2.4655793,0,1
0.7852842,-0.3776231,0,0
-0.068717934,0.36202505,1,0
1.8403349,-1.370873,0,1
-0.5571459,0.66663986,1,0
2.5568213,-2.5505152,0,0
2.4883273,-2.4277868,0,1
2.4121401,-2.1230125,0,1
2.1031094,-1.6750609,0,1
2.4349878,-2.1971927,0,1
0.38320827,0.021645011,0,1
1.4567392,-0.9620496,0,0
2.0935495,-1.5906906,0,0
-1.1566335,0.88598615,1,0
-2.8178566,2.3114924,1,1
0.18532726,0.14562732,0,0
-1.7014823,1.3368995,1,0
-0.7046998,0.8421654,1,0
-0.9224128,0.86914235,1,1
-0.53783697,0.51181734,1,0
-0.6893366,0.72196436,1,0
-2.3188133,1.9163014,1,0
0.7606473,-0.46121848,0,0
0.42964458,-0.17795962,0,0
2.551869,-2.5924265,0,1
1.6888729,-1.1665704,0,0
1.7976413,-1.2842674,0,0
1.5219376,-1.0417391,0,1
-2.7634857,2.1223192,1,0
2.4547937,-2.4767354,0,0
-2.7686622,2.1853232,1,1
-0.703005,0.7180494,1,1
-0.13768147,0.35954064,1,1
-2.773792,2.363182,1,1
-1.6816005,1.4072739,1,0
-2.0238836,1.6499412,1,1
-1.7692642,1.408611,1,1
-2.2076068,1.8106745,1,0
-1.9306849,1.5682836,1,0
-1.9832168,1.6030446,1,0
-2.2303145,1.8452692,1,1
-0.965458,0.91208863,1,1
-1.2153184,1.0665746,1,1
-0.8995764,0.8759173,1,0
-0.9884992,0.90943843,1,0
-0.40877482,0.56635255,1,1
-1.2130822,1.0276234,1,0
-2.655554,2.1839924,1,0
-2.2549422,1.8835392,1,0
-0.85305345,0.79465604,1,0
-0.008501053,0.28440756,1,1
-2.2289855,1.931789,1,1
-2.6519175,2.1373813,1,1
-2.8123438,2.275498,1,1
-2.088722,1.6284161,1,0
-0.86356795,0.76791424,1,1
-0.038820967,0.31408373,1,1
-2.8210137,2.2997978,1,0
-2.8426812,2.3166215,1,0
-2.6715038,2.190109,1,0
1.922899,-1.5509813,0,0
-1.0176347,0.8846495,1,1
-1.7174072,1.3877059,1,0
2.176648,-1.8050503,0,0
2.4212592,-2.4266036,0,1
0.71841615,-0.42911974,0,1
2.3962512,-2.3193948,0,1
1.4460753,-0.9690183,0,0
1.8076475,-1.3655686,0,0
-2.2852194,1.8667922,1,1
0.2539733,-0.02706576,0,0
1.0191965,-0.70330364,0,0
-0.44636053,0.542451,1,1
-1.7573103,1.3663654,1,1
-0.17592004,0.37748918,1,0
2.3860464,-2.2603428,0,0
1.3632312,-0.95740145,0,0
-0.504095,0.4812921,1,0
2.1527936,-1.9440725,0,0
1.1324786,-0.83686763,0,0
-2.741421,2.2575433,1,1
2.4053998,-2.3918889,0,1
1.868028,-1.4013965,0,1
1.9773022,-1.4081122,0,0
2.4181826,-2.2317235,0,1
2.1368995,-1.6244195,0,0
-2.677467,2.180731,1,1
-0.4071639,0.5527504,1,1
0.787429,-0.4010616,0,1
-0.79724735,0.75152147,1,1
1.5044162,-1.033726,0,1
2.2485762,-1.8704809,0,0
2.3058841,-2.0287535,0,0
-2.091799,1.7458711,1,0
0.5153672,-0.14276369,0,0
2.2050402,-1.9146509,0,1
-1.5038841,1.2670854,1,1
-2.3785226,2.0206954,1,0
2.4185126,-2.3060641,0,0
-0.047326945,0.29105115,1,1
-1.2502532,1.0720348,1,1
2.418802,-2.3474052,0,0
0.37180495,0.030517353,0,1
-1.4542205,1.2492259,1,1
1.7959151,-1.3028257,0,1
2.155798,-1.7457951,0,0
2.2941544,-2.0777385,0,0
2.4317205,-2.3344104,0,0
1.3219243,-0.8146652,0,1
2.0605855,-1.555935,0,1
1.9260595,-1.4515103,0,1
1.7824825,-1.2643442,0,1
1.6361287,-1.1831168,0,1
2.37131,-2.2900307,0,1
2.2242148,-1.8557172,0,1
-0.090105146,0.36938062,1,1
2.2435977,-1.9225353,0,1
2.4631891,-2.3781204,0,1
-2.2681768,1.8888457,1,1
1.6292193,-1.1610539,0,1
2.4883006,-2.4751732,0,0
-2.1303353,1.7427758,1,1
1.3612754,-0.93464416,0,1
2.363688,-2.196915,0,0
-2.5823877,2.1418874,1,1
-1.7764761,1.4168723,1,1
-0.02592083,0.30198732,1,1
2.1165268,-1.7286558,0,1
2.3996308,-2.2104053,0,1
2.3518288,-2.211586,0,1
2.4873054,-2.4752467,0,1
1.9461386,-1.3979927,0,1
-1.704339,1.3890471,1,1
2.4855154,-2.4057496,0,0
2.5107286,-2.4975388,0,0
0.4063496,-0.055627447,0,0
1.9272718,-1.3349373,0,1
-0.7958726,0.7951216,1,1
-1.3354645,1.0620039,1,1
2.0188477,-1.5321488,0,1
0.34537283,-0.11093041,0,1
1.8715538,-1.2965261,0,1
-0.11911306,0.33183238,1,0
0.14698397,0.18402767,1,1
-1.1864285,1.0395854,1,1
-1.4684217,1.2316561,1,1
-0.8802268,0.8494269,1,1
-2.6069496,2.1780126,1,1
2.2452133,-1.8340851,0,1
1.6453342,-1.1712654,0,1
1.9415147,-1.6163942,0,1
2.2377412,-1.8335736,0,0
1.0958564,-0.6584729,0,1
2.3623283,-2.1638713,0,1
2.4892309,-2.4711053,0,1
2.3978226,-2.1092446,0,0
-0.57615465,0.640991,1,0
-2.7442257,2.285283,1,0
-2.2574635,1.7910101,1,0
-1.495852,1.2114866,1,0
-2.1400619,1.6563778,1,0
-1.9851495,1.6167964,1,0
-0.20472132,0.35361353,1,1
-0.672427,0.659298,1,1
-2.3092268,1.8643618,1,1
-1.6547203,1.3074888,1,1
-1.64276,1.3374538,1,1
2.16052,-1.8733411,0,1
1.1905103,-0.6700272,0,1
2.1642635,-1.7235482,0,1
2.2388468,-1.9577329,0,1
-0.0884103,0.39782864,1,1
0.41824546,-0.0459903,0,1
2.3327293,-2.194879,0,1
-1.4619792,1.2722452,1,1
-1.8714955,1.5838971,1,1
2.4308617,-2.3127592,0,0
2.500266,-2.5141013,0,0
-1.0537508,0.98294026,1,0
2.451191,-2.4621093,0,0
2.453863,-2.4056926,0,0
1.2613311,-0.86601,0,1
-1.3910315,1.2297997,1,1
2.290617,-1.9334006,0,1
2.3630254,-2.1336257,0,0
2.3197525,-1.9736735,0,0
2.442041,-2.4206305,0,0
2.413871,-2.266808,0,0
2.331762,-2.102809,0,0
2.4215076,-2.3231206,0,0
1.7405249,-1.3296309,0,0
2.3796399,-2.077665,0,0
1.1023722,-0.6993412,0,1
1.8777266,-1.4061171,0,0
1.9037273,-1.4883934,0,0
1.704833,-1.2990503,0,1
2.0719817,-1.5801421,0,0
2.2907505,-1.9931544,0,0
2.1301444,-1.723786,0,0
2.3984902,-2.2545872,0,0
2.5373368,-2.5367076,0,0
-2.6293347,2.1486857,1,1
-0.07875898,0.37542734,1,1
-2.7266407,2.2144275,1,1
-2.7020762,2.1861665,1,1
1.8260202,-1.2775024,0,1
2.3107255,-2.124462,0,1
2.3832643,-2.2119157,0,1
2.5068483,-2.4799867,0,1
1.8932797,-1.4747934,0,1
2.3504684,-2.0837371,0,1
2.4551177,-2.396087,0,1
2.5041273,-2.493055,0,1
2.3767736,-2.1838162,0,1
1.217688,-0.7222464,0,1
2.2105455,-1.8177507,0,1
0.94650924,-0.54140383,0,1
-1.4983985,1.2708201,1,1
-1.1893959,1.0217785,1,1
-2.4749496,2.0448215,1,1
-0.61794704,0.6288467,1,1
2.4717026,-2.401291,0,1
-0.29926145,0.49540743,1,0
-0.3771075,0.50243694,1,0
0.28439528,-0.21529807,0,1
0.2767838,-0.11257005,0,1
1.7133477,-1.2604086,0,0
-0.82604676,0.7734719,1,1
-2.0025117,1.6365653,1,0
0.8468172,-0.62482816,0,1
-1.3261297,1.1091794,1,0
-1.6330088,1.3637393,1,1
-0.9611745,0.8636299,1,0
-0.8633358,0.78539616,1,0
-0.23196767,0.392103,1,0
-0.015392177,0.1386906,1,1
-1.1082268,0.91975826,1,1
-1.1041689,0.8900649,1,0
0.81533796,-0.5589183,0,1
-1.2554983,0.9848546,1,1
1.9649833,-1.6306251,0,0
-1.2170267,0.916133,1,1
-1.771802,1.4282063,1,0
2.0613031,-1.8864548,0,1
-0.85104984,0.7213534,1,1
-1.8912009,1.5277367,1,1
2.0361168,-1.6080449,0,0
-2.2619011,1.8216085,1,0
-2.624698,2.1092403,1,0
2.4122984,-2.3026772,0,0
2.0140212,-1.6890699,0,0
-1.5229349,1.2278986,1,0
0.34280106,-0.27984402,0,0
-0.71589845,0.67355543,1,1
2.1802723,-1.8551128,0,1
-0.0011098124,0.22923706,1,0
