undermine_score,support_score,predict_label,gold
3.5678518,-1.5701708,0,0
3.4805517,-1.5006031,0,0
4.1070333,-2.0507133,0,1
4.129673,-2.0956964,0,1
3.805472,-1.8009659,0,1
2.5792208,-0.9444569,0,0
3.5343666,-1.5491052,0,0
4.1288834,-2.174232,0,0
4.107345,-2.2056131,0,0
4.3163843,-2.240357,0,0
4.1198897,-2.094717,0,0
4.1105943,-2.047071,0,0
3.8909435,-1.9119725,0,0
-4.242296,3.8683379,1,0
-0.15736917,0.78077024,1,1
-4.195045,3.8801272,1,1
-2.5303502,2.7990189,1,0
-4.1659026,3.8533826,1,0
0.24283525,0.16179949,0,0
-3.3011417,3.2488804,1,1
-4.1670957,3.7393827,1,1
-3.9803963,3.7468512,1,0
-0.45823774,0.97866327,1,0
0.31244406,0.45190203,1,0
-1.7983141,2.1261978,1,0
-3.6046596,3.5997872,1,0
1.5345411,-1.0368658,0,1
-2.8133073,3.0209365,1,1
-1.4456112,1.692039,1,0
-3.9999416,3.7568986,1,0
-4.127908,3.9079366,1,0
-3.7712314,3.547319,1,1
-0.28138965,1.0380464,1,1
1.7534542,-0.51525617,0,1
-1.0952307,1.5186611,1,1
-1.4206172,2.022327,1,1
-2.0052714,2.399703,1,1
-2.8790853,2.857541,1,1
-1.7181023,2.253496,1,1
0.52209014,0.65151674,1,1
3.7765303,-3.2738867,0,0
-0.88695955,1.2664075,1,0
-2.2264352,2.3643117,1,0
-3.1381228,3.2487872,1,1
-0.98531014,1.1049887,1,0
-0.10038879,0.3339006,1,0
-1.2900038,1.8505341,1,1
-2.0641158,2.4184475,1,1
-1.2459753,1.5911587,1,0
2.5273004,-2.2036076,0,0
-1.215178,1.321998,1,1
1.9955901,-1.5198824,0,1
-1.2322339,1.7652792,1,1
-1.3625796,1.8810064,1,1
-4.0224233,3.5780709,1,1
0.09867602,0.41565886,1,1
-1.6276407,1.9017304,1,0
-2.9572892,2.73193,1,1
-3.4116628,3.4359941,1,1
-3.308234,3.367117,1,1
1.3083714,-0.7694278,0,1
-3.1148129,3.1614633,1,0
-1.322853,1.8295745,1,1
0.7774702,-0.087936655,0,1
2.3032908,-1.8252119,0,0
3.1852183,-2.528904,0,0
2.1923337,-1.6251084,0,0
2.7256231,-1.9670852,0,0
3.219266,-2.4777918,0,0
-2.237835,2.560188,1,0
2.2562702,-1.4054092,0,0
0.29179916,0.23647028,0,1
-2.0198374,2.4017034,1,0
3.0585175,-1.9586874,0,0
-1.5681683,1.765136,1,1
2.9168844,-1.6140851,0,1
1.170297,-0.103968896,0,1
3.204019,-1.7376139,0,1
0.7535942,0.3346043,0,0
2.0607228,-1.1564436,0,1
3.6916413,-2.4543402,0,0
-2.1294165,2.3195572,1,1
-3.0969148,3.089352,1,0
-1.4378005,1.8984693,1,1
2.5341759,-1.4469897,0,1
-0.38545334,0.7637609,1,1
-0.025760382,0.69858533,1,0
-1.4714376,2.1119783,1,0
3.8640733,-2.6176915,0,0
0.6106543,0.15031259,0,1
3.2185092,-2.192081,0,1
0.14540866,0.8240661,1,0
0.1518521,0.6706542,1,1
2.3971708,-1.4099083,0,0
1.5017802,-0.5421933,0,1
-2.462016,2.3497896,1,1
-5.493375,4.778333,1,1
3.476551,-3.0830936,0,1
3.9747195,-4.143103,0,1
-4.1354795,3.7111712,1,1
-2.4788065,2.0146608,1,1
-0.635037,0.76747936,1,1
2.6573372,-2.3072708,0,1
3.2475138,-3.0235739,0,1
-3.7624629,3.3039575,1,1
-0.5411491,0.5350983,1,1
-2.3570347,2.329431,1,0
-5.1699376,4.5857816,1,1
-4.68142,4.040563,1,1
-4.869806,4.4120803,1,1
3.669278,-3.1594076,0,1
-5.1674104,4.590155,1,1
-4.749662,4.2583013,1,1
-2.0333242,1.9890717,1,1
-3.8216383,3.5442803,1,1
-0.65002567,0.86341405,1,0
-5.231337,4.638655,1,1
-1.9854013,1.9915509,1,0
-3.089313,2.876739,1,1
-1.0940298,1.1011503,1,1
3.2359395,-2.691549,0,1
3.9103515,-3.7268426,0,1
3.1156583,-2.0190296,0,1
-1.1940937,1.6431061,1,0
4.429541,-3.2847934,0,1
4.0057845,-2.988049,0,1
4.038235,-2.8584116,0,1
3.9444742,-2.9779081,0,1
-0.34516624,1.1985759,1,1
2.9573479,-1.9200271,0,1
3.3720052,-2.2627892,0,0
2.5270638,-1.6896778,0,0
-3.0138764,3.142012,1,0
2.4913664,-1.4809719,0,1
2.535305,-1.5006905,0,1
2.1989298,-1.387947,0,0
1.820275,-0.37438118,0,0
-2.281301,2.5417094,1,0
2.169363,-1.3411058,0,1
0.45080042,0.3488525,0,0
0.66395944,0.29691324,0,1
0.03446155,0.76065284,1,1
3.1546922,-2.1750138,0,1
-1.3915066,1.9243461,1,1
-1.7487137,2.0329704,1,0
3.6365151,-2.6903124,0,1
3.2406864,-1.9356145,0,0
-1.5391203,1.9810048,1,0
3.92109,-2.9032726,0,1
-1.6514852,1.9742877,1,0
1.3385211,-0.2609423,0,0
1.519137,-0.53901947,0,0
3.3759134,-2.5036502,0,0
2.3791103,-1.0506979,0,1
3.9117544,-2.8552878,0,0
-2.2498798,2.7822933,1,1
2.1878152,-1.4243325,0,0
4.038241,-3.0895262,0,0
-1.9062479,2.3591435,1,1
3.6501682,-2.7053494,0,0
3.1555486,-2.2157116,0,1
2.860229,-1.7698117,0,0
-0.9739784,1.6913679,1,1
3.6105866,-2.5751348,0,1
2.416645,-1.6402601,0,0
4.0552454,-3.1399162,0,1
3.2352185,-2.2826123,0,1
2.0123127,-1.0223655,0,1
3.2547746,-2.338263,0,1
2.3515077,-1.0570986,0,1
3.9726095,-2.928408,0,1
2.7566035,-1.5985214,0,0
2.0804205,-1.0957218,0,1
-0.6191037,1.1795081,1,0
3.284127,-2.1888285,0,1
1.3836803,-0.4059444,0,1
2.152609,-1.2289081,0,0
3.4540148,-2.5879369,0,0
2.369107,-1.589553,0,1
