undermine_score,support_score,predict_label,gold
-1.4213941,1.7226946,1,1
7.5926256,-9.456918,0,0
-7.1675878,9.140764,1,1
-1.4711251,2.1756275,1,1
-6.7433724,8.588007,1,1
-8.686065,10.789072,1,1
-9.057705,11.380413,1,1
-8.10909,9.69413,1,1
-9.057705,11.380413,1,1
-6.0573683,8.376918,1,1
-7.386543,9.390489,1,1
-7.8434744,9.798407,1,1
-8.283915,10.263135,1,1
7.818159,-9.306896,0,0
8.412001,-10.87225,0,0
6.482069,-8.648927,0,0
7.759288,-9.605832,0,0
7.387119,-9.626362,0,0
6.798873,-8.618175,0,0
2.2552671,-3.2771971,0,0
6.92607,-8.636322,0,0
-8.1162,9.9932575,1,1
-8.418944,10.588842,1,1
-7.7442966,9.953093,1,1
-7.962424,9.800421,1,1
-6.4661,8.534045,1,1
-8.201116,10.684062,1,1
-7.0534315,8.941963,1,1
-5.2890544,6.335386,1,1
-6.3891697,7.6093345,1,1
-6.8325977,8.2982435,1,1
2.2581067,-3.5757504,0,0
2.7202048,-4.191414,0,0
2.5481303,-3.8482547,0,0
7.219122,-9.202128,0,0
7.567683,-10.25755,0,0
5.607232,-6.3011646,0,0
7.906149,-10.164107,0,0
6.949246,-8.495365,0,0
8.279085,-10.327629,0,0
8.011097,-10.41507,0,0
8.488371,-10.560287,0,0
8.390719,-10.529846,0,0
-5.015754,5.966882,1,1
-5.358126,6.294742,1,1
-1.4691753,1.7040793,1,1
-6.874552,8.010128,1,0
6.351304,-7.51942,0,0
7.466815,-8.899316,0,0
-4.583643,5.2527695,1,1
-6.0742497,7.4473877,1,1
-2.030463,2.6480637,1,1
-8.732481,11.033916,1,1
-6.7854004,8.265179,1,1
-5.113342,6.205537,1,1
8.4440975,-10.847162,0,0
-7.7311807,9.476425,1,1
-7.7057953,9.449377,1,1
-8.626098,11.045881,1,1
3.808865,-4.9268374,0,1
-6.50251,7.8397436,1,1
7.6524434,-9.266062,0,0
4.5301285,-5.126376,0,0
-7.6854362,9.574689,1,0
-1.3818084,1.2945783,1,1
-6.612413,7.876473,1,1
-6.9318886,8.503825,1,1
-8.843138,11.493121,1,1
6.2555466,-7.556757,0,0
-4.200961,5.3175516,1,1
-2.1730676,2.4255538,1,1
-6.2021375,7.6768074,1,1
-5.350214,6.793812,1,1
-4.1331015,5.1783886,1,1
4.647725,-5.8863306,0,0
-3.047615,3.5960793,1,1
-7.5309763,9.72361,1,1
0.057887077,-0.063144684,0,0
-8.239405,10.871769,1,1
3.5598385,-4.1312385,0,1
5.4739685,-6.881986,0,1
5.9412823,-7.698939,0,1
5.752279,-7.5039825,0,1
-1.8227727,2.0809655,1,1
-2.0646162,3.1268773,1,1
3.4444132,-4.3380585,0,1
4.5896516,-5.542784,0,1
8.270495,-9.56336,0,0
6.365786,-7.8020453,0,0
8.627193,-10.278828,0,0
8.522789,-10.534233,0,0
-6.5754204,7.553838,1,1
-8.3108225,9.666822,1,1
-8.029185,9.39977,1,1
-6.2595844,7.808495,1,1
-8.491279,10.579727,1,1
-1.7670712,2.4472356,1,1
0.7207167,-0.4378357,0,1
-4.6171722,5.999393,1,1
-7.843639,9.529201,1,1
7.3978925,-8.925787,0,0
7.8989935,-9.851162,0,0
5.935282,-7.3171253,0,1
1.8786933,-2.1481583,0,1
-5.0180616,5.347089,1,1
-8.089075,10.147833,1,1
-8.637257,10.661539,1,1
6.334239,-7.752374,0,0
5.7568493,-7.8665195,0,0
-0.06309223,0.07015419,1,0
4.6434174,-5.2305627,0,0
3.5006018,-3.9558673,0,0
1.4614575,-1.3291332,0,0
-5.3599033,6.147523,1,1
-7.789418,9.578476,1,1
-7.471224,9.142405,1,1
-8.337125,10.493734,1,1
