undermine_score,support_score,predict_label,gold
-5.880553,6.2790174,1,1
10.163801,-10.181673,0,0
-7.8182564,7.8291802,1,1
-5.050189,4.717902,1,1
-6.199282,6.4491363,1,1
-10.046316,10.054,1,1
-10.383812,10.001908,1,1
-10.037285,9.9248295,1,1
-10.383812,10.001908,1,1
-10.27425,10.391599,1,1
-9.792068,9.570056,1,1
-9.543302,9.530048,1,1
-9.380845,9.280472,1,1
9.204239,-9.040741,0,0
9.696969,-9.824007,0,0
8.428362,-8.676419,0,0
11.033459,-10.708514,0,0
9.288181,-9.502412,0,0
10.9103775,-11.177782,0,0
8.862655,-8.510094,0,0
9.718773,-9.769221,0,0
-8.908672,8.918574,1,1
-10.57406,10.668838,1,1
-8.7593,8.718716,1,1
-8.847013,8.85833,1,1
-9.92866,9.930327,1,1
-10.305138,10.368545,1,1
-8.715666,8.829405,1,1
-8.16139,7.974602,1,1
-9.101829,8.974533,1,1
-8.582921,8.76637,1,1
9.2065,-9.457211,0,0
7.570097,-8.434635,0,0
7.9263377,-9.068959,0,0
10.305252,-10.363723,0,0
10.290643,-9.962395,0,0
10.037768,-10.03272,0,0
10.510073,-10.564588,0,0
10.101835,-10.204527,0,0
11.336885,-11.172297,0,0
11.038454,-10.693917,0,0
10.868385,-10.735633,0,0
9.77046,-9.415008,0,0
-7.3250923,6.854585,1,1
-6.929734,6.353095,1,1
-6.676136,6.15049,1,1
-9.502311,9.419694,1,0
9.983328,-9.718281,0,0
9.561527,-9.585602,0,0
-8.742187,8.6646185,1,1
-8.234774,8.0670395,1,1
-4.940045,5.4221687,1,1
-8.990732,8.9593525,1,1
-9.706215,9.445662,1,1
-8.003155,7.816125,1,1
8.8257065,-8.37472,0,0
-5.921373,7.587373,1,1
-10.390611,10.542698,1,1
-11.183716,11.029043,1,1
8.239382,-8.348979,0,1
-9.751903,9.804369,1,1
10.240225,-10.391825,0,0
6.3849416,-5.8169627,0,0
-11.095476,11.16957,1,0
-7.774026,7.613739,1,1
-10.255732,10.267273,1,1
-9.728071,9.83916,1,1
-5.534894,6.307417,1,1
10.585855,-10.580787,0,0
-7.226508,7.46281,1,1
-1.7016407,1.7035966,1,1
-8.97927,9.012221,1,1
-8.902953,8.840751,1,1
-6.817146,7.0336285,1,1
6.2348185,-5.1950216,0,0
-9.949324,10.138415,1,1
-9.322746,9.476458,1,1
0.06552458,-0.08207321,0,0
-9.6078615,9.561773,1,1
7.9523983,-7.9703474,0,1
8.327689,-8.167577,0,1
9.1378975,-9.239254,0,1
7.2189198,-6.780271,0,1
1.2041428,-0.40883827,0,1
-2.3650193,2.9782147,1,1
6.397392,-5.8759284,0,1
9.117235,-8.871039,0,1
9.533514,-9.415982,0,0
8.830309,-8.607763,0,0
10.924057,-10.855827,0,0
9.526108,-9.56306,0,0
-8.120444,7.8390083,1,1
-10.470915,10.392849,1,1
-10.104975,10.127808,1,1
-8.750858,8.678586,1,1
-10.265008,10.22367,1,1
-2.6635747,3.4111133,1,1
-4.9242053,5.4064994,1,1
-6.941243,7.280898,1,1
-8.641833,9.053948,1,1
7.965979,-7.4576697,0,0
8.790886,-8.355009,0,0
7.275919,-6.874753,0,1
0.075657845,-0.07556474,0,1
-8.99556,9.08241,1,1
-10.101163,9.775665,1,1
-10.301961,10.336138,1,1
10.866469,-10.72883,0,0
11.132467,-10.962807,0,0
-0.32455254,0.3846526,1,0
9.764479,-9.511022,0,0
10.350647,-10.280523,0,0
3.106546,-3.0129063,0,0
-6.0889378,6.3319883,1,1
-10.29027,9.950586,1,1
-7.279205,7.6350455,1,1
-10.253884,9.984678,1,1
-9.265889,8.679538,1,1
-8.771055,8.427536,1,1
8.500318,-7.713445,0,0
11.007999,-10.617918,0,0
1.06742,-0.26954985,0,0
-10.333712,10.212783,1,1
-7.0097466,7.365229,1,1
-8.209513,8.535967,1,1
-1.6568768,1.5251496,1,1
-10.230182,10.137494,1,1
5.9125056,-5.1623526,0,1
9.321598,-8.641842,0,0
-1.0946522,1.8750839,1,0
-10.557228,10.51768,1,0
-5.546487,5.6966887,1,1
-9.530915,9.04902,1,1
-10.2928295,10.080019,1,1
-10.397354,10.470375,1,1
-11.141165,11.157671,1,1
-4.2232814,4.5854945,1,1
-9.085294,9.388053,1,1
-8.177644,8.027133,1,1
-6.9017386,6.6198072,1,1
-10.018569,10.119269,1,1
-9.839782,9.792738,1,1
-9.554038,9.184162,1,1
-10.241055,10.249938,1,1
-11.118875,11.263253,1,1
-10.628519,10.61752,1,1
-10.26741,10.324636,1,1
-7.9279165,8.031559,1,1
-9.1204605,9.150469,1,1
5.7114363,-4.9957237,0,0
6.7667317,-6.049693,0,0
0.460948,0.24376583,0,0
-10.645194,10.466691,1,1
-9.71871,9.564402,1,1
6.2446938,-5.7748756,0,0
3.3290057,-4.275433,0,0
-1.3880427,2.211338,1,0
-3.8769135,3.4713712,1,0
-5.829713,6.3232102,1,0
-10.722549,10.658448,1,1
-8.001809,7.8382807,1,1
-10.262918,10.477013,1,1
-8.034343,8.109137,1,1
-8.94309,9.072888,1,1
-10.731736,10.341695,1,1
-10.095506,9.805489,1,1
-9.805876,9.827582,1,1
9.290226,-8.57675,0,0
10.8120365,-10.441873,0,0
9.286398,-9.06254,0,0
9.597783,-9.707244,0,0
-8.795641,8.684532,1,1
-6.4328346,6.8497143,1,1
3.719686,-3.5298629,0,0
3.8040915,-5.2034655,0,1
4.6908054,-6.5257654,0,1
5.08532,-6.8929214,0,0
4.9846535,-6.8510785,0,0
6.401661,-8.672402,0,0
3.9002304,-5.3895574,0,0
3.9033253,-5.4604445,0,1
4.9817066,-6.593209,0,1
2.08918,-3.242779,0,1
3.5170465,-5.0312285,0,1
1.4418354,-2.2818823,0,1
0.4251809,-0.6568136,0,1
1.8792391,-3.0640473,0,1
2.0791056,-2.4122434,0,0
-1.0806433,1.6041868,1,0
-7.7457757,7.8451304,1,1
0.2898414,-0.4738195,0,1
-8.984195,8.72681,1,1
-3.222488,2.1323712,1,1
-2.992683,2.9602153,1,1
-1.0049174,0.14408517,1,1
-4.15126,4.49412,1,1
-3.9421306,4.353997,1,1
-4.268966,4.286294,1,1
10.928547,-11.069603,0,0
-4.925034,5.583042,1,0
-1.706421,1.241724,1,1
2.6662383,-2.5013537,0,1
-1.1290948,1.2777877,1,1
-4.8968983,5.217643,1,1
-6.138627,6.4667463,1,1
-5.4028645,5.217947,1,1
-1.3680642,1.2328231,1,1
9.138383,-8.984647,0,1
5.2160463,-5.0812745,0,0
-8.288006,8.188637,1,1
-6.6972723,6.9658794,1,1
8.528269,-8.027077,0,1
6.567877,-6.111169,0,1
6.065206,-5.9288406,0,0
4.675347,-4.27498,0,1
5.812812,-5.930059,0,0
4.6022353,-5.0229807,0,0
9.7183275,-9.842779,0,0
-5.3613086,5.757494,1,1
8.195723,-7.6303616,0,0
7.055397,-6.5024676,0,0
-6.8995442,6.649901,1,0
9.035433,-8.854775,0,0
6.597293,-6.642382,0,0
-8.848312,8.68597,1,1
-8.899275,8.553216,1,1
-8.624836,8.314243,1,1
4.655259,-5.3854613,0,0
-8.424173,10.507257,1,1
-9.020508,11.273799,1,1
-8.256403,10.362843,1,1
-8.892202,11.147553,1,1
-8.713021,10.889202,1,1
-7.6554356,9.560796,1,1
-7.6751246,9.641677,1,1
-8.554895,10.775244,1,1
-8.702032,10.835424,1,1
-5.744972,7.09151,1,1
-8.843301,10.9782095,1,1
-5.167347,6.2836485,1,1
-9.396047,11.570907,1,1
-8.447644,10.480411,1,1
-8.976374,10.959533,1,1
-8.855356,11.035013,1,1
-5.8296514,7.3541694,1,1
-5.3963904,7.4248753,1,1
-7.238883,8.819822,1,1
-8.318288,10.434466,1,1
-5.7871513,6.9541416,1,1
-7.392604,9.209371,1,1
-7.2615337,9.042856,1,1
-6.9624453,8.757494,1,1
-6.4826117,8.088795,1,1
9.000192,-8.642802,0,0
-9.521998,9.623245,1,1
-9.215492,9.289285,1,1
-9.528233,9.818618,1,0
6.8360634,-6.408295,0,0
-8.464887,8.403566,1,0
1.5098641,-0.77805233,0,1
-10.849894,10.912736,1,1
-11.335415,11.430413,1,1
-11.192654,11.29139,1,1
-10.956684,10.854901,1,1
-11.298872,11.164124,1,1
-9.147837,8.946918,1,1
-8.42116,8.196603,1,1
-8.56436,8.256424,1,1
-8.373061,8.241531,1,1
-8.907105,9.079196,1,1
-7.577038,7.3956456,1,1
9.828579,-9.813268,0,0
10.269533,-10.32374,0,0
10.333498,-10.484556,0,0
9.158302,-9.029209,0,0
8.171261,-7.937192,0,0
1.6488837,-0.8290031,0,0
5.311304,-6.0708847,0,0
1.154034,-1.0759263,0,0
2.2769332,-0.5616436,0,1
-3.3826206,2.034192,1,1
-4.1306396,3.4697497,1,1
-4.552725,3.3102388,1,1
-7.0484743,6.6355186,1,0
7.43262,-6.945034,0,0
-3.7531111,4.0601263,1,0
-5.3755517,5.5422854,1,1
-5.7391424,5.0354667,1,1
-1.9092326,2.526504,1,1
-1.6701765,1.6575739,1,1
-4.8431396,5.7897654,1,1
0.088835716,-0.5856762,0,1
8.108236,-10.127962,0,0
7.262498,-9.303314,0,0
6.7814565,-8.683147,0,0
-7.7805576,9.759785,1,0
-8.45374,10.524086,1,0
-7.8352537,9.8179245,1,0
