undermine_score,support_score,predict_label,gold
-0.0010177791,0.0048954487,1,1
2.8627086,-2.7111661,0,0
-2.804455,2.80371,1,1
-2.8677177,2.2760515,1,1
-2.796387,2.7825572,1,1
-2.773799,2.7568517,1,1
-2.7828155,2.7587113,1,1
-2.7732608,2.7678664,1,1
-2.7828155,2.7587113,1,1
-2.813659,2.7501483,1,1
-2.780598,2.769034,1,1
-0.00114277,7.6293945e-05,1,1
-0.00028556585,0.00039696693,1,1
0.0013120174,-0.022255957,0,0
2.7750623,-2.8068132,0,0
0.07003403,0.078290164,1,0
0.07517481,0.10843915,1,0
2.6369014,-2.6240263,0,0
2.7776108,-2.7358148,0,0
-0.008630991,-0.010095477,0,0
2.8464978,-2.7325735,0,0
-0.000159055,-3.4332275e-05,1,1
-2.8498409,2.7147045,1,1
-0.00051146746,0.0050821304,1,1
0.000169307,9.4890594e-05,0,1
-2.8175795,2.7515512,1,1
-2.822,2.7534044,1,1
-2.8436763,2.7468362,1,1
-2.7715862,2.7705164,1,1
-2.854962,2.7035003,1,1
-2.845902,2.7110846,1,1
-2.765356,2.7729368,1,0
-2.8547192,2.7445693,1,0
-2.8616242,2.7093372,1,0
2.8289037,-2.7503881,0,0
-0.00031089783,0.0004504323,1,0
-0.058606148,-0.04035628,1,0
2.8336837,-2.7378626,0,0
2.8463213,-2.7422047,0,0
0.042119026,0.013843477,0,0
0.07638264,0.06384796,0,0
0.06302357,0.04681033,0,0
0.079374075,0.04542643,0,0
-2.7867599,2.768952,1,1
-2.784895,2.7806208,1,1
-2.7685447,2.7797277,1,1
-2.835358,2.7350373,1,0
2.8161366,-2.7249994,0,0
2.7630634,-2.7786407,0,0
-2.7440848,2.768612,1,1
-2.8146925,2.7546015,1,1
-0.0074088573,-0.03243929,0,1
-2.7507646,2.7662094,1,1
-2.790182,2.7658372,1,1
-2.7618861,2.8555965,1,1
-0.029511213,-0.05311966,0,0
1.2659631,2.0179574,1,1
-2.7716498,2.7920732,1,1
-2.8052,2.7691412,1,1
0.018465519,0.059147954,1,1
-2.790906,2.7934945,1,1
2.8411438,-2.7118077,0,0
2.891014,-2.5837831,0,0
-2.8192573,2.7663264,1,0
-2.8313446,2.7572224,1,1
-2.8161683,2.752624,1,1
-2.8514524,2.731092,1,1
-2.7795506,2.792093,1,1
2.8060822,-2.758871,0,0
-2.760789,2.754029,1,1
-2.762583,2.8530421,1,1
-2.7543344,2.7723703,1,1
-2.7770889,2.7680159,1,1
-2.7576616,2.7770092,1,1
2.8239064,-2.7711375,0,0
-2.2070568,2.531841,1,1
-2.8072598,2.758155,1,1
0.0028812885,0.0024140477,0,0
-2.8145235,2.7571812,1,1
2.7660606,-2.8146348,0,1
2.7619774,-2.790787,0,1
2.7619562,-2.7972648,0,1
0.034981728,0.25971892,1,1
-1.442462,2.0240026,1,1
0.0073843,-0.0019445419,0,1
0.024817705,0.007266104,0,1
-0.04742837,-0.12093666,0,1
2.8178926,-2.755816,0,0
-0.13068604,-0.29608795,0,0
2.8803353,-2.658761,0,0
2.7876492,-2.7678087,0,0
0.0001835227,0.00023770332,1,1
-2.838801,2.7390258,1,1
0.00013917685,0.0018999577,1,1
-2.8816154,2.625906,1,1
-2.8857648,2.6061535,1,1
-2.8906784,2.6330628,1,1
-2.7821088,2.782497,1,1
-2.8194585,2.751863,1,1
-2.8737726,2.6595154,1,1
-0.057779074,-0.030719697,1,0
-0.033328533,-0.05671388,0,0
2.6816041,-2.1671314,0,1
0.01131916,0.0062387586,0,1
-2.8716075,2.3782077,1,1
-2.797303,2.7633924,1,1
-0.00053843856,0.0153057575,1,1
2.7700183,-2.8301842,0,0
2.8411763,-2.6953075,0,0
0.01802826,0.0034481883,0,0
-0.0026478171,-0.024143457,0,0
0.024916887,0.07669699,1,0
2.7855494,-2.7488046,0,0
0.045433044,0.022532046,0,1
-2.8593278,2.6647394,1,1
-2.8734245,2.680777,1,1
-2.7352173,2.7911925,1,1
-2.7353213,2.8009133,1,1
-2.7401145,2.7759924,1,1
0.06504202,0.030827701,0,0
0.11713338,0.10991895,0,0
-0.08287716,-0.16025835,0,0
-2.8144896,2.7493062,1,1
-2.7572258,2.786484,1,1
-2.8323874,2.7803178,1,1
2.776997,-2.75538,0,1
-2.7838752,2.7703705,1,1
2.708374,-2.715115,0,1
0.10912299,0.18041068,1,0
-0.048040867,-0.19367382,0,0
-2.8593256,2.6492434,1,0
-2.77737,2.7661257,1,1
-2.7586558,2.7564244,1,1
-2.8866053,2.5641024,1,1
-2.7535176,2.7754104,1,1
-2.808852,2.753768,1,1
-2.8524454,2.7051797,1,1
-2.772317,2.7595723,1,1
-0.28234923,0.2066083,1,1
-2.7997549,2.8069685,1,1
-2.6977675,2.8946037,1,1
-2.8633795,2.7058277,1,1
-2.7871969,2.7751193,1,1
-2.7970386,2.7739997,1,1
-2.770473,2.756133,1,1
-2.74331,2.7820299,1,1
-2.7681432,2.785489,1,1
-4.6253204e-05,0.03213501,1,1
-2.7413468,2.7783816,1,1
0.03332448,0.16724604,1,0
0.23878455,-0.5450053,0,0
2.862153,-2.7467449,0,0
-2.7699974,2.7573833,1,1
0.0028973818,0.11575174,1,1
0.0055828094,-0.0037173629,0,0
-0.0425663,-0.079128504,0,0
-2.8212333,2.7644584,1,0
-2.800388,2.7563624,1,0
-2.8012893,2.7605295,1,0
-2.7813811,2.7656882,1,1
-2.7465844,2.7726345,1,1
-2.7825208,2.765732,1,1
-2.7565,2.7695746,1,1
-2.8378205,2.7269154,1,1
-0.0002925396,0.0046858788,1,1
-2.8814228,2.6386046,1,1
-2.7412045,2.7948413,1,1
-0.021957636,-0.019388318,1,0
2.871264,-2.681007,0,0
2.7718196,-2.7715888,0,0
2.754686,-2.786171,0,0
-2.7831478,2.7830656,1,1
-2.8120124,2.749886,1,1
2.8237934,-2.744881,0,0
-2.8278651,2.6744895,1,1
-2.8341267,2.5811956,1,1
-0.0027869344,-0.008412838,0,0
-2.3829072,1.7378023,1,0
-2.8759995,2.4828255,1,0
-0.004133165,-0.010191202,0,0
-0.002158016,-0.016715527,0,1
-0.00037673116,-0.0070176125,0,1
-2.880133,2.3961263,1,1
-0.072829634,-0.030077696,1,1
-0.01148203,-0.013537645,0,1
-2.8456926,2.623642,1,1
-2.7868414,2.6656694,1,1
-2.7461777,2.6803102,1,0
0.022566319,0.0017021298,0,0
-2.7589004,2.7588403,1,1
-0.00086709857,0.0023517609,1,1
-2.7887866,2.7898858,1,1
-2.7561858,2.776239,1,1
-2.7617538,2.7719882,1,1
-2.7680726,2.8403225,1,1
0.078675985,-0.14816165,0,1
0.004602194,-0.018641949,0,1
-2.768465,2.7847257,1,1
0.002522707,-0.002820909,0,0
0.09312487,0.07657009,0,0
-0.06933594,-0.009684563,1,1
0.016973495,-0.050887465,0,1
-2.8170977,2.7523878,1,1
-2.7516513,2.7452145,1,1
2.386178,-1.7495492,0,1
-2.7563844,2.7734423,1,1
-2.8673134,2.6330523,1,1
2.7714365,-2.7676415,0,1
-0.034308672,0.03358996,1,0
-2.7571466,2.7643723,1,1
-2.7680593,2.778094,1,1
2.8164148,-2.6247969,0,1
0.053522825,0.036260843,0,1
-0.046053886,-0.056812525,0,0
-0.08662701,-0.13457978,0,1
0.045615196,0.096443415,1,0
0.0006713867,-0.007006049,0,0
2.7905562,-2.8110356,0,0
-2.7702432,2.810801,1,1
2.7724648,-2.766006,0,0
2.7766285,-2.7403972,0,0
-2.7917383,2.7533288,1,0
2.8391922,-2.757654,0,0
0.5490774,-0.18418968,0,0
-2.7769322,2.7673397,1,1
-2.7866292,2.7567673,1,1
-2.7993698,2.7624888,1,1
-1.2199386,-2.0688186,0,0
1.2525266,2.079448,1,1
1.2620693,2.0801415,1,1
1.2196003,2.0696716,1,1
1.2141292,2.0756588,1,1
1.2271191,2.0667095,1,1
-0.000772357,0.000823617,1,1
1.2220292,2.085257,1,1
0.010086298,0.03186834,1,1
1.2317703,2.0808501,1,1
0.02799797,0.07059753,1,1
1.2229949,2.0697021,1,1
1.2410307,2.10057,1,1
1.2401323,2.0804474,1,1
1.2430829,2.0744734,1,1
1.2383661,2.0840385,1,1
1.1965988,2.0699697,1,1
0.027173162,0.0029976368,0,1
0.010811925,0.017677307,1,1
0.012298584,0.0035692453,0,1
1.2326295,2.0738544,1,1
0.015442371,-0.00025963783,0,1
0.060425997,0.03881967,0,1
0.041570544,0.025658011,0,1
0.013578415,-0.0004338026,0,1
0.05384755,0.025696993,0,1
2.7508826,-2.7465348,0,0
-2.782702,2.7619288,1,1
-2.872118,2.5847292,1,1
-2.7874966,2.7775202,1,0
2.7892027,-2.7593427,0,0
-0.0040724576,0.0204463,1,0
-2.871559,2.5581605,1,1
-2.7742333,2.7718105,1,1
-2.8206465,2.7387538,1,1
-2.7916508,2.7642353,1,1
-2.8575568,2.682836,1,1
-2.7889698,2.7756681,1,1
-0.002203703,0.008225918,1,1
-0.00076794624,0.020009518,1,1
-2.7966473,2.7917795,1,1
-2.8110242,2.7712634,1,1
-2.7870655,2.7635036,1,1
-2.7591636,2.7635963,1,1
2.804236,-2.7532756,0,0
2.8296347,-2.7403553,0,0
2.8335574,-2.727367,0,0
2.872878,-2.6104941,0,0
2.8018856,-2.7696428,0,0
0.11109114,0.060658634,0,0
0.007064879,-0.043685913,0,0
-1.4021217,0.97846675,1,0
2.8897388,-2.589313,0,1
-2.841829,2.7228417,1,1
-2.737596,2.7804127,1,1
-2.871322,2.677511,1,1
-2.789239,2.7543035,1,0
2.7586823,-2.7807388,0,0
-2.7610273,2.7939157,1,0
-2.7544916,2.7669802,1,1
-2.7882524,2.783475,1,1
1.1986212,1.8988867,1,1
1.2359008,1.9187715,1,1
1.2807477,1.9519377,1,1
1.2181365,1.9294678,1,1
-1.2338061,-1.9654735,0,0
-1.2520572,-1.9738362,0,0
-1.2478702,-1.9743607,0,0
1.2370391,1.9617428,1,0
1.1798195,1.9521489,1,0
1.180321,1.9439738,1,0
1.1144454,1.9662323,1,1
0.0016542077,-0.004855752,0,1
1.2223766,1.9551501,1,1
0.014049292,-0.0020147562,0,1
0.086146,0.018252015,0,1
1.2209532,1.9606848,1,1
-1.231988,-1.9570172,0,0
-1.1715779,-1.933872,0,0
-0.0026024282,0.0009550452,1,0
-1.1619933,-1.9218144,0,0
0.010852665,0.0058158636,0,0
-1.2059062,-1.9505533,0,0
-0.016224384,-0.014098406,1,0
-1.1982218,-1.9551917,0,0
0.0016833544,-0.0009319782,0,0
-0.019639015,-0.02140081,0,1
1.1827236,1.9456079,1,1
-1.2616787,-1.9941502,0,0
-1.1762656,-1.9208543,0,0
-1.237354,-1.937308,0,0
0.010370731,0.0010012388,0,1
0.031114817,0.007442236,0,1
1.2502602,1.9720123,1,1
1.2359444,1.9620943,1,1
0.0367527,0.02509451,0,1
0.034431696,-0.026389718,0,1
0.03700781,0.010789394,0,0
-1.1863137,-1.9561219,0,0
-1.2075949,-1.9565876,0,0
-1.1827323,-1.9374467,0,0
0.2191503,0.8566523,1,1
-1.1582999,-1.9225748,0,1
1.2113004,1.9470284,1,1
1.1492232,1.920638,1,1
1.1953583,1.9522045,1,1
0.051398516,0.0107729435,0,1
1.1832545,1.9630117,1,1
2.8474164,-2.737206,0,0
2.7109287,-2.7872858,0,0
-2.723339,2.798972,1,1
-2.7642927,2.784302,1,1
-2.7406442,2.834206,1,1
-2.7926176,2.7685952,1,1
-2.7549205,2.7935946,1,1
-2.7457054,2.7879,1,1
-2.7371104,2.807869,1,1
-0.00036284328,0.005358219,1,1
0.079937935,-0.020544529,0,0
2.7582576,-2.817588,0,0
2.748518,-2.677204,0,0
0.008820772,-0.022185802,0,1
-2.8092136,2.7631454,1,1
0.03185153,0.009108841,0,1
0.10840821,0.11009294,1,0
-2.8722355,2.3505163,1,0
2.7466211,-2.7977402,0,1
-2.845041,2.7261617,1,1
-2.7932243,2.755239,1,1
2.8255851,-2.7906399,0,0
0.03007412,-0.02202785,0,0
0.05452609,0.023718357,0,0
2.8274825,-2.7750273,0,0
2.8427348,-2.733327,0,0
2.8044198,-2.7800083,0,0
-0.00954628,0.01843065,1,1
-2.778318,2.7702289,1,1
-2.796167,2.802603,1,1
-0.00093761086,-0.0013217926,0,1
-2.755509,2.8070717,1,1
-2.7747111,2.7629519,1,1
2.7481194,-2.829184,0,0
2.7638001,-2.828793,0,0
0.028092623,0.037477672,1,0
2.7594094,-2.7866597,0,0
2.7711916,-2.7720919,0,0
2.7802985,-2.7753417,0,0
0.5075557,-0.91222084,0,0
2.8501902,-2.7969415,0,0
0.05896592,0.34716016,1,0
0.008629322,0.0018489957,0,0
0.00011602044,-0.0013794899,0,0
0.011404112,-0.026029348,0,1
-2.5694077,2.6048055,1,1
-0.010260582,0.035437584,1,1
-0.0111067295,0.0067771673,1,1
-0.033061028,-0.015197873,1,1
0.030927658,-0.008128345,0,1
2.7909875,-2.7608514,0,0
-1.2379999,0.679059,1,1
-2.8532763,2.7157285,1,1
2.8411167,-2.7532742,0,0
-2.7751164,2.7601972,1,1
0.0029413998,0.00019931793,0,0
-2.7715995,2.7654505,1,1
2.7785769,-2.781726,0,0
-0.0050115585,-0.03014034,0,0
-0.0005583167,-0.0014219284,0,0
2.7483504,-2.706079,0,0
2.7507288,-2.7921336,0,0
0.2798841,0.3335502,1,0
-2.8203068,2.7502544,1,1
-2.7403042,2.7825856,1,1
-0.41136217,0.9618089,1,0
2.8519354,-2.7889388,0,0
2.7870057,-2.7610297,0,0
-2.7607307,2.7768383,1,1
-0.0008839369,0.0011572838,1,1
-2.7571728,2.7718174,1,1
-2.8163729,2.767893,1,1
-2.8498445,2.7165828,1,1
-0.0017790198,-0.00802803,0,1
-0.0016700029,-0.0051670074,0,1
2.8588989,-2.7439709,0,1
0.10897064,0.06947726,0,1
1.7223572,-2.131272,0,0
0.9593853,-1.0688688,0,0
2.769921,-2.7681813,0,0
0.6360364,-1.0795717,0,0
2.8941383,-2.575683,0,0
-2.8551495,2.725294,1,0
-2.8257532,2.7487323,1,1
-2.8145742,2.7562947,1,1
