undermine_score,support_score,predict_label,gold
-7.6338253,9.815159,1,1
4.6388636,-5.130433,0,0
-10.698282,13.198952,1,1
-0.65459347,0.5442147,1,1
-4.6162257,5.928357,1,1
-13.140821,15.523121,1,1
-11.185627,13.670695,1,1
-12.091389,14.5419235,1,1
-11.185627,13.670695,1,1
-7.4188175,9.874231,1,1
-12.335258,14.864142,1,1
-11.094284,13.324002,1,1
-9.078421,11.272895,1,1
4.3247585,-4.953912,0,0
3.9936643,-4.506956,0,0
3.5314765,-4.038371,0,0
3.6064932,-4.0147076,0,0
3.8136344,-4.3434563,0,0
1.7146397,-1.9138536,0,0
3.1528468,-3.5814881,0,0
3.8191016,-4.6939106,0,0
-7.468143,9.456852,1,1
-10.6095085,13.068367,1,1
-10.103544,12.448669,1,1
-7.1981716,9.114893,1,1
-11.868362,14.489264,1,1
-7.50321,9.582961,1,1
-6.978076,8.93853,1,1
-7.750416,9.96679,1,1
-8.281257,10.5474205,1,1
-8.607857,10.852732,1,1
3.9108183,-4.7415338,0,0
3.5241876,-4.1920147,0,0
4.2179604,-5.2191234,0,0
2.8717597,-3.2637024,0,0
3.7053392,-4.179798,0,0
3.1686063,-3.7779016,0,0
1.525403,-1.9057503,0,0
3.3819292,-3.9145818,0,0
3.4686778,-3.9023385,0,0
2.3838637,-2.7127964,0,0
3.4350715,-3.9048383,0,0
3.1558843,-3.5389824,0,0
-6.377909,7.5397835,1,1
-5.6469827,6.94401,1,1
-1.7656038,2.5881808,1,1
-12.047884,14.448584,1,0
6.64275,-7.6381187,0,0
8.214739,-9.909893,0,0
0.48244667,-0.24870586,0,1
-2.2654018,2.8067627,1,1
2.7549355,-2.8993053,0,1
-9.324032,11.101363,1,1
-9.312006,11.387313,1,1
-2.2747045,3.2634394,1,1
4.043508,-4.6741023,0,0
-5.0047393,5.30266,1,1
-11.692869,14.630448,1,1
-7.8209195,9.264601,1,1
1.1836703,-1.3804283,0,1
-8.816696,10.622847,1,1
6.4571643,-7.239013,0,0
4.8179326,-5.2400994,0,0
-7.498711,9.396498,1,0
1.2906189,-1.1489091,0,1
-6.167862,7.5647717,1,1
-3.2295015,4.070136,1,1
-11.011535,13.278999,1,1
4.980571,-6.0710554,0,0
