undermine_score,support_score,predict_label,gold
-1.4419444,1.8560345,1,1
8.401736,-10.95645,0,0
-11.525819,14.108208,1,1
-0.46491385,-0.9774437,0,1
-4.2008686,6.8954263,1,1
-11.294196,12.309233,1,1
-11.239756,13.723794,1,1
-12.206258,13.096542,1,1
-11.239756,13.723794,1,1
-6.06553,8.437077,1,1
-9.679129,10.264691,1,1
-11.43084,14.2199,1,1
-11.079103,14.149987,1,1
7.0626073,-6.4613857,0,0
10.886828,-13.394716,0,0
10.440952,-12.242998,0,0
10.12068,-10.805327,0,0
11.352825,-13.535541,0,0
9.667078,-12.465515,0,0
5.6482296,-6.2271414,0,0
7.5938067,-9.727112,0,0
-7.823168,9.985888,1,1
-10.549005,12.333979,1,1
-10.684444,13.348173,1,1
-7.44234,9.576924,1,1
-11.949633,13.781241,1,1
-9.278397,11.382487,1,1
-6.1804934,8.614035,1,1
-10.1583,12.808012,1,1
-10.038199,12.697144,1,1
-9.48292,11.452858,1,1
6.1441317,-7.274067,0,0
7.0000696,-8.620466,0,0
6.4254236,-7.860907,0,0
9.050824,-11.824893,0,0
8.907162,-9.915314,0,0
4.381214,-6.8019953,0,0
10.716005,-13.543905,0,0
6.306037,-8.118928,0,0
10.321741,-11.121296,0,0
9.8292675,-10.45926,0,0
11.3692665,-12.6017,0,0
11.325659,-12.592075,0,0
-9.339558,10.535535,1,1
-7.537634,8.655489,1,1
-6.0971565,7.058708,1,1
-6.65369,8.457653,1,0
10.213667,-11.5780945,0,0
4.5044055,-6.4403934,0,0
-7.1695085,8.933603,1,1
-4.75129,5.9995384,1,1
-4.034541,5.8752737,1,1
-7.157119,9.578341,1,1
-10.798738,12.14629,1,1
-4.148549,6.4265018,1,1
8.868725,-10.082275,0,0
-3.11513,2.9581316,1,1
-9.813612,11.591016,1,1
-12.976401,14.802813,1,1
4.6533203,-6.5775533,0,1
-7.238472,8.886613,1,1
8.413778,-8.886261,0,0
9.716084,-11.48124,0,0
-12.296822,14.633599,1,0
-4.6905227,6.44392,1,1
-7.7205067,9.509133,1,1
-7.8217273,9.959678,1,1
-11.996471,13.592271,1,1
9.505905,-11.492364,0,0
-8.829101,11.514402,1,1
-9.26194,11.465027,1,1
-9.881278,12.835508,1,1
-0.54779804,2.667285,1,1
4.2901106,-3.7589521,0,1
4.4844456,-3.3897371,0,0
-6.075871,7.33972,1,1
-1.8214529,3.6997728,1,1
-0.15960407,0.17594957,1,0
-5.3750587,7.4028845,1,1
4.5019636,-6.9642982,0,1
7.703487,-10.015064,0,1
8.397284,-10.924465,0,1
7.7368736,-7.8052444,0,1
-0.25876206,1.7627885,1,1
-4.6544447,4.6663465,1,1
7.2482634,-7.12769,0,1
7.876308,-8.083461,0,1
10.252141,-12.926437,0,0
10.0115795,-12.089094,0,0
10.182638,-10.835258,0,0
9.373583,-11.318489,0,0
-5.056889,5.710632,1,1
-9.525084,11.1171875,1,1
-10.050073,12.575133,1,1
-8.794834,11.363163,1,1
-11.548471,14.469707,1,1
-5.844,8.679581,1,1
-1.0341041,2.8667402,1,1
-2.835566,5.3799253,1,1
-9.619934,12.724161,1,1
9.50363,-10.996028,0,0
11.249287,-12.598368,0,0
2.6973243,-2.1921797,0,1
1.2429745,-1.6100073,0,1
-4.754982,6.813266,1,1
-6.9275713,9.665736,1,1
-12.543438,14.021716,1,1
7.823905,-9.4956255,0,0
11.658466,-13.958719,0,0
0.17626524,-0.14324093,0,0
5.2416215,-6.6234164,0,0
3.6727426,-4.9133015,0,0
4.3684306,-5.349713,0,0
-5.3695555,8.203404,1,1
-12.261202,14.363236,1,1
-11.145624,14.218897,1,1
-7.96959,10.596569,1,1
-9.205602,11.738846,1,1
-3.5462792,4.950382,1,1
4.5667944,-4.422447,0,0
9.254923,-9.235027,0,0
4.4284863,-3.2999277,0,0
-12.536134,14.988634,1,1
-10.443914,12.843603,1,1
-10.304157,12.780562,1,1
-1.276681,2.1966438,1,1
-10.516491,13.269209,1,1
5.701148,-5.4936104,0,1
10.863247,-10.831897,0,0
5.821382,-5.4932575,0,0
-11.860348,14.357286,1,0
-11.287502,13.93293,1,1
-13.541789,15.610258,1,1
-13.557093,15.671962,1,1
-9.771027,12.638953,1,1
-10.692034,13.516565,1,1
-10.133939,12.726304,1,1
-10.251308,13.252803,1,1
-9.766614,11.794346,1,1
-11.750089,13.787208,1,1
-8.972301,10.379292,1,1
-12.004002,13.7799225,1,1
-8.157018,10.252182,1,1
-11.227007,13.407986,1,1
-7.459893,9.991926,1,1
-11.798927,14.497759,1,1
-7.4333487,9.776013,1,1
-5.2273703,7.230957,1,1
-6.9790263,9.465513,1,1
3.0889373,-4.2145634,0,0
8.669028,-8.187152,0,0
