undermine_score,support_score,predict_label,gold
-2.0282283,2.8008728,1,1
-2.2540388,3.1086247,1,1
-4.6385117,5.4913497,1,1
4.64915,-4.2406454,0,0
-1.5063488,2.0345573,1,0
0.07608694,0.018043533,0,0
-8.927346,10.144308,1,1
-6.4689903,7.2548304,1,1
-5.304102,5.5715995,1,1
-0.7422011,1.4251959,1,1
-8.57246,9.590374,1,0
-7.5395837,8.674481,1,0
10.724122,-11.146382,0,0
5.0861125,-4.203849,0,0
-2.255916,2.4840558,1,0
-0.40383315,0.96290976,1,1
0.070356965,0.21886814,1,1
-3.3708024,3.7249393,1,1
-4.193435,4.4126787,1,1
-4.475495,4.4132147,1,1
3.8388178,-2.951328,0,1
-5.0562463,5.8666797,1,1
4.5547705,-4.3972406,0,0
-1.1970743,1.5040303,1,1
-2.9418893,3.3912542,1,1
-4.4189196,4.8761983,1,1
-2.8131444,3.0821304,1,1
8.239696,-7.5644183,0,0
0.0853852,-0.093068,0,1
-1.4114947,1.4100916,1,1
-0.06515467,0.03883636,1,1
-2.1368272,1.9967966,1,0
-2.6092591,2.5879703,1,0
-2.3998578,2.2311935,1,0
2.8375149,-2.6662238,0,0
-2.1843023,2.3336296,1,1
-2.64262,3.071033,1,1
-2.645948,2.9312077,1,1
-2.478943,2.5961864,1,1
-2.8664937,2.7934449,1,1
-2.9064684,2.7229548,1,1
4.3644667,-3.4478035,0,0
2.1944718,-1.5005021,0,0
5.027328,-4.199319,0,0
4.9962764,-4.133407,0,0
4.4601974,-3.6564274,0,0
-2.7231457,3.1368608,1,1
4.404169,-3.8581018,0,0
-2.8062131,3.1083772,1,1
-2.73596,2.297229,1,1
5.4135857,-4.5581713,0,0
4.7591662,-3.9010403,0,0
3.985957,-3.2801375,0,0
4.0885153,-3.4606805,0,0
5.250145,-4.283378,0,0
-2.9491563,2.8966527,1,1
-2.932537,2.8808246,1,1
-2.7288678,2.7717519,1,1
-3.008624,3.0863836,1,1
-2.833133,2.878719,1,1
4.8023024,-3.8431113,0,0
4.753026,-3.8582044,0,0
-2.8595223,2.6058369,1,1
-2.9003053,2.7785492,1,1
3.880055,-3.3578985,0,0
5.074294,-4.1951895,0,0
4.4881454,-3.8646512,0,0
4.3104844,-3.6854908,0,0
-2.7780075,2.7249434,1,1
-2.5709376,2.7007606,1,1
-2.9860604,2.6590233,1,1
-2.8127131,3.0897856,1,1
-3.0460687,3.029242,1,1
-2.9247913,2.9150467,1,1
-2.8096454,2.9057512,1,1
3.4765637,-3.195232,0,0
4.417344,-3.8539493,0,0
2.4042482,-2.3894908,0,0
3.2435687,-3.2491884,0,0
4.6037054,-3.8419924,0,0
4.88372,-4.2160745,0,0
5.153071,-4.1174145,0,0
5.168152,-4.068547,0,0
4.927442,-4.2722335,0,0
-1.6595988,1.5908973,1,1
-1.7528118,1.7630671,1,1
5.0030556,-4.055631,0,0
4.98556,-4.1705456,0,0
5.328465,-4.3753166,0,0
3.5195968,-3.2340434,0,0
4.5925465,-3.7928112,0,0
5.2591367,-4.417116,0,0
4.985527,-3.8883605,0,0
-2.7468743,3.0644674,1,1
-2.7000446,3.2475784,1,1
5.3482246,-4.412204,0,0
3.4929235,-3.1581275,0,0
4.5687494,-3.691862,0,0
5.3413177,-4.3543825,0,0
5.443783,-4.5130005,0,0
-2.8107839,2.4658487,1,1
-3.0037832,2.995403,1,1
4.0415688,-3.5802052,0,0
4.498676,-3.732988,0,0
3.7087438,-3.3836215,0,0
-2.6315055,2.4974022,1,1
4.768736,-3.9500852,0,0
4.980841,-4.1855206,0,0
2.6996355,-2.6149232,0,0
3.7478876,-3.126659,0,0
4.7495556,-3.8586352,0,0
3.9755707,-3.403151,0,0
4.0558677,-3.5917175,0,0
4.582131,-3.911115,0,0
4.325222,-3.7317255,0,0
-2.8631704,2.9894118,1,1
-2.770354,2.7434912,1,1
-2.7973282,3.281807,1,1
-3.0474963,3.161463,1,1
-2.7047093,3.220801,1,1
-2.8112807,3.2535057,1,1
-3.1545548,2.9701297,1,1
-2.6693885,2.8008783,1,1
-2.7868016,3.2005203,1,1
-2.2144341,2.431995,1,1
5.1866174,-4.3115706,0,0
5.074658,-4.1929836,0,0
4.3826957,-3.7232196,0,0
-2.4473453,2.2736068,1,1
-2.3052416,2.025529,1,1
5.4206915,-4.582222,0,0
9.264265,-9.987122,0,0
6.222669,-5.7892284,0,0
5.7140527,-5.128467,0,0
4.693068,-4.1719823,0,0
-3.2043438,3.4062061,1,1
-6.841045,7.4882298,1,1
-2.5450218,2.7605958,1,1
-9.844264,10.515254,1,1
-1.9636161,2.0818906,1,1
-2.0767949,2.0903738,1,1
-9.719333,11.185368,1,1
-4.5585146,5.758859,1,1
-4.6229305,4.385156,1,1
5.405228,-5.835542,0,1
1.615885,-1.0879852,0,1
7.4594717,-8.040458,0,1
-9.138646,10.796802,1,1
-6.301465,6.9390864,1,1
-9.126506,10.715638,1,1
3.8736792,-3.2381425,0,0
10.174439,-10.658275,0,0
4.244174,-4.333195,0,0
9.683208,-10.3759165,0,0
-6.385797,7.744926,1,0
3.8233125,-3.018195,0,0
2.509537,-1.7307192,0,0
-9.037471,9.812138,1,1
4.7641354,-5.1621184,0,0
8.453379,-7.6253705,0,0
7.5191317,-8.400738,0,0
-6.6797996,8.057415,1,1
-5.662251,6.291234,1,1
-1.2993505,1.8334239,1,1
1.6542401,-1.1492114,0,0
0.94894385,-1.1524044,0,1
1.2752892,-1.7759135,0,1
-3.0456908,3.6455383,1,1
-7.8399653,7.977737,1,1
-3.7222347,3.6195295,1,1
-7.9897733,8.3187895,1,1
1.2901727,-1.7084877,0,1
-3.7007325,3.6471243,1,0
4.827701,-3.8595972,0,0
3.5284858,-2.8520327,0,0
6.2522025,-5.353195,0,0
4.572819,-3.708917,0,0
8.048274,-7.352969,0,0
9.85104,-9.86511,0,0
0.69804376,-0.481915,0,0
5.9590116,-5.471489,0,0
2.8681347,-2.568668,0,0
2.6520293,-2.3425145,0,0
2.0671673,-1.2999407,0,0
9.450172,-8.897273,0,0
5.395965,-4.9551826,0,0
2.749862,-2.2758927,0,0
-6.746144,6.7670236,1,0
7.3199883,-8.392013,0,0
-8.689828,10.87607,1,1
-4.5880685,6.63045,1,1
4.7182245,-4.753352,0,0
6.3254857,-7.5301676,0,0
1.2017578,-1.1067379,0,0
4.525655,-4.266724,0,0
1.3441383,-1.4079039,0,0
2.401792,-1.8529389,0,0
3.8831906,-3.5783186,0,0
-4.3279896,3.8194938,1,1
3.9137144,-3.5630727,0,0
3.8472707,-3.4819036,0,0
-1.2802782,1.0425916,1,0
-1.6263287,1.3498359,1,1
-0.9410851,0.77207875,1,1
-2.402045,1.8941485,1,1
-3.1946707,2.530697,1,1
-2.7894406,2.2731118,1,1
1.673484,-1.1267447,0,0
4.5524435,-4.2246375,0,0
4.3507895,-4.0495057,0,0
3.4734688,-3.090065,0,0
3.3854876,-2.9992993,0,0
-3.6895745,3.8600638,1,1
4.6020565,-4.3031173,0,0
4.003516,-3.6404018,0,0
-2.3103175,1.696497,1,1
4.5316105,-4.293219,0,0
-1.6124735,1.24843,1,1
-2.1523488,1.5467429,1,1
2.855762,-2.2663436,0,0
3.8439794,-3.4125133,0,0
4.4260235,-4.282438,0,0
-3.9779816,3.5259738,1,1
