undermine_score,support_score,predict_label,gold
1.9926691,-2.1437073,0,1
-1.6671665,0.9412364,1,1
1.2633736,-1.5462738,0,1
5.3082995,-5.2149954,0,0
4.0338497,-4.2657247,0,0
4.640911,-4.756427,0,0
-1.6689107,0.87347305,1,1
-0.927057,0.5803145,1,1
-1.7796576,1.0424007,1,1
-0.48714137,0.050345063,1,1
-1.973922,1.1071244,1,0
-0.7668886,0.057507873,1,0
5.418172,-5.2817106,0,0
1.0422075,-0.20596886,0,0
-6.0587654,6.137215,1,0
-6.0461054,6.0675006,1,1
-6.332959,6.298776,1,1
-5.757002,5.880069,1,1
-6.454403,6.4563665,1,1
-6.4594917,6.4327374,1,1
-1.5643016,1.8278308,1,1
-6.128339,6.2343173,1,1
1.3059404,-0.35947323,0,0
-6.2848253,6.200893,1,1
-6.4504385,6.4177117,1,1
-6.055645,6.1018353,1,1
-5.8579407,5.9729095,1,1
1.0752275,-0.19722557,0,0
-4.9187617,5.166808,1,1
-5.3880258,5.717876,1,1
-5.197463,5.5168266,1,1
-5.2733364,5.5521626,1,0
-5.0962353,5.377495,1,0
-5.362605,5.640236,1,0
-5.1804037,5.468061,1,0
-1.2636833,0.90672684,1,1
-1.3210461,0.97695684,1,1
-1.0614312,0.7542405,1,1
-1.0638797,0.7304721,1,1
-0.9387746,0.5948086,1,1
-1.1138158,0.7949166,1,1
6.2939615,-5.7266726,0,0
4.595578,-4.3501964,0,0
6.2886267,-5.716976,0,0
6.3206053,-5.7623587,0,0
6.3849535,-5.815561,0,0
-1.4208062,0.98501015,1,1
6.109421,-5.5341845,0,0
-1.2649529,0.95082164,1,1
-0.8356004,0.49324465,1,1
6.2659607,-5.6907053,0,0
6.2192345,-5.6649156,0,0
6.200207,-5.687087,0,0
6.3277836,-5.7488813,0,0
6.3274918,-5.765422,0,0
-1.3602254,0.9452896,1,1
-1.186712,0.79286575,1,1
-1.1325495,0.73680234,1,1
-1.216058,0.9253757,1,1
-1.3065252,0.98618126,1,1
6.1496115,-5.658827,0,0
6.210476,-5.689695,0,0
-1.3488812,0.9933996,1,1
-1.3291037,0.98394346,1,1
6.361659,-5.7821198,0,0
6.316744,-5.744938,0,0
6.273017,-5.7214184,0,0
6.3004074,-5.723157,0,0
-1.2696011,0.97400665,1,1
-1.1083477,0.71802545,1,1
-0.9208667,0.56079817,1,1
-1.0418952,0.6621876,1,1
-1.3864846,0.94620657,1,1
-1.3082664,0.9751301,1,1
-1.3925519,1.0020337,1,1
5.9139214,-5.4380965,0,0
6.199583,-5.6599784,0,0
6.228243,-5.681793,0,0
5.8687553,-5.3941336,0,0
5.9434767,-5.4738984,0,0
6.1991405,-5.636426,0,0
6.390418,-5.782056,0,0
6.4055624,-5.7688775,0,0
6.1555705,-5.6074815,0,0
-1.125323,0.8372848,1,1
-1.1098349,0.8092606,1,1
6.1746836,-5.6594715,0,0
6.411969,-5.812888,0,0
6.130372,-5.6084337,0,0
6.314145,-5.8070803,0,0
6.220277,-5.657371,0,0
6.0373993,-5.567439,0,0
6.2404194,-5.695858,0,0
-1.3844566,0.99829245,1,1
-1.3846829,0.95634985,1,1
6.3221626,-5.757899,0,0
6.316033,-5.73882,0,0
6.270974,-5.709717,0,0
6.3352766,-5.728383,0,0
6.3110437,-5.7341166,0,0
-1.1534803,0.7343092,1,1
