undermine_score,support_score,predict_label,gold
-0.76936144,1.4073743,1,1
-1.1272526,1.8094889,1,1
-2.9594665,3.7126882,1,1
6.20512,-5.6670914,0,0
-0.45531452,0.9057178,1,0
0.2128511,-0.0710967,0,0
-7.392586,8.251202,1,1
-4.9072895,5.4792495,1,1
-3.8917332,4.184302,1,1
0.618761,0.07326996,0,1
-6.6584454,7.445503,1,0
-5.6175694,6.566796,1,0
10.491641,-10.531007,0,0
6.4118557,-5.2589493,0,0
-2.259346,2.5152884,1,0
-0.40082103,1.1786062,1,1
0.10852325,0.28476083,1,1
-2.806319,3.3125489,1,1
-3.4355016,3.8630989,1,1
-4.6403494,4.610178,1,1
4.216049,-3.1170316,0,1
-4.010003,4.9673185,1,1
3.9907012,-3.7209134,0,0
-1.3315595,1.7235059,1,1
-2.697801,3.295179,1,1
-3.76229,4.4189744,1,1
-2.990787,3.2900066,1,1
8.38778,-7.376672,0,0
0.08227229,-0.08187938,0,1
-1.9645687,1.9935348,1,1
-0.40467578,0.4364015,1,1
-3.0016265,2.859357,1,0
-3.2372622,3.1813726,1,0
-3.2144,2.9995785,1,0
3.7858934,-3.5447373,0,0
-2.9200876,3.0354753,1,1
-3.092773,3.643857,1,1
-3.1666837,3.5718238,1,1
-3.1651003,3.3875127,1,1
-3.7482252,3.6154141,1,1
-3.8434603,3.5349498,1,1
5.875108,-4.6603193,0,0
2.9741118,-2.0106559,0,0
6.6725664,-5.54972,0,0
6.6548653,-5.4884815,0,0
5.9700475,-4.8879423,0,0
-3.2290335,3.7491105,1,1
5.5067163,-4.7543726,0,0
-3.574259,3.869874,1,1
-3.6459377,3.0145266,1,1
7.011807,-5.9041595,0,0
6.291488,-5.168685,0,0
5.326822,-4.421184,0,0
5.3485804,-4.52302,0,0
6.9490705,-5.75012,0,0
-3.8903172,3.7154999,1,1
-3.8338237,3.7054398,1,1
-3.6118274,3.6084075,1,1
-3.7360888,3.850389,1,1
-3.763239,3.7099183,1,1
6.303506,-5.060305,0,0
6.1657696,-5.071112,0,0
-3.7803094,3.3902354,1,1
-3.7541447,3.5308554,1,1
5.1613617,-4.3992634,0,0
6.3533907,-5.2594523,0,0
6.026739,-5.1343756,0,0
5.7757444,-4.93369,0,0
-3.7077632,3.5384245,1,1
-3.3412802,3.4647748,1,1
-3.9393158,3.457086,1,1
-3.5744162,3.787997,1,1
-3.828471,3.850482,1,1
-3.8661854,3.7453432,1,1
-3.7020304,3.70366,1,1
4.709904,-4.261527,0,0
5.92327,-5.10762,0,0
3.2579877,-3.193553,0,0
4.476096,-4.266471,0,0
6.146458,-5.1670265,0,0
6.6458855,-5.7159085,0,0
6.9003105,-5.692114,0,0
6.913873,-5.6280775,0,0
6.690899,-5.77994,0,0
-2.2255445,2.1312575,1,1
-2.3276467,2.3498073,1,1
6.6977463,-5.553399,0,0
6.6792336,-5.595871,0,0
6.86629,-5.7196965,0,0
4.7219925,-4.3279653,0,0
5.9946976,-5.0003915,0,0
7.0273485,-5.907216,0,0
6.5921187,-5.3169384,0,0
-3.5479646,3.7972202,1,1
-3.1680937,3.8363225,1,1
7.0691524,-5.941915,0,0
4.6297655,-4.0937643,0,0
6.057509,-4.9614944,0,0
7.033141,-5.813042,0,0
7.0678787,-5.8931026,0,0
-3.751605,3.2798238,1,1
-3.729327,3.7577474,1,1
5.438641,-4.7781777,0,0
5.963356,-5.0275197,0,0
4.963383,-4.5292864,0,0
-3.5141451,3.2963047,1,1
6.4551697,-5.362159,0,0
6.621704,-5.5601854,0,0
3.6339006,-3.4225159,0,0
4.9662437,-4.2248096,0,0
6.371815,-5.2446203,0,0
5.252739,-4.588513,0,0
5.4680767,-4.8013926,0,0
6.085599,-5.156496,0,0
5.7813063,-4.943975,0,0
-3.7888167,3.7895927,1,1
-3.7038052,3.5354042,1,1
-3.5269356,3.9885006,1,1
-3.7235694,3.8953185,1,1
-3.4050426,3.9006093,1,1
-3.3768623,3.8778667,1,1
-3.9926941,3.7666388,1,1
-3.5546074,3.5975027,1,1
-3.554325,3.9417973,1,1
-2.955779,3.1810727,1,1
6.885604,-5.7373714,0,0
6.777648,-5.6115866,0,0
5.892294,-4.970086,0,0
-3.1071703,3.0505831,1,1
-3.089428,2.6995716,1,1
7.118018,-6.0553927,0,0
9.694719,-9.819571,0,0
7.680776,-7.046694,0,0
7.216037,-6.4299674,0,0
6.2572355,-5.5691776,0,0
-3.0664816,3.4886358,1,1
-5.5025263,6.183696,1,1
-2.54506,2.9260972,1,1
-8.319263,8.677629,1,1
-2.535504,2.6776772,1,1
-2.5589876,2.6669736,1,1
-8.122262,9.088288,1,1
-3.7564847,4.6780295,1,1
-4.843454,4.58838,1,1
4.6094465,-4.7524776,0,1
2.426394,-1.8791504,0,1
7.6416016,-7.6013484,0,1
-7.3604,8.630578,1,1
-5.7052736,6.2377524,1,1
-7.813268,8.932189,1,1
5.144689,-4.3926897,0,0
10.209266,-10.01768,0,0
4.428005,-4.1790886,0,0
9.168839,-9.282004,0,0
-5.0797086,6.05639,1,0
4.87607,-3.9669924,0,0
3.413817,-2.6118467,0,0
-7.5332875,8.21258,1,1
4.887111,-5.1826687,0,0
8.910322,-7.851398,0,0
6.53413,-7.268608,0,0
-4.799967,6.102492,1,1
-3.905664,4.563583,1,1
0.17089903,0.51539296,1,1
2.392571,-1.7777133,0,0
1.2075168,-1.5222574,0,1
1.6115024,-2.0961456,0,1
-2.7272754,3.1243649,1,1
-6.8386984,6.7325487,1,1
-2.9732866,2.693422,1,1
-6.712712,6.859902,1,1
1.9606227,-2.2768357,0,1
-2.7618256,2.5748444,1,0
6.44223,-5.2139783,0,0
4.9103208,-3.941119,0,0
7.4105473,-6.2592773,0,0
6.0755634,-4.963309,0,0
8.445152,-7.414764,0,0
8.998763,-8.637339,0,0
0.6285608,-0.30827242,0,0
6.4995456,-5.745136,0,0
3.411737,-2.9674048,0,0
3.3335125,-2.9370022,0,0
3.2863207,-2.2921739,0,0
9.575538,-8.6407385,0,0
5.9082174,-5.225385,0,0
3.8175735,-3.1862304,0,0
-6.0272493,5.8196597,1,0
7.5140767,-7.8200445,0,0
-7.357041,9.049792,1,1
-3.4094894,5.0948744,1,1
4.346516,-4.207113,0,0
6.6075864,-7.1596007,0,0
1.0576191,-0.82633394,0,0
4.0029044,-3.531616,0,0
1.78916,-1.8767285,0,0
3.2571654,-2.5226135,0,0
5.1405845,-4.6847525,0,0
-4.1430864,3.414226,1,1
5.2139106,-4.7102523,0,0
5.149822,-4.6441765,0,0
-1.3389816,1.0443673,1,0
-2.5289447,2.104843,1,1
-1.6721182,1.4314046,1,1
-3.265359,2.587584,1,1
-3.6222382,2.7597349,1,1
-3.4630568,2.7538042,1,1
2.6792345,-1.9662802,0,0
5.6388984,-5.133567,0,0
5.4998937,-5.0274725,0,0
4.6520014,-4.1422935,0,0
4.512038,-3.9910471,0,0
-3.6872602,3.7444563,1,1
5.655516,-5.178569,0,0
4.76948,-4.277716,0,0
-3.01757,2.218358,1,1
5.2038803,-4.8649907,0,0
-2.4555333,1.9518565,1,1
-2.6595678,1.8978766,1,1
3.8487902,-3.0732405,0,0
5.1403103,-4.5554724,0,0
4.430764,-4.113746,0,0
-3.7711167,3.1649091,1,1
-4.647543,3.9813929,1,1
-3.2542343,2.696934,1,1
-4.4373283,3.8883336,1,1
-3.177689,2.614253,1,1
-2.9148722,2.9567008,1,1
-3.6216655,3.0821,1,1
-6.643034,6.230419,1,1
-2.523892,1.3670074,1,1
6.7214055,-7.496912,0,0
-3.7436337,3.0526962,1,1
2.3210669,-1.6520033,0,0
2.4539576,-1.659766,0,0
1.5468762,-0.7665037,0,0
-2.5894868,2.608458,1,1
1.4601194,-0.87969786,0,1
1.0020916,-0.12280443,0,1
2.5799146,-3.0617003,0,0
2.1620917,-2.2283318,0,0
1.3367734,-1.9268676,0,0
-1.1229764,-0.101891756,1,0
0.39801496,0.002769366,0,1
0.3760044,0.08776043,0,1
-2.5792418,2.4709687,1,1
1.972233,-1.2364894,0,1
1.4720855,-0.69967693,0,1
1.2117984,-0.4670176,0,1
2.2602353,-1.5932527,0,1
2.280144,-1.6370167,0,1
1.1547382,-0.39518723,0,1
1.0148127,-0.47641993,0,1
1.2100962,-0.62027144,0,1
1.132689,-0.5978306,0,1
1.2779305,-0.6004419,0,1
0.24602604,0.09579682,0,1
6.0148005,-5.0286837,0,0
-5.0809164,5.540639,1,0
8.264244,-7.0459003,0,0
6.8137403,-5.9082556,0,0
3.100974,-3.1750224,0,0
2.7593067,-2.8484592,0,0
-3.8801012,3.8513048,1,1
-5.723208,5.622586,1,1
-1.5118618,1.4922569,1,1
-4.1351957,5.048011,1,1
-5.133643,6.2932377,1,1
-3.5127392,3.9278932,1,1
-4.2077003,4.4112453,1,1
-5.021277,5.181917,1,1
-5.2554636,5.3941736,1,1
-3.3692322,3.4584668,1,1
1.8320458,-1.3427813,0,1
-2.0427828,2.7538736,1,1
-2.6470408,3.0873094,1,0
-0.52413714,0.6965597,1,0
-2.9346066,3.387653,1,0
1.3306514,-0.8962908,0,1
-0.9656557,0.6319347,1,1
-2.912562,2.4789271,1,1
-0.7819164,0.83586335,1,1
0.7346753,-0.059568286,0,1
1.4183352,-0.95918053,0,0
-2.5133116,2.875856,1,1
-0.055984914,0.12051827,1,1
-1.5767531,2.309882,1,1
1.5548501,-1.2113527,0,1
-7.6261544,8.251088,1,1
-6.220146,7.603286,1,1
-3.4383209,3.7469459,1,1
-4.996795,5.9690423,1,1
4.3251057,-4.0983133,0,0
-1.7091703,2.2133284,1,0
8.802441,-8.471876,0,0
2.4588332,-1.8954848,0,0
7.7067804,-7.9108925,0,0
6.8875756,-6.560124,0,0
1.7738166,-1.3838985,0,1
-4.6544175,5.2506685,1,1
-5.002219,5.9972243,1,1
-4.7995443,5.6777925,1,1
