undermine_score,support_score,predict_label,gold
-5.6597996,8.410093,1,1
6.1231894,-4.8467884,0,0
2.6097662,-1.0995378,0,1
5.1337414,-3.7105408,0,1
-3.7365494,6.248719,1,1
-5.648978,8.431259,1,1
-5.597363,8.379188,1,1
-5.6780005,8.468699,1,1
-5.597363,8.379188,1,1
-5.631331,8.426425,1,1
-5.7092795,8.497894,1,1
-5.69699,8.481354,1,1
-5.7219186,8.503733,1,1
5.5014124,-4.039203,0,0
12.940245,-13.238055,0,0
12.00004,-12.096448,0,0
12.706958,-12.974822,0,0
12.940245,-13.238055,0,0
11.03016,-10.931895,0,0
6.8487635,-5.7338347,0,0
5.316105,-3.8660498,0,0
-5.752881,8.529116,1,1
-5.7570467,8.536463,1,1
-5.7566357,8.529703,1,1
-5.7504883,8.527014,1,1
-5.523375,8.302286,1,1
-5.6012583,8.376375,1,1
-5.59206,8.366759,1,1
-5.6400642,8.3952265,1,1
-5.6295195,8.378079,1,1
-5.6902456,8.471007,1,1
10.788004,-10.517194,0,0
14.027663,-14.439849,0,0
12.797799,-13.073772,0,0
7.519208,-6.6134,0,0
5.634549,-4.302566,0,0
13.9527235,-14.354559,0,0
7.807932,-6.9284983,0,0
6.8399625,-5.725797,0,0
8.149283,-7.297952,0,0
13.585973,-14.038067,0,0
13.535918,-13.952379,0,0
7.3328247,-6.31656,0,0
-5.600992,4.4612226,1,1
-5.710971,8.468629,1,1
-5.71065,8.471421,1,1
3.6939685,-2.1061387,0,1
-5.688538,8.448353,1,1
6.0150204,-4.64311,0,0
4.8674874,-3.3317392,0,0
-4.820512,7.5815063,1,0
-5.044799,7.7551484,1,1
-5.7113533,8.467593,1,1
-5.6925516,8.450029,1,1
-5.768349,8.52076,1,1
5.6447,-4.1738524,0,0
-3.0184085,5.4070663,1,1
-5.595629,8.362059,1,1
-2.6018648,4.85491,1,1
-1.6246018,3.2033985,1,1
-4.915167,7.2463446,1,1
8.909932,-8.815579,0,0
-3.3446054,5.184848,1,1
-3.3621783,5.2008834,1,1
6.649247,-6.034555,0,0
-4.9009123,7.24402,1,1
5.596965,-4.8114295,0,1
4.927691,-4.054002,0,1
4.4323773,-3.3155787,0,1
3.5064442,-2.1717873,0,1
-2.5075946,4.3912263,1,1
12.488194,-13.105429,0,1
5.0916634,-4.2439966,0,1
3.4894435,-2.2140715,0,1
5.656021,-4.338643,0,0
13.891402,-14.302085,0,0
7.020524,-5.976066,0,0
12.008125,-12.209149,0,0
-5.7553363,8.510809,1,1
-5.7078896,8.4465475,1,1
-5.6591763,8.4044695,1,1
-5.8080826,8.559884,1,1
-5.8203397,8.581857,1,1
-5.74756,8.507534,1,1
-5.7066994,8.461091,1,1
-5.690932,8.435297,1,1
-5.7775526,8.537675,1,1
5.919385,-4.67574,0,0
6.07658,-4.8900876,0,0
-3.4950557,6.001634,1,1
-5.678484,8.436335,1,1
-5.7746983,8.5295725,1,1
-5.6186914,8.363105,1,1
-5.671778,8.427184,1,1
11.750527,-11.886849,0,0
12.365247,-12.742747,0,0
