undermine_score,support_score,predict_label,gold
-2.800762,5.372553,1,1
5.5385013,-5.282654,0,0
5.48031,-5.2936583,0,1
2.623174,-1.5357933,0,1
-1.0713141,2.8782692,1,1
-2.5997198,5.3502812,1,1
-2.624709,5.390687,1,1
-2.8574731,5.6052337,1,1
-2.624709,5.390687,1,1
-2.4668424,5.2737637,1,1
-2.8883636,5.6567693,1,1
-2.82507,5.546422,1,1
-3.0502102,5.7463946,1,1
6.501805,-6.3223186,0,0
9.266682,-9.698242,0,0
8.875971,-9.203947,0,0
9.168473,-9.633995,0,0
9.266682,-9.698242,0,0
8.779088,-9.175876,0,0
5.7587504,-5.150184,0,0
4.4833455,-3.7675593,0,0
-3.2564194,5.944616,1,1
-3.0013185,5.639273,1,1
-3.1480644,5.83112,1,1
-3.2565153,5.9432487,1,1
-2.943207,5.6449647,1,1
-2.7863371,5.474524,1,1
-2.9829571,5.6832223,1,1
-2.7547657,5.4093423,1,1
-2.6359422,5.262009,1,1
-2.8146145,5.5315337,1,1
-3.132509,5.8557267,1,1
5.407046,-4.5350413,0,0
5.4159646,-4.5368056,0,0
4.7928863,-3.699763,0,0
7.6074786,-7.416348,0,0
8.802967,-9.071587,0,0
3.0901706,-1.8577182,0,0
8.897696,-9.255632,0,0
8.073478,-8.187143,0,0
7.3845477,-7.189613,0,0
8.342979,-8.455427,0,0
8.659806,-9.018784,0,0
8.855548,-9.204533,0,0
7.7095976,-7.837981,0,0
-1.9091003,4.481524,1,1
-2.0917351,4.635565,1,1
-1.417057,3.8185852,1,1
-3.0001953,5.477136,1,0
6.1216283,-5.9490776,0,0
6.7346587,-6.809342,0,0
-2.3521492,4.945563,1,1
-2.4263237,4.918938,1,1
4.336507,-3.764285,0,1
-2.9922931,5.4695587,1,1
-2.0821934,4.7210526,1,1
-2.7675693,5.25372,1,1
8.018055,-8.365911,0,0
-3.781055,2.406757,1,1
-3.2781572,5.8606243,1,1
-3.2495832,5.879067,1,1
0.29095477,1.3251293,1,1
-3.1637506,5.7815976,1,1
7.237044,-7.437117,0,0
3.0445683,-1.7994512,0,0
-2.4562106,5.1467376,1,0
-2.399586,5.0399623,1,1
-3.025863,5.6797667,1,1
-3.2323823,5.8535986,1,1
-3.0870206,5.7469172,1,1
-2.3565361,4.690154,1,1
7.1049037,-6.978722,0,0
-2.5345871,5.1370234,1,1
-2.69114,5.32196,1,1
-1.4811455,3.76109,1,1
-0.65715176,1.777942,1,0
-3.5112736,3.56833,1,1
-1.2330179,1.9201858,1,1
4.4974427,-6.1218953,0,0
4.723643,-6.4693217,0,0
-3.18887,3.2955692,1,1
