undermine_score,support_score,predict_label,gold
0.4303367,-0.23583302,0,1
-3.2294989,2.8491106,1,1
-0.29895872,0.3616004,1,1
3.7459671,-3.307121,0,0
2.471517,-2.3578506,0,0
3.0785785,-2.8485527,0,0
-3.2312431,2.7813473,1,1
3.8491473,-3.3389268,0,1
-3.0505748,2.8312254,1,1
-2.4893894,2.4881887,1,1
-3.34199,2.950275,1,1
-2.0494738,1.9582193,1,1
-3.5362544,3.0149987,1,0
-2.329221,1.9653821,1,0
4.0194225,-3.5257106,0,0
3.8558393,-3.3738365,0,0
0.4610282,-0.44015715,0,1
3.784153,-3.407155,0,0
-3.3168201,2.936029,1,0
-3.3041599,2.8663144,1,1
-3.5910134,3.09759,1,1
-3.0150566,2.6788826,1,1
-3.7124577,3.2551804,1,1
-3.7175462,3.2315514,1,1
1.1776439,-1.3733554,0,1
-3.3863933,3.0331311,1,1
4.047886,-3.5606594,0,0
-3.54288,2.9997067,1,1
-3.7084928,3.2165256,1,1
-3.7181196,3.223179,1,1
-3.3136997,2.900649,1,1
-3.115995,2.7717233,1,1
3.817173,-3.3984118,0,0
-3.012952,2.618062,1,1
-3.4822161,3.1691298,1,1
-3.495263,3.1913106,1,1
-3.2916532,2.9680808,1,1
-3.3675265,3.0034165,1,0
-3.1904254,2.8287485,1,0
-3.4567952,3.09149,1,0
-3.2745943,2.9193149,1,0
-3.6298797,3.1808052,1,1
-3.6872425,3.2510352,1,1
-3.4276276,3.028319,1,1
-3.4300761,3.0045505,1,1
-3.304971,2.868887,1,1
-3.4800122,3.068995,1,1
3.9277654,-3.4525943,0,0
2.2293816,-2.076118,0,0
3.92243,-3.442898,0,0
3.9544086,-3.48828,0,0
4.0187573,-3.5414824,0,0
-3.7870026,3.2590885,1,1
3.7432246,-3.2601063,0,0
-3.6311493,3.2249,1,1
-3.2017968,2.767323,1,1
-3.7172527,3.2459528,1,1
3.899764,-3.4166272,0,0
3.8530378,-3.3908372,0,0
3.8340108,-3.4130087,0,0
3.961587,-3.4748032,0,0
3.9612951,-3.4913433,0,0
-3.7264218,3.219368,1,1
-3.5529084,3.0669441,1,1
-3.498746,3.0108807,1,1
-3.5822544,3.199454,1,1
-3.6727216,3.2602596,1,1
3.7834153,-3.3847485,0,0
3.8590107,-3.409872,0,0
3.7452478,-3.296048,0,0
3.8442793,-3.4156165,0,0
3.909528,-3.433226,0,0
-3.7150776,3.267478,1,1
-3.6953,3.2580218,1,1
3.9954627,-3.5080414,0,0
3.9505477,-3.4708595,0,0
3.9068208,-3.4473403,0,0
3.9342108,-3.4490786,0,0
-3.5934782,3.1858587,1,1
-3.6177907,3.1556602,1,1
-3.6357975,3.248085,1,1
-3.474544,2.9921038,1,1
-3.2870631,2.8348765,1,1
-3.4080915,2.936266,1,1
-3.752681,3.220285,1,1
-3.6744628,3.2492085,1,1
-3.7587483,3.276112,1,1
3.9071116,-3.4558907,0,0
3.5477252,-3.1640182,0,0
3.833387,-3.3859,0,0
3.8620467,-3.4077148,0,0
3.830984,-3.3669338,0,0
3.5025592,-3.1200554,0,0
3.57728,-3.19982,0,0
3.832944,-3.3623478,0,0
4.024222,-3.5079775,0,0
4.039366,-3.4947991,0,0
3.789374,-3.333403,0,0
-3.4915195,3.1113632,1,1
-3.4760313,3.083339,1,1
3.8084874,-3.3853931,0,0
4.0457726,-3.5388095,0,0
3.7641754,-3.3343554,0,0
3.9479485,-3.5330017,0,0
3.8540804,-3.3832927,0,0
3.6712031,-3.2933607,0,0
3.8742232,-3.4217794,0,0
-3.701876,3.2207866,1,1
-3.750653,3.2723708,1,1
-3.7508793,3.2304282,1,1
3.955966,-3.4838204,0,0
3.9498365,-3.464742,0,0
3.9047775,-3.4356382,0,0
3.9690804,-3.4543045,0,0
3.944847,-3.4600382,0,0
-3.5196767,3.0083876,1,1
-3.749348,3.2487187,1,1
-3.7863016,3.2256136,1,1
3.9884577,-3.5288968,0,0
3.5572052,-3.1876435,0,0
4.024039,-3.548491,0,0
-3.55523,3.1336322,1,1
-3.327676,2.8856468,1,1
3.998057,-3.4718323,0,0
3.9344473,-3.4553628,0,0
3.9761105,-3.4989946,0,0
3.9448442,-3.4753346,0,0
4.0071516,-3.4829211,0,0
3.8662517,-3.4219246,0,0
3.9071183,-3.449683,0,0
3.606042,-3.2258756,0,0
3.9269753,-3.4466825,0,0
-3.7332354,3.2697668,1,1
-3.7233558,3.2926383,1,1
-3.7729833,3.2437983,1,1
-3.7182736,3.1664472,1,1
-3.5230827,3.0348287,1,1
-3.7225075,3.159532,1,1
-3.7302275,3.2242002,1,1
-3.738424,3.1985824,1,1
-3.772074,3.234808,1,1
-3.7581136,3.1975288,1,1
-3.2202988,2.760353,1,1
3.457124,-3.1100874,0,0
3.5220292,-3.1570058,0,0
3.5196075,-3.159996,0,0
-3.7606728,3.1960487,1,1
-2.927084,2.5211995,1,1
3.9176168,-3.437285,0,0
3.7190137,-3.2848082,0,0
3.6433215,-3.216686,0,0
3.8335938,-3.352438,0,0
3.6320179,-3.2246795,0,0
-3.558939,3.123972,1,1
-3.1984494,2.8297782,1,1
-3.551879,3.0561533,1,1
-3.474467,3.123384,1,1
-3.639995,3.2078605,1,1
-3.5067134,3.1541247,1,1
-3.4388595,3.076189,1,1
-3.336382,2.9319868,1,1
-3.5993924,3.0825605,1,1
-3.415553,3.0029523,1,1
-1.3422598,1.5024891,1,1
-3.247623,2.8851953,1,1
-0.7974086,1.1104653,1,1
-3.3022244,2.9703193,1,1
1.5723478,-1.7075622,0,1
2.020836,-2.0974534,0,1
0.43262014,-0.34090975,0,1
0.8228197,-0.8296523,0,1
-3.7935848,3.2071757,1,1
-3.5036197,2.9394884,1,1
-3.797244,3.2455516,1,1
3.7752433,-3.3434658,0,0
3.694316,-3.204209,0,0
3.8196416,-3.3405356,0,0
3.8595588,-3.3979144,0,0
2.9251175,-2.7537556,0,0
1.1162663,-1.1970088,0,0
3.923091,-3.4006445,0,0
-1.4632474,1.4445157,1,0
-3.79239,3.2545338,1,1
3.9435914,-3.4465337,0,0
3.798913,-3.343979,0,0
3.5587778,-3.2201989,0,0
-3.7984343,3.2185872,1,1
-3.6458206,3.1174479,1,1
-3.674552,3.1629815,1,1
-3.5730677,3.0416803,1,1
-0.69132876,0.9192674,1,0
-3.3279653,2.8852668,1,1
3.662143,-3.1695576,0,1
-3.5637426,3.1230233,1,1
-2.5123599,2.2686372,1,1
-2.6803293,2.3084948,1,1
-3.726921,3.205358,1,1
-3.7330165,3.2009215,1,1
-3.7131767,3.1885996,1,1
3.8586893,-3.4023738,0,1
