undermine_score,support_score,predict_label,gold
-5.0507765,7.754469,1,1
7.0043364,-5.9781647,0,0
-0.96510756,2.786839,1,1
5.6235504,-4.4440975,0,1
-1.98266,4.183958,1,1
-5.032163,7.8294435,1,1
-5.0171328,7.8185244,1,1
-5.0535564,7.861458,1,1
-5.0171328,7.8185244,1,1
-4.7862473,7.5691977,1,1
-5.1075315,7.9069614,1,1
-5.2126207,7.9952903,1,1
-5.323329,8.101023,1,1
5.9887667,-4.7485504,0,0
8.975638,-8.352887,0,0
9.296534,-8.728476,0,0
11.802561,-11.964596,0,0
8.975638,-8.352887,0,0
9.888535,-9.555368,0,0
6.240178,-5.09576,0,0
5.5510693,-4.219471,0,0
-5.2608824,8.041078,1,1
-5.3253794,8.105144,1,1
-5.335525,8.106567,1,1
-5.268573,8.048719,1,1
-5.006838,7.7836614,1,1
-5.057008,7.83345,1,1
-5.16108,7.9368863,1,1
-5.215465,7.9608803,1,1
-5.043466,7.772886,1,1
-5.1572523,7.94713,1,1
7.4962554,-6.5879006,0,0
8.602524,-7.951012,0,0
6.912651,-5.885055,0,0
6.664673,-5.599892,0,0
5.6796484,-4.372282,0,0
11.984589,-12.243132,0,0
6.9996014,-5.96422,0,0
6.123511,-4.932645,0,0
10.306038,-10.11274,0,0
13.2116165,-13.696535,0,0
11.23378,-11.346529,0,0
7.5601425,-6.6986,0,0
-4.014926,6.6179943,1,1
-4.691162,7.3989434,1,1
-0.4801878,2.2736256,1,1
-5.190786,7.9515467,1,0
5.9985313,-4.6898565,0,0
5.630543,-4.238148,0,0
-1.3450748,3.4337313,1,1
-1.2264348,3.2541897,1,1
5.3037224,-3.986923,0,1
-5.306423,8.046965,1,1
-4.763118,7.508197,1,1
-5.0320177,7.7487917,1,1
8.903208,-8.305441,0,0
-5.4137516,4.273758,1,1
-5.310066,8.0803,1,1
-5.3635635,8.133183,1,1
4.1315627,-2.5513666,0,1
-5.292562,8.070751,1,1
7.0832906,-5.9822435,0,0
4.3397365,-2.8209186,0,0
-4.882813,7.6798854,1,0
-5.032772,7.777353,1,1
-5.2628813,8.036885,1,1
-5.292328,8.069237,1,1
-5.3460946,8.118603,1,1
5.709162,-4.3288927,0,0
-4.734025,7.4541698,1,1
-5.1381083,7.9070544,1,1
-4.0459766,6.5837116,1,1
-2.7433894,4.1114893,1,1
-1.9667948,3.4049845,1,1
2.7409515,-2.9348974,0,0
-1.9341632,3.3652315,1,1
-2.5555952,3.9996767,1,1
3.3439991,-3.6155627,0,0
-2.0132444,3.4287152,1,1
1.6602734,-1.4176391,0,1
3.5237825,-3.8922322,0,1
2.5633228,-2.5107412,0,1
0.36011615,0.27514428,0,1
-2.994997,3.699336,1,1
8.8038845,-9.98844,0,1
1.568058,-1.3176192,0,1
0.7628796,-0.23538111,0,1
6.0142093,-4.843561,0,0
9.800255,-9.407312,0,0
7.055706,-6.0742717,0,0
12.919914,-13.381611,0,0
-5.3741226,8.13578,1,1
-5.189313,7.9188004,1,1
-5.3367357,8.104924,1,1
-5.381078,8.147295,1,1
-5.4521313,8.223262,1,1
-5.351465,8.116194,1,1
-5.304433,8.059186,1,1
-5.203619,7.9327765,1,1
-5.4254932,8.193492,1,1
5.3428187,-4.0017943,0,0
6.8414817,-5.911313,0,0
1.9300051,-0.32380083,0,1
-3.7439096,6.1749487,1,1
-5.342855,8.099402,1,1
-4.9612174,7.705676,1,1
-5.3042946,8.038623,1,1
6.517758,-5.4113674,0,0
10.8209095,-10.880354,0,0
13.679093,-14.103739,0,0
-4.9939127,7.775621,1,0
4.792838,-3.335665,0,0
4.042592,-2.4222202,0,0
-4.8481035,7.59838,1,1
-4.7171793,7.481145,1,1
-4.709792,7.4613514,1,1
-5.218571,7.9885917,1,1
-5.218234,7.99174,1,1
-5.379546,8.131734,1,1
8.24888,-7.598428,0,0
9.917139,-9.638222,0,0
3.188659,-1.7096572,0,0
-4.8808393,7.6145506,1,1
-5.0483675,7.8099585,1,1
-4.285943,6.911455,1,1
3.3989658,-1.667973,0,1
-5.130607,7.9280305,1,1
-1.7973883,3.983363,1,1
8.109343,-7.288273,0,0
4.6852355,-3.1193013,0,0
-5.3142834,8.090895,1,0
-5.198613,7.9812536,1,1
-5.265135,8.042146,1,1
-5.231955,8.005901,1,1
-5.1424694,7.931102,1,1
-5.2627535,8.034943,1,1
-5.173931,7.952096,1,1
-5.273573,8.03727,1,1
-5.1633897,7.9373374,1,1
-5.1797447,7.9002314,1,1
-5.346054,8.092781,1,1
-5.266623,8.03187,1,1
-5.3159122,8.081618,1,1
-5.3266993,8.098383,1,1
-5.2998734,8.073326,1,1
-5.126438,7.9193406,1,1
-4.0010395,6.672916,1,1
-4.6085825,7.337871,1,1
-3.9674234,6.6550865,1,1
4.4695435,-3.1018462,0,0
4.8284626,-3.5500088,0,0
-4.1014614,6.583385,1,0
-5.193181,7.992228,1,1
-5.1980767,7.999861,1,1
7.101636,-6.1330757,0,0
8.575537,-7.868207,0,0
-4.71978,7.448951,1,0
-4.159659,6.735836,1,0
-3.1006317,5.309485,1,0
-4.586489,7.341201,1,1
-4.9607635,7.7280397,1,1
-4.7163124,7.437438,1,1
-5.156519,7.9361725,1,1
-4.9041705,7.678191,1,1
-5.070959,7.8487453,1,1
-5.0509276,7.8271017,1,1
-5.1104755,7.910597,1,1
6.8681107,-5.7908063,0,0
7.072806,-5.9782825,0,0
6.523462,-5.405107,0,0
8.730652,-8.079664,0,0
-2.1554513,4.4629917,1,1
-5.214403,7.99747,1,1
11.4595375,-11.618227,0,0
-4.83566,3.9439487,1,1
-4.625084,3.7483976,1,1
3.0728667,-3.7110133,0,0
2.9105387,-3.6042192,0,0
2.2477772,-2.815541,0,0
3.4751902,-4.164054,0,0
-4.8301587,3.9855144,1,1
-5.014895,4.1487284,1,1
-4.865672,3.9867773,1,1
-4.646162,3.7767997,1,1
-5.014379,4.1655197,1,1
-5.181299,4.333106,1,1
-4.6005373,3.651635,1,1
1.7549,-2.3619447,0,0
3.4928417,-6.029786,0,0
-4.9672985,7.7219496,1,1
-5.3579574,8.143648,1,1
-5.3795805,8.158266,1,1
-4.70412,7.4247084,1,1
-3.5232499,5.94178,1,1
-3.24235,5.702572,1,1
0.9967231,0.9065752,0,1
-0.022274166,1.8696505,1,1
-1.1168158,3.1350827,1,1
13.450193,-13.9902935,0,0
-5.0599494,7.7197757,1,0
10.894114,-11.246152,0,1
6.2208962,-5.0292215,0,1
3.1767437,-1.5103228,0,1
0.47249827,1.3891932,1,1
1.6586444,0.16781665,0,1
-0.48745573,2.4679532,1,1
-4.6452785,7.3444495,1,1
10.810059,-10.740179,0,1
3.470241,-1.8340584,0,0
1.8123461,-0.1345336,0,1
2.9426816,-1.3656117,0,1
9.167862,-8.58029,0,1
6.872325,-5.781305,0,1
8.829046,-8.173487,0,0
10.733679,-10.549641,0,1
6.6529217,-5.4579973,0,0
5.8415203,-4.4014626,0,0
4.9976645,-3.4276211,0,0
-4.732871,7.5041947,1,1
5.149806,-3.5237646,0,0
6.381009,-5.04541,0,0
-4.983271,7.781602,1,0
13.121958,-13.495883,0,0
4.559631,-2.9702814,0,0
-5.116266,7.8672347,1,1
-5.0790577,7.845704,1,1
-5.036804,7.812231,1,1
2.4939013,-3.0485206,0,0
-4.860149,3.8998966,1,1
-4.862155,3.9126267,1,1
-5.0611386,4.059005,1,1
-5.082625,4.071157,1,1
-4.8408346,3.8697953,1,1
-5.0685873,4.084319,1,1
-4.750405,3.7462418,1,1
-4.892374,3.8775635,1,1
-5.0535984,4.1149096,1,1
-4.8785224,3.853534,1,1
-5.0476713,4.053484,1,1
-5.091795,4.0879087,1,1
-5.2952394,4.321171,1,1
-5.0495377,4.0139456,1,1
-5.0458593,4.057852,1,1
-4.906806,3.9404805,1,1
-5.1350946,4.181071,1,1
-5.0003257,4.0798693,1,1
-5.353281,4.3665605,1,1
-5.1072903,4.0866137,1,1
-5.300165,4.3294725,1,1
-4.9788485,3.9888542,1,1
-4.9563336,3.9559016,1,1
-4.891283,3.88453,1,1
-4.835877,3.8028827,1,1
13.839582,-14.327125,0,0
-5.225894,8.002834,1,1
-5.216682,7.994541,1,1
-4.9973145,7.7215767,1,0
3.0174656,-1.5803069,0,0
-5.303155,8.084921,1,0
-1.2651129,3.3659015,1,1
-5.3057356,8.054347,1,1
-5.375792,8.119918,1,1
-5.3260565,8.0807705,1,1
-5.354418,8.100158,1,1
-5.2607512,7.9909706,1,1
-5.225943,7.979459,1,1
-5.18353,7.930309,1,1
-5.3305235,8.087196,1,1
-5.32999,8.090714,1,1
-4.534932,7.1722894,1,1
-4.8250694,7.528477,1,1
11.363617,-11.538069,0,0
12.761385,-13.282494,0,0
12.344669,-12.80616,0,0
14.072914,-14.493983,0,0
0.9404875,0.7325837,0,0
-1.4598594,2.3096886,1,0
0.9249095,-0.08763069,0,0
-3.172665,4.8973055,1,0
-2.2252262,3.3989773,1,1
-3.0331275,4.763111,1,1
-3.2714946,5.0097227,1,1
-3.1493373,4.837968,1,1
-4.071347,5.1156206,1,0
6.835349,-6.048828,0,0
-0.36373702,2.0509863,1,0
-4.2104306,6.6302466,1,1
-4.6402445,7.11689,1,1
-4.75985,4.110151,1,1
-3.1253386,2.0439098,1,1
-4.155182,3.3115532,1,1
-3.707052,2.7490852,1,1
-3.8051739,2.852614,1,0
0.8970169,-1.5004191,0,0
1.6210755,-2.1774259,0,0
-5.2722974,4.386912,1,0
-4.912551,4.1618166,1,0
-2.731931,1.5032679,1,0
-4.1684775,3.325542,1,1
-2.1080298,1.4602953,1,1
-4.870721,4.0932975,1,1
-5.0820007,4.2480745,1,1
-4.0512238,3.0419083,1,1
-4.7252264,3.972704,1,1
1.503932,-2.108201,0,0
-2.460404,1.8479427,1,0
1.9365721,-2.451851,0,0
1.4511001,-2.0396125,0,0
1.6582199,-2.1762047,0,0
1.429841,-2.055834,0,0
1.7212855,-4.163102,0,0
1.9786491,-2.5120978,0,0
0.6659491,-2.858994,0,0
-4.0004005,3.1148639,1,1
-3.6489735,2.6267557,1,1
0.75610733,-1.3579407,0,0
0.7103398,-1.2941417,0,0
-0.083011985,-0.64308286,0,0
-1.7025195,0.2101457,1,1
0.8995384,-3.3410282,0,1
-2.8203802,1.5972055,1,1
-1.7367222,0.23163581,1,1
-2.477242,1.1595637,1,1
-4.84083,4.2373466,1,1
-5.035779,4.184636,1,0
-4.5158834,3.7909248,1,0
1.2528062,-1.7824185,0,0
-0.07632549,-0.4961523,0,0
-3.8618975,2.9452796,1,1
-4.432722,3.6521072,1,1
-3.5289493,2.4966621,1,1
-3.9624498,3.027956,1,1
-1.8366505,0.34593078,1,1
-4.117588,3.2554545,1,1
-3.8316965,2.82694,1,1
4.924608,-3.3801677,0,0
4.2479715,-2.6655788,0,0
-4.7845874,7.593259,1,1
-4.9237423,7.717029,1,1
-4.6577888,7.3857822,1,1
-4.8812914,7.659253,1,1
-5.117485,7.9135256,1,1
-5.2659235,8.065177,1,1
-5.2571754,8.043962,1,1
-5.1825714,7.9714594,1,1
6.6923447,-5.513061,0,0
6.5814424,-5.457391,0,0
4.8911,-3.3705077,0,0
-5.3230095,8.098514,1,1
-5.3356876,8.115898,1,1
-3.317141,5.7967477,1,1
4.270205,-2.6620994,0,0
-2.3532495,4.9105983,1,0
-5.1635466,7.958413,1,1
-5.278427,8.066979,1,1
-5.2921276,8.074373,1,1
7.851818,-6.9345436,0,0
1.0041401,0.78406763,0,0
5.5097938,-4.1026974,0,0
6.3309855,-4.9908175,0,0
6.4852657,-5.3387766,0,0
5.3440013,-3.8405964,0,0
-1.2595823,3.1377962,1,1
2.8221831,-1.2209009,0,1
1.8265998,-0.24886627,0,1
-5.236209,8.001228,1,1
-4.609115,7.3082104,1,1
-4.7726526,7.494681,1,1
6.4112444,-7.9761515,0,0
-1.8091762,2.071703,1,0
-0.27712432,0.46663958,1,0
-1.8011988,2.1260216,1,0
4.115403,-5.033593,0,0
4.349998,-2.8940458,0,0
-3.0627275,5.2647114,1,0
1.433491,0.038808182,0,0
2.312013,-0.867766,0,0
4.6999497,-3.320842,0,0
-2.633575,4.9775643,1,0
2.0002844,-0.546484,0,1
3.1342635,-1.6948885,0,1
6.400707,-5.398981,0,1
-4.6436834,3.0566444,1,1
-3.978103,2.8058236,1,1
5.9257517,-4.919499,0,1
12.075913,-12.562157,0,0
-5.284879,8.057873,1,1
-5.175128,7.9701986,1,1
7.7604227,-6.8167686,0,0
-5.1932354,7.9736824,1,1
1.0256822,0.8231654,0,0
-5.2095737,8.00897,1,1
9.461805,-9.534126,0,0
6.675702,-6.052661,0,0
8.361492,-8.1010685,0,0
7.0916924,-6.4778094,0,0
11.433099,-12.004068,0,0
13.318964,-13.764385,0,0
-5.290789,8.07147,1,1
-4.9238386,7.6214676,1,1
4.526724,-2.9601882,0,0
4.528226,-2.9830196,0,0
9.208138,-8.660809,0,0
-5.1019864,7.8909545,1,1
0.12846246,1.8229578,1,1
-5.005833,7.79753,1,1
-5.126916,7.92275,1,1
-5.3360586,8.108231,1,1
-4.9751015,7.7626963,1,1
-5.0212,7.7940073,1,1
4.6258965,-3.450516,0,1
-1.1502014,3.4594977,1,1
2.6002917,-1.1262256,0,0
4.9227715,-3.584135,0,0
9.008775,-7.868208,0,0
7.0940394,-5.7826824,0,0
4.5846667,-3.3584938,0,0
-2.5448995,4.8051634,1,0
-5.010797,7.7397566,1,1
-4.8760905,7.6160135,1,1
-4.996964,7.7699122,1,1
0.39231536,1.41951,1,0
4.89174,-3.3763547,0,0
-5.107291,7.8659515,1,1
8.320355,-7.4773464,0,0
5.1535616,-3.824336,0,0
-5.4444857,3.7606945,1,1
9.00062,-10.327758,0,0
-2.5896666,3.8571703,1,1
-2.5668814,3.8297853,1,1
-2.7424152,3.9035842,1,1
-2.427713,3.693789,1,1
-4.080161,4.872345,1,0
-2.6726782,3.9483867,1,1
-2.6219573,3.8911445,1,1
-2.8342304,4.095948,1,1
-2.625288,3.9231446,1,1
-3.6627655,4.640132,1,1
-3.520358,4.1045785,1,1
-3.5798125,4.2197676,1,1
6.4989114,-7.445522,0,0
1.8178413,-2.6457677,0,1
-5.616067,4.114196,1,1
8.242424,-10.803042,0,1
2.7107692,-3.57189,0,0
-5.6189857,4.2842216,1,1
8.062801,-7.147051,0,0
3.1515744,-1.5089968,0,0
13.925389,-14.31938,0,0
-4.677598,7.434273,1,0
1.2498932,0.5447751,0,1
1.6126037,0.18333949,0,1
0.882947,1.0271406,1,1
-3.732047,6.237406,1,0
4.5509067,-2.9346542,0,0
4.4988074,-2.9209056,0,0
-3.2379513,5.6685705,1,0
-2.5445592,4.780999,1,0
6.229459,-4.7114,0,0
-3.8585134,6.3189025,1,1
-3.6400876,6.1538744,1,1
-3.4034781,5.979583,1,1
-3.6929326,6.1850758,1,1
8.188502,-6.8925657,0,1
6.4446044,-8.027767,0,0
4.436801,-6.046418,0,0
-2.2653503,-0.4493116,1,1
4.173744,-5.756587,0,0
4.198803,-5.8293705,0,0
-5.6466465,3.8940475,1,1
-2.8288846,0.26979703,1,1
0.07828489,-2.792619,0,1
4.55093,-6.091749,0,1
-5.102273,3.2176924,1,1
-4.7938976,2.9085312,1,1
4.7090464,-6.211089,0,0
4.7996264,-6.299204,0,0
4.7951655,-6.286062,0,0
4.4055977,-6.0095797,0,0
4.4201775,-6.022867,0,0
4.2470236,-5.8863072,0,0
-4.8731456,2.8417094,1,1
-3.646645,1.3056868,1,1
-3.742217,1.8672274,1,1
4.517147,-6.066845,0,0
4.180901,-5.779827,0,0
3.6126962,-5.1755466,0,0
-4.479324,2.4638405,1,0
4.477224,-6.065672,0,0
1.0347998,-2.7607698,0,0
-4.7838006,2.8657632,1,1
-4.977827,3.1161284,1,1
4.325901,-5.950879,0,1
4.423098,-6.032295,0,0
4.375472,-5.9870024,0,0
4.403785,-6.002706,0,0
4.473468,-6.0722194,0,0
4.389742,-6.00774,0,0
4.4354258,-6.0347176,0,0
4.3073072,-5.9284344,0,0
4.4232855,-6.020234,0,0
4.0393014,-5.6639924,0,0
4.254086,-5.897578,0,0
4.362886,-5.980934,0,0
4.3303833,-5.9518805,0,0
4.32995,-5.9594293,0,0
4.338282,-5.958573,0,0
4.4990582,-6.0770597,0,0
5.295562,-6.807744,0,0
4.7692666,-6.2502728,0,0
5.3193665,-6.8034215,0,0
-5.0260935,3.0772772,1,1
-5.696828,3.804053,1,1
2.6708326,-4.288921,0,1
4.447837,-6.0364656,0,0
4.448695,-6.04568,0,0
-5.4380445,3.617743,1,1
-4.3601437,2.3917975,1,1
4.227772,-5.728846,0,1
3.2848058,-4.8240027,0,1
1.4584908,-3.2017236,0,1
4.8908415,-6.382669,0,0
4.5957403,-6.1602345,0,0
4.79055,-6.2831964,0,0
4.457845,-6.0520725,0,0
4.6979403,-6.199131,0,0
4.472847,-6.0247755,0,0
4.5563793,-6.1107655,0,0
4.515525,-6.091128,0,0
-5.6692586,3.9683952,1,1
-5.6096125,3.899033,1,1
-5.6746902,3.925721,1,1
-4.3650174,2.3573782,1,1
-1.3239092,-0.521608,1,1
-5.101025,3.867994,1,1
-2.836621,1.4375147,1,1
-3.6546607,2.4842467,1,1
-0.15295804,-1.9531275,0,1
0.9038843,-1.296465,0,1
-3.719225,2.6030152,1,1
1.0488832,0.087656215,0,1
7.450533,-7.3831244,0,1
1.715725,-0.5050058,0,1
-2.7582724,4.2227144,1,1
2.3566287,-1.1669778,0,1
2.3770936,-1.1503782,0,1
3.3148613,-2.0742397,0,1
9.159336,-9.669668,0,0
4.396797,-3.7019033,0,0
6.9570246,-6.8198857,0,0
-4.2763805,6.4488473,1,0
6.2141504,-5.956556,0,0
4.2156544,-3.7154324,0,0
3.812992,-2.972404,0,0
-4.4169645,6.5582438,1,1
-4.006916,6.183278,1,1
-3.6374602,5.3451066,1,1
-4.357917,6.4409733,1,1
-4.0800943,6.2618003,1,1
-4.22575,6.3903894,1,1
-4.192092,6.3401594,1,1
-4.028325,6.211655,1,1
1.8586059,-0.7415043,0,0
2.5535908,-1.3731568,0,0
5.6715927,-5.353345,0,0
-2.7690256,4.181948,1,0
3.333518,-2.3669028,0,0
4.0436735,-3.1245522,0,0
-4.0948405,6.271837,1,0
-2.9490056,4.5678368,1,0
-0.17386886,1.5896125,1,0
-4.047672,6.234022,1,0
-4.2545786,6.438859,1,0
-4.2836447,6.416237,1,0
1.588073,-0.46668744,0,1
5.0291286,-4.4458637,0,1
-4.048126,5.9917846,1,1
0.6354523,0.7831653,1,1
-0.8159166,2.2494097,1,1
2.0471587,-2.845395,0,0
-1.3971817,0.62101793,1,0
2.835519,-1.118364,0,1
4.6585035,-3.2472537,0,0
4.5704246,-2.9984524,0,0
-5.4057217,8.167753,1,1
-5.127363,7.8849587,1,1
-4.655059,7.3201575,1,1
-4.5521,3.8801196,1,1
3.9493299,-2.3360953,0,1
3.2923164,-1.7471701,0,1
1.770952,0.02885975,0,1
5.013036,-3.538083,0,0
3.8432798,-2.1781878,0,0
-5.177134,7.9310226,1,1
6.079475,-4.8206615,0,0
4.5195465,-2.9431477,0,0
6.475913,-5.359332,0,0
12.062238,-12.3361,0,0
13.747565,-14.175328,0,0
10.359369,-10.168072,0,0
9.113979,-8.609549,0,0
-4.8565364,7.5825396,1,1
-5.2685432,8.020849,1,1
-5.0395117,7.796761,1,1
-5.004388,7.771497,1,1
-5.250866,8.003223,1,1
4.1766224,-2.5876398,0,0
4.467771,-2.862531,0,0
9.775515,-9.460545,0,0
5.699755,-4.4782324,0,0
8.18243,-7.3746214,0,1
4.985635,-3.4832196,0,1
4.635767,-3.0991135,0,1
3.5791898,-2.03133,0,1
-3.175712,5.718053,1,1
-4.564831,7.2892866,1,1
7.782378,-6.882833,0,1
14.009512,-14.408062,0,1
-0.43552026,2.3885372,1,1
-4.9781184,7.7413907,1,1
-5.182743,7.9213176,1,1
-4.423217,2.9745684,1,1
3.311256,-4.562516,0,1
-1.4469281,-1.3212006,1,1
-5.050992,3.3792982,1,1
-5.561406,3.8507237,1,1
-5.4151106,4.060754,1,1
-5.0099697,3.5511127,1,1
-5.6254497,4.2645006,1,1
2.9986508,-3.9028366,0,0
