undermine_score,support_score,predict_label,gold
2.3967261,-2.1849434,0,1
3.8946795,-3.4853396,0,0
-3.6444068,3.168212,1,1
-3.1017542,2.704883,1,1
-3.2219033,2.8168411,1,1
-3.4206371,2.8935342,1,1
-3.5215106,2.9944286,1,1
-3.446237,2.8874784,1,1
-3.5215106,2.9944286,1,1
-3.4801898,2.9219093,1,1
-3.4545689,2.8855762,1,1
-3.633884,3.1100693,1,1
-3.6919124,3.170653,1,1
3.7575119,-3.2747161,0,0
3.713453,-3.2932487,0,0
3.7533383,-3.2895012,0,0
3.802184,-3.3407044,0,0
3.713453,-3.2932487,0,0
3.7783918,-3.347275,0,0
3.6547894,-3.2801898,0,0
3.7964025,-3.299325,0,0
-3.6601171,3.165224,1,1
-3.600396,3.0419493,1,1
-3.446703,2.9419727,1,1
-3.6478586,3.1517217,1,1
-3.5218172,2.9513307,1,1
-2.947456,2.5292778,1,1
-2.9047852,2.5242896,1,1
-3.2852435,2.7979743,1,1
-3.294808,2.8547678,1,1
-3.506032,2.9536285,1,1
3.4716787,-2.9542494,0,0
3.7768655,-3.2790065,0,0
2.7748895,-2.5098307,0,0
3.7833767,-3.3404012,0,0
3.7533443,-3.3085709,0,0
3.806872,-3.338011,0,0
3.7860289,-3.3249402,0,0
3.797422,-3.3373034,0,0
3.8160696,-3.3464377,0,0
3.844902,-3.3657215,0,0
3.7140098,-3.2791643,0,0
3.843722,-3.3814363,0,0
-3.337428,2.9661753,1,1
-3.7158706,3.257525,1,1
-3.7346706,3.2466006,1,1
1.0900522,-1.248444,0,1
-3.6105685,3.1907866,1,1
3.9818573,-3.5255542,0,0
3.5841897,-3.226238,0,0
-3.5345106,3.061348,1,0
-3.5439713,3.050303,1,1
-3.7474103,3.2465944,1,1
-3.477909,3.0226793,1,1
-2.4618542,2.2015,1,1
3.6429458,-3.2619014,0,0
-2.9800801,2.5951662,1,1
-3.3975887,2.939424,1,1
-3.1267,2.7246895,1,1
-3.3863688,2.9614089,1,1
-2.629674,2.2877197,1,1
3.0713925,-2.5894382,0,0
-3.2777565,2.8370616,1,1
-3.1481047,2.7108474,1,1
1.2538629,-1.316975,0,0
-3.140845,2.699538,1,1
2.1812086,-2.2045856,0,1
3.8413665,-3.394067,0,1
3.8359728,-3.3843503,0,1
1.4202008,-1.4643677,0,1
1.1211216,-1.2096529,0,1
1.4655323,-1.5930889,0,1
0.05545815,0.3786966,1,1
3.9616919,-3.463681,0,1
3.9451027,-3.4958415,0,0
3.5319042,-3.1491632,0,0
3.9461095,-3.3976445,0,0
3.8297715,-3.3477225,0,0
-3.8183403,3.29406,1,1
-3.4417865,2.964192,1,1
-3.7952132,3.245813,1,1
-3.7242799,3.2411437,1,1
-3.8167284,3.256354,1,1
-2.7145696,2.447223,1,1
-3.1243458,2.7083979,1,1
-3.3422382,2.892994,1,1
0.7536348,-0.7063609,0,1
3.9853625,-3.4186833,0,0
3.7771225,-3.3477864,0,0
-1.2926316,1.3326106,1,1
-2.110587,1.9071109,1,1
3.2732754,-2.996545,0,1
-3.7799306,3.2014704,1,1
-3.6781957,3.1668699,1,1
0.24166949,0.23314957,0,0
3.928036,-3.4344373,0,0
3.849814,-3.3539677,0,0
-0.18282448,0.6665366,1,0
2.8289266,-2.6163259,0,0
-2.465929,2.30721,1,0
3.6670718,-3.2935257,0,1
-3.5435815,3.0275211,1,1
0.6116501,-0.40442082,0,1
-1.8150436,1.8705728,1,1
-2.662662,2.4253228,1,1
2.8734417,-2.6461918,0,1
4.0184827,-3.4930127,0,0
4.0089626,-3.4991348,0,0
2.245887,-2.1654072,0,0
-3.7120874,3.188349,1,1
-3.0018358,2.630653,1,1
-2.633306,2.3819797,1,1
-1.0147067,1.3658321,1,1
-2.8629484,2.5225935,1,1
0.9452684,-0.9910274,0,1
3.828332,-3.3997421,0,0
0.19709556,-0.17132498,0,0
-3.696982,3.1505513,1,0
-3.7885888,3.201196,1,1
-3.7926836,3.2265563,1,1
-3.7911658,3.2187564,1,1
-3.744639,3.226175,1,1
-3.7466788,3.2341902,1,1
-2.7561574,2.5156608,1,1
-3.747632,3.1502476,1,1
-3.664476,3.220321,1,1
-3.4913993,2.9374025,1,1
-3.2661054,2.8921633,1,1
-3.7929342,3.2475147,1,1
-3.7447252,3.1641312,1,1
-3.7746525,3.2351844,1,1
-0.7657107,1.141483,1,1
-3.7873175,3.2139466,1,1
-3.6714714,3.0938501,1,1
-3.645957,3.08283,1,1
-3.7747474,3.1986341,1,1
3.2277064,-2.9166543,0,0
2.1670928,-2.061103,0,0
0.7369139,-0.7411699,0,0
-3.705812,3.121738,1,1
-3.7547483,3.1566176,1,1
3.9545987,-3.4809809,0,0
3.8939493,-3.4049864,0,0
2.8424625,-2.72934,0,0
0.90891683,-0.9087453,0,0
-2.7430556,2.398618,1,0
-3.6247745,3.1096249,1,1
-3.4260502,2.9198136,1,1
-3.7380385,3.1841016,1,1
-2.3340774,2.1448042,1,1
-1.401423,1.5946779,1,1
0.5065897,-0.0962754,0,1
-3.705207,3.1239974,1,1
-3.5591104,3.0010333,1,1
3.9633622,-3.4349504,0,0
3.78374,-3.3047194,0,0
3.8778353,-3.4045541,0,0
3.9435673,-3.4578018,0,0
-3.476861,2.949549,1,1
-3.7505574,3.1737266,1,1
-1.0780985,1.3701696,1,0
-2.8604121,2.423831,1,1
-2.3116658,1.9322486,1,1
-0.63446593,0.855911,1,0
0.9408139,-0.84246534,0,0
1.3809153,-1.2410485,0,0
1.6294067,-1.5289626,0,0
-1.7704493,1.4807826,1,1
-2.936719,2.519224,1,1
-2.383504,1.9781849,1,1
-2.792886,2.3802218,1,1
-2.863165,2.4330912,1,1
-3.2806349,2.8930936,1,1
1.2113937,-1.1291721,0,1
0.12858035,-0.0731016,0,0
-0.6581031,0.8195293,1,0
-3.1004364,2.645494,1,1
-2.3721418,2.0085297,1,1
2.5627422,-2.532363,0,1
-2.933752,2.550836,1,1
-3.3660967,2.9840107,1,1
-2.6756074,2.4290118,1,1
-1.5774283,1.4495094,1,1
-2.4784026,2.1713517,1,1
-1.0382004,1.2231097,1,1
4.0309043,-3.5368779,0,0
-3.2979155,2.823277,1,0
4.0443106,-3.5187461,0,1
0.43959448,-0.43309948,0,1
0.8478739,-0.8546151,0,1
-2.2333803,2.082583,1,1
-3.5031276,3.0959125,1,1
1.290734,-1.2923611,0,1
-3.0170014,2.6470346,1,1
3.9216487,-3.506269,0,1
-1.9607741,1.7057208,1,0
-3.460973,3.052721,1,1
-3.1143782,2.7132423,1,1
3.8549242,-3.4502096,0,1
3.9804838,-3.5495062,0,1
3.9773607,-3.5220551,0,0
1.1200445,-1.1737137,0,1
2.7948852,-2.7459981,0,0
2.5724206,-2.509675,0,0
0.8435976,-0.860105,0,0
-2.5009227,2.189673,1,1
2.2596014,-2.026076,0,0
3.9056277,-3.4677365,0,0
-0.36581558,0.18337795,1,0
3.826403,-3.3827882,0,0
2.7118607,-2.6001525,0,0
-2.6671743,2.40751,1,1
-3.433149,3.07997,1,1
-3.2460842,2.9135225,1,1
-2.4022775,1.9789753,1,0
-2.849965,2.3340547,1,1
-2.8112195,2.3065095,1,1
-3.163526,2.7120492,1,1
-1.5425159,1.3191135,1,1
2.526619,-2.4040275,0,1
-3.0704157,2.634457,1,1
-0.008684413,0.35135776,1,1
2.6018705,-2.4632423,0,1
-1.2307833,1.1430248,1,1
-3.578626,3.1655774,1,1
-3.4995832,3.1564775,1,1
-3.4553328,3.1217108,1,1
-3.5847516,3.1605365,1,1
-1.4332864,1.3220711,1,1
-3.1924608,2.7901597,1,1
-3.5080612,3.0456398,1,1
-3.5854394,3.1194203,1,1
-3.541499,3.0918658,1,1
-3.498666,3.1009865,1,1
-0.037792504,0.3635766,1,1
-3.5348568,3.0985756,1,1
-3.6137652,3.1350677,1,1
-3.5890636,3.0931304,1,1
-3.5992274,3.1447196,1,1
-3.564117,3.0755,1,1
3.8545396,-3.3307328,0,0
-3.8011699,3.271015,1,1
-3.7519166,3.2169642,1,1
-3.6628628,3.135642,1,0
-3.4661424,2.9905767,1,0
-3.7616162,3.231985,1,0
0.6267129,-0.30607906,0,1
-3.6651328,3.1642022,1,1
-3.5932965,3.1107087,1,1
-3.6071572,3.1286783,1,1
-3.6473157,3.1652393,1,1
-3.6090984,3.1246562,1,1
-3.7241118,3.2195694,1,1
-3.670259,3.1681948,1,1
-3.728337,3.2441573,1,1
-3.6947598,3.2250743,1,1
-3.1754558,2.7580714,1,1
3.7205973,-3.3692284,0,1
3.8839555,-3.4107895,0,0
3.8491244,-3.3953743,0,0
3.8591502,-3.423047,0,0
3.6874475,-3.2638955,0,0
-3.4304695,3.0546117,1,0
3.338083,-3.0949404,0,0
0.97238564,-1.0087724,0,0
1.2800713,-1.3408015,0,0
2.9450712,-2.7963347,0,1
-3.7416863,3.243186,1,1
-3.095171,2.6547203,1,1
-3.784535,3.2327023,1,1
