undermine_score,support_score,predict_label,gold
-1.5285203,1.6495306,1,1
6.0424795,-5.9210405,0,0
-6.217398,7.243838,1,1
-1.8318906,1.6552374,1,1
1.0324188,0.6410041,0,1
-3.0962942,4.014167,1,1
-4.34151,5.025714,1,1
-3.6868944,4.602282,1,1
-4.34151,5.025714,1,1
-2.8682275,3.9510584,1,1
-3.0362346,3.8127646,1,1
-3.2691033,3.9938128,1,1
-3.5827246,4.3815994,1,1
7.50141,-6.747495,0,0
7.316077,-6.288072,0,0
7.708913,-6.682796,0,0
5.8559384,-5.120307,0,0
7.5608435,-6.4751916,0,0
9.517207,-8.677434,0,0
6.6389036,-5.779134,0,0
5.6661663,-5.15607,0,0
-3.7146091,4.1897635,1,1
-2.6570752,2.8434932,1,1
-3.807388,3.91892,1,1
-3.6773813,4.1439977,1,1
-1.9838212,2.9294558,1,1
-4.281507,4.5128593,1,1
-3.2210746,3.246605,1,1
-1.5634861,2.6060083,1,1
-3.3246348,4.19253,1,1
-4.29154,4.5686774,1,1
4.3660936,-3.6513562,0,0
4.6535645,-3.7171109,0,0
4.548167,-3.7241797,0,0
8.336663,-7.3999395,0,0
10.378748,-9.401944,0,0
9.225569,-8.185773,0,0
8.749876,-7.8943925,0,0
8.149375,-7.1472025,0,0
10.266957,-9.366686,0,0
10.306148,-9.447485,0,0
9.123094,-8.153727,0,0
9.370614,-8.456308,0,0
-5.059351,3.6925218,1,1
-3.0855465,3.7562933,1,1
-5.227473,5.6554036,1,1
4.7511535,-4.076801,0,1
-1.9790642,2.7568736,1,1
3.7323785,-3.952894,0,0
7.2897344,-6.9540854,0,0
-3.5736797,3.6350195,1,0
-1.9878297,1.9794799,1,1
-1.5166942,1.9589295,1,1
-2.6585436,3.4368155,1,1
-3.5413594,4.291553,1,1
9.930955,-9.4307575,0,0
0.33531517,0.11176348,0,1
-0.83855647,0.99864405,1,1
-3.1263258,3.6474855,1,1
-0.17921352,-1.4128155,0,1
4.5666428,-5.268517,0,1
-1.9623523,2.4250174,1,0
-0.90178454,-0.6702646,1,1
-2.019773,1.6612276,1,1
-2.48526,2.5597985,1,0
3.2378163,-4.116091,0,1
-0.3388276,0.64757586,1,1
-2.041699,2.1969378,1,1
1.260629,-0.83649397,0,1
-0.89070475,0.95405763,1,1
-2.0594814,2.3099058,1,1
1.1307341,0.21656632,0,1
-2.6234448,2.919098,1,1
1.0686252,-0.12100791,0,1
6.961351,-5.9631624,0,0
7.529348,-6.55748,0,0
7.690156,-6.811175,0,0
7.6220245,-6.808326,0,0
-3.529013,4.2116556,1,1
-0.85460997,1.4534907,1,1
-4.125048,4.414955,1,1
-1.2648065,1.8322036,1,1
-3.0240462,3.2906146,1,1
0.24273372,0.6251261,1,1
-0.15429497,0.9672028,1,1
-0.27691174,1.173814,1,1
-1.6080811,2.253848,1,1
6.591408,-5.720452,0,0
6.461262,-5.4930573,0,0
1.4748936,-0.6894188,0,1
-1.153172,1.6979308,1,1
-2.1830537,2.9229019,1,1
-5.620482,5.2172823,1,1
-3.7466516,3.2381105,1,1
9.348299,-8.994414,0,0
9.710468,-9.014396,0,0
7.2596474,-5.851296,0,0
1.1453503,-0.60705805,0,0
4.279268,-4.140949,0,0
-0.3200177,0.2757542,1,0
-3.2889585,3.499917,1,1
-4.0422883,4.7372847,1,1
-3.7312171,3.6670587,1,1
-5.7283087,5.0854254,1,1
-5.2671785,4.8066955,1,1
-2.1661952,1.4884236,1,1
6.7711253,-5.800154,0,0
7.513984,-6.360581,0,0
1.8948525,-1.6596828,0,0
-4.320426,3.2137837,1,1
-0.7286436,0.7866169,1,1
-2.7462466,1.9968705,1,1
-0.5305495,1.1584402,1,1
-3.9662416,4.968594,1,1
-1.2651471,1.2014867,1,1
7.483289,-6.19969,0,0
3.7906704,-3.4493966,0,0
-2.6942322,3.493562,1,0
-4.6453815,3.9690962,1,1
-3.8148928,4.72313,1,1
-3.466261,4.128574,1,1
-3.7164137,4.994528,1,1
-3.6021893,4.702765,1,1
-3.1476483,3.8666527,1,1
-5.756974,5.55146,1,1
-5.8185024,5.3046274,1,1
1.4905787,-1.0735996,0,1
-5.093285,4.7414827,1,1
-4.875166,5.1071267,1,1
-5.3903975,5.242727,1,1
-3.2427936,4.399327,1,1
-2.9556532,4.0034056,1,1
-2.9633768,4.2989016,1,1
-4.120445,4.7936225,1,1
0.9487288,-0.7321407,0,1
-3.577084,4.718575,1,1
7.058053,-6.946199,0,0
7.1593556,-6.6457086,0,0
3.3848891,-2.395965,0,0
-4.7478504,5.2233458,1,1
-4.052407,3.783532,1,1
6.984062,-5.2562194,0,0
7.4206185,-5.998734,0,0
-2.6128867,3.6334906,1,0
1.0319785,-0.23903537,0,0
2.88854,-2.9407341,0,0
-4.5490317,3.632547,1,1
-4.701569,5.1973767,1,1
-5.2364407,5.7489123,1,1
-2.1162126,2.9767344,1,1
-4.586252,4.9475665,1,1
-1.6233251,2.3175936,1,1
-3.6610172,4.8069196,1,1
-4.663991,5.182862,1,1
3.2760115,-3.494564,0,0
8.567648,-8.29401,0,0
10.492936,-9.495813,0,0
9.692053,-9.0018425,0,0
-3.245205,3.2550082,1,1
-3.3458908,4.073036,1,1
-1.6515154,2.08949,1,0
-3.9608335,3.3059316,1,1
-3.8581908,3.4324412,1,1
0.7795768,-1.2504611,0,0
2.168393,-2.3903844,0,0
2.508752,-2.9051614,0,0
1.1629194,-1.640911,0,0
-4.2549443,3.7106829,1,1
-3.4231372,2.4201505,1,1
-0.14787936,0.4346466,1,1
-3.508441,3.3797054,1,1
-4.667142,3.9727445,1,1
1.3676473,-1.1006799,0,1
