undermine_score,support_score,predict_label,gold
-0.50363123,1.7609943,1,1
-1.1810917,2.342133,1,1
-0.7688919,1.9319594,1,1
4.4091187,-3.4764614,0,0
-1.8326374,3.0705283,1,0
-2.3162122,3.6215155,1,0
-3.0274227,4.4078555,1,1
-1.4493016,2.6698623,1,1
-2.767016,4.013597,1,1
-0.93061495,2.0849142,1,1
-2.941525,4.3039427,1,0
-2.9014149,4.268856,1,0
3.6051385,-2.3602066,0,0
6.155374,-5.0171046,0,0
-0.54888594,1.9710354,1,0
-0.38287914,1.6460751,1,1
-1.859176,3.1866884,1,1
-1.4428104,2.5270529,1,1
-2.2749758,3.6207995,1,1
-2.622138,3.9550295,1,1
5.4731526,-4.371302,0,1
-2.4198804,3.7781103,1,1
3.9560165,-2.8892417,0,0
-2.7197704,4.0532336,1,1
-2.9544706,4.329947,1,1
-2.6873698,4.0526958,1,1
-2.6664486,3.9234438,1,1
6.13178,-4.8982644,0,0
-0.64666253,0.6494884,1,1
-1.5959269,1.9807848,1,1
-1.2250935,1.4479648,1,1
-1.0237368,1.1366416,1,0
1.1024536,-0.12145044,0,0
-1.6189929,1.8124777,1,0
2.0513935,-1.0340832,0,0
-2.7873988,4.076578,1,1
-3.182719,4.489619,1,1
-3.0198534,4.403257,1,1
-2.6081362,3.8960924,1,1
-3.0031457,4.348832,1,1
0.6812935,0.89717436,1,1
4.0690074,-2.8282928,0,0
3.3742905,-1.8445982,0,0
4.55391,-3.4014611,0,0
4.61876,-3.471665,0,0
4.672721,-3.5215695,0,0
-3.14131,4.4830613,1,1
4.3223815,-3.357189,0,0
-3.1847844,4.5619974,1,1
-2.6690753,3.92218,1,1
5.0924115,-3.965856,0,0
4.843447,-3.7191496,0,0
4.1264935,-2.8792763,0,0
3.9423027,-2.415645,0,0
3.5486841,-2.075016,0,0
-3.102737,4.415349,1,1
-3.0596213,4.3655686,1,1
-3.0558066,4.373529,1,1
-3.1740518,4.574197,1,1
-3.0574255,4.4180083,1,1
4.4313493,-3.273002,0,0
4.3709435,-3.1593814,0,0
-3.1027308,4.4634647,1,1
-3.008525,4.2871904,1,1
4.040196,-2.8848214,0,0
4.873594,-3.8132975,0,0
3.923822,-2.7539492,0,0
4.757218,-3.6640623,0,0
-3.0936184,4.430451,1,1
-3.0825691,4.4479766,1,1
-2.0158305,3.203189,1,1
-3.0806293,4.43964,1,1
-3.079506,4.458064,1,1
-3.0611072,4.4264765,1,1
-3.2678535,4.660668,1,1
3.6223755,-2.261443,0,0
3.4474528,-2.074572,0,0
3.5421388,-2.1536627,0,0
4.2769465,-3.1074703,0,0
5.3004036,-4.268167,0,0
4.373137,-3.3579578,0,0
4.1219683,-3.0263348,0,0
5.295675,-4.346378,0,0
4.2883906,-3.2382336,0,0
-2.8002524,4.135713,1,1
-2.0898452,3.264454,1,1
4.598965,-3.5386314,0,0
4.345782,-3.1511295,0,0
4.0516067,-2.889063,0,0
4.406363,-3.2206464,0,0
4.15801,-2.8473032,0,0
6.4022083,-5.281563,0,0
4.2618756,-3.0147765,0,0
-3.1210034,4.464634,1,1
-3.067981,4.418743,1,1
4.5704246,-3.5634372,0,0
3.9850204,-2.8883357,0,0
4.5402904,-3.4058428,0,0
4.6329794,-3.4888322,0,0
3.788993,-2.4234028,0,0
-3.2448952,4.5864964,1,1
-3.0425992,4.3743496,1,1
4.199507,-3.0061965,0,0
3.7012722,-2.4083033,0,0
3.9118776,-2.6414733,0,0
-3.1319532,4.4807715,1,1
5.310697,-4.245975,0,0
4.1134477,-2.9337022,0,0
4.0906262,-2.9772182,0,0
5.071826,-4.0206347,0,0
4.9931645,-3.9345407,0,0
3.8032308,-2.4732666,0,0
3.9911916,-2.7803714,0,0
4.6329937,-3.5500307,0,0
3.5918417,-2.1926692,0,0
-3.219754,4.5686903,1,1
-3.1451712,4.5015206,1,1
-3.1032672,4.454949,1,1
-3.1048105,4.489367,1,1
-3.1013803,4.485608,1,1
-3.100801,4.452329,1,1
-3.0834718,4.4231277,1,1
-3.2283838,4.610266,1,1
-3.1873252,4.5716405,1,1
-3.1330266,4.533723,1,1
5.0157976,-3.9606225,0,0
4.307852,-3.1412356,0,0
4.328323,-3.1756632,0,0
-3.093484,4.435763,1,1
-2.7884638,4.055405,1,1
6.6652703,-5.487169,0,0
5.725929,-4.652662,0,0
6.109321,-4.914038,0,0
6.1100135,-4.8059664,0,0
4.104234,-2.8747685,0,0
-2.230802,3.3993034,1,1
-2.9925528,4.3068576,1,1
-3.0862072,4.4924397,1,1
-3.04394,4.362284,1,1
-2.8551173,4.149668,1,1
-3.0035973,4.407211,1,1
-2.9950995,4.331863,1,1
-2.7458236,4.03035,1,1
0.6382979,0.5793709,0,1
4.803378,-3.6363547,0,1
-0.41637218,1.4187653,1,1
6.398709,-4.9563317,0,1
-1.3821788,2.8437364,1,1
