undermine_score,support_score,predict_label,gold
0.33708915,1.3455193,1,1
0.6994915,0.8612685,1,1
-0.08268967,1.84721,1,1
5.3678093,-3.6776104,0,0
0.541048,1.021222,1,0
0.081281886,1.9108895,1,0
-3.4960675,5.523347,1,1
-1.4216818,3.412756,1,1
-1.1520084,2.9876242,1,1
0.84507364,0.76694554,0,1
-2.6333802,4.9573774,1,0
-1.9830818,4.0237546,1,0
7.2375984,-5.084796,0,0
4.971202,-4.3168073,0,0
-2.7660222,4.497851,1,0
-1.4708749,3.280305,1,1
-3.0898738,4.8031273,1,1
-0.63282937,2.0250144,1,1
-2.3204935,4.030938,1,1
-3.0259924,4.7047615,1,1
2.5904944,-1.5865437,0,1
-2.2419868,4.0062804,1,1
6.2341766,-5.685752,0,0
-1.3065196,2.584675,1,1
-2.5662687,4.210406,1,1
-2.7161415,4.184824,1,1
-3.4535503,4.962795,1,1
4.9791193,-4.3351192,0,0
-1.4476031,0.813125,1,1
-2.5361304,2.5608985,1,1
-1.7114838,1.0771513,1,1
-2.2460275,2.3269086,1,0
-2.3367217,2.0809712,1,0
-3.4583845,3.601187,1,0
1.9923178,-2.83463,0,0
-3.3452332,4.0369825,1,1
-4.492714,4.741946,1,1
-3.0247512,3.4919662,1,1
-3.2099905,3.8154554,1,1
-4.223153,4.2987666,1,1
-2.2875853,3.093321,1,1
4.4272475,-4.4020925,0,0
3.4602346,-3.1375222,0,0
4.533507,-4.4656744,0,0
4.4444036,-4.3787785,0,0
4.662858,-4.518973,0,0
-3.289885,3.7559724,1,1
3.821332,-3.3798714,0,0
-3.977213,4.263212,1,1
-3.6578066,4.0100226,1,1
3.3874578,-3.1926613,0,0
4.664028,-4.660713,0,0
3.9605258,-4.2015133,0,0
3.6749377,-3.4114485,0,0
4.058915,-3.8437302,0,0
-3.9532423,4.155941,1,1
-3.5738668,4.1873126,1,1
-3.0274725,3.5972614,1,1
-3.9747086,4.2574267,1,1
-4.0224113,4.3241944,1,1
3.9822373,-4.1530633,0,0
3.3663893,-3.2451541,0,0
-3.9349911,4.360382,1,1
-4.078741,4.283557,1,1
3.7442427,-3.8270993,0,0
2.251333,-1.8406329,0,0
4.1889057,-4.0978346,0,0
3.5221066,-3.556333,0,0
-4.1211653,4.262918,1,1
-3.9339676,4.4801664,1,1
-3.4709597,3.8468447,1,1
-4.218443,4.6522045,1,1
-4.4569483,4.8043995,1,1
-3.5454192,4.21299,1,1
-4.278872,4.6907477,1,1
3.5840468,-3.573483,0,0
4.0051017,-3.9857917,0,0
1.7117599,-0.95325893,0,0
3.1336067,-2.7770958,0,0
3.5528717,-3.8360534,0,0
4.8843365,-4.9307594,0,0
4.2370186,-4.143394,0,0
4.1832023,-4.037985,0,0
4.8915462,-4.9634705,0,0
-1.9140774,2.454428,1,1
-1.8139597,2.1625495,1,1
3.789104,-3.8199759,0,0
4.8666887,-5.0730267,0,0
3.8102918,-3.7100325,0,0
4.0581903,-4.062766,0,0
3.6786132,-3.5484748,0,0
4.8576756,-5.137536,0,0
3.738922,-4.079997,0,0
-4.327009,4.520479,1,1
-4.26295,4.5608883,1,1
4.1543508,-4.1093817,0,0
3.8590481,-3.6920702,0,0
4.324888,-4.1942835,0,0
4.4274693,-4.261216,0,0
4.3441105,-4.1503797,0,0
-3.029652,3.4975214,1,1
-2.970541,3.4732003,1,1
4.325743,-4.5730953,0,0
4.030766,-4.3029594,0,0
3.7312675,-3.9621868,0,0
-3.4336474,3.877955,1,1
4.155404,-4.0059414,0,0
3.9718318,-3.9268308,0,0
4.08753,-3.904054,0,0
3.7059422,-3.7340875,0,0
4.0731106,-3.92556,0,0
4.21896,-4.242783,0,0
3.7949743,-3.8921463,0,0
3.7247095,-3.9001145,0,0
3.9381626,-4.0892754,0,0
