undermine_score,support_score,predict_label,gold
-3.5190313,3.2894409,1,1
3.30132,-4.477086,0,0
-7.7549157,4.812298,1,1
-6.6043167,5.7098293,1,1
-0.9691301,0.5287922,1,1
-7.8308854,4.7694206,1,1
-6.791772,3.2993507,1,1
-7.7176743,4.9325943,1,1
-6.791772,3.2993507,1,1
-8.377958,6.072508,1,1
-6.425821,5.538185,1,1
-8.655426,5.797476,1,1
-8.581352,5.783983,1,1
4.0495405,-5.015556,0,0
3.6510448,-4.6978683,0,0
3.6765947,-4.7220135,0,0
3.6998703,-4.739513,0,0
3.6510448,-4.6978683,0,0
3.9330971,-4.949382,0,0
3.9638104,-4.989319,0,0
3.8878477,-4.8645763,0,0
-7.0601683,5.915249,1,1
-8.396299,5.682756,1,1
-7.137119,5.848207,1,1
-7.1119156,5.9464293,1,1
-6.0487523,2.7106147,1,1
-7.8664083,4.931937,1,1
-8.312958,5.512241,1,1
-5.0618973,4.563015,1,1
-5.2982926,4.7486906,1,1
-7.4419036,5.8715997,1,1
-5.3749695,4.6914806,1,1
4.15816,-5.1344056,0,0
4.0390263,-5.0433264,0,0
4.121366,-5.1619487,0,0
3.6959052,-4.766787,0,0
3.792627,-4.817725,0,0
3.8935847,-4.954605,0,0
3.8650117,-4.885216,0,0
3.8171854,-4.8771544,0,0
3.7680597,-4.860527,0,0
4.342079,-5.320709,0,0
4.1971636,-5.194461,0,0
4.295098,-5.2980084,0,0
4.0064964,-5.0172644,0,0
1.7772568,-1.3638108,0,1
0.962438,0.027648622,0,1
1.0309004,0.023173029,0,1
-0.22501476,0.017780045,1,0
0.7344505,-0.8811408,0,0
0.14580025,-0.3410189,0,0
0.25581354,-0.4897349,0,1
0.5441868,0.41646796,0,1
2.2950585,-2.036122,0,1
1.7688931,-0.8658381,0,1
-1.0547982,0.7355934,1,1
-0.7646695,0.49608827,1,1
-0.33156228,0.09919947,1,0
2.2852116,-3.8057158,0,1
3.8305948,-4.871856,0,1
-6.980776,5.8313723,1,1
3.6029308,-4.745287,0,1
3.7653897,-4.8220477,0,1
3.902121,-4.9436846,0,0
3.491202,-4.6593785,0,0
3.4841516,-4.6395097,0,0
3.0204527,-4.3176155,0,1
3.2831135,-4.5293446,0,1
-6.6139455,3.7772863,1,1
3.7483723,-4.797429,0,1
3.9693596,-5.049734,0,1
3.395261,-4.5952663,0,0
3.8902824,-4.937921,0,1
-4.477109,3.887154,1,1
3.5735161,-4.713132,0,1
-4.5166078,4.4073324,1,0
5.0564485,-2.6091,0,1
5.1565614,-2.6069667,0,1
-1.4190447,2.5293155,1,0
-2.1138966,3.1912074,1,0
4.9387236,-2.5816376,0,1
5.1757736,-2.709693,0,1
4.043053,-1.6672006,0,0
5.0598903,-2.585436,0,1
-1.8875098,1.6165681,1,1
3.1679523,-4.289041,0,1
3.6369076,-4.6460357,0,1
-5.0611506,4.441912,1,1
-4.6500955,4.3156214,1,1
3.9080822,-4.8908195,0,1
3.5474806,-4.5681934,0,1
0.2531327,-1.4836816,0,1
-2.1598117,3.0647323,1,0
-1.1841141,2.0487328,1,0
-1.2712333,2.1256232,1,0
-1.153905,2.0173204,1,0
4.372548,-2.648194,0,1
4.517459,-2.763829,0,1
4.220979,-2.4693727,0,1
3.9703805,-2.3292568,0,1
3.4577832,-1.814242,0,1
3.308834,-1.6073006,0,1
2.2587152,-0.21984723,0,1
2.9779837,-1.3407137,0,1
2.408837,-0.74469864,0,1
-2.0043924,2.8780603,1,0
-2.1888375,3.101761,1,0
-2.4865031,3.374651,1,0
1.5180745,0.40749994,0,1
2.93914,-1.2450536,0,1
5.0856295,-3.33962,0,1
-7.022318,5.8501935,1,1
