undermine_score,support_score,predict_label,gold
-3.2984471,3.2529116,1,1
3.8474565,-3.2621233,0,0
-3.267502,3.1742,1,1
-3.226553,3.1472688,1,1
-3.0884585,2.9705176,1,1
-3.2950506,3.208685,1,1
-3.3725667,3.2874374,1,1
-3.2860312,3.2037292,1,1
-3.3725667,3.2874374,1,1
-3.1640158,3.10779,1,1
-3.24249,3.1871765,1,1
-3.3872023,3.3040912,1,1
-3.410417,3.32782,1,1
4.292388,-3.7477374,0,0
4.3934283,-3.8800025,0,0
4.33742,-3.8015494,0,0
4.268746,-3.7784278,0,0
4.3934283,-3.8800025,0,0
4.4653716,-3.8196735,0,0
4.2055607,-3.75505,0,0
4.4076324,-3.7953925,0,0
-3.384951,3.3239944,1,1
-3.252491,3.1679196,1,1
-3.355959,3.2875772,1,1
-3.3717556,3.311028,1,1
-3.2416897,3.1562946,1,1
-3.256133,3.1678488,1,1
-3.0496914,2.9605455,1,1
-3.1917722,3.1256056,1,1
-3.286231,3.222382,1,1
-3.322805,3.2373407,1,1
-3.1979847,3.1026826,1,1
4.016087,-3.5231147,0,0
3.751729,-3.3001914,0,0
3.7551756,-3.3180094,0,0
4.4026647,-3.7610846,0,0
4.2762914,-3.7626352,0,0
4.275007,-3.7209444,0,0
3.8980978,-3.3980207,0,0
4.356134,-3.8064804,0,0
4.297219,-3.7406003,0,0
4.3780184,-3.764206,0,0
4.393289,-3.7330444,0,0
4.246264,-3.7304027,0,0
4.4060864,-3.8261986,0,0
-3.40911,3.3303697,1,1
-3.0839393,3.0455759,1,1
-3.3563764,3.2812648,1,1
-2.3254368,2.3239675,1,0
2.7990518,-2.045372,0,0
4.2750115,-3.7347713,0,0
-3.3853066,3.3197293,1,1
-3.3212688,3.2575889,1,1
-3.2873516,3.2119727,1,1
-3.239666,3.1549926,1,1
-3.411003,3.3357315,1,1
-3.2779858,3.200201,1,1
4.124723,-3.5222085,0,0
-3.243919,3.1415486,1,1
-3.4180646,3.3446975,1,1
