undermine_score,support_score,undermine_cp,support_cp,undermine_cop,support_cop,undermine_ocp,support_ocp,undermine_ocop,support_ocop,predict_label,gold
6.712105,-8.990015,2.9059253,-3.2184062,-1.6121174,0.39641207,-0.5649429,2.6039925,1.6291194,-2.7712035,0,0
6.865001,-9.183723,3.076074,-3.3624396,-1.6164733,0.43170676,-0.619182,2.7489724,1.5532718,-2.6406045,0,0
-7.205503,9.62101,-0.5753356,2.7423286,1.5400022,-2.6458073,3.3803108,-3.6583724,-1.7098547,0.5745007,1,1
-6.6168237,8.954299,-0.58038205,2.6638458,1.3743404,-2.4032547,3.028326,-3.338481,-1.6337751,0.54871786,1,1
-6.8824863,9.293329,-0.6115488,2.7061734,1.4508309,-2.549945,3.1223524,-3.4556766,-1.6977537,0.58153373,1,1
6.5048285,-8.852623,1.4591148,-2.5780482,-0.50347745,2.5144153,-1.7224178,0.5720577,2.8198185,-3.188102,0,0
6.7584314,-9.1557045,1.4413328,-2.503999,-0.6052005,2.6889694,-1.695624,0.5988605,3.0162742,-3.3638759,0,0
7.1574793,-9.58441,1.5067493,-2.6296945,-0.58422035,2.7006092,-1.7178512,0.57388556,3.3486586,-3.6802201,0,0
-5.894588,8.15171,-0.46613842,2.4528959,1.3160299,-2.1926222,2.9123483,-3.2950277,-1.2000712,0.21116313,1,1
-7.4702044,9.868109,-0.6507069,2.819769,1.6175903,-2.6592865,3.6041007,-3.8751667,-1.5978065,0.5138866,1,1
-7.640593,10.143334,-0.695626,2.8360488,1.805908,-2.9894783,3.4019532,-3.7268333,-1.7371057,0.59097356,1,1
-5.808733,8.075291,-0.40607858,2.4879608,1.137456,-2.126947,2.719358,-3.098636,-1.5458404,0.36174715,1,1
-6.278657,8.645705,-0.55027956,2.619824,1.2615421,-2.2654126,2.8662548,-3.2242117,-1.60058,0.53625715,1,1
-7.205242,9.6397,-1.6958333,0.5348839,3.28192,-3.6301384,1.5639012,-2.6674845,-0.66358733,2.8071928,1,1
5.8274355,-8.034382,2.6624892,-2.9677691,-1.4676852,0.41997197,-0.33797157,2.3290725,1.3592889,-2.3175683,0,0
7.2688556,-9.651175,3.3406436,-3.6737916,-1.7119439,0.5598544,-0.61476785,2.7325826,1.6015002,-2.6849463,0,0
6.6982594,-9.068304,2.8841348,-3.246715,-1.6306036,0.5437413,-0.50354457,2.5574272,1.6799762,-2.7204204,0,0
6.5714808,-8.845159,2.927505,-3.1805596,-1.705415,0.5483324,-0.39540046,2.4723709,1.5431597,-2.6438956,0,0
6.6401114,-8.942098,2.8459616,-3.1464906,-1.6853364,0.4659152,-0.42897558,2.4744015,1.6798383,-2.8552902,0,0
-7.500521,9.959574,-0.6601763,2.8256345,1.6941581,-2.7811432,3.4194613,-3.7231998,-1.7267257,0.62959635,1,1
-7.3575225,9.762068,-0.6513029,2.755907,1.6902052,-2.8206205,3.2781425,-3.5641015,-1.7378716,0.621439,1,1
-7.3678265,9.81996,-0.65752983,2.8046546,1.6242771,-2.684289,3.4039702,-3.7198296,-1.6820495,0.6111865,1,1
-7.4970374,9.939601,-0.66316426,2.7950053,1.7091093,-2.864465,3.3884037,-3.6815388,-1.7363602,0.598592,1,1
-7.519653,9.975687,-0.66934997,2.820654,1.6742213,-2.799746,3.4420497,-3.7346668,-1.734032,0.62062097,1,1
-7.2210236,9.66236,-0.64761865,2.7991242,1.5740107,-2.6266441,3.3459978,-3.6714644,-1.6533966,0.5651278,1,1
-7.2452726,9.679243,-0.6623169,2.8184478,1.5830587,-2.5991096,3.3960009,-3.7271562,-1.6038963,0.53452915,1,1
-7.1623487,9.580056,-0.64311934,2.7399387,1.5993242,-2.654873,3.2344422,-3.5752919,-1.6854628,0.6099532,1,1
7.305541,-9.732604,1.5970974,-2.6466715,-0.68650436,2.7962093,-1.6643767,0.5847045,3.3575625,-3.705019,0,0
6.9981594,-9.373451,1.5985011,-2.6197426,-0.6269618,2.6962187,-1.6151446,0.5574553,3.1575515,-3.5000348,0,0
7.0948277,-9.491878,1.632781,-2.6949072,-0.620546,2.6904316,-1.7131945,0.6256563,3.1283064,-3.4808826,0,0
7.00327,-9.368522,1.5600287,-2.576931,-0.64104754,2.7254138,-1.6175863,0.55855423,3.1846075,-3.5076227,0,0
7.6814585,-10.139654,1.7487311,-2.9005659,-0.66830003,2.803274,-1.7679971,0.6099605,3.4964302,-3.8258538,0,0
7.125106,-9.540905,1.5719602,-2.6242201,-0.6480534,2.753621,-1.6644584,0.59668636,3.2406337,-3.566378,0,0
-7.2044725,9.646919,-0.61547685,2.7092767,1.7204332,-2.86177,3.1369705,-3.469863,-1.7315924,0.6060091,1,1
-7.292114,9.728967,-0.675585,2.7963922,1.6228715,-2.6968112,3.2931108,-3.623692,-1.7005469,0.6120711,1,1
-6.8056364,9.162423,-0.592348,2.6482372,1.5612352,-2.5805829,3.0793583,-3.4204164,-1.5726945,0.5131864,1,1
-7.560796,10.042537,-0.6940784,2.844006,1.7045354,-2.8198528,3.4195623,-3.7515154,-1.7426193,0.62716186,1,1
-7.285697,9.735744,-0.69648683,2.8379035,1.5637828,-2.6008286,3.38385,-3.7250452,-1.6415772,0.5719672,1,1
-7.5972176,10.079429,-0.68631786,2.824812,1.7349111,-2.8692112,3.44825,-3.7811468,-1.7277385,0.6042589,1,1
-7.5571213,10.033221,-0.6790634,2.831958,1.665457,-2.7807765,3.4657001,-3.7875233,-1.7469008,0.6329632,1,1
-7.2728066,9.688457,-0.6351414,2.790679,1.5190945,-2.506998,3.5693645,-3.887555,-1.5492061,0.50322413,1,1
7.078554,-9.467637,1.557009,-2.5664206,-0.655487,2.7757137,-1.5964652,0.5434124,3.2695928,-3.5820906,0,0
7.141368,-9.518532,1.5473819,-2.5482447,-0.6777853,2.7888956,-1.5921888,0.5338596,3.3240116,-3.647532,0,0
7.585671,-10.02759,1.7254603,-2.8786619,-0.6664223,2.7917776,-1.7541014,0.6021314,3.4396868,-3.7550187,0,0
7.318,-9.705191,1.6396586,-2.6993365,-0.67242694,2.7654476,-1.7010438,0.61573124,3.3048706,-3.624675,0,0
7.331651,-9.773517,1.6819491,-2.776479,-0.67588675,2.7614822,-1.7352163,0.63006276,3.2385993,-3.605493,0,0
7.017047,-9.392438,1.6316283,-2.6699407,-0.62288034,2.6950953,-1.6614352,0.5831609,3.1011033,-3.444241,0,0
7.240596,-9.656135,1.705972,-2.7656178,-0.6454632,2.7356365,-1.6778312,0.6026505,3.2113295,-3.55223,0,0
-7.4381256,9.915046,-0.663635,2.7957268,1.738167,-2.876832,3.310505,-3.6466577,-1.7258184,0.5958289,1,1
7.3218164,-9.769592,1.6342397,-2.6982532,-0.6674502,2.7706378,-1.6899111,0.61866593,3.3302157,-3.6820354,0,0
6.473768,-8.761429,1.4475908,-2.3585126,-0.57741344,2.620461,-1.385744,0.37606454,3.0630198,-3.4063911,0,0
7.2669744,-9.654484,1.7261565,-2.7596116,-0.6695879,2.7451348,-1.632962,0.5595667,3.238268,-3.5901713,0,0
5.902973,-8.074382,1.4953468,-2.4432783,-0.29293543,2.2203465,-1.4290671,0.40946233,2.6856241,-3.0012949,0,0
6.6722984,-8.999733,1.5495701,-2.5411391,-0.5458098,2.6010609,-1.5416191,0.47782117,3.0352993,-3.3797116,0,0
7.5379496,-9.996628,1.7596307,-2.9441047,-0.674671,2.7949476,-1.7313657,0.5599656,3.372282,-3.6976097,0,0
-7.823804,10.313754,-0.59119636,2.774969,1.9014469,-3.1235342,3.6123421,-3.9093292,-1.7188184,0.50592124,1,1
-7.2997675,9.716845,-0.6354428,2.73878,1.6932157,-2.816782,3.2165222,-3.5398073,-1.7545869,0.62147546,1,1
7.3931484,-9.823935,1.6463522,-2.691775,-0.6506014,2.809198,-1.6963352,0.6241183,3.3998597,-3.698843,0,0
7.3654366,-9.774968,1.6774821,-2.727405,-0.6814884,2.7961395,-1.7016435,0.6191035,3.3048224,-3.6323204,0,0
7.1744895,-9.580988,1.5769341,-2.584965,-0.6421946,2.8057568,-1.5942659,0.53758794,3.361095,-3.6526775,0,0
7.7240934,-10.224589,1.8271714,-2.9384646,-0.71026194,2.8346026,-1.7050586,0.62106454,3.4816017,-3.8304572,0,0
7.9590106,-10.507681,1.849169,-3.0381641,-0.7117073,2.861479,-1.8421905,0.7068757,3.555944,-3.9011626,0,0
-8.23404,10.790544,-0.59722316,2.8371224,1.8388804,-3.0912013,3.9405353,-4.186819,-1.8574011,0.67540085,1,1
-7.9921913,10.541901,-0.71360207,2.871559,1.7943255,-2.9569738,3.654593,-3.991299,-1.8296707,0.7220686,1,1
-8.118811,10.678085,-0.6447013,2.8444452,1.8135095,-3.0117302,3.810161,-4.1177406,-1.8504393,0.70416963,1,1
-7.0991516,9.511131,-0.58842206,2.6418743,1.6206381,-2.70033,3.277687,-3.6356878,-1.6124045,0.53323936,1,1
-7.596131,10.079526,-0.679409,2.8101494,1.7113327,-2.828844,3.4864113,-3.8108637,-1.7189775,0.62966883,1,1
-7.5618706,10.021011,-0.66353065,2.8233573,1.6154588,-2.674368,3.701915,-4.029857,-1.580966,0.49342912,1,1
7.7816586,-10.302932,1.8225029,-2.981393,-0.7048811,2.8091,-1.8302361,0.7073573,3.424039,-3.8050814,0,0
7.3894463,-9.853561,1.719093,-2.8278737,-0.6409297,2.7112653,-1.7357392,0.63291657,3.2936845,-3.6815066,0,0
7.6021957,-10.094029,1.6967576,-2.8220932,-0.710324,2.825596,-1.7198977,0.6174848,3.4752166,-3.8288555,0,0
7.5881352,-10.052116,1.7998317,-2.920034,-0.65596616,2.740801,-1.7691641,0.65781176,3.363173,-3.7334695,0,0
7.778322,-10.272626,1.7877483,-2.915914,-0.7038059,2.8487706,-1.7657938,0.6521405,3.5209744,-3.8558004,0,0
8.017233,-10.555248,1.8877993,-3.0930877,-0.6872722,2.855493,-1.8525085,0.6905378,3.589653,-3.9161294,0,0
-8.017411,10.561244,-0.6211376,2.8220942,1.7464329,-2.8803182,3.882337,-4.180462,-1.7675037,0.67836934,1,1
-7.305331,9.75556,-0.6441786,2.77136,1.6332124,-2.7153933,3.4525027,-3.7779565,-1.5754377,0.49085057,1,1
-7.277047,9.7273035,-0.6293893,2.7699597,1.5716717,-2.6320198,3.5034072,-3.8323119,-1.5725791,0.49301225,1,1
7.401136,-9.846743,1.7462854,-2.8888412,-0.60693544,2.663538,-1.7862284,0.66682863,3.2616868,-3.6275344,0,0
7.5961094,-10.075909,1.7761083,-2.8625998,-0.70295393,2.810439,-1.6758119,0.5901109,3.4412355,-3.8127594,0,0
7.656113,-10.170367,1.7313045,-2.8427107,-0.7114939,2.8437748,-1.7153659,0.6252761,3.4979491,-3.858606,0,0
