undermine_score,support_score,cp_distance,cop_distance,predict_label,distance_label,gold
6.570068,-5.162881,1.8719482,0.072585225,0,0,0
7.0382133,-5.4798903,1.8921461,0.09410572,0,0,0
-4.7585645,4.019589,0.0028693676,0.0073892474,1,1,1
-3.9604878,2.5411577,0.03867942,0.029619277,1,0,1
-4.4025316,3.9495144,0.005120516,0.8874863,1,1,1
5.949302,-6.8224316,1.937907,0.014157832,0,0,0
5.922384,-6.3101244,1.848173,0.020410478,0,0,0
6.055602,-7.0970755,1.7165167,0.006941378,0,0,0
-2.5977,5.6750336,0.0059419274,1.6897254,1,1,1
-4.540626,3.411315,0.006945491,0.013255417,1,1,1
-3.289897,6.2940674,0.0066922307,1.701935,1,1,1
-3.8793793,3.893799,0.009379506,0.04992187,1,1,1
-2.6870415,6.0255604,0.0014880896,1.901078,1,1,1
-6.7853923,7.1433682,0.010223806,1.6506517,1,1,1
9.046686,-8.646115,1.8130021,1.6051409,0,0,0
6.5962343,-6.0210466,1.6314764,1.681539,0,1,0
10.742303,-9.867293,1.8542174,0.009064078,0,0,0
8.278885,-7.815262,1.7802801,1.6320419,0,0,0
8.145497,-6.523151,1.6940733,0.82763827,0,0,0
-3.3088086,3.543539,0.03075838,0.9300747,1,1,1
-3.7253675,4.1427975,0.0032603145,1.114375,1,1,1
-4.1667724,2.791661,0.010280907,0.027519703,1,1,1
-3.2825532,5.0144153,0.0077807903,1.6136574,1,1,1
-3.656976,3.5818653,0.0067427754,0.7882632,1,1,1
-4.3114533,2.855734,0.016106784,0.029306531,1,1,1
-2.8091013,5.682842,0.012938619,1.9800599,1,1,1
-3.0553312,5.947315,0.0021958947,1.9856491,1,1,1
5.9795794,-5.9773045,1.9897022,0.0072692037,0,0,0
6.2406883,-5.909273,1.9896827,0.003545165,0,0,0
6.9144006,-3.335724,1.9927509,1.7556665,0,0,0
7.185795,-3.112137,1.9914331,1.8860841,0,0,0
6.9150224,-3.2912147,1.9917803,1.7555052,0,0,0
7.3252325,-2.9821448,1.9867289,1.9651119,0,0,0
-3.0266376,5.8523307,0.0008625388,1.9901481,1,1,1
-3.3479764,4.738413,0.0014936328,1.4843231,1,1,1
-3.0441146,5.8945837,0.0036004186,1.969821,1,1,1
-3.0860448,5.9994626,0.0010802746,1.9809167,1,1,1
-2.9256625,5.8823338,0.0006970763,1.9766753,1,1,1
-3.0719707,5.9268746,0.00034034252,1.9913268,1,1,1
-3.1531663,5.912149,0.0014864802,1.952418,1,1,1
-4.3264723,2.9616413,0.0023598075,0.0021329522,1,0,1
7.1486063,-2.821047,1.9809723,1.9300817,0,0,0
6.142857,-5.9439235,1.9919248,0.008138657,0,0,0
6.7458973,-3.3265257,1.989408,1.6932769,0,0,0
6.498714,-5.3841157,1.9885459,0.58654785,0,0,0
6.0165715,-4.88076,1.9881935,0.33093983,0,0,0
6.5792193,-4.9342237,1.9882474,0.9177462,0,0,0
6.9514885,-3.8415449,1.9779608,1.4036709,0,0,0
-3.4382899,4.0693097,0.014267266,1.1102171,1,1,1
6.9807954,-3.2904062,1.9710345,1.6735731,0,0,0
6.8960085,-3.1232374,1.9584911,1.8031117,0,0,0
6.648644,-4.3084316,1.9801822,1.1256218,0,0,0
7.047978,-2.7996988,1.9887011,1.989593,0,1,0
7.174447,-2.9043663,1.9870491,1.9884205,0,1,0
7.1829686,-2.781687,1.9894736,1.9891531,0,0,0
-4.1760745,2.753206,0.006064832,0.0128234625,1,1,1
-3.3386528,5.4538836,0.000702858,1.7413604,1,1,1
6.06436,-5.9376664,1.9897034,0.0004683137,0,0,0
5.801027,-5.7035146,1.9826639,0.07047135,0,0,0
6.009997,-5.826979,1.9928932,0.0029329658,0,0,0
5.986775,-5.149071,1.975868,0.23179913,0,0,0
5.0197816,-5.3112006,1.9472151,0.029928207,0,0,0
-4.486051,3.238969,0.0063599944,0.06959361,1,1,1
-3.084348,6.0761347,0.001822114,1.9638236,1,1,1
-3.2938035,5.3163977,0.0012065172,1.572583,1,1,1
-3.199545,5.958539,0.0050101876,1.8208292,1,1,1
-2.8797479,6.121239,0.005865097,1.963764,1,1,1
-2.9188523,5.858714,0.021205246,1.7859174,1,1,1
4.0306945,-3.3689666,1.4882758,0.5975836,0,0,0
5.600256,-4.867535,1.9117236,0.9596532,0,0,0
4.708809,-5.6655498,1.786027,0.005112231,0,0,0
5.652673,-3.3307688,1.8993556,1.0904565,0,0,0
4.9685283,-5.289167,1.9714476,0.039263666,0,0,0
5.1335816,-5.0761657,1.8961393,0.014843583,0,0,0
-2.824669,6.1018887,0.0050362945,1.9743084,1,1,1
-3.675648,3.563926,0.010742366,0.79341936,1,1,1
-3.0669365,6.278594,0.007717252,1.9413142,1,1,1
5.3711376,-5.886831,1.9718206,0.009353578,0,0,0
5.658199,-5.6278462,1.9798044,0.018854558,0,0,0
5.1357665,-5.7190857,1.9709232,0.0015599728,0,0,0
5.217042,-4.871445,1.8762201,0.006346166,0,0,0
6.040116,-4.851869,1.9773384,1.0222925,0,0,0
-2.9212067,6.2072845,0.0022554398,1.9736836,1,1,1
-3.9361258,4.1237464,0.00066149235,0.9459542,1,1,1
-3.0785415,6.350365,0.0056049824,1.9268277,1,1,1
-3.2674515,5.9854198,0.0030711293,1.8870614,1,1,1
4.4708714,-3.793393,1.768024,0.16666532,0,0,0
