undermine_score,support_score,predict_label,gold
-0.8609105,1.3160465,1,0
2.0885925,-1.4232329,0,0
-1.2385652,1.664096,1,0
1.9973098,-1.3185704,0,0
2.2946916,-1.981444,0,0
1.8516718,-1.0950454,0,0
2.0716915,-1.3407134,0,0
-1.2846732,1.362139,1,0
-0.07948847,0.07770577,1,1
-2.6207552,2.8121586,1,0
-1.4349762,1.4317328,1,1
-2.6409907,2.53828,1,1
-3.188522,2.8648257,1,1
3.0632586,-2.975256,0,1
1.2271695,-0.7984781,0,0
-0.67093015,0.81463194,1,0
1.885603,-1.1619114,0,0
-3.198317,3.250048,1,0
3.444625,-3.0458496,0,0
-2.1630054,2.2472796,1,0
-2.704284,2.8188453,1,0
-2.52068,2.663497,1,0
-1.4754716,1.5051271,1,0
-2.6167493,2.4305987,1,0
2.9001172,-2.90453,0,1
-3.5752406,3.261427,1,1
1.4342571,-1.1914939,0,0
0.40056157,0.22853486,0,1
1.3985474,-0.78061116,0,1
0.81366754,-0.27186403,0,1
0.44436973,-0.15329097,0,1
-1.5385596,2.1491785,1,1
-2.1289933,2.0783396,1,1
-0.71899354,1.1967834,1,1
1.5246075,-1.1245191,0,1
-1.0831712,1.388656,1,1
3.3473833,-3.3573954,0,1
-3.530453,3.3237462,1,0
-3.366568,3.1201153,1,0
-3.4692316,3.3467386,1,0
-2.9046865,2.992838,1,0
-3.1203136,3.0864372,1,0
-1.0479339,1.1243209,1,0
1.5372494,-0.9125782,0,0
2.2026973,-1.4331411,0,0
-3.240209,2.8488111,1,1
0.6991397,-0.013489583,0,1
2.3366756,-1.7940384,0,1
-1.7736953,1.4632297,1,1
1.5861005,-0.8379326,0,1
2.4080992,-1.7799907,0,1
-0.3724354,0.9126777,1,0
1.1357071,-0.5702034,0,1
0.5238836,-0.41636333,0,0
-2.4956675,2.8031645,1,0
-0.60982955,1.1223302,1,0
0.4932993,-0.2528746,0,0
1.6093618,-1.2945629,0,0
-0.063127495,0.40112045,1,0
-3.4767957,3.3190718,1,0
-2.1339352,1.7588257,1,1
3.1648235,-2.9011507,0,1
3.2836561,-3.433907,0,0
-0.29950458,0.6675346,1,0
-0.2855816,0.26289254,1,1
-2.6456223,2.8195865,1,0
1.0255102,-1.0585154,0,0
0.503415,-0.2183695,0,0
0.95451844,-0.65196013,0,1
0.47072104,-0.11379015,0,1
-0.96751195,1.0566128,1,1
-0.6273205,0.68019664,1,1
-0.02089089,-0.26701152,0,1
-1.6025633,1.716475,1,1
0.64700615,-1.0461313,0,1
-1.4236811,1.2245425,1,1
-0.90011215,0.624627,1,1
-1.2497095,1.0643376,1,1
-0.23350972,-0.21578579,1,1
-0.19905932,-0.14888677,1,1
-3.3839912,3.281609,1,0
2.905956,-2.762802,0,0
-2.857689,2.971289,1,0
-3.1090655,2.9645529,1,0
2.8961744,-2.698197,0,0
2.4153776,-2.155541,0,0
1.4531585,-1.7178367,0,0
-1.7768168,1.962866,1,0
1.7508613,-1.6561202,0,0
2.394176,-2.0123906,0,0
0.8521614,-0.7088411,0,0
1.0529987,-1.2535272,0,0
-3.3741493,3.1157055,1,0
-2.9595227,3.0523458,1,0
-3.0593238,2.851228,1,1
-3.4898496,3.3040595,1,1
-2.54551,2.5623324,1,1
-0.42099088,0.51625395,1,1
2.3937974,-1.7276617,0,1
-1.5225497,1.7520384,1,1
0.043479305,-0.08880436,0,1
0.36934885,-0.6318375,0,1
1.5125854,-1.8917671,0,1
1.947842,-1.3697785,0,1
2.3948112,-2.2242537,0,0
-3.3505476,3.1234274,1,0
-2.3162937,2.5726418,1,0
0.5648199,-0.63559204,0,0
-3.1782126,3.2332616,1,0
-2.9066222,2.8129115,1,0
0.45804203,-0.6066233,0,1
-1.1914605,1.3877579,1,1
-1.7419504,1.9104618,1,0
-0.026839333,0.0061126756,1,0
0.19204102,-0.0361908,0,0
0.22432683,0.08747902,0,1
-1.899336,1.8590304,1,0
-1.1793014,1.2591281,1,0
-2.2190948,2.2033873,1,0
-3.2215085,2.8335152,1,0
-2.2049093,2.2111602,1,0
-1.2950987,1.4581068,1,0
0.69518423,-0.9041246,0,0
-2.2303042,2.3748503,1,0
-1.3721164,1.5458173,1,0
1.2821523,-0.9145356,0,1
0.3655503,-0.45682332,0,0
-0.32849962,0.4204238,1,0
0.03998152,-0.03255844,0,0
1.1272923,-1.2313952,0,0
3.3514495,-2.8478792,0,0
2.9105415,-2.7659106,0,0
1.5905973,-0.8184377,0,1
1.4340506,-1.1051193,0,1
-0.7667699,0.37748772,1,1
0.8363417,-0.46498752,0,0
1.7757612,-1.3217822,0,0
-2.3624754,2.6789124,1,0
-0.0134979235,0.34078732,1,0
-2.5840352,2.7468097,1,0
-0.49581444,0.36285046,1,0
2.5172963,-2.481919,0,0
-2.9628448,3.0227365,1,0
-2.916203,2.995424,1,0
-1.2221308,1.196397,1,0
-1.983524,2.4460902,1,0
-2.7874079,3.1532536,1,0
-0.56014967,0.4522258,1,0
1.1479046,-1.1090633,0,0
0.9805092,-0.4110148,0,1
-2.7997632,2.6672916,1,1
1.5675036,-1.0123826,0,1
-1.091434,1.6201198,1,1
-0.9034835,1.308128,1,1
1.73152,-0.9272746,0,1
-2.4349127,2.7173586,1,1
-2.0365286,2.1144779,1,0
1.5685233,-1.0735449,0,0
0.7633127,-0.28194606,0,0
-0.9192604,0.8420601,1,0
-2.2877605,2.2988293,1,0
-0.772648,0.6679576,1,0
0.07423249,-0.4262102,0,0
-3.1493192,3.0590923,1,1
-1.0785551,1.2981514,1,0
-2.9674711,2.626422,1,1
-1.1347212,1.2410394,1,0
-1.6171559,1.8522928,1,0
0.64639103,-0.4823234,0,1
2.4189937,-2.308864,0,1
-0.03862237,0.012242845,1,1
-3.2166228,3.2185698,1,0
2.2483404,-2.27829,0,1
-3.2724075,3.0793197,1,0
1.6668035,-1.3160626,0,1
-3.2850263,3.247814,1,1
-2.5631022,2.8802757,1,0
-1.7293376,1.734908,1,0
-1.4846514,1.4875371,1,0
-0.6388328,0.56524754,1,0
-2.4975438,2.6519527,1,0
-1.1485542,1.1082181,1,0
-2.8904104,2.4328284,1,0
-1.6608317,1.8510898,1,0
-2.3242488,2.3445632,1,0
-1.1990876,1.0603458,1,0
-2.2009778,2.201599,1,0
-2.031148,1.8759573,1,0
-1.2944788,1.1917533,1,0
-1.019519,0.8494785,1,0
-0.9017721,0.8493384,1,0
-0.4173568,0.32242164,1,0
-1.8717804,1.8864572,1,0
-0.28825495,0.06248429,1,0
-1.365278,1.2844607,1,0
-1.5650139,1.7131244,1,0
-0.37662184,0.37238568,1,0
-1.0517421,0.8847405,1,0
-0.56696814,0.49211878,1,0
-2.7190576,2.6285853,1,1
-1.9733046,2.1917439,1,1
-1.491417,1.484769,1,1
-2.193142,2.498228,1,1
-3.2439063,3.2028704,1,1
-2.673243,2.6654596,1,1
-3.0853615,3.1003509,1,0
-1.8445429,1.9420195,1,1
-0.87623465,1.220862,1,1
-2.4825613,2.4600902,1,0
-0.05060831,0.3659358,1,0
-1.8584858,1.7559062,1,0
-0.544572,0.46928126,1,1
1.1716512,-0.57486165,0,1
-1.1481991,1.2508088,1,0
-0.6389247,0.7405092,1,1
0.15110023,0.21886751,1,1
-0.75521284,0.7510145,1,0
-3.3273952,3.2720103,1,0
3.0554187,-2.5802586,0,0
