undermine_score,support_score,predict_label,gold
-3.2879071,3.2261798,1,0
-0.86439973,0.8964032,1,0
-3.1684995,3.119341,1,0
-3.0218062,2.9772117,1,0
4.1341615,-3.6241014,0,0
-3.0751662,3.022636,1,0
-3.0542982,3.0238988,1,0
-3.0277386,2.9370613,1,0
-3.0596733,2.9814646,1,1
-3.37463,3.2970414,1,0
-3.0093355,2.8987203,1,1
-1.3719134,1.3061575,1,1
-3.249208,3.1694071,1,1
2.459969,-1.9225734,0,1
-3.447014,3.387178,1,0
-3.2758546,3.2185364,1,0
-3.427107,3.3658752,1,0
-3.3936539,3.3430972,1,0
4.2280116,-3.6727908,0,0
-2.4515028,2.4864388,1,0
-0.061237197,0.21750268,1,0
-3.30063,3.244332,1,0
-3.2865043,3.2254558,1,0
-3.4105554,3.3385317,1,0
2.58647,-1.9608339,0,1
-3.2288423,3.1472392,1,1
-3.2896361,3.1864135,1,0
3.392464,-3.0451107,0,1
3.404486,-3.1272252,0,1
-2.7603865,2.7022662,1,1
3.290463,-2.859896,0,1
3.2757654,-2.8393745,0,1
-1.2144573,1.1911386,1,1
-3.145196,3.0647483,1,1
-0.085383944,0.108665675,1,1
-3.260169,3.19235,1,1
4.3876166,-3.75906,0,1
-3.2606037,3.1996684,1,0
-3.313987,3.2423196,1,0
-3.3329468,3.2719555,1,0
-3.1008778,3.03297,1,0
-3.0496728,2.9976254,1,0
-1.547924,1.6446944,1,0
3.7102036,-3.440366,0,0
3.5734482,-3.3228688,0,0
-3.1483226,3.0749116,1,1
3.0727963,-2.551833,0,1
3.9694483,-3.5361755,0,1
-0.16036703,0.33070904,1,1
3.4283433,-2.9703116,0,1
3.8426056,-3.5145295,0,1
-3.2702749,3.2158527,1,0
-3.3655303,3.2899208,1,1
1.3241626,-0.81600755,0,0
-3.3402352,3.2589593,1,0
-3.3232923,3.264885,1,0
-1.1876496,1.2400957,1,0
-2.310348,2.3476987,1,0
-3.2372766,3.2044652,1,0
-3.3383284,3.3021064,1,0
-3.3183298,3.2400267,1,1
3.7726045,-3.1992269,0,1
4.4853764,-3.827254,0,0
-2.0258007,2.0600095,1,0
-0.71835023,0.83668166,1,1
-3.4413633,3.3748403,1,0
3.9704647,-3.3708491,0,0
3.1554375,-2.848332,0,0
2.9517303,-2.8202124,0,1
-3.299356,3.2408717,1,1
-3.3233118,3.2693853,1,1
-2.998498,2.957129,1,1
4.2382483,-3.6439624,0,1
-2.88887,2.8454452,1,1
4.160939,-3.6474822,0,1
-0.4907594,0.6329271,1,1
-1.1093796,1.1741086,1,1
-3.1751304,3.07408,1,1
-1.0758932,1.0565473,1,1
-2.6614776,2.618577,1,1
-3.3421035,3.2741604,1,0
4.5074677,-3.8384113,0,0
-3.407319,3.3233235,1,0
-3.377242,3.3003159,1,0
4.4934726,-3.8563502,0,0
-0.52000874,0.67838246,1,0
4.454663,-3.8372865,0,0
-3.290477,3.2211292,1,0
4.1953053,-3.672618,0,0
-0.95694965,0.757832,1,0
-3.0381708,2.9793298,1,0
3.7603424,-3.0780602,0,0
-3.3582351,3.2990732,1,0
-3.0971298,3.0077314,1,0
3.6789298,-3.0180054,0,1
-3.3176937,3.2440052,1,1
2.7629297,-2.5508218,0,1
0.17687926,0.06883761,0,1
3.5802975,-3.2526088,0,1
-3.3028877,3.234834,1,1
4.1873636,-3.6905699,0,1
4.2053075,-3.656921,0,1
3.944941,-3.583593,0,1
2.0834634,-1.6894544,0,1
-3.2797515,3.2581325,1,0
-3.486816,3.43928,1,0
-3.4160008,3.3702612,1,0
-1.8121799,1.8511341,1,0
-3.3917918,3.3200893,1,0
-3.3689737,3.3521876,1,0
-3.346783,3.2928746,1,1
-3.371721,3.3202233,1,1
-3.4489174,3.3634536,1,0
3.3823242,-2.838007,0,0
3.8112366,-3.4947307,0,0
1.0022686,-0.8328107,0,1
0.675727,-0.26769257,0,0
2.4637356,-1.9821349,0,0
-2.4236608,2.306892,1,0
-3.2065303,3.1110945,1,0
-3.3985376,3.3148904,1,0
-3.3088899,3.2221303,1,0
-3.1409402,3.0640128,1,0
-2.3495617,2.312972,1,0
-3.27565,3.214383,1,0
4.2528358,-3.5929883,0,1
-2.189876,2.0915275,1,0
3.1848907,-2.8766432,0,0
3.1510925,-2.8970075,0,0
-2.5323129,2.3821826,1,0
3.8897982,-3.4353735,0,0
3.9004292,-3.5916395,0,0
3.424374,-3.1720436,0,1
3.7995708,-3.5128818,0,1
-0.14708376,0.41479045,1,1
-3.0550623,3.0236096,1,0
-3.2266705,3.1400638,1,0
3.8492513,-3.6153102,0,0
-3.2371469,3.1475244,1,0
-3.3575876,3.2956896,1,0
-3.4241714,3.3629642,1,0
3.1066031,-2.55732,0,0
-3.3904276,3.3426907,1,0
-3.3869858,3.3363101,1,0
-3.4439936,3.3893409,1,0
-3.4587169,3.3962674,1,0
-3.383169,3.3195338,1,0
-3.2284198,3.1464705,1,0
3.2780886,-2.7707317,0,0
-1.6759026,1.5457892,1,1
-3.2562509,3.1798806,1,1
3.8818254,-3.483696,0,1
4.0669456,-3.6322021,0,1
3.9754574,-3.5903094,0,1
3.9241347,-3.5668917,0,1
3.3317308,-2.7273946,0,1
-3.286602,3.2299724,1,0
1.0156186,-0.80650514,0,0
1.3468511,-1.0655571,0,0
-1.6309097,1.4786147,1,0
-3.0368233,2.8905175,1,0
-3.159617,3.0951626,1,0
3.615213,-3.2077067,0,0
-3.323628,3.2626314,1,1
3.7545762,-3.3644414,0,0
-3.1518807,3.0783696,1,1
-2.9242191,2.801283,1,0
-1.040754,1.0912191,1,0
3.8910215,-3.266234,0,1
4.289492,-3.6360626,0,1
4.3940578,-3.750472,0,1
-3.1034193,3.0371585,1,0
3.997853,-3.3568861,0,1
-3.4345088,3.387818,1,0
0.58917296,-0.45765775,0,1
-3.355977,3.2829108,1,1
3.418285,-2.9471219,0,0
3.4326315,-2.9229417,0,0
3.9612403,-3.4901576,0,0
-2.344006,2.3974442,1,0
-3.4802637,3.4142694,1,0
3.6736662,-3.3753104,0,0
3.8050294,-3.429525,0,0
-3.4673576,3.3896601,1,0
-3.3698294,3.319984,1,0
2.9615855,-2.6135495,0,0
-3.3285148,3.2446208,1,0
-3.4013033,3.3287566,1,0
-3.391819,3.3411622,1,0
0.24248439,-0.044253994,0,0
-3.4151797,3.3436666,1,0
-3.3312635,3.2695181,1,0
-3.3609588,3.2835665,1,0
-3.110065,3.0446038,1,0
-2.5228443,2.5424504,1,0
-3.3430886,3.2697606,1,0
0.22595277,0.119619966,0,0
2.8861103,-2.3461785,0,0
-3.1796656,3.123428,1,0
3.7935486,-3.464745,0,1
2.9920747,-2.6458745,0,1
3.700679,-3.4022896,0,1
3.7068903,-3.2726827,0,1
-3.3531814,3.2977633,1,1
-3.2028263,3.140627,1,1
-3.2656178,3.18954,1,0
-3.2306979,3.1730032,1,1
-1.7683891,1.814605,1,1
-3.2930436,3.2007313,1,0
-3.3664663,3.2964692,1,0
3.6975374,-3.292037,0,0
3.5380056,-3.2001617,0,1
3.388184,-3.150611,0,1
0.04511973,0.24189167,1,0
-0.15859284,0.5935926,1,1
0.92942256,-0.5040325,0,1
4.3100324,-3.7498467,0,0
-3.4033964,3.33384,1,0
4.45795,-3.9130547,0,0
4.28693,-3.7786224,0,0
4.0802073,-3.4417987,0,0
3.7957675,-3.5215545,0,0
3.5914814,-3.2287781,0,1
3.4847817,-3.2916765,0,0
3.8701527,-3.5724273,0,0
3.8858585,-3.5786893,0,0
3.8372102,-3.5235577,0,1
-3.0833302,2.9838681,1,0
-3.153226,3.0741649,1,0
-2.9400415,2.8837073,1,0
-2.6493874,2.5718389,1,0
-2.3554256,2.3851967,1,0
4.412604,-3.671132,0,0
-3.3113132,3.2398257,1,0
