undermine_score,support_score,cp_distance,cop_distance,predict_label,distance_label,gold
4.845353,-1.5386735,1.8426658,1.9233413,0,1,0
7.882891,-8.708671,1.7808545,1.347103,0,0,1
-2.5078962,5.741764,0.06419629,1.9695702,1,1,0
3.9428737,-0.7443409,1.1698959,1.7948637,0,1,0
0.24875884,-1.4017276,1.2004136,0.1332084,0,0,0
-3.4993196,1.7060026,0.07496011,0.14581662,1,1,0
4.4635906,-1.1078724,1.7339498,1.2410808,0,0,1
5.1092267,-3.4907646,1.2861861,0.48117244,0,0,1
8.181064,-7.3974504,1.6043,0.8865302,0,0,1
7.4847426,-6.7698936,1.2860799,0.19417131,0,0,1
0.45551986,0.9423683,0.8806485,1.3962039,1,1,1
2.6900496,-0.7365152,1.4103489,1.630712,0,1,0
3.2712302,-2.1145542,1.6120055,0.45254642,0,0,0
-3.431627,2.3799593,0.007973254,0.0026967525,1,0,1
7.4295793,-7.996519,1.473905,1.7346628,0,1,1
7.477692,-3.4107847,1.815,1.4304352,0,0,0
9.383014,-8.384478,1.719032,0.3936367,0,0,0
6.0236163,-2.0245335,1.9478419,1.8684564,0,0,0
4.3224163,-5.810982,1.7115939,0.5758171,0,0,1
2.8331742,-3.9469283,1.7885143,0.0011950135,0,0,0
-1.0657969,3.3518136,0.09573549,1.963562,1,1,0
4.7967324,-0.90554714,1.7046615,1.7208393,0,1,1
4.7463026,-4.752617,1.84376,0.0011388063,0,0,0
4.641067,-4.62727,1.8557572,0.0076746345,0,0,0
3.4956467,-4.0030518,1.8259971,0.004296541,0,0,0
-1.5448292,1.0691369,0.6599631,1.2331051,1,1,1
