undermine_score,support_score,predict_label,gold
-5.0759726,7.8127446,1,0
-5.034158,7.7863045,1,0
-5.146511,7.922787,1,0
-4.8849726,7.63974,1,0
4.3166676,-2.7681694,0,0
-5.2382507,8.019806,1,0
-4.7220106,7.456977,1,0
-5.1020937,7.8060265,1,0
-2.0711014,4.0720778,1,1
-5.250361,8.007196,1,0
-2.3897264,3.5929618,1,1
-1.6887132,2.8431578,1,1
-2.6966376,3.410353,1,1
8.888351,-10.053678,0,1
-5.3741226,8.13578,1,0
4.821497,-3.3437033,0,0
-4.894257,7.5917854,1,0
-5.0169325,7.789756,1,0
13.647308,-14.078572,0,0
-4.893136,7.6790657,1,0
-4.6422772,7.3806987,1,0
-4.139109,6.799885,1,0
-5.0160103,7.802285,1,0
-5.148546,7.9434085,1,0
-0.7735711,2.4865746,1,1
-5.301277,8.073973,1,1
0.108232915,1.943175,1,0
0.92030275,-1.4397297,0,1
0.9511426,-1.4790255,0,1
1.7939894,-2.3664231,0,1
0.14082256,-0.7448621,0,1
-4.054448,3.0877085,1,1
-5.0151014,3.995331,1,1
-4.4677644,3.6617956,1,1
-2.0107183,1.1952791,1,1
-4.177733,3.251346,1,1
5.0316653,-3.490046,0,1
-5.2952995,8.035678,1,0
-5.384485,8.127035,1,0
-5.3793387,8.121294,1,0
-4.9456654,7.6330667,1,0
0.08584094,0.81896234,1,0
-1.6331201,3.2748446,1,0
1.3961117,-1.9974648,0,0
1.3990334,-1.8842944,0,0
-3.8952737,2.9394631,1,1
1.3157125,-1.9076518,0,1
1.3946929,-2.0166419,0,1
-4.8950825,4.2018223,1,1
1.1367952,-1.7709192,0,1
1.9771193,-2.489551,0,1
-4.986946,7.7926035,1,0
-5.0251913,7.8171935,1,1
-4.9916935,7.7797565,1,0
-5.0460987,7.834181,1,0
-5.173992,7.955639,1,0
-2.1775348,2.4867566,1,0
-2.4414277,3.0704274,1,0
-3.3905544,5.688114,1,0
-4.858629,7.356565,1,0
-4.5901737,3.428017,1,1
3.7383723,-2.2700589,0,1
4.961649,-3.8607614,0,0
-5.219079,8.008622,1,0
-5.137375,7.9227624,1,1
-2.7353313,4.9480696,1,0
1.1367623,0.58197373,0,0
-2.3401957,4.5009236,1,0
2.9965215,-4.3128815,0,1
0.5153184,1.3222433,1,1
1.2753153,0.5233437,0,1
0.62449336,1.2393988,1,1
7.851128,-6.572745,0,1
4.5765867,-6.118683,0,1
-0.022711277,-2.7206888,0,1
4.658256,-6.176361,0,1
3.930018,-5.471238,0,1
3.5178704,-5.0061073,0,1
4.5846977,-6.144759,0,1
4.4842215,-6.075841,0,1
-4.267783,6.4185405,1,0
3.2871704,-2.2851794,0,0
-4.2804184,6.4643297,1,0
-4.189681,6.3357882,1,0
3.399817,-2.4184535,0,0
-1.4464169,2.7328782,1,0
2.8171432,-1.735663,0,0
-4.26218,6.4491444,1,0
4.2899714,-2.8250132,0,0
-5.354566,8.115685,1,0
6.819476,-5.9282928,0,0
3.6074247,-2.3711414,0,0
-4.623617,7.3015833,1,0
-4.4589405,7.1714544,1,0
6.403887,-5.1895275,0,1
-5.2132196,7.9754524,1,1
3.4897714,-4.755447,0,1
-1.4620997,2.582042,1,1
0.047073603,0.80672985,1,1
-1.9297808,3.043272,1,1
9.240266,-10.667276,0,1
-0.19801712,0.6236173,1,1
3.0255985,-3.2686148,0,1
-2.042192,2.810897,1,1
-4.949754,7.6910534,1,0
-5.312525,8.076672,1,0
-5.2509813,8.039632,1,0
4.7968936,-3.3239646,0,0
-5.1740527,7.922393,1,0
-4.868071,7.635236,1,0
-0.31530443,2.4662824,1,1
-5.0604253,7.8071632,1,1
-5.191882,7.983369,1,0
-5.2224956,8.005757,1,0
4.1871195,-2.6191936,0,0
-2.822545,1.5583806,1,1
-5.08287,3.7755852,1,0
-5.2397356,3.8179426,1,0
-5.2442684,3.79621,1,0
-5.7224236,4.4188757,1,0
-4.1595287,6.8428144,1,0
-2.7130153,4.2951174,1,0
-2.8154864,4.3806505,1,0
-0.06566368,0.7187259,1,0
-2.658905,4.2678595,1,0
0.74039394,0.83293235,1,1
-4.7596083,7.2335296,1,0
-0.93454766,0.42047602,1,0
-1.2220073,0.7760918,1,0
-5.1402645,7.9174867,1,0
2.424225,-0.7322433,0,0
3.1997108,-1.6721847,0,0
4.0135493,-5.632365,0,1
4.0738096,-5.69475,0,1
-5.439163,3.5622866,1,1
-4.1384654,6.183424,1,0
0.1922615,1.6820041,1,0
4.5632415,-3.0211053,0,0
-2.7297812,4.8731365,1,0
-4.215952,6.6724854,1,0
1.9033991,-0.14721133,0,0
3.5959916,-1.9786208,0,0
1.3979553,0.35719758,0,0
1.4379339,0.31919932,0,0
1.7067484,0.0239359,0,0
1.4701078,0.29036206,0,0
1.3546917,0.40276462,0,0
-4.648461,3.4641726,1,0
-3.790533,2.6156158,1,0
0.9119872,-1.648995,0,1
-5.477538,4.063736,1,1
3.5073884,-4.415347,0,1
3.6372445,-4.6024284,0,1
3.9835079,-4.89787,0,1
