undermine_score,support_score,predict_label,gold
-1.4178478,1.6254342,1,0
1.2603196,-0.8030515,0,0
1.8558276,-1.7499259,0,0
0.18894012,0.06303563,0,0
1.4365356,-1.2520436,0,0
2.4420261,-1.8585396,0,0
2.1221404,-1.6142567,0,0
3.4417922,-3.1203709,0,0
-0.14589794,0.15822394,1,1
2.964828,-2.6355686,0,0
0.5850793,-0.701233,0,1
2.4766424,-2.1738057,0,1
0.77411944,-0.9573643,0,1
1.8913635,-2.0379095,0,1
2.1837904,-1.6375202,0,0
-0.72331536,0.88661706,1,0
3.3042693,-2.7742853,0,0
3.4849854,-3.2078815,0,0
3.4457831,-3.0900848,0,0
-1.4133044,1.419812,1,0
-0.08352262,-0.12163501,0,0
-1.350896,1.3824017,1,0
2.2099624,-2.0174294,0,0
0.6268938,-0.87875956,0,0
1.7893101,-1.7702662,0,1
3.4298983,-3.3144755,0,1
2.0018482,-1.7953647,0,0
0.7689435,-1.0195884,0,1
-0.5441464,0.26249662,1,1
-0.112397954,-0.041622855,1,1
2.4226146,-2.640699,0,1
1.4875056,-1.2278944,0,1
-1.1791947,1.0608853,1,1
-0.27263048,0.60844904,1,1
2.0467982,-2.4733143,0,1
-0.86040616,0.4425505,1,1
2.5697403,-2.5413337,0,1
3.2147636,-3.466824,0,0
2.8288317,-3.4757597,0,0
3.5602303,-3.5916758,0,0
-2.2263508,2.3713143,1,0
0.84963155,-0.34769714,0,0
1.1740857,-1.4062529,0,0
1.34876,-0.81212616,0,0
2.7430425,-2.4430854,0,0
-3.5087464,3.1820421,1,1
1.0840483,-1.3913876,0,1
-1.1290907,0.91853344,1,1
-1.4329783,1.2441797,1,1
-1.3074187,1.1968814,1,1
-1.8161914,1.5481416,1,1
1.7317183,-1.3309919,0,0
1.0175656,-0.4564962,0,1
2.94698,-2.465415,0,0
3.3859143,-3.1960926,0,0
1.9132006,-1.529165,0,0
1.7082821,-1.3749799,0,0
2.2722065,-1.7881494,0,0
3.0536172,-2.7069683,0,0
3.1345682,-2.8046532,0,0
-0.8388333,0.8249828,1,1
3.2131548,-3.046928,0,1
-1.643124,1.7170213,1,0
1.3774556,-1.6672622,0,0
-0.74939114,0.70377505,1,1
3.141343,-2.697225,0,0
2.5281105,-2.5056453,0,0
0.52436656,-0.23230214,0,0
0.9585272,-0.6516799,0,1
-3.221881,3.0275655,1,1
-3.3260415,3.0670118,1,1
-3.086155,2.994348,1,1
-0.5194739,0.34636626,1,1
2.4906306,-2.4742553,0,1
1.3051792,-1.6969084,0,1
-1.1967646,0.96709114,1,1
-0.2511935,-0.15778969,1,1
-1.100248,0.8542847,1,1
-0.8720224,0.6281586,1,1
-0.8522675,0.6328566,1,1
3.1530187,-2.9802928,0,0
2.8720522,-2.696105,0,0
3.5956357,-3.3823686,0,0
3.4502225,-3.510853,0,0
2.8519118,-2.5619884,0,0
2.707285,-2.4165192,0,0
0.989979,-1.1224952,0,0
1.4556516,-1.1597968,0,0
2.089333,-1.8512341,0,0
0.2897719,-0.17830174,0,0
0.73648775,-1.0759015,0,0
3.222483,-3.0161707,0,0
3.3222988,-3.4663675,0,0
2.9149,-2.5840735,0,0
-1.5914298,1.5667208,1,1
3.3879151,-3.1800714,0,1
0.91620624,-0.8593986,0,1
-0.43860558,0.53069973,1,1
-1.8255928,1.5470234,1,1
2.066012,-2.5603077,0,1
-0.16906153,0.13521491,1,1
2.1743102,-2.7098937,0,1
1.9231335,-2.3157349,0,1
1.4852713,-1.3378996,0,1
2.4445977,-3.0007806,0,0
3.3113766,-3.3437173,0,0
3.3612595,-3.3387434,0,0
3.269476,-3.114644,0,0
2.832038,-3.4430156,0,0
1.4780376,-1.3365792,0,0
1.5649453,-1.2884433,0,1
0.4419355,-0.54433656,0,1
-1.7487139,1.7799199,1,0
-0.8556411,0.76102066,1,0
1.7542812,-1.8748856,0,0
1.6357596,-1.5133685,0,1
-1.578203,1.4934379,1,0
1.222149,-1.4047285,0,0
-0.3786101,0.2714281,1,0
-1.8851253,1.8519008,1,0
2.2794025,-1.7552809,0,0
0.6149608,-0.9055119,0,0
3.2730374,-3.0472875,0,0
3.4574552,-3.2877545,0,0
2.9972508,-2.6402268,0,0
2.9968724,-2.3046784,0,1
2.5652165,-2.525804,0,0
1.2899306,-1.3714299,0,0
1.8780572,-1.6535934,0,0
1.9590076,-1.8278934,0,0
3.2313366,-2.6533823,0,0
1.6787773,-1.3750801,0,0
-0.9862326,0.67463195,1,1
-1.3256861,1.1544243,1,1
-0.23688753,-0.18116139,1,1
1.4294564,-1.231166,0,0
2.0221152,-1.7609888,0,0
2.4645145,-2.2119029,0,0
1.9371932,-1.5485691,0,0
2.7129686,-2.4478831,0,0
1.3032674,-1.6587001,0,0
2.9107895,-2.712063,0,0
3.1522183,-3.0217023,0,0
3.2353692,-3.1319215,0,0
2.4801478,-2.5327916,0,0
3.3744764,-3.1028087,0,0
2.9736435,-2.8843918,0,0
1.6162633,-1.1265069,0,0
1.0580379,-1.2555963,0,0
1.6071802,-1.0712483,0,1
-1.3632275,1.1857009,1,1
1.5935214,-1.3191193,0,1
-0.22944634,0.19540976,1,1
-0.55224377,0.5512282,1,1
-1.9029636,1.7224897,1,1
-1.5245131,1.1725873,1,1
3.1040163,-2.744799,0,0
-0.76246333,0.62245536,1,0
2.2318697,-2.6112761,0,0
1.7223781,-2.0139322,0,0
2.5746887,-2.8427446,0,0
-2.0388303,2.0783987,1,0
-0.6872939,1.255205,1,0
-2.4302707,2.423284,1,1
0.5851426,-0.9210602,0,0
-2.2799273,2.525052,1,1
