undermine_score,support_score,predict_label,gold
3.847457,-3.2621243,0,0
4.4653716,-3.819674,0,0
4.407632,-3.7953923,0,0
4.2762914,-3.762635,0,0
3.8980975,-3.3980205,0,0
4.3561335,-3.8064806,0,0
4.297219,-3.7406003,0,0
4.2750106,-3.7347713,0,0
3.441846,-3.1756628,0,1
4.289675,-3.7297766,0,0
3.6835651,-3.318487,0,1
4.036105,-3.6276436,0,1
4.087892,-3.6866055,0,1
-1.5547019,1.6753107,1,1
4.358373,-3.8725963,0,0
4.2587624,-3.7668033,0,0
4.423784,-3.7900095,0,0
4.3763866,-3.798442,0,0
4.2424264,-3.6880455,0,0
-0.909234,1.0267323,1,0
3.7654536,-3.2821004,0,0
-1.8977358,1.9133103,1,0
4.3840704,-3.8078713,0,0
3.8753562,-3.250186,0,0
3.9053059,-3.2287536,0,1
3.9199893,-3.3152466,0,1
-1.6209697,1.6752344,1,0
-3.1726346,3.0888724,1,1
-2.452892,2.3794508,1,1
2.0505466,-1.6560622,0,1
1.5224032,-1.0802361,0,1
2.43609,-1.9825271,0,1
-2.7808163,2.712214,1,1
-3.138783,3.035148,1,1
-3.201907,3.1160731,1,1
-2.8960586,2.800311,1,1
3.7289853,-3.3027225,0,1
4.369191,-3.8581748,0,0
4.4702616,-3.8851497,0,0
4.3450255,-3.8182483,0,0
-2.392229,2.3332329,1,0
4.1488395,-3.702811,0,0
4.0015755,-3.5757434,0,0
3.2083492,-2.77267,0,0
3.429586,-2.8733835,0,0
-3.2434907,3.181545,1,1
2.7814045,-2.1980915,0,1
-3.2507124,3.1782827,1,1
-0.20572042,0.3182649,1,1
-0.40391535,0.4718709,1,1
-3.2346401,3.1358294,1,1
4.3018203,-3.6673753,0,0
-2.8534198,2.7898083,1,1
4.3727713,-3.771647,0,0
4.363872,-3.6789536,0,0
4.248732,-3.7646995,0,0
3.9225655,-3.5510483,0,0
4.0504527,-3.5512238,0,0
3.904132,-3.531362,0,0
4.1864653,-3.6695828,0,0
2.322533,-2.0981698,0,1
3.9578943,-3.351163,0,1
2.967855,-2.4036026,0,0
3.579057,-3.0092995,0,0
-1.6929111,1.6815714,1,1
3.8405828,-3.2969165,0,0
3.65963,-3.0861096,0,0
4.1800656,-3.679811,0,0
-3.1917152,3.097364,1,1
-3.3970098,3.3434696,1,1
-3.397035,3.3469098,1,1
-3.3446088,3.2890458,1,1
4.081412,-3.504708,0,1
4.1354423,-3.6325939,0,1
4.114803,-3.5986955,0,1
0.16687688,0.07595103,0,1
0.8213933,-0.5263538,0,1
-2.6411278,2.557248,1,1
3.4657311,-3.0224771,0,1
3.4050574,-2.904849,0,1
4.3676877,-3.8185854,0,0
4.4034696,-3.790854,0,0
4.4026284,-3.773863,0,0
4.4020095,-3.8007023,0,0
4.419433,-3.800413,0,0
-2.1872683,2.1765037,1,0
4.411736,-3.785038,0,0
-2.4473488,2.432165,1,0
4.0968914,-3.575889,0,0
-3.130516,3.049464,1,0
4.12129,-3.5071394,0,0
4.3243575,-3.7199972,0,0
4.0013742,-3.4818926,0,0
4.054242,-3.5628786,0,0
3.6474142,-3.001143,0,1
3.542374,-2.8989515,0,1
-3.2623844,3.2156436,1,1
4.178186,-3.7307932,0,1
4.0714526,-3.5570235,0,1
4.4034767,-3.828196,0,1
4.1581707,-3.6642826,0,1
4.3753657,-3.8566566,0,1
4.097366,-3.674326,0,1
4.0524163,-3.667707,0,1
4.290233,-3.766134,0,0
4.315474,-3.7419071,0,0
4.324892,-3.689411,0,0
4.38402,-3.8184998,0,0
4.4519277,-3.7843037,0,0
4.101528,-3.4975715,0,0
3.0528789,-2.477035,0,1
3.9112966,-3.329329,0,1
4.1881804,-3.7419949,0,0
-2.9170523,2.8034894,1,0
4.2850432,-3.779284,0,0
3.5620563,-3.2216995,0,1
3.987719,-3.5310822,0,0
3.824535,-3.508258,0,0
2.793645,-2.2872114,0,0
-1.0858618,1.0641571,1,0
4.287006,-3.7135308,0,0
3.7689059,-3.404328,0,0
4.1710606,-3.8115864,0,0
4.276776,-3.8324888,0,0
4.126463,-3.7616296,0,0
4.2044225,-3.5514414,0,1
4.261472,-3.7415152,0,0
3.4852397,-3.1549807,0,0
3.0428257,-2.758298,0,0
3.9772987,-3.6634064,0,0
4.3494334,-3.8133113,0,0
1.9234729,-1.5019902,0,0
-2.6443725,2.551094,1,1
1.4895759,-1.3069438,0,1
-1.5187705,1.6034645,1,1
3.5775514,-3.364768,0,0
3.6059387,-3.3003602,0,0
3.8994846,-3.7053313,0,0
4.143493,-3.714981,0,0
3.686533,-3.2579103,0,0
3.9059277,-3.3684926,0,0
4.197839,-3.6774726,0,0
4.2410707,-3.7183743,0,0
4.2791963,-3.765789,0,0
4.2094655,-3.6559496,0,0
3.687979,-3.1893167,0,0
4.235248,-3.7548125,0,0
2.7241678,-2.219038,0,0
-3.1534455,3.070469,1,0
0.47583917,-0.36874324,0,1
-2.8921766,2.7971978,1,1
1.1416514,-1.044976,0,1
-3.278512,3.1935742,1,1
-0.8903833,0.76298404,1,1
-3.0320477,2.906485,1,1
-2.9754877,2.8743234,1,1
4.2540183,-3.6866512,0,0
3.7031426,-3.3167233,0,0
4.022576,-3.4736118,0,0
3.9932058,-3.6263375,0,0
4.2974105,-3.8326252,0,0
-3.1853504,3.1169581,1,0
-3.3110094,3.2798557,1,0
-3.3066103,3.244485,1,1
3.249836,-2.7463946,0,0
-1.6684738,1.6676377,1,1
-2.5277853,2.3531258,1,0
4.1872277,-3.7503428,0,0
3.8319128,-3.1552043,0,1
0.066127405,0.44255224,1,1
2.612794,-1.9891845,0,1
4.27774,-3.81174,0,0
3.9839675,-3.3945477,0,1
-3.4326267,3.3859408,1,0
3.8792977,-3.3917632,0,1
-3.2846427,3.215849,1,1
-3.2286,3.1358757,1,0
3.8369617,-3.2971475,0,0
3.7686584,-3.2482321,0,0
4.343803,-3.7387278,0,0
4.20007,-3.710134,0,0
4.186742,-3.7782283,0,0
3.8078961,-3.3915606,0,0
4.216722,-3.7604988,0,0
4.3332686,-3.7551394,0,0
3.3378038,-3.03266,0,0
4.1158905,-3.7121341,0,0
3.506574,-3.1581128,0,0
3.6932926,-3.2796817,0,0
4.1560373,-3.6519368,0,0
3.820761,-3.2638652,0,0
1.9057859,-1.5688905,0,0
4.0504985,-3.6876059,0,0
3.9669986,-3.5219183,0,0
3.9236653,-3.461069,0,0
3.525145,-3.1707013,0,0
-2.012541,2.106931,1,0
3.9526758,-3.4888556,0,0
1.3963679,-0.9163211,0,0
2.258322,-2.0615568,0,1
2.738501,-2.4379435,0,1
-1.1527871,1.3347535,1,1
2.9185777,-2.4682012,0,1
-2.7994745,2.7746675,1,1
1.6427745,-1.1102821,0,1
4.3305945,-3.7404008,0,0
-3.3495793,3.3061743,1,1
-3.3603213,3.300088,1,1
4.381737,-3.8379333,0,0
4.432131,-3.8359087,0,0
-2.8431582,2.7761946,1,0
2.5357583,-2.1206346,0,1
-0.17680368,0.24752441,1,1
4.432668,-3.8243313,0,0
-3.2595701,3.1989198,1,1
-3.295818,3.2331972,1,1
4.346706,-3.7806401,0,0
4.3914037,-3.780651,0,0
4.223006,-3.7580962,0,0
4.374616,-3.8706937,0,0
4.0972867,-3.5242202,0,0
-3.1614857,3.076984,1,0
-3.1676388,3.0766687,1,1
-0.89927965,0.9209482,1,0
3.6301765,-3.413126,0,0
-3.0844276,3.0037591,1,0
-3.1080246,3.0090613,1,1
-0.15511961,0.2128885,1,0
3.8398488,-3.373041,0,0
3.9893346,-3.5441694,0,0
3.492395,-2.9859207,0,0
4.428551,-3.7644072,0,0
4.3547263,-3.59594,0,0
-2.9187894,2.8846674,1,0
4.3809643,-3.7930813,0,0
3.4650474,-3.1574135,0,0
