undermine_score,support_score,predict_label,gold
7.0043364,-5.9781647,0,0
9.888535,-9.555368,0,0
5.5510693,-4.219471,0,0
6.664673,-5.599892,0,0
11.984589,-12.243132,0,0
6.9996014,-5.96422,0,0
6.123511,-4.932645,0,0
5.630543,-4.238148,0,0
4.1315627,-2.5513666,0,1
5.709162,-4.3288927,0,0
1.6602734,-1.4176391,0,1
3.5237825,-3.8922322,0,1
2.5633228,-2.5107412,0,1
8.8038845,-9.98844,0,1
6.0142093,-4.843561,0,0
9.800255,-9.407312,0,0
12.919914,-13.381611,0,0
10.8209095,-10.880354,0,0
13.679093,-14.103739,0,0
-4.9939127,7.775621,1,0
4.792838,-3.335665,0,0
4.042592,-2.4222202,0,0
6.523462,-5.405107,0,0
8.730652,-8.079664,0,0
10.894114,-11.246152,0,1
10.810059,-10.740179,0,1
3.470241,-1.8340584,0,0
-4.860149,3.8998966,1,1
-4.862155,3.9126267,1,1
-5.0611386,4.059005,1,1
-5.082625,4.071157,1,1
-4.8408346,3.8697953,1,1
-4.750405,3.7462418,1,1
-5.0535984,4.1149096,1,1
-5.0495377,4.0139456,1,1
-5.1072903,4.0866137,1,1
-4.8250694,7.528477,1,1
11.363617,-11.538069,0,0
12.761385,-13.282494,0,0
12.344669,-12.80616,0,0
0.9404875,0.7325837,0,0
0.9249095,-0.08763069,0,0
6.835349,-6.048828,0,0
-5.2722974,4.386912,1,0
-2.731931,1.5032679,1,0
-2.1080298,1.4602953,1,1
-3.6489735,2.6267557,1,1
-1.7367222,0.23163581,1,1
-4.84083,4.2373466,1,1
-3.5289493,2.4966621,1,1
-3.8316965,2.82694,1,1
4.2479715,-2.6655788,0,0
-5.1635466,7.958413,1,1
6.3309855,-4.9908175,0,0
6.4852657,-5.3387766,0,0
5.3440013,-3.8405964,0,0
6.4112444,-7.9761515,0,0
4.115403,-5.033593,0,0
4.349998,-2.8940458,0,0
1.433491,0.038808182,0,0
-3.978103,2.8058236,1,1
5.9257517,-4.919499,0,1
6.675702,-6.052661,0,0
9.208138,-8.660809,0,0
-5.0212,7.7940073,1,1
9.008775,-7.868208,0,0
4.89174,-3.3763547,0,0
8.320355,-7.4773464,0,0
-5.4444857,3.7606945,1,1
1.2498932,0.5447751,0,1
1.6126037,0.18333949,0,1
0.882947,1.0271406,1,1
8.188502,-6.8925657,0,1
-2.8288846,0.26979703,1,1
0.07828489,-2.792619,0,1
4.55093,-6.091749,0,1
-5.102273,3.2176924,1,1
-4.7938976,2.9085312,1,1
-5.6746902,3.925721,1,1
-4.3650174,2.3573782,1,1
9.159336,-9.669668,0,0
4.396797,-3.7019033,0,0
6.2141504,-5.956556,0,0
4.2156544,-3.7154324,0,0
3.812992,-2.972404,0,0
-2.7690256,4.181948,1,0
3.333518,-2.3669028,0,0
-4.2545786,6.438859,1,0
4.6585035,-3.2472537,0,0
3.8432798,-2.1781878,0,0
12.062238,-12.3361,0,0
13.747565,-14.175328,0,0
9.775515,-9.460545,0,0
5.699755,-4.4782324,0,0
8.18243,-7.3746214,0,1
7.782378,-6.882833,0,1
-1.4469281,-1.3212006,1,1
4.6072636,-5.026344,0,1
1.1383624,-0.746033,0,1
8.5974655,-10.083179,0,1
9.276726,-10.681456,0,1
9.041096,-10.520304,0,1
8.594803,-10.165423,0,1
7.529033,-8.975609,0,1
10.115788,-9.897361,0,0
7.6703024,-6.835705,0,0
11.986165,-12.381903,0,0
10.004992,-9.933369,0,0
13.892202,-14.321888,0,0
12.303625,-12.700848,0,0
13.327893,-13.818556,0,1
13.471576,-13.961397,0,1
5.4644346,-4.015151,0,0
5.693532,-4.3287106,0,0
4.581362,-3.2431116,0,0
-4.446128,2.8594189,1,1
-4.487273,2.8771496,1,0
-4.7760935,3.2810817,1,0
-4.2643504,2.7996347,1,0
1.867692,-2.7947214,0,0
12.942133,-13.3456135,0,0
1.1329445,-0.59182364,0,0
3.8420463,-3.9112582,0,0
5.2292824,-5.683141,0,0
3.0712101,-2.916431,0,0
3.0253558,-1.6385592,0,1
7.1203804,-6.6762795,0,0
0.20045586,-0.9440633,0,0
2.0944066,-3.373054,0,0
10.368467,-10.399836,0,0
11.861977,-12.201094,0,0
3.6634107,-2.1211858,0,0
-2.0601597,-0.8880139,1,1
-5.9419613,4.16078,1,1
-5.471569,3.645306,1,1
9.574015,-10.082201,0,0
5.096032,-3.496953,0,0
8.870906,-8.224902,0,0
6.794017,-5.6688156,0,0
4.840275,-3.3136373,0,0
13.740046,-14.165358,0,0
8.699752,-7.97581,0,0
13.350904,-13.756242,0,0
12.655732,-13.007738,0,0
13.511866,-13.95154,0,0
11.750902,-12.078625,0,0
12.280847,-12.53194,0,0
2.830164,-3.7155101,0,0
-4.752717,3.196573,1,0
-3.173197,2.0206096,1,1
-5.289226,3.7993934,1,1
-4.2458386,2.541427,1,1
-5.3662343,3.972838,1,1
-5.4498663,4.1474357,1,1
-5.3060703,3.814238,1,1
-5.11196,3.505595,1,1
6.4654226,-5.379921,0,0
0.23419231,-2.109604,0,0
3.7808492,-6.2410355,0,0
4.1917953,-6.546006,0,0
2.7408357,-5.261983,0,0
-0.103493914,0.17098366,1,0
0.12318188,0.02384688,0,0
-0.7216557,0.8397306,1,1
-2.9228485,0.7659956,1,0
-2.9773247,1.5628862,1,1
-4.6705403,4.229774,1,0
6.9605455,-5.8407936,0,0
-4.4646893,7.2235217,1,1
-4.0588675,6.752844,1,1
-1.9051372,4.171879,1,1
6.761941,-5.614394,0,0
8.85637,-8.423327,0,1
-4.367168,7.2031603,1,0
4.754216,-3.1930454,0,1
-2.1764128,4.6515975,1,1
5.0047984,-4.8765674,0,0
9.45327,-8.964994,0,0
11.5410385,-11.602949,0,0
7.8991957,-6.9132595,0,0
6.130149,-4.859802,0,0
7.3164864,-6.250188,0,0
9.391322,-8.755327,0,0
