undermine_score,support_score,cp_distance,cop_distance,predict_label,distance_label,gold
-4.223587,3.430138,0.020014465,0.012878656,1,0,1
4.980137,-5.9183707,1.923178,0.0013394952,0,0,0
-4.0515313,3.0986452,0.0045583844,0.010478139,1,1,1
-1.6599854,2.5632455,0.27741253,0.15797633,1,0,1
-1.1033578,5.3178153,0.29365546,1.842567,1,1,1
-2.9572794,5.61234,0.010343373,1.7549362,1,1,1
-2.915035,5.8553576,0.0042410493,1.8681769,1,1,1
-3.0669928,5.3199086,0.008049309,1.494756,1,1,1
-2.915035,5.8553576,0.0042410493,1.8681769,1,1,1
-3.2043667,4.770818,0.0066266656,1.6943128,1,1,1
-3.1965141,5.088571,0.016234696,1.1250397,1,1,1
-4.1511626,2.6878388,0.0013474226,0.0020224452,1,1,1
-4.180366,2.7096925,0.0010003448,0.0025567412,1,1,1
6.0421534,-3.3120503,1.9728029,1.5406039,0,0,0
4.9730825,-5.4468923,1.975014,0.038279176,0,0,0
6.7025685,-2.5676956,1.9405522,1.8649018,0,0,0
6.7275248,-2.6914206,1.9609777,1.9215865,0,0,0
5.299656,-4.752293,1.975014,0.31999594,0,0,0
5.4605837,-5.4834228,1.9466546,0.05151522,0,0,0
6.4217,-2.5383377,1.9359276,1.8745162,0,0,0
5.225395,-5.1481996,1.8771652,0.0075677037,0,0,0
-4.2497425,2.813627,0.004352689,0.012162566,1,1,1
-2.5959184,5.5135307,0.011528909,1.9701464,1,1,1
-4.1780896,2.725631,0.0018194914,0.015947461,1,1,1
-4.234039,2.8091145,0.0046866536,0.012726724,1,1,1
-2.8190677,5.5080667,0.001985073,1.8638694,1,1,1
-3.148525,5.0212283,0.0019130111,1.6684911,1,1,1
-2.7846577,5.8254094,0.0074470043,1.9578644,1,1,1
-2.5744588,5.5990925,0.028452277,1.9543383,1,1,1
-2.7777047,5.6936626,0.005518377,1.9586667,1,1,1
-2.6775,5.6689615,0.008435249,1.9525008,1,1,1
-3.072376,5.122175,0.045737505,1.636898,1,1,1
