undermine_score,support_score,cp_distance,cop_distance,predict_label,distance_label,gold
-5.013396,3.9691577,0.008318722,0.021639168,1,1,1
8.001901,-7.6512136,1.989682,0.01906377,0,0,0
-4.545894,4.179114,0.0052517653,0.22186935,1,1,1
1.6610645,-0.68978715,0.9666656,1.97488,0,1,1
6.0117836,-3.3755152,1.7646714,1.9416268,0,1,1
-6.2207575,7.016092,0.0003247261,1.9879197,1,1,1
-6.1562285,6.960636,0.00090134144,1.9915352,1,1,1
-6.0257077,6.935578,0.0005735159,1.9563255,1,1,1
-6.1562285,6.960636,0.00090134144,1.9915352,1,1,1
-5.2189817,6.4874682,0.0008075237,1.902644,1,1,1
-6.2545843,6.3708057,0.001817286,1.7593454,1,1,1
-5.576283,4.3446746,0.00030094385,0.0005661845,1,1,1
-5.6292562,4.3322062,0.00015848875,0.00019133091,1,1,1
7.301512,-6.8465,1.9800198,0.2358498,0,0,0
6.18576,-5.9677286,1.9326396,0.5299206,0,0,0
6.341837,-4.2170186,1.8802423,1.8838301,0,1,0
8.214758,-7.876851,1.9914286,0.0070147514,0,0,0
6.563803,-5.6347017,1.9326396,1.2376302,0,0,0
8.157625,-7.752422,1.9790604,0.009416878,0,0,0
8.596584,-6.024934,1.9762423,1.428106,0,0,0
7.8113546,-7.761283,1.9514786,0.0008906126,0,0,0
-5.5916653,4.2980723,0.001897335,0.0018777847,1,0,1
-5.4910173,6.1917896,0.009078562,1.9709243,1,1,1
-5.580402,4.277099,0.0017082691,0.0006207824,1,0,1
-5.5963206,4.3041124,0.0017745495,0.0018226504,1,1,1
-5.673659,6.5550256,0.01106894,1.9530355,1,1,1
-5.6706014,6.458163,0.0029168725,1.9737067,1,1,1
-6.2556777,5.0688634,0.0010766983,0.9116558,1,1,1
-6.1307874,6.909838,0.0018323064,1.9901888,1,1,1
-6.084586,6.9471097,0.000236094,1.9954494,1,1,1
-5.9325204,6.8700795,0.0037513971,1.9926419,1,1,1
-5.326932,6.219996,0.0032519102,1.8460131,1,1,1
7.146991,-4.337504,1.6660712,1.0226774,0,0,0
5.3892694,-2.9828823,1.4808675,1.6573718,0,1,0
5.134863,-2.7440124,1.6233797,1.8807983,0,1,0
7.9985476,-5.8759413,1.9900262,1.9363973,0,0,0
8.16721,-7.8534245,1.9912316,0.012889981,0,0,0
7.8141565,-6.4513316,1.9541266,1.0004593,0,0,0
5.6764073,-5.0717382,1.8487272,0.09499413,0,0,0
8.195818,-7.9391346,1.9914649,0.00862658,0,0,0
8.118264,-7.8744745,1.9848694,0.03774202,0,0,0
8.214104,-5.3961,1.9450603,1.4329269,0,0,0
6.6519766,-3.8522398,1.7528979,1.078225,0,0,0
8.128511,-5.9192586,1.9590893,0.5646206,0,0,0
7.9477944,-5.7679973,1.9754795,1.6518264,0,0,0
-5.838641,6.7505217,0.007393539,1.9927175,1,1,1
-5.2250967,5.72965,0.045841694,1.9897046,1,1,1
-5.7628865,6.6948247,0.0038514733,1.9901093,1,1,1
-5.9407334,6.7091074,0.000805974,1.9904399,1,1,0
8.555322,-7.829862,1.9942173,0.13914698,0,0,0
7.243667,-6.6761928,1.9638933,0.1445595,0,0,0
-5.816174,6.6984973,0.0028473139,1.988243,1,1,1
-5.894492,6.750244,0.0011337996,1.9923475,1,1,1
4.5498204,-2.2989306,1.3040228,1.4262129,0,1,1
-5.03349,6.1743817,0.003156662,1.8355744,1,1,1
-6.1007385,6.9313726,0.00073605776,1.9942942,1,1,1
-2.5903337,3.3491132,0.094453275,1.314259,1,1,1
7.521841,-5.283381,1.9703768,1.8726246,0,0,0
