,Label,x,y,claim,perspective,opposite_auto
1,0,0,0,School Day Should Be Extended,Not enough fundng..., enough fundng...
18,0,0,0,Raise The School Leaving Age To 18,Not all skills are best learnt in a classroom environment., all skills are best learnt in a classroom environment.
20,0,0,0,Raise The School Leaving Age To 18,The classroom environment is not ideal for all lessons.,The classroom environment is ideal for all lessons.
36,0,0,0,Raise The School Leaving Age To 18,Not everyone is good at studying, everyone is good at studying
38,0,0,0,Raise The School Leaving Age To 18,We shouldn't force people to study if they aren't good at it and choose not to.,We should force people to study if they aren't good at it and choose not to.
39,0,0,0,Raise The School Leaving Age To 18,not everyone is good academically, everyone is good academically
40,0,0,0,Raise The School Leaving Age To 18,some people are not good at studying,some people are good at studying
50,0,0,0,Make all museums free of charge,We should not expect the state to fund museums,We should expect the state to fund museums
61,1,0,0,Chess must be at the Olympics,"Chess is currently not an Olympic sport, but it should be.","Chess is currently an Olympic sport, but it should be."
71,0,0,0,Chess must be at the Olympics,Chess cannot ensure fair play,Chess can ensure fair play
84,1,0,0,The Catholic Church needs reform,It currently promotes loyalty to the institution not the laity,It currently promotes loyalty to the institution the laity
85,1,0,0,The Catholic Church needs reform,"Currently the Catholic Chuch focuses on loyalty to the church itself, not those they serve.","Currently the Catholic Chuch focuses on loyalty to the church itself, those they serve."
86,1,0,0,The Catholic Church needs reform,"The Catholic Church wants loyalty to institution, not to the common man.","The Catholic Church wants loyalty to institution, to the common man."
89,1,0,0,The Catholic Church needs reform,"If priests were not forced to be celibate, the issue of child rate would not be as widespread.","If priests were forced to be celibate, the issue of child rate would not be as widespread."
92,0,0,0,Positive Discrimination Towards Women in Society Is Justified,Positive discrimination towards women should not be allowed,Positive discrimination towards women should be allowed
93,0,0,0,Positive Discrimination Towards Women in Society Is Justified,"It is Men, Not Women, who are Disadvantaged in our Society","It is Men, Women, who are Disadvantaged in our Society"
95,0,0,0,Positive Discrimination Towards Women in Society Is Justified,It does not address the underlying issues,It does address the underlying issues
114,0,0,0, College education is worth it,"Some argue that a college education may not be necessary, since there are many people who have succeeded despite not having college degrees. ","Some argue that a college education may be necessary, since there are many people who have succeeded despite not having college degrees."
115,0,0,0, College education is worth it,"The question of whether or not a college education is necessary for success is one that is debated, as many successful people are not college educated.","The question of whether or a college education is necessary for success is one that is debated, as many successful people are not college educated."
116,0,0,0, College education is worth it,Many college graduates are employed in jobs that do not require college degrees.,Many college graduates are employed in jobs that do require college degrees.
117,0,0,0, College education is worth it,Many people with college degrees find themselves working in positions in which their degrees are not a requirement. ,Many people with college degrees find themselves working in positions in which their degrees are a requirement.
118,0,0,0, College education is worth it,More and more college educated people are accepting jobs for which they do not need a college education. ,More and more college educated people are accepting jobs for which they do need a college education.
177,0,0,0, College education is worth it,College degrees do not guarantee learning or job preparation.,College degrees do guarantee learning or job preparation.
178,0,0,0, College education is worth it,Acquiring a degree does not guarantee you a job.,Acquiring a degree does guarantee you a job.
211,1,0,0,College football should replace the bowl championship series (BCS),"A playoff system would not mean the end of the BCS rankings, which could still be used to determine the top 4, 8, 12, or 16 teams, depending on how many playoff games are feasible.","A playoff system would mean the end of the BCS rankings, which could still be used to determine the top 4, 8, 12, or 16 teams, depending on how many playoff games are feasible."
218,1,0,0,Pensions should be privatised,Government pension schemes are not a viable or sustainable option.,Government pension schemes are a viable or sustainable option.
219,0,0,0,Pensions should be privatised,senior citizens should not and cannot be exposed to such naked risk on moral grounds,senior citizens should and cannot be exposed to such naked risk on moral grounds
242,1,0,0,The use of animals as objects of sport and entertainment should be banned.,Blood sports cannot be justified by reference to their role in pest control or conservation,Blood sports can be justified by reference to their role in pest control or conservation
243,1,0,0,The use of animals as objects of sport and entertainment should be banned.,Blood sports are not justified by their role in pest control or conservation.,Blood sports are justified by their role in pest control or conservation.
244,1,0,0,The use of animals as objects of sport and entertainment should be banned.,The need for pest control or conservation does not justify blood sports. ,The need for pest control or conservation does justify blood sports.
245,1,0,0,The use of animals as objects of sport and entertainment should be banned.,Pest control or conservation arguments does not rationalize our use of animals as objects in blood sports.,Pest control or conservation arguments does rationalize our use of animals as objects in blood sports.
246,1,0,0,The use of animals as objects of sport and entertainment should be banned.,The use of animals as objects in blood sports cannot be justified by the week argument that it provides benefit through pest control or conservation.,The use of animals as objects in blood sports can be justified by the week argument that it provides benefit through pest control or conservation.
249,1,0,0,The use of animals as objects of sport and entertainment should be banned.,Animals are not percieved as part of the moral community when they are treated as property.,Animals are percieved as part of the moral community when they are treated as property.
251,1,0,0,The use of animals as objects of sport and entertainment should be banned.,Animals should not be treated as objects or property as doing so allows them to be treated amorally.,Animals should be treated as objects or property as doing so allows them to be treated amorally.
256,1,0,0,The use of animals as objects of sport and entertainment should be banned.,It is not possible to harmlessly have animals as entertainment,It is possible to harmlessly have animals as entertainment
266,1,0,0,The use of animals as objects of sport and entertainment should be banned.,It is not moral to hurt animals for entertainment,It is moral to hurt animals for entertainment
291,1,0,0,Puerto Rico should seek American statehood,English is not a problem for Puerto Rican statehood,English is a problem for Puerto Rican statehood
292,0,0,0,Puerto Rico should seek American statehood,Puerto Rican statehood is not economical for the US,Puerto Rican statehood is economical for the US
293,0,0,0,Puerto Rico should seek American statehood,Puerto Rican statehood will not benefit the US economically.,Puerto Rican statehood will benefit the US economically.
294,0,0,0,Puerto Rico should seek American statehood,Making Puerto Rico a state is not a good economic decision for the US. ,Making Puerto Rico a state is a good economic decision for the US.
296,0,0,0,Puerto Rico should seek American statehood,It would be better for the US if Puerto Rico does not become a state. ,It would be better for the US if Puerto Rico does become a state.
298,0,0,0,There is a good case for stating that there is a God,People think that a benevolent God cannot exist because bad things happen...,People think that a benevolent God can exist because bad things happen...
305,0,0,0,The law on self defence should cover ‘grossly disproportionate’ actions,We should not allow state sponsored revenge,We should allow state sponsored revenge
